Property Address,RATEPAYER,RV,LIABILITY_START
"Unit 6, Gauxholme Industrial Estate, Bacup Road, Todmorden           OL14 7PN",Longcroft Engineering Ltd,4650,01/04/2017
"10 West Street, Sowerby Bridge, HX6 3AN",,3300,01/01/2017
"Stall 28 Market Hall, Brook Street, Todmorden, OL14 5AJ",Calderdale Mbc Markets Manager,1700,01/12/2016
"Basement At Nightclub, Wards End, Halifax, HX1 1BX",Selmar Properties Ltd,620,21/01/2016
"1ST - 3RD Flrs At Nightclub, Wards End, Halifax, HX1 1BX",Selmar Properties Ltd,4600,21/01/2016
"24 King Cross Street, Halifax, HX1 2SH",,4750,20/03/2017
"39 Victoria Road, Elland, HX5 0AB",,3750,01/03/2017
"16 Bull Close Lane, Halifax, HX1 2EF",Flowquip Ltd,13250,01/04/2017
"208 King Cross Road, Halifax, HX1 3JP",A D L Solicitors Ltd,8500,01/03/2017
"Units 8-9, Moderna Business Park, Mytholmroyd, Hebden Bridge        HX7 5QQ",Danish Crown Uk Ltd,42500,01/01/2017
"27 Bradford Road, Brighouse, HD6 1RW",Trustees Of J Ilingworth [Deceased],4950,25/03/2017
"Unit 11 Heaton Estate, Bradford Road, Brighouse, HD6 4BW",,6200,01/12/2016
"12B Holdsworth Road (Back), Holmfield, Halifax, HX3 6SN",Newmac Displays Ltd,4150,01/04/2017
"10 Princess Street, Halifax, HX1 1TS",,14250,13/03/2017
"Unit 5, Grantham House, Grantham Road, Halifax             HX3 6PL",,1750,01/04/2017
"61a/63 Halifax Road, Todmorden, OL14 5BB",,3400,22/03/2017
"42/42A Newstead Avenue, Halifax, HX1 4TE",,3800,11/12/2016
"Unit 1 Causey Hall, Dispensary Walk, Halifax, HX1 1QL",Bamford Developments Limited Pension Scheme,3850,01/04/2017
"105A Oak Avenue, Todmorden, OL14 5PE",,4250,18/03/2017
"Long Can  3-10, Ovenden Wood Road, Halifax, HX2 0TQ",Long Can Hall Halifax Ltd,29000,07/09/2016
"Albert Hotel, 3 Albert Street, Hebden Bridge, HX7 8AH",Bertie Barco Ltd,14500,01/04/2017
"14 Bethel Street, Brighouse, HD6 1JN",,6400,01/03/2017
"Unit A2, Lower Ladyship Mills, Old Lane, Halifax              HX3 5QN",Ladyship Manufacturing Ltd,11500,01/04/2017
"10 Dodge Holme Drive, Mixenden, Halifax, HX2 8PE",,2850,25/03/2016
"Dental Laboratory, 2 Bank Street, Brighouse, HD6 1BD",Heat Works Ltd,34250,01/04/2017
"51/53 Stainland Road, Greetland, Halifax, HX4 8BD",Stafford Properties (Developments) Ltd,7500,01/04/2017
"Raven Street Centre Grd Flr, Raven Street, Halifax, HX1 4NB",Himmat Ltd,8000,22/08/2016
"Raven Street Centre 1ST Flr, Raven Street, Halifax, HX1 4NB",Assn Of Islamic Charitable Projects,11000,22/08/2016
"Unit 29 Ab 1ST Floor, Asquith Bottom Works, Water Street, Sowerby Bridge       HX6 3BS",Units To Let [Northern] Ltd,4500,01/11/2016
"Office 3G & Adj Store, Lock Hill Mills, Holmes Road, Sowerby Bridge       HX6 3LD",Protreat Preservation Ltd,5700,05/12/2016
"PH2K, Todmorden Community College, Burnley Road, Todmorden           OL14 7BX",Calderdale Wellbeing,820,06/03/2017
"Unit D1 Richmond House, Caldene Business Park, Burnley Road, Mytholmroyd          HX7 5QJ",Caldene Business Park Ltd,7900,01/04/2017
"Cleveland House, Caldene Business Park, Burnley Road, Mytholmroyd          HX7 5QJ",Caldene Business Park Ltd,28250,01/04/2017
"Calder Suite, 1ST Floor No 4 Warehouse, Canal Wharf, Sowerby Bridge       HX6 2AG",Canal & River Trust,5700,10/02/2017
"Unit 2 Springvale Works, Elland Road, Brighouse, HD6 2RN",Wardray Premise Ltd,62500,01/03/2017
"Hebble Suite, 1ST Floor No 4 Warehouse, Canal Wharf, Sowerby Bridge       HX6 2AG",Canal & River Trust,6700,09/11/2016
"Recording Studio, Basement Level Linden Mill, Linden Road, Hebden Bridge        HX7 7DP",,2175,02/09/2015
"Unit 20/21, Asquith Bottom Mills, Sowerby Bridge, HX6 3BS",Units To Let [Northern] Ltd,5300,16/01/2017
"36 Bridge Gate, Hebden Bridge, HX7 8EX",E.P.I.C Plc,5600,01/04/2017
"15 St Georges Square, Hebden Bridge, HX7 8ET",,11500,15/03/2017
"The Community & Education, Gallery, Dean Clough Mills, Halifax, HX3 5AX",The Arts Charity At Dean Clough,13750,01/04/2017
"Design House Galleries, Dean Clough Mills, Halifax, HX3 5AX",The Arts Charity At Dean Clough,59500,01/04/2017
"Units H1B,C,D,E & F,H2B,H2C, & H3A H Block, Dean Clough, Halifax, HX3 5AX",The Arts Charity At Dean Clough,17000,01/04/2017
"The Ash Tree, 75 Wharf Street, Sowerby Bridge, HX6 2AF",Java Village (Hx) Ltd,25750,18/02/2017
"Unit R3, Tenterfields Business Park, Burnley Road, Luddendenfoot        HX2 6EJ",Brogan Business Parks Ltd,6200,23/12/2016
"Offices Ground & First Floor, The Old Woolcombers Mill, 12/14 Union Street South, Halifax              HX1 2LE",Lambert Roper & Horsfield Ltd,31500,01/01/2017
"Car Sales Site, 199 Pellon Lane, Halifax, HX1 5RL",Ms Cars Halifax Ltd,6300,01/08/2016
"Car Sales Site, 199 Pellon Lane, Halifax, HX1 5RL",,8200,01/08/2016
"Ryburn Suite, 1ST Floor No 4 Warehouse, Canal Wharf, Sowerby Bridge       HX6 2AG",Integro Insurance Brokers Ltd,2250,01/04/2015
"Unit 4A, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",Hebtroco Ltd,7700,20/02/2017
"Exley Park, Park Lane, Siddal, Halifax              HX3 9ED",Planactive Limited,6000,21/09/2016
"Unit 1 Victoria Road, Halifax, HX1 5PT",,17250,01/02/2017
"Unit W1, Tenterfields Business Park, Luddendenfoot, Halifax             HX2 6EQ",,6100,01/03/2017
"Unit 6 White Lee, Burnley Road, Mytholmroyd, Hebden Bridge       HX7 5LN",Thornber Chicks Ltd,12000,01/04/2017
"Units 7 & 8, White Lee Garage, Burnley Road, Mytholmroyd         HX7 5QJ",Thornber Chicks Ltd,28000,01/04/2017
"Laura Mitchell Health Centre, And Well Being Centre, Great Albion Street, Halifax              HX1 1YR",South West Yorkshire Partnership Nhs Foundation Trust,118000,06/01/2016
"Unit 1, New Delight Works, Boothtown Road, Halifax              HX3 6TU",West Yorkshire Windscreens Limited,2850,05/09/2016
"Unit 2A, New Delight Works, Boothtown Road, Halifax              HX3 6TU",,1875,05/09/2016
"Unit 2C, New Delight Works, Boothtown Road, Halifax              HX3 6TU",,770,05/09/2016
"Unit 2B, New Delight Works, Boothtown Road, Halifax              HX3 6TU",,650,05/09/2016
"Unit 2, New Delight Works, Boothtown Road, Halifax              HX3 6TU",,1350,05/09/2016
"Unit 8, Calder Industrial Estate, 370 Bradford Road, Brighouse            HD6 4DJ",,3550,01/12/2016
"Units 1-4, Mile Cross Works, Gibbet Street, Halifax              HX1 4JQ",Specialised Coatings Holdings Ltd,53000,01/11/2015
"Unit 4, 561 Gibbet Street, Halifax, HX2 0AL",,2750,01/10/2016
"Unit 7 Hebble End Mill, Hebble End, Hebden Bridge, HX7 6HJ",,710,01/01/2017
"Unit 16, Hebble End Mill, Hebble End, Hebden Bridge       HX7 6HJ",,1500,01/01/2017
