DfE No,School,Type of establishment,Number of pupils on roll (All pupils),No. eligible for free school meals (All pupils),% eligible for free school meals (All pupils),Number of pupils on roll (Excluding nursery pupils),No. eligible for free school meals (Excluding nursery pupils),% eligible for free school meals (Excluding nursery pupils)
2005,Abbey Park Primary Academy,Academy,210,46,21.9,181,42,23.2
2001,Akroydon Primary Academy,Academy,384,93,24.2,339,82,24.2
5201,All Saints' CE (VA) J & I School,LA Maintained,211,7,3.3,211,7,3.3
2093,Ash Green Community Primary School,LA Maintained,492,140,28.5,394,139,35.3
2040,Bailiffe Bridge J & I School,LA Maintained,208,4,1.9,208,4,1.9
3321,Barkisland CE (VA) Primary School,LA Maintained,205,10,4.9,205,10,4.9
2019,Beech Hill School,Academy,610,119,19.5,514,119,23.2
2063,Bolton Brow Primary Academy,Academy,235,26,11.1,213,23,10.8
2048,Bowling Green Primary School,LA Maintained,159,19,11.9,159,19,11.9
2004,Bradshaw Primary School,Academy,328,30,9.1,328,30,9.1
2053,Burnley Road Academy,Academy,260,30,11.5,224,29,12.9
2042,Carr Green Primary School,LA Maintained,352,25,7.1,315,25,7.9
2068,Castle Hill Primary School,LA Maintained,288,36,12.5,252,32,12.7
2054,Central Street Infant & Nursery School,LA Maintained,69,3,4.3,60,3,5
3001,Christ Church (Pellon) CE (VC) Primary School,LA Maintained,194,58,29.9,194,58,29.9
3323,Christ Church CE (VA) Junior School (Sowerby Bridge),LA Maintained,131,26,19.8,131,26,19.8
2076,Cliffe Hill Community Primary School,LA Maintained,197,51,25.9,180,51,28.3
2059,Colden J & I School,LA Maintained,79,0,0,79,0,0
2006,Copley Primary School,LA Maintained,234,6,2.6,234,6,2.6
2069,"Cornholme J, I & N School",LA Maintained,229,46,20.1,193,39,20.2
2055,Cragg Vale J & I School,LA Maintained,49,0,0,49,0,0
2087,Cross Lane Primary and Nursery School,LA Maintained,320,54,16.9,292,53,18.2
2007,Dean Field Community Primary School,LA Maintained,227,92,40.5,196,87,44.4
3318,"Elland CE (VA) J, I & N School",LA Maintained,215,78,36.3,189,78,41.3
2003,Ferney Lee Primary School,LA Maintained,213,70,32.9,191,61,31.9
2000,Field Lane Primary School,Academy,154,41,26.6,125,33,26.4
3319,Hebden Royd CE (VA) Primary School,LA Maintained,150,5,3.3,136,5,3.7
2058,"Heptonstall J, I & N School",LA Maintained,111,4,3.6,105,4,3.8
7010,Highbury School,LA Maintained,71,19,26.8,66,18,27.3
3331,Holy Trinity Primary School (COEA),Academy,407,50,12.3,407,50,12.3
2050,Holywell Green Primary School,LA Maintained,241,40,16.6,206,33,16
2010,Lee Mount Primary School,LA Maintained,374,74,19.8,341,74,21.7
5204,Lightcliffe CE (VA) Primary School,LA Maintained,421,11,2.6,421,11,2.6
2033,"Ling Bob J, I & N School",LA Maintained,378,123,32.5,301,97,32.2
5207,Longroyde Primary School,LA Maintained,415,64,15.4,383,64,16.7
3014,Luddenden CE School,LA Maintained,205,26,12.7,173,24,13.9
2064,Luddendenfoot Academy,Academy,148,7,4.7,148,7,4.7
2065,Midgley School,LA Maintained,102,3,2.9,102,3,2.9
3332,Moorside Community Primary School,LA Maintained,261,105,40.2,230,94,40.9
2002,Mount Pellon Primary Academy,Academy,540,100,18.5,468,91,19.4
2066,New Road Primary School,LA Maintained,144,28,19.4,144,28,19.4
3010,Norland CE (VC) J & I School,LA Maintained,97,9,9.3,97,9,9.3
2015,Northowram Primary School,LA Maintained,475,19,4,423,18,4.3
2083,Old Earth School,Academy,464,35,7.5,414,35,8.5
2075,Old Town Primary School,LA Maintained,102,5,4.9,102,5,4.9
2017,Parkinson Lane Community Primary School,LA Maintained,572,101,17.7,505,88,17.4
2061,Ripponden J & I School,LA Maintained,222,15,6.8,222,15,6.8
