"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-C-038","Crown Advocate (Lon)","50660","58843","Duty Prosecutor","6.42","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-C-038","Crown Advocate (Nat)","47605","54532","Duty Prosecutor","10.43","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-C-038","Crown Advocate CPSD (Lon)","50660","58843","Duty Prosecutor","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-C-038","Crown Advocate CPSD (Nat)","47605","54532","Duty Prosecutor","7.27","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-C-038","Level A2 (Nat)","15949","19239","Administrative Officer","5.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-C-038","Level B1 (Nat)","20277","25632","Finance Manager","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-C-038","Level B1 (Nat)","20277","25632","Learning and Development Manager","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-C-038","Level B1 (Nat)","20277","25632","Senior Personal Assistant","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-C-038","Level B1 (Nat)","20277","25632","Workforce Officer","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-C-038","Level B2 (Nat)","25972","30313","Area Office Manager","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-C-038","Level B2 (Nat)","25972","30313","HR Advisor","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-C-038","Level D Admin (Nat)","45191","57910","Area Business Manager","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-C-038","Level D Legal (Lon)","48665","63121","Legal Manager","4.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-C-038","Level D Legal (Nat)","45191","57910","Legal Manager","7.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-C-038","Level D Legal (Nat)","45191","57910","Performance Manager","1.00","Operational Delivery"
