ORGANISATION NAME,EFFECTIVE DATE,SERVICE,SUPPLIER NAME,DATE PAID,AMOUNT (�),PURPOSE,TRANSACTION NO.
ROCHDALE BOROUGH COUNCIL,02/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,OFFICE DEPOT UK LIMITED,02/12/2016,6322.4,PROJECTS,V000949548
ROCHDALE BOROUGH COUNCIL,12/12/2016,ECONOMY DIRECTORATE,OFFICE DEPOT UK LIMITED,12/12/2016,1176,ACTIVITIES,V000983302
ROCHDALE BOROUGH COUNCIL,20/12/2016,CHILDREN�S SOCIAL CARE,ADOPTION MATTERS NORTHWEST,20/12/2016,-3060,ADVERTISING,V001044718
ROCHDALE BOROUGH COUNCIL,14/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,MECHPLANT NORTH WEST LIMITED,14/12/2016,528,EQUIPMENT - GENERAL,V001054085
ROCHDALE BOROUGH COUNCIL,02/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,WARNER ENTERTAINMENTS LTD,02/12/2016,1850,EQUIPMENT - GENERAL,V001054296
ROCHDALE BOROUGH COUNCIL,19/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,EMO OIL LIMITED,19/12/2016,32870,TRANSACTIONS-EXPENDITURE,V001059747
ROCHDALE BOROUGH COUNCIL,01/12/2016,PROPERTY AND HIGHWAYS,UNITY PARTNERSHIP LTD,01/12/2016,1676.79,ROADWORKS,V001059912
ROCHDALE BOROUGH COUNCIL,01/12/2016,PROPERTY AND HIGHWAYS,UNITY PARTNERSHIP LTD,01/12/2016,8384.46,CONSULTANT FEES,V001059916
ROCHDALE BOROUGH COUNCIL,12/12/2016,EARLY HELP AND SCHOOLS,IDOX SOFTWARE LTD,12/12/2016,9600,SOFTWARE,V001060180
ROCHDALE BOROUGH COUNCIL,12/12/2016,PHYSICAL DIS & OLDER PEOPLE,TUNSTALL HEALTHCARE (UK) LTD,12/12/2016,1873.5,EQUIPMENT - GENERAL,V001060787
ROCHDALE BOROUGH COUNCIL,12/12/2016,PHYSICAL DIS & OLDER PEOPLE,TUNSTALL HEALTHCARE (UK) LTD,12/12/2016,4950,EQUIPMENT - GENERAL,V001060787
ROCHDALE BOROUGH COUNCIL,01/12/2016,PROPERTY AND HIGHWAYS,UNITY PARTNERSHIP LTD,01/12/2016,10131.92,ROADWORKS,V001061115
ROCHDALE BOROUGH COUNCIL,01/12/2016,PROPERTY AND HIGHWAYS,UNITY PARTNERSHIP LTD,01/12/2016,2280,CONSULTANT FEES,V001061116
ROCHDALE BOROUGH COUNCIL,05/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,ROCHDALE BOROUGHWIDE HOUSING,05/12/2016,4450,CONTRACTED SERVICES,V001061176
ROCHDALE BOROUGH COUNCIL,02/12/2016,ECONOMY DIRECTORATE,ROCHDALE DEVELOPMENT AGENCY,02/12/2016,1600,CONSULTANTS FEES,V001061384
ROCHDALE BOROUGH COUNCIL,01/12/2016,EARLY HELP AND SCHOOLS,BEECH HOUSE SCHOOL LTD,01/12/2016,4826.5,OTHER LA`S - SEN PROVISION,V001061394
ROCHDALE BOROUGH COUNCIL,01/12/2016,EARLY HELP AND SCHOOLS,BEECH HOUSE SCHOOL LTD,01/12/2016,2454.9,OTHER LA`S - SEN PROVISION,V001061395
ROCHDALE BOROUGH COUNCIL,06/12/2016,CHILDREN�S SOCIAL CARE,CARE TODAY CHILDRENS SERVICES,06/12/2016,12400,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V001061799
ROCHDALE BOROUGH COUNCIL,05/12/2016,CHILDREN�S SOCIAL CARE,ALPHA PLUS FOSTERING,05/12/2016,3277.49,FOSTER PARENTS BASIC ALLOWANCE,V001061809
ROCHDALE BOROUGH COUNCIL,23/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,CIVICA UK LIMITED,23/12/2016,650,IT MAINTENANCE,V001062903
ROCHDALE BOROUGH COUNCIL,02/12/2016,PROPERTY AND HIGHWAYS,NPOWER LIMITED,02/12/2016,92984.52,ELECTRICITY,V001063115
ROCHDALE BOROUGH COUNCIL,08/12/2016,PUBLIC HEALTH,PENNINE CARE NHS,08/12/2016,90750,PH PENNINE CARE CONTRACT,V001063190
ROCHDALE BOROUGH COUNCIL,08/12/2016,PUBLIC HEALTH,PENNINE CARE NHS,08/12/2016,355417,PH PENNINE CARE CONTRACT,V001063191
ROCHDALE BOROUGH COUNCIL,01/12/2016,CHILDREN�S SOCIAL CARE,TRAFFORD MBC,01/12/2016,27000,ADOPTION PAYMENTS,V001063234
ROCHDALE BOROUGH COUNCIL,02/12/2016,PHYSICAL DIS & OLDER PEOPLE,MANCHESTER WORKING LIMITED,02/12/2016,8415,MAINTENANCE STAIRLIFTS,V001063362
ROCHDALE BOROUGH COUNCIL,02/12/2016,FINANCE SERVICES,ROSSENDALES,02/12/2016,1366.57,INPUT VAT -  ADJUSTMENTS,V001063368
ROCHDALE BOROUGH COUNCIL,05/12/2016,EARLY HELP AND SCHOOLS,THE TOGETHER TRUST,05/12/2016,4199.36,OTHER LA`S - SEN PROVISION,V001063604
ROCHDALE BOROUGH COUNCIL,05/12/2016,EARLY HELP AND SCHOOLS,THE TOGETHER TRUST,05/12/2016,1312.3,OTHER LA`S - SEN PROVISION,V001063605
ROCHDALE BOROUGH COUNCIL,09/12/2016,ECONOMY DIRECTORATE,TALKTALK BUSINESS,09/12/2016,562.08,TELEPHONE EXPENDITURE,V001063633
ROCHDALE BOROUGH COUNCIL,01/12/2016,CHILDREN�S SOCIAL CARE,EDGE HILL UNIVERSITY,01/12/2016,1240,TRAINING,V001063754
ROCHDALE BOROUGH COUNCIL,02/12/2016,LEARNING DIS & MENTAL HEALTH,MENCAP,02/12/2016,-1391.41,INDIVIDUAL SERVICE FUND,V001063823
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,THE PRINCESS ALEXANDRA HOME FOR THE BLIND,23/12/2016,-1155.14,RESIDENTIAL LONG TERM,V001064738
