Ratepayer Name,Property Address,Propref,Billing Address,RV
,"5 Waterloo Road, Brighouse, HD6 2AN",29008002,,3650
Rapid Fire Extinguishers Ltd,"2 Atlas Mill Road, Brighouse, HD6 1ES",29032002,,3350
,"Atlas Mill Road, Brighouse, HD6 1ES",29032712,,4900
,"Adj 8 Austin Avenue, Brighouse, HD6 2EY",29036700,,2350
,"7 Bethel Street, Brighouse, HD6 1JR",29048007,,7900
,"14 Bethel Street, Brighouse, HD6 1JN",29048014,,4650
,"41 Bethel Street, Brighouse, HD6 1JR",29048041,,4150
,"51 Bethel Street, Brighouse, HD6 1JR",29048051,,5200
,"Rooms 1 & 2, 47 Bethel Street, Brighouse, HD6 1JR",29048710,,3400
,"Adj 27 Bethel Street, Brighouse, HD6 1JR",29048715,,4150
,"7 Birds Royd Lane, Brighouse, HD6 1LQ",29052007,,4050
,"95 Birds Royd Lane, Brighouse, HD6 1NG",29052095,,3550
R H & G Travis & Sons Ltd,"1a Birds Royd Lane, Brighouse, HD6 1LQ",29052713,,5000
Pentaplex Ltd,"Part Ground Floor, Royds House, Birds Royd Lane, Brighouse           HD6 1LQ",29052722,"Laithe Court, 9 Woodhouse Lane, Brighouse, HD6 3TG",2025
,"11 Bradford Road, Brighouse, HD6 1RW",29080011,,11000
H.Marsden (Brighouse) Ltd,"17 Bradford Road, Brighouse, HD6 1RW",29080017,,8200
,"23 Bradford Road, Brighouse, HD6 1RW",29080023,,2100
,"36 Bradford Road, Brighouse, HD6 1RW",29080036,,8700
,"141/143 Bradford Road, Brighouse, HD6 4AD",29080141,,7100
,"147 Bradford Road, Brighouse, HD6 4AS",29080147,,3250
,"255 Bradford Road, Brighouse, HD6 4BN",29080255,,8300
,"Unit 13, Calder Industrial Estate, 370 Bradford Road, Brighouse            HD6 4DJ",29084732,,3500
Ceramix Ltd,"Calder Industrial Park, Bradford Road, Brighouse, HD6 4DJ",29084736,,7200
,"Summerfield Garage, 535 Bradford Road, Bailiff Bridge, Brighouse           HD6 4DL",29084743,,10250
,"10 Bramston Street, Brighouse, HD6 3AA",29088010,,4100
,"Bramston Street, Brighouse, HD6 3AA",29088701,,8700
The Quality Koi Company Ltd,"Sugden Memorial Hall, Bridge End, Brighouse, HD6 3DH",29092700,"Bridge End, Brighouse, HD6 3DN",9500
,"Railway Arch No. 3, Bridge End, Brighouse, HD6 3DH",29092703,,2850
Watershed Claims Services Ltd,"Wellington House, Briggate, Brighouse, HD6 1DN",29100700,"Wellington House, Briggate, Brighouse, HD6 1DN",8100
Brighouse Assembly Rooms Ltd,"Masonic Hall, Adj 72 Briggate, Brighouse, HD6 1EL",29100707,,8600
League Publications Ltd,"1st Floor Wellington House, Briggate, Brighouse, HD6 1DN",29100709,,10250
,"Model Railway Club, Cawcliffe Road, Brighouse, HD6 2HP",29144700,,1575
,"4 Church Street, Brighouse, HD6 3NF",29160004,,6300
,"5 Church Street, Brighouse, HD6 3NF",29160005,,3850
,"10 Church Street, Brighouse, HD6 3NF",29160010,,2950
The Cliffe Hall Club Ltd,"Cliffe Hall, 9 Cliffe Road, Brighouse, HD6 1HE",29172009,,3750
,"Cliffe Works, Cliffe Road, Brighouse, HD6 1HE",29172701,,4550
,"Cromwell Lake, Elland Road, Brighouse, HD6 2RG",29236705,,7900
Randal & Co Accountants Ltd,"415 Halifax Road, Brighouse, HD6 2PD",29296415,,4550
,"609 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",29084609,,4000
Bailiff Bridge Dental Practice Ltd,"629 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",29084629,,5800
,"Grey Shed   Springvale Works, Elland Road, Brighouse, HD6 2RN",29112703,,10000
,"Rastrick Tennis Club, Carr Green Lane, Rastrick, Brighouse           HD6 3LT",29132701,,8900
,"110 Commercial Street, Brighouse, HD6 1AQ",29196110,,7800
,"128 Crowtrees Lane, Brighouse, HD6 3NH",29200128,,2950
,"12 Garden Road, Brighouse, HD6 2AX",29264012,,3750
,"Gooder Lane, Brighouse, HD6 1HT",29272702,,5500
,"The Mushroom, Gooder Street, Brighouse, HD6 1AT",29272707,,1950
J B Hill & Sons Ltd,"Halifax Road, Brighouse, HD6 2QJ",29296700,"Hillcrest Quarry, Halifax Road, Brighouse, HD6 2PH",7100
,"15 Lightcliffe Road, Brighouse, HD6 2DR",29384015,,4150
,"23 Lightcliffe Road, Brighouse, HD6 2DR",29384023,,3700
,"25 Lightcliffe Road, Brighouse, HD6 2DR",29384025,,2950
,"29 Lightcliffe Road, Brighouse, HD6 2DR",29384029,,4450
,"Lightcliffe Road, Brighouse, HD6 2DJ",29384704,,4300
,"6 Market Street, Brighouse, HD6 1AP",29404006,,6500
,"13 Market Street, Brighouse, HD6 1AP",29404013,,5200
,"Owler Ings Road, Brighouse, HD6 1EJ",29452701,,2550
Pond Quarry Stone Co Ltd,"Pond Quarry, Halifax Road, Brighouse, HD6 2PB",29296705,"Harley Head Farm, Hipperholme, Halifax, HX3 8BW",8700
,"S/O 6 Hey Street, Brighouse, HD6 4AT",29320701,,1850
,"97 Highfield Road, Rastrick, Brighouse, HD6 3JA",29328097,,1725
,"46 Old Lane, Brighouse, HD6 1TU",29448046,,2325
Bob's Carpet Emporium Ltd,"1 Owler Ings Road, Brighouse, HD6 1EJ",29452001,,7100
J & E Computers Ltd,"3 Owler Ings Road, Brighouse, HD6 1EJ",29452003,,5200
,"Owler Ings Road, Brighouse, HD6 1EJ",29452704,,5500
,"Unit 1 Bull Fold Garage, Owler Ings Road, Brighouse, HD6 1EJ",29452707,,4750
,"7 Park Street, Brighouse, HD6 1JL",29460007,,8000
,"Unit 2, 42 Park Street, Brighouse, HD6 1JL",29460706,,10500
,"Unit 3, 42 Park Street, Brighouse, HD6 1JL",29460707,,11750
Hardcastle Bros (Brighouse) Ltd,"24 Rastrick Common, Brighouse, HD6 3DR",29480024,"22 Rastrick Common, Brighouse, HD6 8DR",2125
,"Unit 1, 27 Rastrick Common, Brighouse, HD6 3DW",29480027,,6400
,"Castlefields Golf Club, Rastrick Common, Brighouse, HD6 3EL",29480701,,3000
,"39a Rastrick Common, Brighouse, HD6 3DW",29480705,,3050
Clean Car Ltd,"16 Thornhill Bridge Lane, Brighouse, HD6 4AW",29564016,,5100
,"Thornhill Bridge Lane, Brighouse, HD6 4AW",29564700,,8100
,"25 Thornhill Bridge Lane, Brighouse, HD6 4AW",29564701,,7800
Jackie Oller Ltd,"Hole Bottom Farm, Thornhills Beck Lane, Brighouse, HD6 4JQ",29572710,,4500
,"R/O Church Farm, 147 Towngate, Clifton, Brighouse           HD6 4HP",29588702,,2000
,"1 Victoria Road, Bailiff Bridge, Brighouse, HD6 4DX",29600700,,2800
Owram Estates Ltd,"Widex Works, Wakefield Road, Brighouse, HD6 1PE",29608715,"Robin Hood Works, Wakefield Rd, Brighouse, HD6 1PG",7400
,"36 Well Green Lane, Brighouse, HD6 2NS",29620036,,2500
,"Unit 1, Wood Street, Brighouse, HD6 1PW",29648700,,7000
,"1 Coronation Street, Elland, HX5 0DF",56052001,,2700
Rex Cinema (Elland) Ltd,"Coronation Street, Elland, HX5 0DF",56052702,"Eller Howe Farm, Lindale, Grange-Over-Sands, Cumbria, LA11 6NA",6850
,"Dewsbury Road, Elland, HX5 9AY",56064700,,5000
,"Pinfold Guest House, Dewsbury Road, Upper Edge, Elland              HX5 9BE",56064711,,5500
,"40 Elizabeth Street, Elland, HX5 0LD",56076040,,4450
D D Goody Ltd,"79 Elizabeth Street, Elland, HX5 0JH",56076079,,3850
,"Fast Lane Buildings, Elizabeth Street, Elland, HX5 0JH",56076710,,6500
,"10 Bridgefield, Elland Bridge, Elland, HX5 0SQ",56080702,,4550
,"Bridgefield Works, Elland Bridge, Elland, HX5 0SQ",56080706,,6000
,"Elland Lane, Elland, HX5 9ER",56084706,,8500
,"Quebec Works, Elland Lane, Elland, HX5 9DU",56084714,,9000
,"12 Elsinore Avenue, Elland, HX5 0LT",56092012,,5900
J S Morton & Sons,"Caravan Park, Elland Hall Farm, Exley Lane, Elland              HX5 0SN",56096700,,1325
,"The Wharf, Gas Works Lane, Elland, HX5 9HH",56104703,,4450
,"Spata Ironworks, Halifax Road, Elland, HX5 0SH",56116711,,1650
Mel Green Construction Ltd,"Adj Parkfield Garage, George Street, Elland, HX5 0NE",56108700,,1175
A & G Motor Engineers Ltd,"Parkfield Garage, George Street, Elland, HX5 0NE",56108701,,11250
,"Smith House Avenue, Brighouse, HD6 2JZ",29520700,,10500
D.B.Dental Equipment Ltd,"51/53 Smithy Carr Lane, Brighouse, HD6 4BG",29528702,,11250
,"1 Spout House Lane, Brighouse, HD6 2PL",29536001,,3550
,"Woodside Garage, Halifax Road, Elland, HX5 0SH",56116712,,4500
