DfE No,School,Number of pupils on roll (All pupils),No. eligible for free school meals (All pupils),% eligible for free school meals (All pupils),Number of pupils on roll (Excluding nursery pupils),No. eligible for free school meals (Excluding nursery pupils),% eligible for free school meals (Excluding nursery pupils)
2005,Abbey Park Primary Academy,221,56,25.3,192,49,25.5
2019,Beech Hill School,618,136,22,515,122,23.7
2063,Bolton Brow Primary Academy,243,27,11.1,212,23,10.8
2004,Bradshaw Primary School,307,25,8.1,307,25,8.1
2053,Burnley Road Academy,256,39,15.2,223,38,17
2000,Field Lane Primary School,135,42,31.1,118,40,33.9
3331,Holy Trinity Primary School (COEA),413,49,11.9,413,49,11.9
2064,Luddendenfoot Academy,137,5,3.6,137,5,3.6
2002,Mount Pellon Primary Academy,583,137,23.5,507,137,27
2083,Old Earth School,459,29,6.3,408,27,6.6
3328,Sacred Heart Catholic Primary School (Sowerby Bridge),187,37,19.8,187,37,19.8
5200,Salterlee Academy Trust,102,3,2.9,102,3,2.9
2056,Scout Road Academy,104,4,3.8,104,4,3.8
2094,Siddal Primary School,270,44,16.3,223,33,14.8
5203,"St John's (CE) Primary Academy, Clifton",210,2,1,210,2,1
3322,St John's CE Primary School (Rishworth),131,2,1.5,131,2,1.5
3306,St Malachy's Catholic Primary School,209,51,24.4,188,51,27.1
2049,The Greetland Academy,421,22,5.2,421,22,5.2
4035,The Halifax Academy,64,5,7.8,64,5,7.8
2027,Wainstalls School,158,12,7.6,158,12,7.6
2031,Whitehill Community Academy,620,75,12.1,548,72,13.1
,Calderdale,"5,848",802,13.7,"5,368",758,14.1
,Note:,,,,,,
,LA Maintained Schools Data Excluded.,,,,,,
