Account Holder1,Liable From,Rateable Value,% Mandatory relief,% Discretionary relief, % small business rate relief,Empty property,Empty From,Address,Addr2,Addr3,Addr4,Postcode,Exemption reason,Description Code,Property Description,Property reference
LADBROKES BETTING & GAMING LTD ,01/09/2000,44500,0,0,0,,,UNIT 11,SEACROFT GREEN SHOPPING CENTRE,SEACROFT CRESCENT,LEEDS,LS14 6PA,,CS,SHOP AND PREMISES,2084080365169
LADBROKES BETTING & GAMING LTD ,01/04/2000,21000,0,0,0,,,250/252 ROUNDHAY ROAD,LEEDS,,,LS8 5AQ,,CS2,BETTING SHOP AND PREMISES,2091338355101
LADBROKES BETTING & GAMING LTD ,01/04/2000,24750,0,0,0,,,LADBROKES,SIDNEY STREET,LEEDS,,LS2 7JB,,CS,SHOP AND PREMISES,2054016325315
LADBROKES BETTING & GAMING LTD ,01/04/2000,30500,0,0,0,Y,16/03/2014,FF & SF,15 COMMERCIAL STREET,LEEDS,,LS1 6AL,,CO,OFFICES AND PREMISES,2054269345412
LADBROKES BETTING & GAMING LTD ,17/10/2005,5800,0,0,0,,,164A TOWN STREET,STANNINGLEY,PUDSEY,,LS28 6ER,,CS,SHOP AND PREMISES,2321683314479
LADBROKES BETTING & GAMING LTD ,14/06/2006,43000,0,0,0,,,19 ARNDALE CENTRE,OTLEY ROAD,HEADINGLEY,LEEDS,LS6 2UE,,CS2,BETTING SHOP AND PREMISES,2121165311761
LADBROKES BETTING & GAMING LTD ,01/05/2008,40500,0,0,0,,,UNIT 7 AT,39 BRAMLEY DISTRICT CENTRE,LEEDS,,LS13 2ET,,CS2,BETTING SHOP AND PREMISES,2194047312953
LADBROKES BETTING & GAMING LTD ,20/10/2009,32000,0,0,0,,,UNIT 7B,CROSSGATES SHOPPING CENTRE,STATION ROAD,CROSSGATES LEEDS,LS15 8ET,,CS2,BETTING SHOP AND PREMISES,2111514489545
LADBROKES BETTING & GAMING LTD ,01/04/2000,9500,0,0,0,,,11 KIRKGATE,OTLEY,,,LS21 3HN,Listed Building,CS2,BETTING SHOP AND PREMISES,2232513318028
LADBROKES BETTING & GAMING LTD ,13/12/2004,17500,0,0,0,,,246/248 EASTERLY ROAD,GIPTON,LEEDS,,LS8 3ES,,CS2,BETTING SHOP AND PREMISES,2090499417969
LADBROKES BETTING & GAMING LTD ,01/04/2000,14750,0,0,0,,,1 STONEGATE ROAD,MEANWOOD,LEEDS,,LS6 4HY,Listed Building,CS,SHOP AND PREMISES,2141523343591
LADBROKES BETTING & GAMING LTD ,01/07/2004,72000,0,0,0,,,29 BOAR LANE,LEEDS,,,LS1 5DA,Listed Building,CS,Shop and Premises,2050176328062
LADBROKES BETTING & GAMING LTD ,19/07/2013,16500,0,0,0,,,112B HARROGATE ROAD,CHAPEL ALLERTON,LEEDS,,LS7 4NY,,CS2,Betting Shop and Premises,2040737313846
LADBROKES BETTING & GAMING LTD ,04/04/2012,19000,0,0,0,,,"UNIT 1, MORLEY MARKET",QUEEN STREET,MORLEY,LEEDS,LS27 8DS,,CS,Shop and Premises,2292705603792
LLOYDS PHARMACY LTD ,01/12/2005,10000,0,0,0,,,283/285 TOWN STREET,BRAMLEY,LEEDS,,LS13 3JT,,CS,SHOP AND PREMISES,2191666316262
LLOYDS PHARMACY LTD ,01/12/2005,24750,0,0,0,,,MANOR PARK PHARMACY,BELLMOUNT CLOSE,BRAMLEY,LEEDS,LS13 2UW,,CS,SHOP AND PREMISES,2191872360199
LLOYDS PHARMACY LTD ,01/12/2005,7100,0,0,0,,,125 HAREHILLS ROAD,HAREHILLS,LEEDS,,LS8 5BW,,CS,SHOP AND PREMISES,2090719428296
LLOYDS PHARMACY LTD ,01/12/2005,4050,0,0,0,,,54 OATLAND LANE,LEEDS,,,LS7 1SP,,CS,SHOP AND PREMISES,2014272321220
LLOYDS PHARMACY LTD ,01/12/2005,11000,0,0,0,,,166 WOODHOUSE LANE,LEEDS,,,LS2 9HB,,CS,SHOP AND PREMISES,2011791317664
LLOYDS PHARMACY LTD ,01/12/2005,5800,0,0,0,,,399 HAREHILLS LANE,HAREHILLS,LEEDS,,LS9 6AP,,CS,SHOP AND PREMISES,2030714351883
LLOYDS PHARMACY LTD ,01/12/2005,10000,0,0,0,,,PHARMACY AT 12 DEVONSHIRE AVENUE,ROUNDHAY,LEEDS,,LS8 1AY,,CS,SHOP AND PREMISES,2200461427988
LLOYDS PHARMACY LTD ,01/12/2005,29000,0,0,0,,,396 HARROGATE ROAD,MOORTOWN,LEEDS,,LS17 6PY,,CS,SHOP AND PREMISES,2160746354064
GUISELEY& DIST FACT WORKERS CLUB &  INSTITUTE,01/10/2000,6300,0,0,95,,,6 TOWN STREET,GUISELEY,LEEDS,,LS20 9DT,,CL2,CLUB AND PREMISES,2222145437151
YEADON AMATEUR OPERATIC & DRAMATIC SOCIETY,01/04/2000,3250,80,0,0,,,CEMETERY CHAPEL,CEMETERY ROAD,YEADON,LEEDS,LS19 6AH,Industrial Property,CW3,STORE AND PREMISES,2222152355020
WORLEYPARSONS INFRATRUTURE & ENVIRONMENT LTD,05/05/2009,39000,0,0,0,,,MOORFIELD COURT,11A ALMA ROAD,HEADINGLEY,LEEDS,LS6 2AH,,CO,OFFICES AND PREMISES,2120016310273
REDWOOD ENGINEERING & FABRICATION LTD,01/06/2013,16500,0,0,0,,,UNIT B2 SCOTCH PARK TRADING ESTATE,FORGE LANE,LEEDS,,LS12 2PY,Industrial Property,IF3,WORKSHOP AND PREMISES,2104069309338
REDWOOD ENGINEERING & FABRICATION LTD,01/06/2013,23250,0,0,0,,,UNITS B3 & L,SCOTCH PARK TRADING ESTATE,FORGE LANE,LEEDS,LS12 2PY,Industrial Property,IF3,WORKSHOP AND PREMISES,2104069655060
GREEN AYURVEDA WELLNESS CENTRE & HOLISTIC SPA LTD,31/12/2011,15500,0,0,0,,,UNIT 452,BIRCH PARK,THORP ARCH ESTATE,WETHERBY,LS23 7FG,Industrial Property,IF3,HEALTH SPA AND PREMISES,2253380361513
MANNING STAINTON RENTALS & PROPERTY MANAGAMENT LTD,26/04/2013,7600,0,0,0,,,40 QUEEN STREET,MORLEY,LEEDS,,LS27 9BR,,CS,SHOP AND PREMISES,2292705314811
MANNING STAINTON RENTALS & PROPERTY MANAGEMENT LTD,12/10/2010,23500,0,0,0,,,9 ALLERTON AVENUE,MOORTOWN,LEEDS,,LS17 6RE,,CS,SHOP AND PREMISES,2165138481943
CHAPEL ALLERTON LAWN TENNIS & SQUASH CLUB,01/04/2000,59000,80,10,0,,,CHAPEL ALLERTON LAWN TENNIS &,SQUASH CLUB,WENSLEY AVENUE,CHAPEL ALLERTON LEEDS,LS7 3QX,,LS7,TENNIS CENTRE AND PREMISES,2041741353412
SACKVILLE UKPEC1 LEEDS (GP) LTD & THREADNEEDLE LTD,16/04/2012,10750,0,0,0,,,CENTRE MANAGEMENT SUITE,"THE CORE, THE HEADROW",LEEDS,,LS1 6JD,,CO,OFFICES AND PREMISES,2054445330465
"MOHAMMAD MUNIR, ABID KHAN & ZAKA MAJEED",08/08/2013,3750,0,0,0,Y,08/08/2013,"1ST FLOOR,UNIT 8",HIGH MILL BUSINESS CENTRE,HIGH STREET,MORLEY,LS27 8AG,,CO,OFFICES AND PREMISES,2292620426811
