OrganisationLabel,OrganisationURI,EffectiveDate,ContractReference,ContractTitle,OrganisationalUnit,Description,ProcurementCategory,StartDate,EndDate,ReviewDate,OptionToExtend,ExtensionPeriod,ContractValue,IrrecoverableVAT,SupplierName,CharityCommissionNumber,SMESupplier,VCSESupplier,ContactName,ProcessType
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,26-Jan,FI94664271615867-MCDONALD,Leeds Lights 2016,CITY DEVELOPMENT,,,12/12/2016,,,,,"£5,850.00",,"21CC GROUP LTD, Hopetoun Sawmill, Hopetoun Estate, EDINBURGH, EH30 9SL",,b) Micro,,Neil McDonald,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,26-Jan,PR316442719INV11249L,"PA System For Christmas lights ""switch on""",CITY DEVELOPMENT,,,15/12/2016,,,,,"£5,580.00",,"3D PRODUCTIONS LTD, Unit 8 Lotherton Way, Garforth, LEEDS  WEST YORKSHIRE, LS25 2JY",,b) Micro,,Jamie Campbell,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,26-Jan,CO0181427244CE261116-05,Hire of Santa for Christmas Events,CITY DEVELOPMENT,,,20/12/2016,,,,,"£5,010.00",,"4TH COMING EVENTS ENTERTAINMENTS LTD, C/O Leon & Company, 100 High Ash Drive  Alwoodley, LEEDS, LS17 8RE",,Other/Not known,,Gary Chadwick,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,26-Jan,AC0252427241486,Supply and iInstallation of Easy Lift,ENVIRONMENT & HOUSING,,,20/12/2016,,,,,"£5,804.17",,"ACCESS LIFT CONSULTANTS LTD, 5 Wickham Avenue, Boston Spa, WETHERBY, LS23 6NJ",,b) Micro,,Mandy Grace,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,26-Jan,AC028742726LCCTV16-002,Christmas and New Year 1016/17 A5 Postcard Distribution,ENVIRONMENT & HOUSING,,,22/12/2016,,,,,"£10,307.67",,"ACE LEAFLET DISTRIBUTION & PRINT LTD, 96 Oldfield Lane, Wortley, LEEDS, LS12 4BR",,Other/Not Known,,Ellie Salvidge,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,26-Jan,AC138142725134368,Electrical distribution for Christkindlemarkt 2016,CITY DEVELOPMENT,,,21/12/2016,,,,,"£9,280.00",,"ACORN SCAFFOLDING (YORKSHIRE) LTD, Moor Lane Trading Estate, Moxon Way Sherburn In Elmet, LEEDS, LS25 6ES",,d) Medium,,Ian Cairns,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,26-Jan,AD933X4271024506,Mobile Screens and Equipment Hire,CITY DEVELOPMENT,,,06/12/2016,,,,,"£5,450.00",,"ADI UK LTD, Pittman Court Pittman Way, Fulwood, PRESTON, PR2 9ZG",,d) Medium,,Neil McDonald,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,26-Jan,FA00244273228286224,Kirkgate Market Refurbishment,CITY DEVELOPMENT,,,28/12/2016,,,,,"£7,047.00",,"AECOM LIMITED, Aecom House 63-77 Victoria Street, NULL, ST ALBANS, AL1 3ER",,e) Large,,Stacey Walton,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,26-Jan,AC400542734428793,Supply of Fencing,ENVIRONMENT & HOUSING,,,30/12/2016,,,,,"£9,867.00",,"ASC METALS LINCOLN LTD T/A ACE ENGINEERS, Low Moor Mills, Albert Road, MORLEY  LEEDS, LS27 8LD",,c) Small,,Sarah Spencer,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,26-Jan,AT00864272616033913,Kirkgate Market Refurbishment,CITY DEVELOPMENT,,,22/12/2016,,,,,"£6,757.38",,"ATKINS LIMITED, Atkins Shared Serv Facility Po Box 329, Kings Court  Charles Hastings Way, WORCESTER, WR5 1TX",,e) Large,,Stacey Walton,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,26-Jan,BE118242706BBSI-20407,Associate School Improvement,CHILDRENS SERVICES,,,02/12/2016,,,,,"£6,975.00",,"B&C BEAL CONSULTANCY LIMITED, 12 Wentworth Drive, Emley, HUDDERSFIELD, HD8 9SL",,Other/Not Known,,Nurinda Turrell,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,26-Jan,BR205542719337474,Legal Fees,INSURANCE,,,15/12/2016,,,,,"£24,814.59",,"BROWNE JACOBSON, Mowbray House, Castle Meadow Road, NOTTINGHAM, NG2 1BJ",,e) Large,,Philippa Elliott,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,26-Jan,BU117142718792/16GB,Mint UK Subscription,CITIZENS AND COMMUNITIES,,,14/12/2016,,,,,"£6,650.00",,"BUREAU VAN DIJK ELECTRONIC PUBLISHING, Northburgh House 10 Northburgh Street, NULL, LONDON, EC1V 0PP",,d) Medium,,Beverley Rice,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,26-Jan,CO228642727109597,Traffic Data Collection Materials,CITY DEVELOPMENT,,,23/12/2016,,,,,"£12,797.00",,"C A TRAFFIC LIMITED, Griffin Lane, NULL, AYLESBURY, HP19 8BP",,c) Small,,Richard Tinker,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,26-Jan,CA2938427276003436823,Off-Site Processing of Benefit Charges,CITIZENS AND COMMUNITIES,,,23/12/2016,,,,,"£78,602.80",,"CAPITA BUSINESS SERVICES LTD, Po Box 212  Faverdale Industrial Estate, NULL, DARLINGTON, DL1 9HN",,e) Large,,Deborah Russell,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,26-Jan,CA259242706405,Residential Care,CHILDRENS SERVICES,,,02/12/2016,,,,,"£17,378.70",,"CARE IN MIND RESIDENTIAL, 2 Hilliards Court, Chester Business Park, CHESTER, CH4 9PX",,Other/Not Known,,Clare Lynam,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,26-Jan,CA569642713E07/11/2016,Residential Care,ADULT SOCIAL CARE,,,09/12/2016,,,,,"£62,565.51",,"CAREMARK (LEEDS), Northwest Business Park, 1 Servia Hill, LEEDS, LS6 2QH",,b) Micro,,Tony Bailey,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,26-Jan,CE023X427096000051164,Deposit for Exhibition Space,CITY DEVELOPMENT,,,05/12/2016,,,,,"£5,000.00",,"CENTAUR COMMUNICATIONS LTD, Wells Point   79 Wells Street, NULL, LONDON, W1T 3QN",,b) Micro,,Claire Heap,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,26-Jan,CL0105427330102086875,Advertising space for White Rose Energy Campaign,ENVIRONMENT & HOUSING,,,29/12/2016,,,,,"£5,089.60",,"CLEAR CHANNEL UK LTD, Orion Gate Guildford Road, Woking, SURREY, GU22 7NJ",,e) Large,,Peter Leighton-Jones,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,26-Jan,CO163342706RRY019729,Radio campaign- Airtime on Heart Yorkshire,CITY DEVELOPMENT,,,02/12/2016,,,,,"£7,852.50",,"COMMUNICORP UK LTD, Laser House  Waterfront Quay, Salford Quays, MANCHESTER, M50 3XW",,Other/Not known,,Patricia Skelton,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,26-Jan,CO0036427064729,Armley Moor Health Centre and Woodhouse Health Centre - Rent Payments,CITY DEVELOPMENT,,,02/12/2016,,,,,"£47,769.31",,"COMMUNITY VENTURES COMPANY (NO.1) LTD, 4340 Park Approach, Thorpe Park, LEEDS, LS15 8GB",,b) Micro,,Martin Oldfield,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,26-Jan,CO21464270925,Work done under CHY's Housing Service Level Agreement with the Housing Growth Team,CITY DEVELOPMENT,,,05/12/2016,,,,,"£15,165.00",,"CONSTRUCTION & HOUSING, 27 - 33 Brander Street, Gipton, LEEDS, LS9 6QH",,Other/Not Known,,Claire Simms,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,26-Jan,ZZ32754271812DEC-08JAN,Nursing Care,ADULT SOCIAL CARE,,,14/12/2016,,,,,"£6,311.21",,"CROFT HOUSE, 52a High Street, Gawthorpe, OSSETT, WF5 9RL",,Other/Not Known,,Tony Bailey,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,26-Jan,DA26564271218640,"Creation of Font for Brand and
Additional European Language Characters",CITY DEVELOPMENT,,,08/12/2016,,,,,"£6,460.00",,"DALTON MAAG LTD, ",,Other/Not Known,,Kat Handy,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,26-Jan,DC027042712010,Theming for Refurbishment and New Display Areas at Tropical World,ENVIRONMENT & HOUSING,,,08/12/2016,,,,,"£44,000.00",,"DCR THEMING LIMITED, 4 Dalmorton Road, Chorlton-Cum-Hardy, MANCHESTER, M21 0YQ",,Other/Not known,,Liz Bradley,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,26-Jan,DI0317427271568,To Commission Two Films for the Dying Matters Display,CITY DEVELOPMENT,,,23/12/2016,,,,,"£6,700.00",,"DIGIFISH LIMITED, Brass Castle Hill, 80 Market Street, YORK, YO42 2AB",,b) Micro,,Jacqueline Howson,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,26-Jan,DI060442720DG4026,Platforms for Aireborough & Pudsey Leisure Centres,CITY DEVELOPMENT,,,16/12/2016,,,,,"£7,928.66",,"DIVE GYM EQUIPTMENT LIMITED, 9 The Drive, Blackmore End, WHEATHAMSTEAD, AL4 8LE",,b) Micro,,Patricia Skelton,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,26-Jan,DU016842720700995855,Secure Welfare Placements,CHILDRENS SERVICES,,,16/12/2016,,,,,"£17,955.00",,"DURHAM COUNTY COUNCIL, Revenues & Benefits, Po Box 238, STANLEY, DH8 1FP",,e) Large,,Gillian Gale,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,26-Jan,EA88634273410028,TDC2 Harehills Lane: Public Art Work,CITY DEVELOPMENT,,,30/12/2016,,,,,"£7,000.00",,"EAST STREET ARTS, Patrick Studios, St Marys Lane, LEEDS, LS9 7EH",,b) Micro,,Carole Osborne,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,26-Jan,EN0245427122016-158,2 x shows and Breakfast with Santa entertainment,CITY DEVELOPMENT,,,08/12/2016,,,,,"£8,750.00",,"ENTWORKS LRD, Unit 2a Alexandra Industrial Park, Fountain Street     Morley, LEEDS, LS27 0AA",,Other/Not known,,Neil McDonald,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,26-Jan,EU52034271805/11/16 MEDICAL,Medical Provision for Multiple Locations,ENVIRONMENT & HOUSING,,,14/12/2016,,,,,"£7,728.00",,"EUROFIRE UK, 76 The Looms, Parkgate, CHESHIRE, CH64 6RF",,d) Medium,,Samantha Sole,Quotes
