Department Family,Entity,Date,Expenses Type,Expense Area, Supplier ,Transaction Number, Total 
Department of Health,The Christie NHS Foundation Trust,23/02/2017,Drugs,Drugs, ALCURA UK LIMITED ,0000542456," 50,533.92 "
Department of Health,The Christie NHS Foundation Trust,23/02/2017,Drugs,Drugs, ALCURA UK LIMITED ,0000542464,"-103,977.97 "
Department of Health,The Christie NHS Foundation Trust,23/02/2017,Drugs,Drugs, ALCURA UK LIMITED ,0000545733," 93,546.84 "
Department of Health,The Christie NHS Foundation Trust,23/02/2017,Drugs,Drugs, ALCURA UK LIMITED ,0000544377," 84,434.19 "
Department of Health,The Christie NHS Foundation Trust,23/02/2017,Drugs,Drugs, ALCURA UK LIMITED ,0000544379," 51,361.56 "
Department of Health,The Christie NHS Foundation Trust,23/02/2017,Drugs,Drugs, ALCURA UK LIMITED ,0000544382,"-41,052.58 "
Department of Health,The Christie NHS Foundation Trust,23/02/2017,Drugs,Drugs, ALCURA UK LIMITED ,0000544380," 2,894,641.65 "
Department of Health,The Christie NHS Foundation Trust,02/02/2017,PET Scans - Dec 16,Christie Medical Physics, ALLIANCE MEDICAL RADIOPHARMACY LIMITED ,0000543024," 38,511.30 "
Department of Health,The Christie NHS Foundation Trust,09/02/2017,Drugs,Drugs, BAXTER HEALTHCARE LTD ,0000542472," 57,624.00 "
Department of Health,The Christie NHS Foundation Trust,09/02/2017,Drugs,Drugs, BAXTER HEALTHCARE LTD ,0000540508," 387,204.85 "
Department of Health,The Christie NHS Foundation Trust,09/02/2017,Drugs,Drugs, BAXTER HEALTHCARE LTD ,0000541002," 376,747.07 "
Department of Health,The Christie NHS Foundation Trust,09/02/2017,Drugs,Drugs, BAXTER HEALTHCARE LTD ,0000541525," 365,282.78 "
Department of Health,The Christie NHS Foundation Trust,09/02/2017,Drugs,Drugs, BAXTER HEALTHCARE LTD ,0000542253," 362,044.03 "
Department of Health,The Christie NHS Foundation Trust,09/02/2017,Drugs,Drugs, BAXTER HEALTHCARE LTD ,0000542254," 223,361.71 "
