Contract Title,Council,Description,Start Date,End Date,Review Date,Option To Extend,Available Extension,Estimated Total Contract Value,Irrecoverable VAT,Contact Details,Organisational Unit,Contract Reference,Category,Supplier Name,Company Registration/ Charity Commission No - Information not currently collected,Supplier Classification,Process Type
Legal Services,Leeds City Council,411-Legal Disbursements,17/09/2014,,,,,"15,435",,Karen Fieldhouse,ENVIRONMENT & HOUSING,47593,,"Christopher Baker, Arden Chambers, 20 Bloomsbury Square, LONDON, WC1A 2NS",,Individual,Other
Legal Services,Leeds City Council,411-Legal Disbursements,12/09/2014,,,,,"9,678",,Ann Calvert,CHILDRENS SERVICES,217795,,"John Hayes, 10 Park Square, , LEEDS, LS1 2LH",,Individual,Other
Agency staff,Leeds City Council,8-Agency Staff,05/09/2014,,,,,"6,938",,Karen Brocklesby,CENTRAL & CORPORATE,593408,,"Rullion It Plus Limited, Po Box 47, Trafalgar House, ALTRINCHAM  CHESHIRE, WA14 1FG",,Large Organisation (250+ employees),Other
Agency staff,Leeds City Council,8-Agency Staff,26/09/2014,,,,,"5,520",,Karen Brocklesby,CENTRAL & CORPORATE,5896,,"Rullion It Plus Limited, Po Box 47, Trafalgar House, ALTRINCHAM  CHESHIRE, WA14 1FG",,Large Organisation (250+ employees),Other
"Health & Safety Consultants for",Leeds City Council,259-Consultancy Services,26/09/2014,,,,,"7,000",,Samantha Sole,CITY DEVELOPMENT,93852694,,"Capita Property & Infrastructure Ltd, P O Box 212, Faverdale Industrial Estate, DARLINGTON, DL1 9HN",,Large Organisation (250+ employees),Received Quotes
Redcare Vision-annual rental,Leeds City Council,214-Computer Software & Equipment,05/09/2014,,,,,"5,619",,Janet Clarke,ENVIRONMENT & HOUSING,20020989,,"Bt Redcare, Pp M3042r Colindale House, Edgware Road, COLINDALE, NW9 6LB",,Large Organisation (250+ employees),Other
Residential - Care,Leeds City Council,570-Nursing Home,24/09/2014,,,,,"7,256",,,ADULT SOCIAL CARE,COMM. CARE 001210,,"Tru Limited, Margaret House, 342 Haydock Lane  Haydock, ST HELENS MERSEYSIDE, WA11 9UY",,Large Organisation (250+ employees),Other
Day Centre - Care,Leeds City Council,564-Day Centre,08/09/2014,,,,,"6,343",,Jim Ojelade,JCS FOR PEOPLE WITH LEARNING DISABILITIE,AMA2178055,,"Nas Services Limited, Church House, Church Road Filton, BRISTOL, BS34 7BD",,Large Organisation (250+ employees),Other
Residential - Care,Leeds City Council,580-Residential,10/09/2014,,,,,"12,771",,Jim Ojelade,JCS FOR PEOPLE WITH LEARNING DISABILITIE,INV000331,,"Cambian Signposts Ltd, 4th Floor Waterfront Building, Chancellors Road, LONDON, W6 9RU",,Large Organisation (250+ employees),Other
Residential - Care,Leeds City Council,580-Residential,12/09/2014,,,,,"12,771",,Jim Ojelade,JCS FOR PEOPLE WITH LEARNING DISABILITIE,INV000240,,"Cambian Signposts Ltd, 4th Floor Waterfront Building, Chancellors Road, LONDON, W6 9RU",,Large Organisation (250+ employees),Other
