Organisation Name (A),Department (B),Service Cat Label (C ),Purpose of Spend (D),Expenditure CIPFA Sub Group (E ),Supplier (F),Supplier Reference (G),Pay Date (H),Transaction Number (I),Net Amount (J),Grant to VCSE? (K),Charity Number (L),Card Transaction (M),Irrecoverable VAT (N)
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Ren Grant : 1996 Act,CH22,A  ROLLINSON & SON (BUILDERS) LTD,A0002297, 11/05/2017,HMR0280012,701.67,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Ren Grant : 1996 Act,CH22,A  ROLLINSON & SON (BUILDERS) LTD,A0002297, 11/05/2017,HMR0280014,2266.54,N,N/A,N,N/A
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,CD14,A H INTERIOR (NELSON)  LIMITED,A0046261, 11/05/2017,EST0280137,4000,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,Other Expenses,4705,REDACTED - PERSONAL DATA,A0091173, 11/05/2017,HMR0280011,514.99,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,Grants/Contributions,4739,ACE CASE LIMITED,A0091046, 18/05/2017,HMR0280201,10000,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Consultants Fees,4401,ACS LTD,A0090312, 25/05/2017,AAS0280379,650,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Rents,2301,AGE UK LANCASHIRE,A0089644, 04/05/2017,AAS0279781,27.83,N,1142294,N,N/A
Pendle Borough Council,Housing Regeneration Services,,Paid in the Year,PD03,REDACTED - PERSONAL DATA,A0090596, 04/05/2017,HMR0279794,487.2,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,4422,ALLPAY LIMITED,A0084372, 11/05/2017,AAS0280131,10.99,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,4422,ALLPAY LIMITED,A0084372, 11/05/2017,AAS0280130,20.57,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,4422,ALLPAY LIMITED,A0084372, 11/05/2017,AAS0280128,30.58,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,4422,ALLPAY LIMITED,A0084372, 11/05/2017,AAS0280125,71.54,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,4422,ALLPAY LIMITED,A0084372, 11/05/2017,AAS0280123,1725.49,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,Other Expenses,4705,REDACTED - PERSONAL DATA,A0091156, 18/05/2017,HMR0280203,23.76,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,Other Expenses,4705,REDACTED - PERSONAL DATA,A0091156, 11/05/2017,HMR0280003,95.76,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Consultants Fees,4401,ANTHONY COLLINS SOLICITORS LLP,A0052334, 04/05/2017,DAL0279927,774.5,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Other Expenses,4705,ASPEN VALLEY KENNELS & CATTERY,A0022106, 11/05/2017,OPS0280042,997.43,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Other Expenses,4705,AUDIOWORKS NORTH WEST LIMITED,A0050233, 25/05/2017,DAL0280322,469,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Capital Costs,Capital : Payments,CD14,AVIVA INSURANCE  LIMITED,A0058665, 25/05/2017,DAL0280292,67.45,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 25/05/2017,HED0280417,12.65,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 11/05/2017,PCO0279886,34,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 25/05/2017,PCO0280412,85.46,N,N/A,N,N/A
