Property Reference Number,Full Property Address,Current Rateable Value,Primary Liable party name,Account Start Date,Occupied relief,Empty relief,Empty relief start date,Empty exemption,Exemption start date
1743850004023,"13b, Bridge Street, Swinton, M27 4DN",6800,110% Interiors Limited,01/09/2016,Small Business Relief England,,,,
1192050022076,"1st Floor, 22, Exchange Quay, Trafford Road, Salford, M5 3EQ",15000,121 Accident Management Ltd,25/06/2012,,,,Empty,23/01/2014
1746070002017,"Office/Reception Pt 1st Flr, Faulkner House , Elm Street, Swinton, Manchester, M27 6AJ",4250,121 Financial Planning Ltd,01/12/2013,Small Business Relief England,,,,
1743670489009,"Part Grd Flr 489-491, Bolton Road, Swinton, Salford, M27 8QT",910,123 Legal Assist Ltd,01/05/2012,,,,,
0174811000200A,"Hall And Premises, Lynton Road, Swinton, Manchester, M27 6DD",4250,12th Swinton Scout Group,01/04/1992,Mandatory,,,,
105590184001,"184,  , Monton Road, Eccles, Manchester, M30 9LF",23000,199 Take Away (Uk) Ltd,06/04/2016,,,,,
1314110551034,"551, Liverpool Street, Salford, M6 5GY",4300,1st Call Security Ltd,01/04/2009,Small Business Relief England,,,,
1857150199012,"Opp 199, Manchester Road, Swinton, Manchester, M27 4TY",6200,1st Clifton Scout Group,01/04/1992,Mandatory,,,,
1744990217217,"217, Chorley Road, Swinton, Manchester, M27 6AZ",6400,1st Food Station Ltd,23/02/2011,Small Business Relief England,,,,
859110001012,"Leathercraft 2nd Floor, 1a, Kent Street, Salford, M7 1UL",2100,21st Security Limited,01/04/2007,,,,Empty,01/04/2011
426770125532,"2nd Irlam Methodist, Fiddlers Lane, Irlam, Manchester, M44 6HN",3700,2nd Irlam Scout Group,01/04/1992,Mandatory,,,,
1744990379001,"379, Chorley Road, Swinton, Manchester, M27 9UQ",5500,3 X Software Limited,01/04/1992,Small Business Relief England,,,,
751330049025,"49, Leicester Road, Salford, M7 4AS",11500,360 Telecoms Ltd,01/06/2017,,,,,
