Org Code Desc,Dept Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Invoice Num,Amount
AIREDALE NHS FOUNDATION TRUST,BRADFORD PATHOLOGY JV,BRADFORD PATHOLOGY JV,19-Jul-2017,LABORATORY REAGENTS,BRADFORD PATHOLOGY JOINT VENTURE,BECKMAN COULTER UK LTD,1382061,"78,208.00"
AIREDALE NHS FOUNDATION TRUST,BRADFORD PATHOLOGY JV,BRADFORD PATHOLOGY JV,19-Jul-2017,LABORATORY REAGENTS,BRADFORD PATHOLOGY JOINT VENTURE,BECKMAN COULTER UK LTD,1382061,"15,641.60"
AIREDALE NHS FOUNDATION TRUST,BRADFORD PATHOLOGY JV,BRADFORD PATHOLOGY JV,19-Jul-2017,LABORATORY REAGENTS,BRADFORD PATHOLOGY JOINT VENTURE,BECKMAN COULTER UK LTD,1382061,"-15,641.60"
AIREDALE NHS FOUNDATION TRUST,INTEGRATED CARE GROUP,MEDICAL MANAGEMENT,07-Jul-2017,NON HEALTHCARE SERVICES FROM FOUNDATION TRUSTS,PROVIDER PROVIDER,BRADFORD DISTRICT CARE TRUST,193825,"25,626.00"
AIREDALE NHS FOUNDATION TRUST,INTEGRATED CARE GROUP,MEDICAL MANAGEMENT,07-Jul-2017,B4 ADMIN & CLERICAL,MEDICAL MANAGEMENT,BRADFORD DISTRICT CARE TRUST,194047,"27,215.00"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,07-Jul-2017,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,DAVRIC CONSTRUCTION PROJECTS LTD,1616/2265,"15,297.58"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,07-Jul-2017,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,DAVRIC CONSTRUCTION PROJECTS LTD,1616/2265,"22,946.37"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,07-Jul-2017,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,DAVRIC CONSTRUCTION PROJECTS LTD,1616/2265,"3,059.52"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,07-Jul-2017,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,DAVRIC CONSTRUCTION PROJECTS LTD,1616/2265,"4,589.27"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,07-Jul-2017,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,DAVRIC CONSTRUCTION PROJECTS LTD,1616/2265,"-3,059.52"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,14-Jul-2017,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,DAVRIC CONSTRUCTION PROJECTS LTD,1616/2272,"49,988.48"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,14-Jul-2017,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,DAVRIC CONSTRUCTION PROJECTS LTD,1616/2272,"74,982.71"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,14-Jul-2017,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,DAVRIC CONSTRUCTION PROJECTS LTD,1616/2272,"124,971.19"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,14-Jul-2017,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,DAVRIC CONSTRUCTION PROJECTS LTD,1616/2272,"9,997.70"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,14-Jul-2017,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,DAVRIC CONSTRUCTION PROJECTS LTD,1616/2272,"14,996.54"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,14-Jul-2017,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,DAVRIC CONSTRUCTION PROJECTS LTD,1616/2272,"-124,971.19"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,14-Jul-2017,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,DAVRIC CONSTRUCTION PROJECTS LTD,1616/2272,"-9,997.70"
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,CARDIOLOGY,14-Jul-2017,MED SURG EQPT LEASING,CARDIOLOGY,DE LAGE LANDEN LEASING LTD,1015042892,"23,920.18"
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,CARDIOLOGY,14-Jul-2017,MED SURG EQPT LEASING,CARDIOLOGY,DE LAGE LANDEN LEASING LTD,1015042892,"4,784.04"
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,CARDIOLOGY,14-Jul-2017,MED SURG EQPT LEASING,CARDIOLOGY,DE LAGE LANDEN LEASING LTD,1015042892,"-4,784.04"
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,CARDIOLOGY,14-Jul-2017,MED SURG EQPT LEASING,CARDIOLOGY,DE LAGE LANDEN LEASING LTD,1015042892,"4,784.04"
AIREDALE NHS FOUNDATION TRUST,FACILITIES,ESTATES,14-Jul-2017,GAS,UTILITIES,GAZPROM ENERGY,5175351,"37,456.05"
AIREDALE NHS FOUNDATION TRUST,FACILITIES,ESTATES,14-Jul-2017,GAS,UTILITIES,GAZPROM ENERGY,5175351,"7,491.21"
AIREDALE NHS FOUNDATION TRUST,INTEGRATED CARE GROUP,PHARMACY,21-Jul-2017,DRUGS,DRUGS,HEALTHCARE AT HOME LTD,OP/6348787,"26,058.36"
AIREDALE NHS FOUNDATION TRUST,TELEMEDICINE,TELEMEDICINE,07-Jul-2017,OTHER GENERAL SUPPLIES AND SERVICES,TELEMEDICINE,IMMEDICARE LLP,IMM00609,"10,000.00"
AIREDALE NHS FOUNDATION TRUST,TELEMEDICINE,TELEMEDICINE,07-Jul-2017,OTHER GENERAL SUPPLIES AND SERVICES,TELEMEDICINE,IMMEDICARE LLP,IMM00609,"15,000.00"
AIREDALE NHS FOUNDATION TRUST,TELEMEDICINE,TELEMEDICINE,07-Jul-2017,OTHER GENERAL SUPPLIES AND SERVICES,TELEMEDICINE,IMMEDICARE LLP,IMM00609,"2,000.00"
AIREDALE NHS FOUNDATION TRUST,TELEMEDICINE,TELEMEDICINE,07-Jul-2017,OTHER GENERAL SUPPLIES AND SERVICES,TELEMEDICINE,IMMEDICARE LLP,IMM00612,"48,000.00"
AIREDALE NHS FOUNDATION TRUST,TELEMEDICINE,TELEMEDICINE,07-Jul-2017,OTHER GENERAL SUPPLIES AND SERVICES,TELEMEDICINE,IMMEDICARE LLP,IMM00612,"96,000.00"
AIREDALE NHS FOUNDATION TRUST,TELEMEDICINE,TELEMEDICINE,07-Jul-2017,OTHER GENERAL SUPPLIES AND SERVICES,TELEMEDICINE,IMMEDICARE LLP,IMM00612,"9,600.00"
AIREDALE NHS FOUNDATION TRUST,TELEMEDICINE,TELEMEDICINE,07-Jul-2017,OTHER GENERAL SUPPLIES AND SERVICES,TELEMEDICINE,IMMEDICARE LLP,IMM00614,"15,000.00"
AIREDALE NHS FOUNDATION TRUST,TELEMEDICINE,TELEMEDICINE,07-Jul-2017,OTHER GENERAL SUPPLIES AND SERVICES,TELEMEDICINE,IMMEDICARE LLP,IMM00614,"10,000.00"
AIREDALE NHS FOUNDATION TRUST,TELEMEDICINE,TELEMEDICINE,07-Jul-2017,OTHER GENERAL SUPPLIES AND SERVICES,TELEMEDICINE,IMMEDICARE LLP,IMM00614,"2,000.00"
AIREDALE NHS FOUNDATION TRUST,CORPORATE SERVICES,STRATEGY & BUSINESS DEVELOPMENT,07-Jul-2017,OTHER GENERAL SUPPLIES AND SERVICES,STRATEGY & DEV,IMMEDICARE LLP,IMM00618,"12,000.00"
AIREDALE NHS FOUNDATION TRUST,CORPORATE SERVICES,STRATEGY & BUSINESS DEVELOPMENT,07-Jul-2017,OTHER GENERAL SUPPLIES AND SERVICES,STRATEGY & DEV,IMMEDICARE LLP,IMM00618,"24,000.00"
AIREDALE NHS FOUNDATION TRUST,CORPORATE SERVICES,STRATEGY & BUSINESS DEVELOPMENT,07-Jul-2017,OTHER GENERAL SUPPLIES AND SERVICES,STRATEGY & DEV,IMMEDICARE LLP,IMM00618,"2,400.00"
AIREDALE NHS FOUNDATION TRUST,TELEMEDICINE,TELEMEDICINE,28-Jul-2017,OTHER GENERAL SUPPLIES AND SERVICES,TELEMEDICINE,IMMEDICARE LLP,IMM00627,"10,000.00"
AIREDALE NHS FOUNDATION TRUST,TELEMEDICINE,TELEMEDICINE,28-Jul-2017,OTHER GENERAL SUPPLIES AND SERVICES,TELEMEDICINE,IMMEDICARE LLP,IMM00627,"15,000.00"
AIREDALE NHS FOUNDATION TRUST,TELEMEDICINE,TELEMEDICINE,28-Jul-2017,OTHER GENERAL SUPPLIES AND SERVICES,TELEMEDICINE,IMMEDICARE LLP,IMM00627,"2,000.00"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,14-Jul-2017,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,INTEGRATED HEALTH PROJECTS JOINT VENTURE,6461/12,"507,240.82"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,14-Jul-2017,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,INTEGRATED HEALTH PROJECTS JOINT VENTURE,6461/12,"101,448.16"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,28-Jul-2017,OTHER CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1018050587/,"79,148.05"
AIREDALE NHS FOUNDATION TRUST,CORPORATE SERVICES,FINANCE,07-Jul-2017,SALES OF GOODS,FINANCE DEPARTMENT,NHS SUPPLY CHAIN,1018061192,-908.35
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,07-Jul-2017,OTHER CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1018061192,"98,733.80"
AIREDALE NHS FOUNDATION TRUST,CORPORATE SERVICES,FINANCE,14-Jul-2017,SALES OF GOODS,FINANCE DEPARTMENT,NHS SUPPLY CHAIN,1018066428,-667.44
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,14-Jul-2017,OTHER CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1018066428,"72,547.54"
AIREDALE NHS FOUNDATION TRUST,CORPORATE SERVICES,FINANCE,19-Jul-2017,SALES OF GOODS,FINANCE DEPARTMENT,NHS SUPPLY CHAIN,1018072706,-890.59
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,19-Jul-2017,OTHER CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1018072706,"89,058.99"
AIREDALE NHS FOUNDATION TRUST,CORPORATE SERVICES,FINANCE,28-Jul-2017,SALES OF GOODS,FINANCE DEPARTMENT,NHS SUPPLY CHAIN,1018076444,-880.02
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,28-Jul-2017,OTHER CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1018076444,"95,654.90"
AIREDALE NHS FOUNDATION TRUST,FACILITIES,ESTATES,07-Jul-2017,ENGINEERING  CONTRACTS,ESTATES,NHS SUPPLY CHAIN,2018001109,"66,873.95"
AIREDALE NHS FOUNDATION TRUST,FACILITIES,ESTATES,07-Jul-2017,ENGINEERING  CONTRACTS,ESTATES,NHS SUPPLY CHAIN,2018001109,"63,017.92"
AIREDALE NHS FOUNDATION TRUST,FACILITIES,ESTATES,07-Jul-2017,ENGINEERING  CONTRACTS,ESTATES,NHS SUPPLY CHAIN,2018001109,"61,442.50"
AIREDALE NHS FOUNDATION TRUST,FACILITIES,ESTATES,07-Jul-2017,ENGINEERING  CONTRACTS,ESTATES,NHS SUPPLY CHAIN,2018001109,"1,575.42"
AIREDALE NHS FOUNDATION TRUST,FACILITIES,ESTATES,07-Jul-2017,ENGINEERING  CONTRACTS,ESTATES,NHS SUPPLY CHAIN,2018001109,"-66,873.95"
AIREDALE NHS FOUNDATION TRUST,FACILITIES,ESTATES,07-Jul-2017,ENGINEERING  CONTRACTS,ESTATES,NHS SUPPLY CHAIN,2018001109,"-63,017.92"
AIREDALE NHS FOUNDATION TRUST,FACILITIES,ESTATES,07-Jul-2017,ENGINEERING  CONTRACTS,ESTATES,NHS SUPPLY CHAIN,2018001109,315.08
AIREDALE NHS FOUNDATION TRUST,FACILITIES,ESTATES,07-Jul-2017,ENGINEERING  CONTRACTS,ESTATES,NHS SUPPLY CHAIN,2018001109,"12,288.50"
AIREDALE NHS FOUNDATION TRUST,FACILITIES,ESTATES,07-Jul-2017,ENGINEERING  CONTRACTS,ESTATES,NHS SUPPLY CHAIN,2018001109,-315.08
AIREDALE NHS FOUNDATION TRUST,FACILITIES,ESTATES,07-Jul-2017,ENGINEERING  CONTRACTS,ESTATES,NHS SUPPLY CHAIN,2018001109,"-12,288.50"
AIREDALE NHS FOUNDATION TRUST,INTEGRATED CARE GROUP,PHARMACY,14-Jul-2017,DRUGS,DRUGS,ROCHE PRODUCTS LTD,1321953500,"36,527.22"
AIREDALE NHS FOUNDATION TRUST,INTEGRATED CARE GROUP,PHARMACY,28-Jul-2017,DRUGS,DRUGS,ROCHE PRODUCTS LTD,1321956201,"27,213.77"
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,RADIOLOGY,07-Jul-2017,X-RAY EQUIPMENT : PURCHASES,RADIOLOGY,SIEMENS HEALTH CARE,1051025651,"95,527.53"
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,RADIOLOGY,07-Jul-2017,X-RAY EQUIPMENT : PURCHASES,RADIOLOGY,SIEMENS HEALTH CARE,1051025651,"19,105.51"
AIREDALE NHS FOUNDATION TRUST,FACILITIES,FACILITIES,19-Jul-2017,EXTERNAL CONTRACTS : CATERING,CATERING,SODEXO LTD TA SODEXO HEALTHCARE SERVICES,9900331711,"147,542.29"
AIREDALE NHS FOUNDATION TRUST,FACILITIES,FACILITIES,19-Jul-2017,EXTERNAL CONTRACTS : CATERING,CATERING,SODEXO LTD TA SODEXO HEALTHCARE SERVICES,9900331711,"29,508.46"
AIREDALE NHS FOUNDATION TRUST,FACILITIES,FACILITIES,19-Jul-2017,EXTERNAL CONTRACTS : CATERING,CATERING,SODEXO LTD TA SODEXO HEALTHCARE SERVICES,9900331711,"-29,508.46"
