Body_Name,Body,Payment Date,Transaction Number,Department,Supplier Name,Supplier Post Code,Expenditure Category,Net Amount
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20141202,CHAPS,V-Central Items,SPARKEN HILL ACADEMY,,976-Short Term Creditors-Systems,52.3000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20141204,FP,C-Community Services,TILE MEDIA LTD,,121-Training Course Fees,990.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20141204,FP,C-Community Services,TILE MEDIA LTD,,121-Training Course Fees,10.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20141216,CHAPS,F-C & A - Central,NOTTINGHAM EQUAL-COMMUNITIES OF INDENTITY GRANT,,450-Grants,57202.2500000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20141217,CHAPS,C-Community Services,UTILISOFT LIMITED,,456-Specialists Fees,100000.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20141224,CHAPS,V-Central Items,HMRC,,REDACTED OTHER SPEND,72000.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20141229,FP,C-Community Services,GRAINE D'EUROPE,,464-Show Services,360.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20141229,FP,C-Community Services,GRAINE D'EUROPE,,464-Show Services,5.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20141230,CHAPS,V-Central Items,PREMIER PROPERTY LAWYERS,,REDACTED OTHER SPEND,67000.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20141231,FP,R-Resources,JDEMART.COM,,437-IT Equipment,10.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20141231,FP,R-Resources,JDEMART.COM,,437-IT Equipment,621.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20150101,P-Card,F-C & A - Central,A 2 B CARS NOTTINGHAM,NG16 2NG,515-Paymts to Foster Parents,20.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20150101,P-Card,F-C & A - Central,A 2 B CARS NOTTINGHAM,NG16 2NG,515-Paymts to Foster Parents,19.6000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20150101,P-Card,F-C & A - Central,ALDI,NG5 6BJ,412-Provisions,82.7800000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20150101,P-Card,F-C & A - Central,AMAZON  MKTPLCE EU-UK,L2338,408-Materials General,14.7500000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20150101,P-Card,G-C & A - Over 18's,AO RETAIL LIMITED,BL6  6QQ,401-Operational Equipment,207.5000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20150101,P-Card,F-C & A - Central,B & M RETAIL,NG5  6AD,514-Children in Care Paymnts,4.4700000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20150101,P-Card,C-Community Services,B & Q,NG2  1RU,408-Materials General,33.1700000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20150101,P-Card,E-C & A  - Schools,B&M RETAIL LTD,NG2  3GZ,408-Materials General,2.4900000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20150101,P-Card,C-Community Services,CO-OP GROUP 065041,NG8  2DH,408-Materials General,73.7500000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20150101,P-Card,F-C & A - Central,FACEBOOK BYD6E7A5S2,2,457-Publicity/Mrktng/Advertg,223.7400000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20150101,P-Card,P-Royal Centre,FACEBOOK C37RR6J492,2,457-Publicity/Mrktng/Advertg,311.1600000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20150101,P-Card,E-C & A  - Schools,IKEA SACAT,NG16 2RP,408-Materials General,45.8300000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20150101,P-Card,C-Community Services,LONGDALE SVS STN,NG15 9HN,300-Fuel/Oil/Tyres/Spares,58.4500000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20150101,P-Card,V-Central Items,NOTTINGHAM TENNIS CENT,NG7 2QH,REDACTED OTHER SPEND,-100.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20150101,P-Card,G-C & A - Over 18's,OFFICE DEPOT,SP10 4JZ,426-Stationery,186.9000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20150101,P-Card,F-C & A - Central,OFFICE DEPOT,SP10 4JZ,426-Stationery,40.8900000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20150101,P-Card,G-C & A - Over 18's,OFFICE DEPOT,SP10 4JZ,426-Stationery,1.0300000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20150101,P-Card,G-C & A - Over 18's,OFFICE DEPOT,SP10 4JZ,519-Adult Services,9.9600000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20150101,P-Card,R-Resources,OFFICE DEPOT,SP10 4JZ,426-Stationery,40.3200000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20150101,P-Card,F-C & A - Central,OFFICE DEPOT,SP10 4JZ,150-Other Indirect Expenses,88.9800000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20150101,P-Card,C-Community Services,OFFICE DEPOT,SP10 4JZ,426-Stationery,31.7200000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20150101,P-Card,F-C & A - Central,PAK FOODS,NG2 4HJ,412-Provisions,29.5400000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20150101,P-Card,N-Development & Growth - Services,PAYPAL  NATIONWIDEA,L2449,240-Fixtures & Fittings,120.7900000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20150101,P-Card,F-C & A - Central,PLUSNET PLC 0845 14002,S14BY,436-Telephones,25.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20150101,P-Card,F-C & A - Central,TESCO STORE 2960,NG1 3QE,417-Contract Catering,5.4000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20150101,P-Card,F-C & A - Central,TESCO STORES 6439,NG5 6FZ,412-Provisions,4.1700000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20150101,P-Card,V-Central Items,THE BOOK PEOPLE,GU7 1UU,REDACTED OTHER SPEND,499.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20150101,P-Card,F-C & A - Central,THE NEW ART EXCHANGE L,NG7 6BE,408-Materials General,408.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20150101,P-Card,R-Resources,THE PAPER COMPANY,PR5 8AJ,426-Stationery,178.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20150101,P-Card,C-Community Services,WWW.ARCO.CO.UK,HU1 2SJ,420-Protective Clothing/Unif,99.9800000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20150101,P-Card,R-Resources,WWW.CIPFA.ORG.UK,WC2N 6RL,121-Training Course Fees,151.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20150101,P-Card,C-Community Services,WWW.MISCO.CO.UK,NN8  6GS,401-Operational Equipment,101.6800000000
