Org Code Desc,Dept Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Invoice Num,Amount
AIREDALE NHS FOUNDATION TRUST,INTEGRATED CARE GROUP,MEDICAL MANAGEMENT,27-Jan-2017,B8A QUALIFIED NURSE,MEDICAL MANAGEMENT,BRADFORD DISTRICT CARE TRUST,192790,"83,736.00"
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,DIAGNOSTIC SERVICES,20-Jan-2017,NON HEALTHCARE SERVICES FROM FOUNDATION TRUSTS,PROVIDER PROVIDER,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,294047,"47,188.00"
AIREDALE NHS FOUNDATION TRUST,CORPORATE SERVICES,MEDICAL TRAINING,06-Jan-2017,EXTERNAL CONSULTANCY FEES,MEDICAL TRAINING,CHKS LTD,6049000797,"30,000.00"
AIREDALE NHS FOUNDATION TRUST,CORPORATE SERVICES,MEDICAL TRAINING,06-Jan-2017,EXTERNAL CONSULTANCY FEES,MEDICAL TRAINING,CHKS LTD,6049000797,"30,000.00"
AIREDALE NHS FOUNDATION TRUST,CORPORATE SERVICES,MEDICAL TRAINING,06-Jan-2017,EXTERNAL CONSULTANCY FEES,MEDICAL TRAINING,CHKS LTD,6049000797,"6,000.00"
AIREDALE NHS FOUNDATION TRUST,CORPORATE SERVICES,MEDICAL TRAINING,06-Jan-2017,EXTERNAL CONSULTANCY FEES,MEDICAL TRAINING,CHKS LTD,6049000797,"6,000.00"
AIREDALE NHS FOUNDATION TRUST,CORPORATE SERVICES,MEDICAL TRAINING,06-Jan-2017,EXTERNAL CONSULTANCY FEES,MEDICAL TRAINING,CHKS LTD,6049000797,"-6,000.00"
AIREDALE NHS FOUNDATION TRUST,CORPORATE SERVICES,MEDICAL TRAINING,06-Jan-2017,EXTERNAL CONSULTANCY FEES,MEDICAL TRAINING,CHKS LTD,6049000797,"-6,000.00"
AIREDALE NHS FOUNDATION TRUST,RESERVES,RESERVES,18-Jan-2017,COMPUTER SOFTWARE / LICENSE  FEES,RESERVES,CIVICA UK LTD,C/PS149077,"31,700.00"
AIREDALE NHS FOUNDATION TRUST,RESERVES,RESERVES,18-Jan-2017,COMPUTER SOFTWARE / LICENSE  FEES,RESERVES,CIVICA UK LTD,C/PS149077,"6,340.00"
AIREDALE NHS FOUNDATION TRUST,FACILITIES,ESTATES,06-Jan-2017,GAS,UTILITIES,CORONA ENERGY LTD,11503913,"23,865.50"
AIREDALE NHS FOUNDATION TRUST,FACILITIES,ESTATES,06-Jan-2017,GAS,UTILITIES,CORONA ENERGY LTD,11503913,"4,773.10"
AIREDALE NHS FOUNDATION TRUST,FACILITIES,ESTATES,06-Jan-2017,GAS,UTILITIES,CORONA ENERGY LTD,11587298,"32,423.04"
AIREDALE NHS FOUNDATION TRUST,FACILITIES,ESTATES,06-Jan-2017,GAS,UTILITIES,CORONA ENERGY LTD,11587298,"6,484.61"
AIREDALE NHS FOUNDATION TRUST,FACILITIES,ESTATES,18-Jan-2017,GAS,UTILITIES,CORONA ENERGY LTD,11667390,"44,363.81"
AIREDALE NHS FOUNDATION TRUST,FACILITIES,ESTATES,18-Jan-2017,GAS,UTILITIES,CORONA ENERGY LTD,11667390,"8,872.76"
AIREDALE NHS FOUNDATION TRUST,INTEGRATED CARE GROUP,MEDICAL MANAGEMENT,27-Jan-2017,AGENCY NURSING,MEDICAL MANAGEMENT,HB RETINUE LTD,ANHST1662,"22,520.90"
AIREDALE NHS FOUNDATION TRUST,INTEGRATED CARE GROUP,MEDICAL MANAGEMENT,27-Jan-2017,AGENCY NURSING,MEDICAL MANAGEMENT,HB RETINUE LTD,ANHST1720,"46,134.36"
AIREDALE NHS FOUNDATION TRUST,INTEGRATED CARE GROUP,MEDICAL MANAGEMENT,27-Jan-2017,AGENCY NURSING,MEDICAL MANAGEMENT,HB RETINUE LTD,ANHST1770,"30,836.43"
