Property Address,PROPREF,DATE_START,RV as at March 2014
"5 Waterloo Road, Brighouse, HD6 2AN",29008002,01/04/2007,3650
"Armytage Road, Brighouse, HD6 1UQ",29020714,31/10/2013,1525
"Beckside Works, Armytage Road, Brighouse, HD6 1PH",29020720,01/04/2011,2550
"Arthur Street, Brighouse, HD6 1PY",29028701,27/02/2010,2950
"2 Atlas Mill Road, Brighouse, HD6 1ES",29032002,01/04/2007,3350
"4 Atlas Mill Road, Brighouse, HD6 1ES",29032005,01/05/2013,3800
"Atlas Mill Road, Brighouse, HD6 1ES",29032702,01/04/2010,4000
"Atlas Mill Road, Brighouse, HD6 1ES",29032704,11/04/2008,1900
"Atlas Mill Road, Brighouse, HD6 1ES",29032712,01/04/2007,4900
"Unit 7 Atlas Mill, Atlas Mill Road, Brighouse, HD6 1ES",29032725,01/04/2010,4900
"Unit 5 Atlas Mill, Atlas Mill Road, Brighouse, HD6 1ES",29032731,01/06/2012,5500
"Unit 1, Atlas Mill Road, Brighouse, HD6 1ES",29032739,01/02/2011,6400
"Unit 1A, Atlas Mill Road, Brighouse, HD6 1ES",29032740,05/04/2011,5800
"Adj 8 Austin Avenue, Brighouse, HD6 2EY",29036700,01/04/2007,2350
"7 Bethel Street, Brighouse, HD6 1JR",29048007,01/04/2007,7900
"9 Bethel Street, Brighouse, HD6 1JR",29048009,11/02/2013,6800
"14 Bethel Street, Brighouse, HD6 1JN",29048014,01/04/2009,4650
"Part Fairway House, 20 Bethel Street, Brighouse, HD6 1JN",29048020,01/08/2009,6100
"21 Bethel Street, Brighouse, HD6 1JR",29048021,27/03/2009,7600
"24 Bethel Street, Brighouse, HD6 1JN",29048024,01/04/2007,10000
"33 Bethel Street, Brighouse, HD6 1JR",29048033,01/10/2011,8100
"39 Bethel Street, Brighouse, HD6 1JR",29048039,08/08/2009,4150
"41 Bethel Street, Brighouse, HD6 1JR",29048041,01/04/2007,4150
"43 Bethel Street, Brighouse, HD6 1JR",29048043,27/08/2011,8600
"51 Bethel Street, Brighouse, HD6 1JR",29048051,01/04/2007,5200
"53 Bethel Street, Brighouse, HD6 1JR",29048053,01/05/2012,8500
"57 Bethel Street, Brighouse, HD6 1JR",29048057,01/04/2007,6600
"10 Bethel Street, Brighouse, HD6 1JN",29048702,12/08/2012,7800
"22 West Park Street, Brighouse, HD6 1DU",29048703,20/12/2012,6900
"31 Bethel Street, Brighouse, HD6 1JR",29048704,18/09/2012,6100
"Room 1, 37 Bethel Street, Brighouse, HD6 1JR",29048706,01/04/2012,2000
"Room 4, 37 Bethel Street, Brighouse, HD6 1JR",29048707,25/06/2007,1525
"Rooms 1 & 2, 47 Bethel Street, Brighouse, HD6 1JR",29048710,01/04/2007,3400
"Rooms 6 & 6A, 47 Bethel Street, Brighouse, HD6 1JR",29048711,01/04/2007,2750
"Adj 27 Bethel Street, Brighouse, HD6 1JR",29048715,01/04/2007,4150
"16 Bethel Street, Brighouse, HD6 1JN",29048723,01/10/2012,4900
"Fairway House, 20 Bethel Street, Brighouse, HD6 1JN",29048728,19/06/2010,9700
"7 Birds Royd Lane, Brighouse, HD6 1LQ",29052007,01/04/2007,4050
"45 Birds Royd Lane, Brighouse, HD6 1NG",29052045,04/01/2012,4450
"95 Birds Royd Lane, Brighouse, HD6 1NG",29052095,01/04/2007,7400
"48 Birds Royd Lane, Brighouse, HD6 1NG",29052701,01/04/2010,8900
"1a Birds Royd Lane, Brighouse, HD6 1LQ",29052713,01/04/2007,5000
"Part Ground Floor, Royds House, Birds Royd Lane, Brighouse           HD6 1LQ",29052722,01/04/2007,2025
"Princess Works, Birds Royd Lane, Brighouse, HD6 1LH",29052730,01/04/2007,3100
"Princess Works, Birds Royd Lane, Brighouse, HD6 1LH",29052733,01/04/2007,5600
"Office 2 Ground Floor, Princess Works, Birds Royd Lane, Brighouse            HD6 1LH",29052736,01/04/2007,2950
"3C Heywoods Industrial Park, Birds Royd Lane, Brighouse, HD6 1LQ",29052743,01/12/2009,7500
"3B Heywoods Industrial Park, Birds Royd Lane, Brighouse, HD6 1LQ",29052744,27/09/2012,8700
"Office 1 Ground Floor, Princess Works, Birds Royd Lane, Brighouse            HD6 1LH",29052748,01/05/2011,920
"Unit 3A, Heywoods Industrial Park, Birds Royd Lane, Brighouse            HD6 1NA",29052755,01/04/2011,11000
"Unit 3D, Heywoods Industrial Park, Birds Royd Lane, Brighouse            HD6 1NA",29052756,27/02/2013,4700
"Unit 5, Prince Of Wales Mill, Birds Royd Lane, Brighouse            HD6 1LQ",29052760,15/01/2012,9600
"Unit 28 Birkby House, Birkby Lane, Brighouse, HD6 4JJ",29056724,01/10/2013,1975
"Bailiff Bridge Bowling Club, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4EN",29056728,01/04/2010,710
"Unit 24 Birkby House, Birkby Lane, Brighouse, HD6 4JJ",29056736,01/06/2009,1950
"25 Bonegate Road, Brighouse, HD6 1TQ",29064025,01/04/2007,3400
"3b Bonegate Road, Brighouse, HD6 1TQ",29064702,01/04/2007,5800
"3A Bonegate Road, Brighouse, HD6 1TQ",29064704,01/04/2007,3150
"2 Bracken Road, Brighouse, HD6 2HW",29078002,01/04/2007,470
"11 Bradford Road, Brighouse, HD6 1RW",29080011,01/04/2007,11000
"15 Bradford Road, Brighouse, HD6 1RW",29080013,30/07/2013,9900
"17 Bradford Road, Brighouse, HD6 1RW",29080017,01/04/2007,8200
"19 Bradford Road, Brighouse, HD6 1RW",29080019,27/09/2010,11000
"21 Bradford Road, Brighouse, HD6 1RW",29080021,26/02/2014,11000
"23 Bradford Road, Brighouse, HD6 1RW",29080023,01/04/2007,2100
"27 Bradford Road, Brighouse, HD6 1RW",29080027,10/07/2007,4950
"30 Bradford Road, Brighouse, HD6 1RW",29080030,01/05/2013,9000
"36 Bradford Road, Brighouse, HD6 1RW",29080036,01/04/2007,8700
"42 Bradford Road, Brighouse, HD6 1RY",29080042,01/04/2007,9300
"1ST Floor, 46 Bradford Road, Brighouse, HD6 1RY",29080046,01/05/2008,7900
"59 Bradford Road, Brighouse, HD6 1RS",29080059,11/09/2012,3450
"78 Bradford Road, Brighouse, HD6 4AA",29080078,15/04/2013,3550
"141/143 Bradford Road, Brighouse, HD6 4AD",29080141,01/04/2007,7100
"145 Bradford Road, Brighouse, HD6 4AD",29080145,15/07/2011,2400
"147 Bradford Road, Brighouse, HD6 4AS",29080147,01/04/2007,3250
"159 Bradford Road, Brighouse, HD6 4AS",29080159,01/08/2010,3700
"229 Bradford Road, Brighouse, HD6 4BN",29080229,02/07/2011,4950
"255 Bradford Road, Brighouse, HD6 4BN",29080255,01/04/2007,8300
"611 Bradford Road, Brighouse, HD6 4DN",29080611,01/04/2007,6300
"613 Bradford Road, Brighouse, HD6 4DN",29080613,15/12/2012,4200
"Bradford Road, Brighouse, HD6 1RY",29080700,01/10/2013,7200
"46 Bradford Road, Brighouse, HD6 1RY",29080717,01/04/2010,4250
"The Beck, 157 Bradford Road, Brighouse, HD6 4AS",29080720,25/04/2013,10400
"61 Bradford Road, Brighouse, HD6 1RS",29080738,09/02/2010,3150
"63 Bradford Road, Brighouse, HD6 1RS",29080771,01/04/2009,4500
"Unit 11, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA",29080778,01/06/2009,6100
"Unit 12, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA",29080779,23/06/2012,5700
"R/O 63 Bradford Road, Brighouse, HD6 1RS",29080782,07/10/2013,4350
"Ground Floor & Basement, 67 Bradford Road, Brighouse, HD6 1RS",29080784,26/04/2010,4800
"364 Bradford Road, Brighouse, HD6 4DH",29080786,01/05/2013,8200
"126 Bradford Road, Brighouse, HD6 4AU",29080793,01/08/2013,5100
"Unit 1, 535 Bradford Road, Bailiff Bridge, Brighouse            HD6 4DL",29084535,01/09/2013,9000
"607 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",29084607,06/08/2008,2850
"609 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",29084609,01/04/2007,4000
"617 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",29084617,01/04/2007,7000
"619 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DL",29084619,01/11/2012,3300
"621 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",29084621,01/04/2010,3600
"623 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",29084623,01/04/2007,3400
"625 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",29084625,22/11/2013,2700
"627 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",29084627,01/04/2007,3900
"629 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",29084629,01/04/2007,5800
"633c Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",29084633,10/12/2013,6900
"Unit 10, Branxholme Estate, Bradford Road, Brighouse           HD6 4EA",29084713,01/04/2007,5500
"Unit 2, Branxholme Estate, Bradford Road, Brighouse           HD6 4EA",29084719,17/05/2013,5900
"Unit 3, Branxholme Estate, Bradford Road, Brighouse           HD6 4EA",29084721,24/03/2009,5400
"Unit 4, Branxholme Estate, Bradford Road, Brighouse           HD6 4EA",29084722,14/05/2013,5400
"Unit 7, Branxholme Estate, Bradford Road, Brighouse           HD6 4EA",29084724,16/12/2011,5700
"Unit 13, Calder Industrial Estate, 370 Bradford Road, Brighouse            HD6 4DJ",29084732,01/04/2011,3500
"Unit 8, Calder Industrial Estate, 370 Bradford Road, Brighouse            HD6 4DJ",29084735,01/04/2011,3550
"Unit 6 & 7, 370 Bradford Road, Brighouse, HD6 4DJ",29084739,01/06/2013,10250
"633a Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",29084741,04/05/2013,4050
"633b Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",29084742,22/10/2013,3100
"Summerfield Garage, 535 Bradford Road, Bailiff Bridge, Brighouse           HD6 4DL",29084743,01/04/2010,10250
"635A Bradford Road, Bailiff Bridge, Brighouse, HD6 4DY",29084746,01/04/2007,2500
"Unit 2A, Calder Business Park, 370 Bradford Road, Brighouse           HD6 4DJ",29084756,01/06/2013,5600
"Unit 5 Branxholme Estate, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EA",29084782,22/01/2013,5800
"Unit 1 Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",29084792,04/09/2012,8600
"Unit 2 Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EJ",29084793,06/06/2011,8600
"Unit 3 Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",29084794,06/08/2012,8600
"Unit 7 Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",29084798,24/01/2011,8600
"Unit 8 Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",29084799,01/04/2010,8600
"Unit 11 Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",29084802,02/04/2013,8600
"Garage Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EJ",29084805,01/04/2008,3200
"Unit B4 Ground Floor, Clifton House, Bradford Road, Bailiff Bridge       HD6 4EJ",29084809,27/09/2010,2600
"B1 Ground Floor, Clifton House, Bradford Road, Brighouse            HD6 4EJ",29084816,01/04/2010,7200
"Unit B2 Ground Floor, Clifton House, Bradford Road, Brighouse            HD6 4JJ",29084818,05/02/2012,5000
"Suite 5 Clifton House, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EJ",29084824,17/01/2011,2225
"Suite 6 Clifton House, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EJ",29084825,13/12/2010,2425
"Unit 4 Ground Floor, 535 Bradford Road, Bailiff Bridge, Brighouse            HD6 4DL",29084828,01/03/2013,4600
"Unit 4 First Floor, 535 Bradford Road, Bailiff Bridge, Brighouse            HD6 4DL",29084829,08/08/2011,3250
"Unit 3, 535 Bradford Road, Bailiff Bridge, Brighouse            HD6 4DL",29084830,01/10/2011,6700
"Unit 9 Branxholme Estate, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EA",29084832,07/10/2011,5500
"Unit 12B Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",29084833,07/11/2011,6400
"Unit 12A Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",29084834,07/11/2011,6700
"Unit 2, 535 Bradford Road, Bailiff Bridge, Brighouse            HD6 4DL",29084835,07/08/2012,6600
"Office 1-2, First Floor Clifton House, Bradford Road, Brighouse            HD6 4EJ",29084836,08/05/2012,3600
"10 Bramston Street, Brighouse, HD6 3AA",29088010,01/04/2007,4100
"Bramston Street, Brighouse, HD6 3AA",29088701,01/04/2007,8700
"Hillside Garage, Bramston Street, Brighouse, HD6 3AA",29088712,01/04/2007,10750
"10 Bridge End, Brighouse, HD6 3DH",29092010,01/04/2013,2650
"14 Bridge End, Brighouse, HD6 3DH",29092014,01/08/2013,3050
"18/20 Bridge End, Brighouse, HD6 3DH",29092018,01/04/2010,3500
"Sugden Memorial Hall, Bridge End, Brighouse, HD6 3DH",29092700,01/04/2007,9500
"Railway Arch No. 3, Bridge End, Brighouse, HD6 3DH",29092703,01/04/2007,2850
