Department Family,Entity,Date,Expenses Type,Expense Area,Supplier,Transaction Number, Total 
Department of Health,The Christie NHS Foundation Trust,27/09/2017,Drugs,011 Drugs,ALCURA UK LIMITED,563085,"103,003.16"
Department of Health,The Christie NHS Foundation Trust,27/09/2017,Drugs,011 Drugs,ALCURA UK LIMITED,563091,"-72,868.56"
Department of Health,The Christie NHS Foundation Trust,27/09/2017,Drugs,011 Drugs,ALCURA UK LIMITED,563104,"75,634.07"
Department of Health,The Christie NHS Foundation Trust,28/09/2017,Drugs,011 Drugs,ALCURA UK LIMITED,561271,"2,804,583.98"
Department of Health,The Christie NHS Foundation Trust,27/09/2017,PET Scans - Apr 17,14 Christie Medical Physics,ALLIANCE MEDICAL LTD,561389,"119,355.00"
Department of Health,The Christie NHS Foundation Trust,27/09/2017,PET Scans - May 17,14 Christie Medical Physics,ALLIANCE MEDICAL LTD,561388,"136,795.00"
Department of Health,The Christie NHS Foundation Trust,28/09/2017,PET Scans - Aug 17,14 Christie Medical Physics,ALLIANCE MEDICAL LTD,562732,"131,345.00"
Department of Health,The Christie NHS Foundation Trust,07/09/2017,Maintenance Contract,04c Programme Management Office,ASCRIBE LTD,560219,"45,744.00"
Department of Health,The Christie NHS Foundation Trust,01/09/2017,Drugs,011 Drugs,BAXTER HEALTHCARE LTD,563235,"336,207.60"
Department of Health,The Christie NHS Foundation Trust,14/09/2017,Drugs,011 Drugs,BAXTER HEALTHCARE LTD,560791,"347,236.58"
Department of Health,The Christie NHS Foundation Trust,21/09/2017,Drugs,011 Drugs,BAXTER HEALTHCARE LTD,561095,"471,438.32"
Department of Health,The Christie NHS Foundation Trust,21/09/2017,Drugs,011 Drugs,BAXTER HEALTHCARE LTD,562859,"-35,798.40"
Department of Health,The Christie NHS Foundation Trust,07/09/2017,Drugs,011 Drugs,BAXTER HEALTHCARE LTD,560788,"472,148.17"
Department of Health,The Christie NHS Foundation Trust,07/09/2017,Drugs,011 Drugs,BOLTON NHS FOUNDATION TRUST,558943,"32,328.21"
Department of Health,The Christie NHS Foundation Trust,07/09/2017,PET Scans - Jul 17,14 Christie Medical Physics,CENTRAL MCR  UNIV HOSP NHS FOUNDATION TR,560906,"105,708.00"
Department of Health,The Christie NHS Foundation Trust,28/09/2017,Linear Accelerator Development,18 Capital,ELEKTA  LTD,562153,"152,988.00"
Department of Health,The Christie NHS Foundation Trust,27/09/2017,Childcare Vouchers - Sep 17,Human Resources,FIDELITI LIMITED,562970,"33,771.20"
