Property Address,RATEPAYER,RV,LIABILITY_START
"""Unofficial"" Front Office, 3A Wards End, Halifax, HX1 1DD",,1275,07-08-2014
"3A Wards End, Halifax, HX1 1DD",,6000,01-12-2014
"Unit 4, Owler Ings Road, Brighouse, HD6 1EJ",,6000,17-11-2014
"284 Queens Road, Halifax, HX1 4NJ",,5000,01-04-2015
"Office 2 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",Ulearn Education Ltd,3350,01-04-2015
"5 Leeds Road, Hipperholme, Halifax, HX3 8ND",,7000,21-01-2015
"Office 4, 159 King Cross Road, Halifax, HX1 3LN",,750,01-04-2015
"Unit 18G, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Bizspace Ltd,4600,01-11-2014
"Unit 18H, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Bizspace Ltd,3900,01-11-2014
"Unit 18F, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Bizspace Ltd,2450,01-11-2014
"Unit 18C, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Bizspace Ltd,2350,01-11-2014
"Unit 18E, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Bizspace Ltd,2300,01-11-2014
"Unit 18B, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Bizspace Ltd,1975,01-11-2014
"Unit 18D, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Bizspace Ltd,1375,01-11-2014
"Unit 18I, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Bizspace Ltd,1075,01-11-2014
"Unit 18A, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Subsidium Recruitment Ltd,1300,01-12-2014
"Unit 3 Holmfield Works, Shay Lane, Halifax, HX3 6RR",Rock Structural Engineering Llp,12750,01-03-2015
"Unit 4 Holmfield Works, Shay Lane, Halifax, HX3 6RR",Hm Fabrications (Halifax) Ltd,9600,01-03-2015
"Unit 5 Holmfield Works, Shay Lane, Halifax, HX3 6RR",Marshall & Rock Llp,4950,07-04-2015
"13 Crown Street, Halifax, HX1 1TT",,19500,18-03-2015
"151 Pellon Lane, Halifax, HX1 5RL",E. Lancs Motor Trade Consultants Ltd,60000,12-11-2013
"Unit 2, Horne Street Business Park, Horne Street, Halifax              HX1 5UA",,14000,01-03-2015
"Electronic Delivery Locker, Rochdale Road, Sowerby Bridge, HX6 3BL",Belmont Service Station Ltd,950,19-09-2013
"Belmont Garage, Rochdale Road, Sowerby Bridge, HX6 3BL",Belmont Service Station Ltd,30750,19-09-2013
"Part B, Battinson Road Garage, Battinson Road, Halifax              HX1 4RP",,8500,01-03-2015
"Wagon & Horses Inn, 786 Rochdale Road, Todmorden, OL14 7UA",,5400,17-04-2014
"3 Crown Yard, Southgate, Elland, HX5 0DQ",,2500,14-03-2015
"1 Crown Yard, Southgate, Elland, HX5 0DQ",,4500,14-03-2015
"Gibb Lane Quarry, Gibb Lane, Mount Tabor, Halifax             HX2 0UG",Smiths Haulage & Contracting Ltd,12250,01-04-2014
"Unit 1C Prince Of Wales Mill, Princess Street, Brighouse, HD6 1LH",Birds Royd Property Co Ltd,5700,01-03-2015
"Princess Works, Birds Royd Lane, Brighouse, HD6 1LH",Hepworth International Ltd,5600,01-03-2015
"Denholmegate Road, Hipperholme, Halifax, HX3 8JQ",The Warrior Factory Halifax Cic,15000,01-04-2015
"Halifax Plc, Wakefield Road, Halifax, HX3 0TD",Halifax Plc,1890000,01-04-2010
"Atm At Halifax Plc, Wakefield Road, Salterhebble, Halifax              HX3 0TD",Halifax Plc,5900,01-04-2010
"Unit 2, Thornhill Briggs Mill, Thornhills Beck Lane, Brighouse            HD6 4AW",Direct Card Solutions Ltd,8400,10-11-2014
"22 West Park Street, Brighouse, HD6 1DU",Peak Communications Ltd,27500,01-01-2015
"Units 3 4 & 5 Victoria Works, Waterside, Halifax, HX3 9HL",Water Lane Dye Services Ltd,11250,01-11-2014
"Unit 9 Penair Works, Mill Fold, Ripponden, Sowerby Bridge       HX6 4DJ",Balletbefit Limited,4450,01-01-2015
"10 Blackwall, Halifax, HX1 2BE",Hird & Partners Llp,11750,31-03-2015
"274 Queens Road, Halifax, HX1 4NJ",,3800,24-08-2014
"Lacy Mill, Lacy Avenue, Todmorden, OL14 6RP",,2600,01-04-2015
"Offices, Stoney Royd, Swan Bank Lane, Halifax              HX3 9HT",Lumilow Lighting Ltd,23750,01-04-2015
"Unit 3, The Market Business Centre, Hanson Lane, Halifax              HX1 5PF",Specialist Glazing Services Ltd,7700,03-04-2015
"Office Suite E 107, Dean Clough Mills, Halifax, HX3 5AX",Dean Clough Ltd,8100,31-03-2015
"Office 8, Church View Office Centre, Elland Road, Ripponden            HX6 4DB",H T Fitness Ltd,2050,15-01-2015
"Unit 9 Church View Offices, Elland Road, Ripponden, HX6 4DB",H T Fitness Ltd,3500,15-01-2015
"Office H M 2.2, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",Homestart Calderdale,2500,01-04-2015
"Unit 2 Owenshaw Mill, Old Cawsey, Sowerby Bridge, HX6 2AJ",Mad Motors Ltd,1650,12-12-2014
"Unit 1, Hansonlane Enterprise Centre, Hanson Lane, Halifax             HX1 5PG",Halifax Opportunities Trust,2000,01-04-2015
"Savile Close Day Centre, Savile Park Road, Halifax, HX1 2ES",South West Yorkshire Partnership Nhs Foundation Trust,18750,27-03-2015
"Luddendenfoot J & I School, Burnley Road, Luddendenfoot, Halifax             HX2 6AU",Brighter Futures Academy Trust,21500,01-04-2015
"Office 9, 11 Owler Ings Road, Brighouse, HD6 1EJ",John Henderson (Uk) Ltd,2125,01-04-2015
"Unit 6B1, Topland Country Bus. Pk, Cragg Road, Hebden Bridge        HX7 5RU",,1400,01-10-2013
"Shaw Farm, New Road, Todmorden, OL14 6HP",Shaw Farm Liveries Ltd,8400,01-04-2015
"Brian Royd Mills, Brian Royd Lane, Greetland, Halifax              HX4 8NF",Binns & Sons (Greetland) Ltd,4300,01-04-2015
"10 Bridge End, Brighouse, HD6 3DH",,2650,01-01-2014
"1 Bridge Gate, Hebden Bridge, HX7 8EX",Mytholmroyd Optical Ltd,32000,01-04-2015
"Salem Mill, Central Street, Hebden Bridge, HX7 6HB",Aegis Martial Arts Academy - Hebden Bridge,3150,01-04-2015
"Units 2/3, Vine Industrial Estate, Elland Road, Brighouse            HD6 2QS",Yfr Autos Ltd,8500,23-02-2015
"29 Queens Road, Halifax, HX1 3NS",,3600,03-04-2015
"Canal Mills, Elland Bridge, Elland, HX5 0SQ",Promat Uk Ltd,24500,01-04-2015
"Yard Opp Far Sykes House, Branch Road, Barkisland, Halifax              HX4 8NU",,4900,01-07-2014
"First Floor, 2 Wards End, Halifax, HX1 1DD",,4350,05-03-2015
"Unit 9, Halifax Industrial Centre, Marshway, Halifax             HX1 5RW",Crj Holdings Ltd,7000,08-04-2015
"The Club, 1 Greenhead Lane, Brighouse, HD6 3PS",,3100,02-04-2015
"Brian Royd Mills, Saddleworth Road, Greetland, Halifax              HX4 8NF",Binns & Sons (Greetland) Ltd,2650,01-04-2015
"Unit 5, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",,3450,01-04-2014
"Unit 3 Grd Floor North Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",,1525,01-04-2014
"Bridge End House, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",,4800,01-04-2014
"Unit 1 Kirklees Steelworks, Grove Street, Brighouse, HD6 1PL",Warmco Space Heating Ltd,1725,01-04-2015
"Unit 2, Kirklees Steelworks, Grove Street, Brighouse            HD6 1PL",,5800,01-03-2015
"Moorside Farm, Weather Hill Lane, Cragg Vale, Hebden Bridge        HX7 5TY",,8500,26-03-2015
"Moorside Hayloft, Moorside Farm, Coppy Nook Lane, Cragg Vale           HX7 5TY",,1500,26-03-2015
"Unit 12C, Moderna Business Park, Burnley Road, Mytholmroyd          HX7 5QQ",Wattlid Ltd,7800,31-03-2015
"Unit 18 Fairlea Mill, Ellen Holme Lane, Luddendenfoot, Halifax             HX2 6EP",,3250,16-02-2015
"2 The Long Mill, Bowes Yard, Stainland Road, Greetland            HX4 8AD",Long Mill Carpets Ltd,7200,01-02-2015
"1 The Long Mill, Bowes Yard, Stainland Road, Greetland            HX4 8AD",B W Sipp Trustees Limited,8300,01-02-2015
"11/13 Albion Street, Halifax, HX1 1DU",,7200,01-07-2014
"Storeroom 8 Market Hall, Brook Street, Todmorden, OL14 5AJ",,210,01-05-2014
"Old Gate Bar & Restaurant, 1-5 West End, Hebden Bridge, HX7 8JP",Old Gate Restaurant Ltd,80000,01-04-2015
"102 Commercial Street, Brighouse, HD6 1AQ",Peter David Properties Brighouse Ltd,9900,01-04-2015
"Unit 1A & Unit 1B 1ST Floor, James Street Mills, James Street, Elland               HX5 0HB",Viewstone Ltd,4600,01-02-2015
"Warehouse, Clifton Mills, Bradford Road, Bailiff Bridge       HD6 4EJ",Sigmat Ltd,81500,01-04-2015
"Unit 11, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA",Frank Marshall Estates Ltd,6100,20-02-2015
"White Lion Hotel, Burnley Road, Mytholmroyd, Hebden Bridge       HX7 5LN",,6250,01-04-2015
"Unit 13 Windsor Works, Victoria Road, Hebden Bridge, HX7 8JX",,2950,01-04-2015
"Unit 4 Windsor Works, Victoria Road, Hebden Bridge, HX7 8JX",,1375,01-04-2015
"Hare & Hounds Inn, Ashenhurst Road, Todmorden, OL14 8EA",,6000,06-04-2015
"Unit C, Ainleys Industrial Estate, Huddersfield Road, Elland               HX5 9JP",New Ivory Ltd,30250,28-11-2014
"Unit 3 Bridge Road Works, Bridge Road, Brighouse, HD6 1EP",,4750,01-04-2015
"High Greenwood House, Heptonstall, Hebden Bridge, HX7 7AZ",,2000,01-04-2012
"Glen Cottage, Woodbine Terrace, Todmorden, OL14 8NL",,2950,06-01-2015
"1ST Floor, 2 William Street, Brighouse, HD6 1HR",Rathbone Training Ltd,5200,23-01-2015
"Ground Floor, 2 William Street, Brighouse, HD6 1HR",Klh Developments Ltd,3550,05-10-2014
"Mill Royd Street, Brighouse, HD6 1EY",Enterprise Rent A Car Ltd,9600,20-10-2014
"Atm Site (Natwest), W M Morrison Plc, Rochdale Road, Todmorden           OL14 6LG",Natwest Bank Plc,5900,01-04-2010
"Unit 28, Phoebe Lane Industrial Est., Halifax, HX3 9EX",,990,09-10-2014
"15 Market Street, Brighouse, HD6 1AP",Your Geeky Kit Ltd,6400,24-03-2015
"Unit 16 1ST Floor, The Town Hall, St George's Street, Hebden Bridge        HX7 7BY",Hebden Bridge Community Association,1125,14-04-2015
"Unit 15 1ST Floor, The Town Hall, St George's Street, Hebden Bridge        HX7 7BY",Pennine Pack Ltd,1650,01-04-2015
"Unit 35 2ND Floor, The Town Hall, St George's Street, Hebden Bridge        HX7 7BY",,920,01-04-2015
"Units 1 & 2 Grantham Garage, Dewsbury Road, Brighouse, HD6 3QB",Northern Truss Joists Limited,19750,01-02-2014
"River Street, Brighouse, HD6 1NH",Firth Steels Ltd,9800,01-11-2014
"Unit 5, Thornhill Briggs Mill, Thornhills Beck Lane, Brighouse            HD6 4AW",Kloog Business Development Ltd,4600,01-01-2015
"Unit 8, Thornhill Briggs Mill, Thornhills Beck Lane, Brighouse            HD6 4AW",Provide Education Ltd,6100,01-01-2015
"Unit 8, Bridgefield Mills, Elland Bridge, Elland               HX5 0SG",Colt Enterprise [Calderdale] Ltd,7700,16-12-2014
"Unit 1 & Unit 1A, Bridgefield Mills, Elland Bridge, Elland               HX5 0SG",,17250,16-12-2014
"Atm, 2A Smith House Avenue, Brighouse, HD6 2JZ",Clydesdale Bank Plc,2000,03-10-2014
"2A Smith House Avenue, Brighouse, HD6 2JZ",,10750,03-10-2014
"Unit 2H Greenhill Ind Est, Mytholmroyd, Hebden Bridge, HX7 5QF",Litemania.Co.Uk Limited,7300,01-01-2014
"Office 1,2ND Floor Bond Mill, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",Halifax Opportunities Trust,10500,19-03-2015
"Sportsman Hotel, 50 Crown Street, Halifax, HX1 1JB",The Gun Dog Ltd,5000,30-11-2014
"The White Swan Hotel, Princess Street, Halifax, HX1 1TS",Knight Properties (Halifax) Limited,42000,27-03-2015
"Units 12A & 12B, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Willow Storage Limited,2950,01-04-2015
"Unit 4 Kirklees Steelworks, Grove Street, Brighouse, HD6 1PL",,6725,01-10-2014
"Part Ground Floor, Machpelah Works, Machpelah, Hebden Bridge       HX7 8AU",,1500,01-02-2014
"Birds Royd Works, Birds Royd Lane, Brighouse, HD6 1NG",,70500,10-04-2015
"272 Gibbet Street, Halifax, HX1 4LT",,2125,15-04-2015
"Store G02, Gf Cromwell House, Elland Road, Brighouse            HD6 2RG",,620,10-06-2014
"Unit B3/B32, Lower Ladyship Mills, Old Lane, Halifax              HX3 5QN",Ladyship Carpets Ltd,8400,01-04-2015
"Office 3 First Floor, Princess Works, Birds Royd Lane, Brighouse            HD6 1LH",Birds Royd Property Co Ltd,1700,22-04-2015
"Office 4 First Floor, Princess Works, Birds Royd Lane, Brighouse            HD6 1LH",Birds Royd Property Co Ltd,3000,22-04-2015
"Eldon Works, Eldon Street, Range Lane, Halifax             HX3 6DW",Bridgeplan Ltd,5100,01-04-2015
"2 Crown Yard, Southgate, Elland, HX5 0DQ",,2475,20-04-2015
"19 Towngate, Sowerby, Sowerby Bridge, HX6 1HT",,3250,16-04-2015
"Cab Part 1ST Floor, Todmorden Community College, Burnley Road, Todmorden           OL14 7BX",Citizens Advice Bureau,4400,01-04-2010
"The 1855 Building, Discovery Road, Halifax, HX1 2NG",Eureka! The National Childrens Museum Ltd,4100,01-10-2014
"Ground Floor South Wing, 1855 Discovery Building, Discovery Road, Halifax              HX1 2NG",Music And The Deaf,13000,01-10-2014
"Unit 8, Margram Business Centre, Horne Street, Halifax             HX1 5UA",Roundabout Properties Ltd,5200,03-04-2015
"19 Charles Street, Halifax, HX1 1QW",,47500,10-09-2014
"Units 7, 9 & 11, Thrum Hall Business Park, Albert Road, Halifax              HX2 0DB",Wolseley U.K Ltd,13250,04-01-2014
"Unit 12, Thrum Hall Business Park, Albert Road, Halifax              HX2 0DB",Walkers Commercial Truck & Van Ltd,40500,14-02-2015
"25 Roils Head Road, Halifax, HX2 0NQ",,1950,01-05-2015
"Office 34 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",Halifax Opportunities Trust,5400,01-05-2015
"23B Bull Close Lane, Halifax, HX1 2EF",,2700,01-02-2015
"Unit A The Shed, Eastfield Mills, Belmont Street, Halifax              HX3 6AT",,4050,01-01-2014
"95 Turner Avenue South, Illingworth, Halifax, HX2 8EF",Pennine Housing 2000 Ltd,2325,01-04-2015
