Ratepayer,Property Address,Propref,Billing Address,RV,Property Description,Relief Code
,"Exley Gardens, Halifax, HX3 9EE",65048700,,1625,Shop and Premises,Rateable Value below threshold
Setbray Properties Ltd,"Adj 29 Crown Street, Hebden Bridge, HX7 8EH",76176715,"Suites 1 & 4 2nd Floor, Burlees House, Hangingroyd Lane, Hebden Bridge, HX7 7DD",205,Store And Premises,Rateable Value below threshold
Calderdale Mbc,"48 Arcade, Piece Hall, Halifax, HX1 1RE",68252771,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",3000,Shop and Premises,Listed Building
Calderdale Mbc,"18 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252732,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",2850,Shop and Premises,Listed Building
Network Rail Ltd,"Whiteley Garage, Calderside, Oakville Road, Hebden Bridge        HX7 6NG",76100700,"Network Rail, Payables Property, Po Box 4279, Manchester, M60 3EH",810,Land Used For Storage and Premises,Rateable Value below threshold
,"Unit 14, S D H Industrial Estate, West Street, Sowerby Bridge       HX6 3BT",76648755,,370,Office,Rateable Value below threshold
,"2nd Floor, Machpelah Works, Machpelah, Hebden Bridge       HX7 8AU",76356702,,3600,Workshop And Premises,Listed Building
Enduring Enterprises Ltd,"10 Bradford Road, Brighouse, HD6 1RW",29080010,"C/O Jones Lang Lasalle, Fao David Griffin Esq, 25 Bank Street, London, E14 5EG",12250,Offices and Premises,Listed Building
,"5 Town Hall Buildings, Elland, HX5 9AJ",56236005,,3350,Shop and Premises,Listed Building
,"Quality Works, Rochdale Road, Todmorden, OL14 7NA",78400786,,660,Store And Premises,Rateable Value below threshold
,"21 Hanson Lane, Halifax, HX1 5NX",65264021,,1900,Shop and Premises,Rateable Value below threshold
Heathleigh Ltd,"Unit 7A Woodman Works, South Lane, Elland, HX5 0PA",56220770,"Unit 2, Woodman Works, South Lane, Elland, HX5 0PA",335,Workshop And Premises,Rateable Value below threshold
Due West Ltd,"Offices (1st Floor ), 26 Horton Street, Halifax, HX1 1QE",65388704,"C/O O & C Management Services Ltd, 9 Harrison Road, Halifax, HX1 2AF",4150,Offices and Premises,Listed Building
Blackshaw Holdings Ltd,"3RD Flr Space Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EJ",29084814,"1st Floor, Clifton House, Birkby Lane, Bailiff Bridge, HD6 4JJ",5400,Factory and Premises,Empty Relief - Post 01/04/2008
J Speak & Co Ltd,"Unit 3, North Dean Mills, Stainland Road, Greetland           HX4 8LS",68772724,"North Dean Mills, Stainland Road, Greetland, Halifax, HX4 8LS",4300,Workshop And Premises,Empty Relief - Post 01/04/2008
Bizspace Ltd,"Unit 1A, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628730,"Fao Mital Shah, 3rd Floor, Winston House, 2 Dollis Park, Finchley, London, N3 1HG",6000,Offices and Premises,Empty Relief - Post 01/04/2008
Fiona Cooper Audio Visual Ltd,"60 West Street, Sowerby Bridge, HX6 3AP",77648060,"The Cotton Mill, Saddleworth Road, Elland, HX5 0SA",7900,Shop and Premises,Empty Relief - Post 01/04/2008
J Speak & Co Ltd,"Unit 6, North Dean Mills, Stainland Road, Greetland           HX4 8LS",68772727,"North Dean Mills, Stainland Road, Greetland, Halifax, HX4 8LS",4250,Workshop And Premises,Empty Relief - Post 01/04/2008
,"Wellington Street South, Halifax, HX1 2LU",69324709,,1750,Workshop,Empty Property - RV < 15000
,"16 Square, Halifax, HX1 1RJ",68700016,,7300,Shop and Premises,Empty Relief - Post 01/04/2008
Calderdale Mbc,"53 Arcade, Piece Hall, Halifax, HX1 1RE",68252770,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",4000,Shop and Premises,Listed Building
,"Norwood Green Cricket Club, Rookes Lane, Norwood Green, Halifax             HX3 8PU",68404700,,1625,Cricket Club And Premises,Empty Property - RV < 15000
Assn Of Islamic Charitable Projects,"Ground Floor, Bembridge Park Centre, Francis Street, Halifax              HX1 5JN",65104713,"Fao Mr Shahid Rauf, Sunniyy Centre, Francis Street, Halifax, HX1 5JY",16500,Offices and Premises,Listed Building
Calderdale Mbc Community Services,"57 Arcade, Piece Hall, Halifax, HX1 1RE",68252764,"C/O Michael Devereux, Piece Hall Admin Office, The Piece Hall, Halifax, HX1 1RE",1100,Store And Premises,Listed Building
Ideal Boats Company Ltd,"Woodbottom Mill, Todmorden, OL14 6PG",78224701,"Woodbottom Mill, Hollins Road, Walsden, Todmorden, OL14 6PG",11500,Factory and Premises,Occupation prohibited by law
Calderdale Mbc,"2 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252760,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",5600,Shop and Premises,Listed Building
,"2 Bridge End, Brighouse, HD6 3DH",29092002,,2850,Office and Premises,Rateable Value below threshold
Calderdale Mbc Director Of Leisure Services,"40/41 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252759,"Fao Pam Smithies, Westgate House, Westgate, Halifax, HX1 1PS",5800,Shop and Premises,Listed Building
