Property Address,RATEPAYER,RV,LIABILITY_START
"Unit S M 5.3, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",Kino & Co,2650,21/12/2016
"Empire House, 15 Mulcture Hall Road, Halifax, HX1 1SP",,3850,08/04/2016
"Yorks Cooperatives Ltd, Filling Station, Huddersfield Road, Elland               HX5 9AA",Platinum Asset Investment Ltd,32500,01/12/2016
"Office 2 1ST Floor, 159 King Cross Road, Halifax, HX1 3LN",Mistry Maths Limited,2325,16/05/2016
"Unit 3 Grove Mills, Elland Lane, Elland, HX5 9DZ",Mobus Fabrics Ltd,49750,01/01/2017
"Huddersfield Road, Elland, HX5 9BZ",Tourer World (2015) Ltd,9400,01/01/2017
"79 Mill Lane, Brighouse, HD6 1PN",Heaven Scent Cleaning (Uk) Limited,3550,20/09/2016
"Unit 4 Rear, 2 Silver Street, Halifax, HX1 1HS",,1550,31/12/2016
"16 Horton Street, Halifax, HX1 1PU",,2800,22/11/2016
"Unit 9 Station Ind Estate, Old Station Road, Luddendenfoot, Halifax              HX2 6AD",Blackshaw Holdings Ltd,7400,01/01/2017
"Unit 5B, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",Kino & Co,5300,14/11/2016
"145 Queens Road, Halifax, HX1 4LN",,4050,01/04/2015
"UNIT1C/D Lwr Gf South Mill, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",Kino & Co,3150,01/01/2017
"5 Victoria Street, West Vale, Halifax, HX4 8DF",,4550,20/12/2016
"Office Suite F1 East, F Mill Dean Clough Mills, Halifax, HX3 5AX",Dean Clough Ltd,20500,12/11/2016
"Office 3/4 Second Floor, Brian Royd Mills, Brian Royd Lane, Greetland            HX4 8PE",Binns & Sons (Greetland) Ltd,5500,31/12/2016
"Arc, Unit 12 Fairlea Mill, Ellen Holme Lane, Luddendenfoot        HX2 6EP",,5400,20/10/2016
"56 New Road, Halifax, HX1 2LH",,6700,15/11/2016
"Adj 35 Parkinson Lane, Halifax, HX1 3XA",,840,15/12/2016
"Store, Long Lea Works, Halifax Road, Elland               HX5 0SH",A Orme & Co,1400,01/04/2015
"17/19 Burnley Road, Todmorden, OL14 7BU",,7500,15/01/2017
"A J Hayhurst Ltd, Long Lea Mills, Halifax Road, Elland               HX5 0SH",A J Hayhurst Ltd,5700,01/04/2016
"Ground Floor, Long Lea Works, Halifax Road, Elland               HX5 0SH",A Orme & Co,6900,01/04/2016
"A Orme & Co, Long Lea Mills, Halifax Road, Elland               HX5 0SH",A Orme & Co,19000,01/04/2016
"Ground Floor, Britannia Buildings, Briggate, Elland               HX5 9DP",Fluid Creative Media Ltd,5100,01/04/2015
"1ST & 2ND Floors, Britannia Buildings, Briggate, Elland               HX5 9DP",Fluid Creative Media Ltd,7800,01/04/2015
"Sun Inn, 154 Wakefield Road, Lightcliffe, Halifax             HX3 8TH",Inn Sun Ltd,36250,13/12/2016
"12 Pellon Lane, Halifax, HX1 5SP",,6400,01/04/2016
"19 Carlton Street, Halifax, HX1 2AL",,16750,26/12/2016
"Workspace Unit 16, Hansonlane Enterprise Centre, Hanson Lane, Halifax             HX1 5PG",Happydays Ministries Uk,5700,01/03/2015
"Holmfield Auto Spares Ltd, Holdsworth Road, Halifax, HX3 6SN",,7200,07/01/2017
"14 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LH",Environment Agency,1100,27/12/2015
"Ground Floor, 24 Ripponden Business Park, Oldham Road, Ripponden            HX6 4FF",Kudos Vehicle Management Ltd,8800,01/04/2016
"637/643 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DY",Laminate And Wood Centre Ltd,20000,01/12/2016
"West End Works, Parkinson Lane, Halifax, HX1 3UW",R E Dickie Ltd,58000,01/04/2015
"1ST Floor, 24 Ripponden Business Park, Oldham Road, Ripponden            HX6 4FF",,7500,01/04/2016
"9 North Street, Greetland, Halifax, HX4 8DQ",H & J Hitchens Electronics Ltd,3750,03/10/2016
"Suite 9 Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",,1050,21/07/2016
"19 King Cross Street, Halifax, HX1 2SH",,5700,01/01/2017
"Crossleys Mill 2ND Floor, Dean Clough Mills, Halifax, HX3 5AX",Dean Clough Ltd,36500,17/01/2017
"Bay 1, Rosemount Estate, Huddersfield Road, Elland               HX5 0EE",H R S Hevac Ltd,51000,23/03/2016
"Chilli Lounge, Huddersfield Road, Halifax, HX3 0NS",Deli Sandwich Express Limited,14000,03/01/2017
"27 Lees Buildings, Denholmegate Road, Hipperholme, Halifax              HX3 8EW",,3200,04/12/2016
"Trinity House, Blackwall, Halifax, HX1 2QR",,6700,01/02/2016
"123 Halifax Road, Todmorden, OL14 5BE",,3650,01/08/2016
"Storage Land Adjacent To, Hipperholme Works, Halifax Road, Hipperholme          HX3 8BS",Decopak Ltd,22000,01/04/2016
"Elland Library, Coronation Street, Elland, HX5 0DF",Calderdale Mbc,2650,01/01/2017
"51 Winding Road, Halifax, HX1 1SJ",Quinn's Hair Ltd,7800,01/09/2016
"Unit 1, West Central Business Park, Victoria Road, Halifax              HX1 5QH",Msofas Ltd,17500,02/01/2017
"Beehive Inn, 48 Hob Lane, Ripponden, Sowerby Bridge      HX6 4LU",,37000,05/01/2017
"5 The Old Arcade, Halifax, HX1 1TJ",,15750,13/12/2016
