"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Home Office","Home Office","Immigration & Border Policy Directorate - IMISE","1IIPG02","IO","23330","30896","Policy Adviser","1.00","Policy"
"Home Office","Home Office","Immigration & Border Policy Directorate - Asylum Family Policy","1IIPG02","EO","23330","30896","Policy Support Officer","3.00","Policy"
"Home Office","Home Office","Immigration & Border Policy Directorate - Asylum Family Policy","1IIPG02","Grade 6","58103","74446","Senior Policy Adviser","3.00","Policy"
"Home Office","Home Office","Immigration & Border Policy Directorate - Asylum Family Policy","1IIPG02","Grade 7","48004","62239","Senior Policy Adviser","10.00","Policy"
"Home Office","Home Office","Immigration & Border Policy Directorate - Asylum Family Policy","1IIPG02","HEO","28280","37797","Policy Adviser","12.00","Policy"
"Home Office","Home Office","Immigration & Border Policy Directorate - Asylum Family Policy","1IIPG02","SEO","35114","45232","Policy Adviser","10.00","Policy"
"Home Office","Home Office","Immigration & Border Policy Directorate - Border Security Team","1IIPG18","EO","23330","30896","Policy Support Officer","2.00","Policy"
"Home Office","Home Office","Immigration & Border Policy Directorate - Border Security Team","1IIPG18","Grade 6","58103","74446","Senior Policy Adviser","3.00","Policy"
"Home Office","Home Office","Immigration & Border Policy Directorate - Border Security Team","1IIPG18","Grade 7","48004","62239","Senior Policy Adviser","8.00","Policy"
"Home Office","Home Office","Immigration & Border Policy Directorate - Border Security Team","1IIPG18","HEO","28280","37797","Policy Adviser","3.00","Policy"
"Home Office","Home Office","Immigration & Border Policy Directorate - Border Security Team","1IIPG18","SEO","35114","45232","Policy Adviser","4.00","Policy"
"Home Office","Home Office","Immigration & Border Policy Directorate - IMISE","1IIPG13","AO","20352","24336","Administration Support","1.00","Policy"
"Home Office","Home Office","Immigration & Border Policy Directorate - IMISE","1IIPG13","CIO","28280","37797","Policy Adviser","1.00","Policy"
"Home Office","Home Office","Immigration & Border Policy Directorate - IMISE","1IIPG13","Grade 6","58103","74446","Senior Policy Adviser","4.00","Policy"
"Home Office","Home Office","Immigration & Border Policy Directorate - IMISE","1IIPG13","Grade 7","48004","62239","Senior Policy Adviser","12.00","Policy"
"Home Office","Home Office","Immigration & Border Policy Directorate - IMISE","1IIPG13","HEO","28280","37797","Policy Adviser","10.00","Policy"
"Home Office","Home Office","Immigration & Border Policy Directorate - IMISE","1IIPG13","Immigration Inspector","35114","45232","Policy Adviser","2.00","Policy"
"Home Office","Home Office","Immigration & Border Policy Directorate - IMISE","1IIPG18","EO","23330","30896","Policy Support Officer","3.00","Policy"
"Home Office","Home Office","Immigration & Border Policy Directorate - IMISE","1IIPG13","SEO","35114","45232","Policy Adviser","3.00","Policy"
"Home Office","Home Office","Immigration & Border Policy Directorate - Director's Office","2IIPG06","Grade 7","48004","62239","Senior Policy Adviser","1.00","Policy"
"Home Office","Home Office","Immigration & Border Policy Directorate - Director's Office","2IIPG06","SEO","35114","45232","Policy Adviser","1.00","Policy"
"Home Office","Home Office","Immigration & Border Policy Directorate - Director's Office","2IIPG06","HEO","28280","37797","Policy Adviser","1.00","Policy"
"Home Office","Home Office","Immigration & Border Policy Directorate - Director's Office","2IIPG06","EO","23330","30896","Policy Adviser","4.00","Policy"
"Home Office","Home Office","Immigration & Border Policy Directorate - Director's Office","2IIPG06","AO","20352","24336","Policy Adviser","1.00","Policy"
"Home Office","Home Office","Immigration & Border Policy Directorate - Free Movement & Criminality","1IIPG23","EO","23330","30896","Policy Support Officer","3.00","Policy"
"Home Office","Home Office","Immigration & Border Policy Directorate - Free Movement & Criminality","1IIPG23","Grade 6","58103","74446","Senior Policy Adviser","2.00","Policy"
"Home Office","Home Office","Immigration & Border Policy Directorate - Free Movement & Criminality","1IIPG23","Grade 7","48004","62239","Senior Policy Adviser","5.00","Policy"
"Home Office","Home Office","Immigration & Border Policy Directorate - Free Movement & Criminality","1IIPG23","HEO","28280","37797","Policy Adviser","5.00","Policy"
"Home Office","Home Office","Immigration & Border Policy Directorate - Free Movement & Criminality","1IIPG23","SEO","35114","45232","Policy Adviser","9.00","Policy"
