Agency,Paid_fare,Trip type,Routing_type,Ticket class,Departure Date,Origin,Destination,Destination Country,Carrier
HMT,58.5,Continental,ONE-WAY,Economy,13/01/2011,LONDON,BASEL,SWITZERLAND,BRITISH AIRWAYS
HMT,58.5,Continental,ONE-WAY,Economy,13/01/2011,LONDON,BASEL,SWITZERLAND,BRITISH AIRWAYS
HMT,-35,Continental,ONE-WAY,Economy,13/01/2011,LONDON,BASEL,SWITZERLAND,BRITISH AIRWAYS
HMT,72.5,Continental,ONE-WAY,Economy,13/01/2011,LONDON,BASEL,SWITZERLAND,BRITISH AIRWAYS
HMT,-35,Continental,ONE-WAY,Economy,13/01/2011,LONDON,BASEL,SWITZERLAND,BRITISH AIRWAYS
HMT,58.5,Continental,ONE-WAY,Economy,13/01/2011,LONDON,BASEL,SWITZERLAND,BRITISH AIRWAYS
HMT,201.76,Continental,ONE-WAY,Economy,13/01/2011,LONDON,DUBLIN,IRELAND,AIR FRANCE
HMT,201.76,Continental,ONE-WAY,Economy,13/01/2011,LONDON,DUBLIN,IRELAND,AIR FRANCE
HMT,246.9,Continental,ONE-WAY,Economy,14/01/2011,BASEL,LONDON,UNITED KINGDOM,BRITISH AIRWAYS
HMT,-16.3,Continental,ONE-WAY,Economy,14/01/2011,BASEL,LONDON,UNITED KINGDOM,BRITISH AIRWAYS
HMT,276.63,Domestic,ROUND TRIP,Economy,14/01/2011,LONDON,EDINBURGH,UNITED KINGDOM,BRITISH AIRWAYS
HMT,273.5,Continental,ONE-WAY,Economy,14/01/2011,DUBLIN,LONDON,UNITED KINGDOM,AER LINGUS
HMT,126.5,Continental,ONE-WAY,Economy,14/01/2011,LONDON,DUBLIN,IRELAND,BMI
HMT,273.5,Continental,ONE-WAY,Economy,14/01/2011,DUBLIN,LONDON,UNITED KINGDOM,AER LINGUS
HMT,126.5,Continental,ONE-WAY,Economy,14/01/2011,LONDON,DUBLIN,IRELAND,BMI
HMT,273.5,Continental,ONE-WAY,Economy,14/01/2011,DUBLIN,LONDON,UNITED KINGDOM,AER LINGUS
DMO,276.63,Domestic,ROUND TRIP,Economy,14/01/2011,LONDON,EDINBURGH,UNITED KINGDOM,BRITISH AIRWAYS
HMT,273.5,Continental,ONE-WAY,Economy,14/01/2011,DUBLIN,LONDON,UNITED KINGDOM,AER LINGUS
HMT,1872.17,Intercontinental,ROUND TRIP,Business Class,16/01/2011,LONDON,DELHI,INDIA,VIRGIN ATLANTIC
HMT,231.6,Continental,ROUND TRIP,Economy,16/01/2011,LONDON,BERLIN,GERMANY,BMI
HMT,268.6,Continental,ROUND TRIP,Economy,16/01/2011,LONDON,BERLIN,GERMANY,BMI
HMT,198.93,Continental,ROUND TRIP,Economy,16/01/2011,LONDON,BERLIN,GERMANY,LUFTHANSA GERMAN AIRLINES
HMT,187.53,Continental,ROUND TRIP,Economy,16/01/2011,LONDON,PARIS,FRANCE,AIR FRANCE
HMT,43,Continental,ROUND TRIP,Economy,16/01/2011,LONDON,BERLIN,GERMANY,LUFTHANSA GERMAN AIRLINES
HMT,2671.6,Intercontinental,ORIGIN OPEN JAW,Business Class,20/01/2011,LONDON,WASHINGTON,UNITED STATES,BRITISH AIRWAYS
HMT,332.43,Domestic,ROUND TRIP,Economy,20/01/2011,LONDON,ABERDEEN,UNITED KINGDOM,BRITISH AIRWAYS
HMT,443.5,Continental,ONE-WAY,Economy,21/01/2011,LONDON,PARIS,FRANCE,BRITISH AIRWAYS
HMT,154.6,Continental,ONE-WAY,Economy,21/01/2011,EDINBURGH,PARIS,FRANCE,FLYBE BRITISH EUROPEAN
HMT,263.2,Intercontinental,ONE-WAY,Economy,22/01/2011,BEIJING,HONG KONG,HONG KONG,AIR CHINA
HMT,298.5,Domestic,ROUND TRIP,Economy,24/01/2011,LONDON,EDINBURGH,UNITED KINGDOM,BRITISH AIRWAYS
HMT,252.5,Domestic,ROUND TRIP,Economy,24/01/2011,LONDON,EDINBURGH,UNITED KINGDOM,BRITISH AIRWAYS
HMT,105.03,Domestic,ROUND TRIP,Economy,24/01/2011,LONDON,EDINBURGH,UNITED KINGDOM,EASYJET
HMT,30.75,Domestic,ROUND TRIP,Economy,24/01/2011,LONDON,EDINBURGH,UNITED KINGDOM,EASYJET
HMT,398.49,Continental,ROUND TRIP,Business Class,27/01/2011,LONDON,ZURICH,SWITZERLAND,SWISS
HMT,346.49,Continental,ROUND TRIP,Business Class,27/01/2011,LONDON,ZURICH,SWITZERLAND,SWISS
HMT,443.49,Continental,ROUND TRIP,Business Class,27/01/2011,LONDON,ZURICH,SWITZERLAND,SWISS
HMT,346.49,Continental,ROUND TRIP,Business Class,27/01/2011,LONDON,ZURICH,SWITZERLAND,SWISS
HMT,1929.7,Intercontinental,ROUND TRIP,Business Class,30/01/2011,LONDON,WASHINGTON,UNITED STATES,BRITISH AIRWAYS
HMT,1929.7,Intercontinental,ROUND TRIP,Business Class,30/01/2011,LONDON,WASHINGTON,UNITED STATES,BRITISH AIRWAYS
HMT,190.6,Continental,ROUND TRIP,Economy,31/01/2011,LONDON,LUXEMBOURG,LUXEMBOURG,LUXAIR
HMT,267.5,Continental,ONE-WAY,Economy,31/01/2011,LONDON,SOFIA,BULGARIA,BRITISH AIRWAYS
HMT,173.7,Continental,ONE-WAY,Economy,03/02/2011,BUDAPEST,LONDON,UNITED KINGDOM,BRITISH AIRWAYS
HMT,1118.5,Intercontinental,ROUND TRIP,Economy,03/02/2011,CHARLESTON,WASHINGTON,UNITED STATES,UNITED AIRLINES
HMT,332.43,Domestic,ROUND TRIP,Economy,03/02/2011,LONDON,ABERDEEN,UNITED KINGDOM,BRITISH AIRWAYS
HMT,276.63,Domestic,ROUND TRIP,Economy,03/02/2011,LONDON,EDINBURGH,UNITED KINGDOM,BRITISH AIRWAYS
HMT,276.63,Domestic,ROUND TRIP,Economy,03/02/2011,LONDON,EDINBURGH,UNITED KINGDOM,BRITISH AIRWAYS
