Invoice Date,Supplier Name,Proclass Category,Service Area,Cost Centre Name,Invoiced
06/12/2013,A & W DAWSON,Unclassifiable,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£500.00
06/12/2013,A & W DAWSON,Unclassifiable,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£846.00
12/12/2013,A & W DAWSON,Unclassifiable,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£500.00
12/12/2013,A & W DAWSON,Unclassifiable,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£830.40
18/12/2013,A & W DAWSON,Unclassifiable,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£735.60
18/12/2013,A & W DAWSON,Unclassifiable,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£500.00
10/12/2013,A E YATES LTD,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,FLOOD RISK MGT INFRASTRUCTURE,"£42,850.84"
06/12/2013,A W COLEMAN,Unclassifiable,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£6,102.40"
20/12/2013,ABC DOES LTD,Consultancy,EARLY HELP AND SCHOOLS,GENERAL SURE START TRAINING,£819.00
17/12/2013,ADAPT BUILDING SERVICES LTD,"Works - Construction, Repair & Maintenance",PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,"£4,500.00"
06/12/2013,ADOPTION MATTERS,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INTER AGENCY ADOPTION,£750.00
12/12/2013,ADOPTION MATTERS,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INTER AGENCY ADOPTION,"£1,040.32"
10/12/2013,AGR CARE SERVICES,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£10,590.00"
03/12/2013,AJS TRAINING,Human Resources,EARLY HELP AND SCHOOLS,OUTDOOR EDUCATION ADVISER,"£2,425.00"
04/12/2013,AJS TRAINING,Human Resources,EARLY HELP AND SCHOOLS,OUTDOOR EDUCATION ADVISER,£868.00
18/12/2013,AKSA HOUSING ASSOCIATION,Housing Management,ECONOMY AND ENVIRONMENT,EMPTY PROPERTY GRANT,"£13,511.40"
06/12/2013,ALAN BIRCH,Education,CORPORATE SERVICES,LITERARY & IDEAS FESTIVAL,£727.00
02/12/2013,ALCO MINI TRAVEL,Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£2,892.00"
18/12/2013,ALCO MINI TRAVEL,Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,434.00"
09/12/2013,ALDER HEY CHILDRENS FOUNDATION TRUST,Medical,CORPORATE SERVICES,CORONERS SERVICE GENERAL,£524.00
17/12/2013,ALIGNED ASSETS LIMITED,Information Communication Technology,CORPORATE SERVICES,THIRD PARTY CONTRACTS,£880.00
03/12/2013,ALLIANCE CARE AND EDUCATION,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£12,857.14"
19/12/2013,ALLIANCE DISPOSABLES LIMITED,Catering,ECONOMY AND ENVIRONMENT,NO 1 RIVERSIDE CLEANING,£555.94
02/12/2013,ALLIED HEALTHCARE GROUP LIMITED,Medical,PHYSICAL DIS & OLDER PEOPLE,NHS DELAYED TRANSFER,"£1,959.75"
03/12/2013,ALLIED HEALTHCARE GROUP LIMITED,Medical,PHYSICAL DIS & OLDER PEOPLE,NHS DELAYED TRANSFER,"£1,959.75"
10/12/2013,ALLIED HEALTHCARE GROUP LIMITED,Medical,PHYSICAL DIS & OLDER PEOPLE,NHS DELAYED TRANSFER,"£1,959.75"
13/12/2013,ALLIED HEALTHCARE GROUP LIMITED,Medical,PHYSICAL DIS & OLDER PEOPLE,NHS DELAYED TRANSFER,"£1,959.75"
20/12/2013,ALLIED HEALTHCARE GROUP LIMITED,Medical,PHYSICAL DIS & OLDER PEOPLE,NHS DELAYED TRANSFER,"£1,809.00"
06/12/2013,ALLIED HEALTHCARE GROUP LIMITED,Medical,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLE,"£10,786.20"
13/12/2013,ALLIED HEALTHCARE GROUP LIMITED,Medical,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLE,"£11,306.90"
20/12/2013,ALLIED HEALTHCARE GROUP LIMITED,Medical,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLE,"£11,326.99"
20/12/2013,ALLIED HEALTHCARE GROUP LIMITED,Medical,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLE,"£11,326.99"
09/12/2013,ALLIED HEALTHCARE GROUP LIMITED,Medical,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,"£1,013.69"
04/12/2013,ALMIN TRAVEL,Human Resources,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£2,000.00"
06/12/2013,ANDY HARROP,Unclassifiable,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£2,880.00"
09/12/2013,ANIMAL WARDENS LIMITED,Environmental Services,ECONOMY AND ENVIRONMENT,DOG WARDEN,£909.09
09/12/2013,ANIMAL WARDENS LIMITED,Environmental Services,ECONOMY AND ENVIRONMENT,DOG WARDEN,"£1,990.00"
09/12/2013,ANIMAL WARDENS LIMITED,Environmental Services,ECONOMY AND ENVIRONMENT,DOG WARDEN,£835.80
12/12/2013,ANTHONY COLLINS SOLICITORS LLP,Legal Services,ECONOMY AND ENVIRONMENT,HOMELESS TRANSFER COSTS,"£2,751.00"
13/12/2013,REDACTED - PERSONAL DATA,Legal Services,CHILDREN’S SOCIAL CARE,CSC PUBLIC LAW PROCEEDINGS EXTERNAL FEES,£660.00
19/12/2013,ASSOCIATED CLEANING CONTRACTORS,Cleaning & Janitorial,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,"£2,616.00"
04/12/2013,ASSOCIATION  PUBLIC SERVICE EXCELLENCE,Financial Services,ECONOMY AND ENVIRONMENT,WIND ENERGY PROJECT - PILOT PHASE,"£1,363.87"
13/12/2013,ASSOCIATION  PUBLIC SERVICE EXCELLENCE,Financial Services,ECONOMY AND ENVIRONMENT,WIND ENERGY PROJECT - PILOT PHASE,"£1,313.60"
19/12/2013,ASTOR-BANNERMAN (MEDICAL) LTD,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,£618.95
17/12/2013,ASTRA SIGNS LTD,Building Construction Materials,CORPORATE SERVICES,BOROUGHWIDE LIBRARIES,"£1,156.00"
17/12/2013,ASTRA SIGNS LTD,Building Construction Materials,CORPORATE SERVICES,BOROUGHWIDE LIBRARIES,"£1,320.00"
17/12/2013,AUTUMN (UK) LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,"£2,626.88"
19/12/2013,AUTUMN (UK) LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,"£2,740.91"
13/12/2013,AVK SEG UK LTD,Consultancy,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,£724.00
10/12/2013,AXIOM EDUCATION (ROCHDALE) LIMITED,Education,EARLY HELP AND SCHOOLS,PFI CONTRACT GENERAL,"£661,215.01"
18/12/2013,AXIOM EDUCATION (ROCHDALE) LIMITED,Education,EARLY HELP AND SCHOOLS,PFI VARIATIONS,"£4,451.48"
03/12/2013,BACK OTH MOSS COMMUNITY CENTRE,Financial Services,CORPORATE SERVICES,BACK O TH MOSS COMMUNITY CENTRE,"£10,575.00"
10/12/2013,BADENOCH & CLARK,Human Resources,CORPORATE SERVICES,LEGAL SERVICES,"£2,225.00"
09/12/2013,BARKATH LIMITED,Medical,CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£1,731.40"
24/12/2013,BATES WELLS & BRAITHWAITE,Legal Services,LEARNING DIS & MENTAL HEALTH,LD PROVIDER MANAGEMENT & ADMIN,"£1,800.00"
18/12/2013,BAUER RADIO LTD,Facilities & Management Services,ECONOMY AND ENVIRONMENT,RETROFIT,£720.00
20/12/2013,BEECHKEYS CARE AND EDUCATION,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,IND SCHOOLS  RESIDENTIAL,"£10,427.00"
03/12/2013,BERTRAM TRADING LIMITED,Education,CORPORATE SERVICES,BIBS UNIT,"£1,478.96"
03/12/2013,BERTRAM TRADING LIMITED,Education,CORPORATE SERVICES,BIBS UNIT,"£1,404.28"
03/12/2013,BERTRAM TRADING LIMITED,Education,CORPORATE SERVICES,BIBS UNIT,"£1,398.00"
