Organisation Name,Organisation Code,Effective Date,Directorate,Service (Sercop),Sercop URI,Supplier Name,Supplier ID,Company Registration,Charity Registration,VCSE Grant,Payment Date,Transaction Number,Seq No,Net Amount,Irrecoverable VAT,Purpose of Spend,Type,Procurement Classification,Class Code,Thomson Classification,Thomson Desc.,Contract
Wakefield MDC,E08000036,31/12/2016,REGENCULT,A,Net (Surplus) / Deficit of Trading Operations,ARROW COMMERCIAL CENTRE T/A ARROW SELF DRIVE,Redacted,Not yet available,Not yet available,Not yet available,28/12/2016,23213250,1,545.67,Nil,Accident Repairs - Charge User,Revenue,Transport,CAT10,Van & Truck & Car Hire,82050,Not yet available
Wakefield MDC,E08000036,31/12/2016,ADULTS,7,Adult Social Care,ALERT -IT CARE ALARMS,Redacted,Not yet available,Not yet available,Not yet available,24/11/2016,23192345,1,1355.7,Nil,Adaptations,Revenue,Adult Services,CAT04,Medical Equipment Manufacturers,50348,Not yet available
Wakefield MDC,E08000036,31/12/2016,ADULTS,7,Adult Social Care,ALERT -IT CARE ALARMS,Redacted,Not yet available,Not yet available,Not yet available,24/11/2016,23192346,1,552.1,Nil,Adaptations,Revenue,Adult Services,CAT04,Medical Equipment Manufacturers,50348,Not yet available
Wakefield MDC,E08000036,31/12/2016,ADULTS,7,Adult Social Care,C MITCHELL & SONS,Redacted,Not yet available,Not yet available,Not yet available,07/10/2016,23152694,1,640,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,Roofing Services,65470,Not yet available
Wakefield MDC,E08000036,31/12/2016,ADULTS,7,Adult Social Care,C MITCHELL & SONS,Redacted,Not yet available,Not yet available,Not yet available,07/11/2016,23174574,1,550,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,Roofing Services,65470,Not yet available
Wakefield MDC,E08000036,31/12/2016,ADULTS,7,Adult Social Care,C MITCHELL & SONS,Redacted,Not yet available,Not yet available,Not yet available,10/11/2016,23177972,1,650,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,Roofing Services,65470,Not yet available
Wakefield MDC,E08000036,31/12/2016,ADULTS,7,Adult Social Care,C MITCHELL & SONS,Redacted,Not yet available,Not yet available,Not yet available,14/11/2016,23177978,1,835,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,Roofing Services,65470,Not yet available
Wakefield MDC,E08000036,31/12/2016,ADULTS,7,Adult Social Care,C MITCHELL & SONS,Redacted,Not yet available,Not yet available,Not yet available,17/11/2016,23186286,1,600,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,Roofing Services,65470,Not yet available
Wakefield MDC,E08000036,31/12/2016,ADULTS,7,Adult Social Care,C MITCHELL & SONS,Redacted,Not yet available,Not yet available,Not yet available,17/11/2016,23186288,1,600,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,Roofing Services,65470,Not yet available
Wakefield MDC,E08000036,31/12/2016,ADULTS,7,Adult Social Care,C MITCHELL & SONS,Redacted,Not yet available,Not yet available,Not yet available,06/12/2016,23191754,1,580,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,Roofing Services,65470,Not yet available
