Ratepayer Name,Property Address,Propref,Billing Address,RV
,"Caravan Site (No 1), Plane Trees Farm, Northowram, Halifax             HX3 7SA",64656703,,680
,"Garage, Lowerfield Bottom Farm, Coley Road, Halifax              HX3 7SA",64656708,,3400
,"Lower Field Bottom Farm, Coley Road, Northowram, Halifax             HX3 7SA",64656706,,1800
,"Church View Stables, Coley Road, Northowram, Halifax              HX3 7SA",64656702,,1800
,"10 Commercial Street, Halifax, HX1 1TA",64660010,,6800
,"13 Commercial Street, Halifax, HX1 1HJ",64660013,,7300
,"14 Commercial Street, Halifax, HX1 1TA",64660014,,6000
,"16 Commercial Street, Halifax, HX1 1TA",64660016,,6500
,"18 Commercial Street, Halifax, HX1 1TA",64660018,,6300
,"109 Haley Hill, Halifax, HX3 6EE",65224109,,2550
,"113 Haley Hill, Halifax, HX3 6EE",65224113,,2600
,"115 Haley Hill, Halifax, HX3 6EE",65224115,,2750
Taylor Made Safety Ltd,"117 Haley Hill, Halifax, HX3 6EE",65224117,,7100
,"119 Haley Hill, Halifax, HX3 6EE",65224119,,2075
Spectrum Resin Systems Ltd,"Unit 2 Haley Hill Works, Haley Hill, Halifax, HX3 6ED",65224730,"Fao M. Brophy, Unit 2 Haley Hill Works, Haley Hill, Halifax, HX3 6ED",5300
,"Pear Tree Garage, Halifax Old Road, Hipperholme, Halifax              HX3 8PJ",65232714,,6300
,"Halifax Road, Hipperholme, Halifax, HX3 8ER",65232706,,1675
,"Unit 4, 561 Gibbet Street, Halifax, HX2 0AL",65164889,,2750
Imagineer Development Cic,"Unit 1, Princess Court Business Cntr, 36 Gibbet Street, Halifax              HX1 5BA",65164843,,8200
,"40/42 Gibbet Street, Halifax, HX1 5BA",65164773,,5300
,"62 Gibbet Street, Halifax, HX1 5BP",65164841,,9700
,"95 Gibbet Street, Halifax, HX1 5BP",65164095,,4800
,"97-101 Gibbet Street, Halifax, HX1 5BP",65164097,,9000
,"114-116 Gibbet Street, Halifax, HX1 5BZ",65164879,,5900
,"117a Gibbet Street, Halifax, HX1 5BP",65164793,,2550
,"118 Gibbet Street, Halifax, HX1 5LE",65164118,,2800
,"119 Gibbet Street, Halifax, HX1 5BP",65164119,,3250
,"121 Gibbet Street, Halifax, HX1 5BP",65164775,,5600
,"Illingworth Moor Post Office, Illingworth Road, Halifax, HX2 9DL",65424702,,7300
,"26 Illingworth Road, Illingworth, Halifax, HX2 9EN",65424026,,2800
St Malachys Credit Union Ltd,"26a Illingworth Road, Illingworth, Halifax, HX2 9EN",65424701,"F.A.O. Mr Stuart Stott, 26a Illingworth Road, Illingworth, HX2 9EN",3550
,"28 Illingworth Road, Illingworth, Halifax, HX2 9EN",65424028,,2850
,"38/40 Illingworth Road, Illingworth, Halifax, HX2 9EN",65424700,,5600
,"42 Illingworth Road, Illingworth, Halifax, HX2 9EN",65424042,,3050
,"56 Illingworth Road, Illingworth, Halifax, HX2 9EN",65424056,,2750
,"42 Ing Head Terrace, Shelf, Halifax, HX3 7LB",65428042,,4700
,"1 Ivy Terrace, Lightcliffe, Halifax, HX3 8BD",65444001,,3500
Fletchers Family Fryers Ltd,"James Street Fisheries, Holywell Green, Halifax, HX4 9AS",65456700,,1250
,"Arundel Street, Halifax, HX1 4LE",64084703,,7700
A & B Antiques Ltd,"9A/10A &11A, Lees Buildings, Halifax Road, Hipperholme",65624706,"9A/10A & 11A Lees Buildings, Halifax Road, Hipperholme, Halifax, HX3 8EW",8400
Walker May (Halifax) Ltd,"The Stoneyard, Fenny Royd, Halifax Road, Hipperholme          HX3 8HQ",65232732,"The Stone Yard, Fenny Royd, Hipperholme, Halifax, HX3 8HQ",4450
Alan Douglas Haulage Ltd,"Maltings Garage, Halifax Road, Hipperholme, Halifax             HX3 8HQ",65232717,,9300
,"Unit 1 Lrp Business Park, Halifax Road, Hipperholme, Halifax              HX3 8ER",65232703,,4050
,"Unit 2 Lrp Business Park, Halifax Road, Hipperholme, Halifax              HX3 8ER",65232705,,6200
Motoretta Ltd,"2 Halifax Road, Hipperholme, Halifax, HX3 8EN",65232002,"Fao D P Cockroft, 49 Half House Lane, Hove Edge, Brighouse, HD6 2PH",10750
Ploughcroft Ltd,"Whitehall Chambers, Halifax Road, Hipperholme, Halifax             HX3 8EN",65232707,,8800
,"Roydfield Garage, 32a Halifax Road, Hipperholme, Halifax             HX3 8HQ",65232722,,2225
,"Unit 2A, Hipperholme Business Park, Halifax Road, Hipperholme          HX3 8ER",65232763,,4050
Ashanti Ltd,"Unit 2E, Hipperholme Business Park, Halifax Road, Hipperholme          HX3 8ER",65232768,"Hipperholme Business Park, Halifax Road, Hipperholme, Halifax, HX3 8ER",2375
Unique Campers Ltd,"Unit 1, Hipperholme Business Park, Halifax Road, Hipperholme          HX3 8ER",65232766,"541 Halifax Road, Hipperholme, Halifax, HX3 8ER",8400
,"Unit 6, Hipperholme Business Park, Halifax Road, Halifax              HX3 8ER",65232756,,5100
Leisure 7 Ltd,"Unit 2B, Hipperholme Business Park, Halifax Road, Hipperholme          HX3 8ER",65232764,"Units 2b, Hipperholme Business Park, Halifax Road, Hipperholme, HX3 8ER",5100
,"Unit 2D, Hipperholme Business Park, Halifax Road, Hipperholme          HX3 8ER",65232767,,1800
,"Unit 2C, Hipperholme Business Park, Halifax Road, Hipperholme          HX3 8ER",65232769,,4000
,"1 Lees Buildings, Halifax Road, Hipperholme, Halifax             HX3 8EW",65624700,,13250
,"6A Lees Buildings, Halifax Road, Hipperholme, Halifax              HX3 8EW",65624708,,3400
Antique & Classic Interiors Ltd,"7 & 8 Lees Buildings, Halifax Road, Hipperholme, Halifax              HX3 8EW",65624707,,7300
Elland Rifle & Pistol Club,"Rear Pattern Shop, Rosemount Estate, Huddersfield Road, Elland               HX5 0EE",56132864,,10250
W J North Ltd,"Yard 1 & 2 Rosemount Estate, Huddersfield Road, Elland, HX5 9DW",56132815,,8900
,"Unit 9, The Ainleys, Huddersfield Road, Elland              HX5 9JR",56132784,,2950
,"Unit 7 The Ainleys, Huddersfield Road, Elland, HX5 9JR",56132792,,3050
,"Market Stall 117,118 &120, Market Hall, Borough Market, Halifax              HX1 1DZ",64288821,,6000
,"Market Stall 121, Market Hall, Borough Market, Halifax             HX1 1DZ",64288761,,1425
,"Market Stall 122/132/133, Market Hall, Borough Market, Halifax             HX1 1DZ",64288762,,10500
,"Market Stall 123, Market Hall, Borough Market, Halifax             HX1 1DZ",64288763,,3200
,"Market Stall 124/131, Market Hall, Borough Market, Halifax             HX1 1DZ",64288764,,5000
,"Market Stall 125, 125A 126A, Market Hall, Borough Market, Halifax              HX1 1DZ",64288765,,3950
,"Market Stall 126, Market Hall, Borough Market, Halifax             HX1 1DZ",64288766,,2700
,"Market Stall 129-130, Market Hall, Borough Market, Halifax             HX1 1DZ",64288768,,4700
,"Market Stall 134-135, Market Hall, Borough Market, Halifax             HX1 1DZ",64288769,,4700
,"Rose & Crown Inn, Bowling Green, Stainland, Halifax             HX4 9PF",64300702,,4100
,"R/O 7/9 Bowling Green, Stainland, Halifax, HX4 9PF",64300703,,3200
Bowling Green Primary School,"Bowling Green Primary School, Stainland, Halifax, HX4 9HU",64300700,,13500
,"1/3 Bowman Terrace, Halifax, HX1 5PB",64304001,,7600
,"Land R/O Boys Scarr, Boy Mill Road, Luddendenfoot, Halifax              HX2 6ET",64348701,,560
,"Gf Unit 1 Hough Mills, Bradford Road, Halifax, HX3 7BN",64332712,,6800
D & Ma Sunderland & Son Limited,"Gf Unit 2 Hough Mills, Bradford Road, Halifax, HX3 7BN",64332713,"Chat Hill Farm, Chat Hill Road, Thornton, Bradford, BD13 3AR",9800
