Customer,Number of Travellers, Total Cost ex VAT ,Travel Class,Ticket Single or Return,Travel Date,Journey Start Point,Journey Finish Point,Air Carrier
Department for Transport,1,£81.52,ECONOMY,Return,10/2/2011,GLASGOW,LONDON - LGW,FLYBE
Department for Transport,1,£217.14,ECONOMY,Return,29/3/2011,LONDON - LGW,MARRAKECH,EASYJET
Department for Transport,1,"£7,969.20",BUSINESS,Return,7/4/2011,LONDON - LHR,SINGAPORE,BRITISH AIRWAYS
Department for Transport,1,£272.82,BUSINESS,Return,7/4/2011,LONDON - LGW,EDINBURGH,BRITISH AIRWAYS
Department for Transport,1,"£7,969.20",BUSINESS,Return,7/4/2011,LONDON - LHR,SINGAPORE,BRITISH AIRWAYS
Department for Transport,1,£387.60,ECONOMY,Return,8/4/2011,LONDON - LHR,MILAN - LINATE,ALITALIA
Department for Transport,1,£206.03,ECONOMY,Return,9/4/2011,SOUTHAMPTON,MANCHESTER,FLYBE
Department for Transport,1,£278.80,ECONOMY,Return,10/4/2011,LONDON - LHR,MANCHESTER,BRITISH AIRWAYS
Department for Transport,1,£278.80,ECONOMY,Return,10/4/2011,LONDON - LHR,MANCHESTER,BRITISH AIRWAYS
Department for Transport,1,£214.68,ECONOMY,Return,12/4/2011,LONDON - LHR,DUBLIN,AER LINGUS
Department for Transport,1,£190.43,ECONOMY,Return,12/4/2011,STANSTED,EDINBURGH,EASYJET
Department for Transport,1,£335.80,ECONOMY,Return,13/4/2011,LONDON - LHR,MANCHESTER,BRITISH AIRWAYS
Department for Transport,1,£298.17,ECONOMY,Return,13/4/2011,LONDON -CITY,EDINBURGH,BRITISH AIRWAYS
Department for Transport,1,£287.22,BUSINESS,Return,13/4/2011,LONDON - LHR,EDINBURGH,BRITISH AIRWAYS
Department for Transport,1,£258.51,ECONOMY,Return,13/4/2011,SOUTHAMPTON,MANCHESTER,FLYBE
Department for Transport,1,£145.00,ECONOMY,Single,13/4/2011,PLYMOUTH,MANCHESTER,AIR SOUTHWEST
Department for Transport,1,£117.90,ECONOMY,Single,13/4/2011,LONDON - LGW,MANCHESTER,BRITISH AIRWAYS
Department for Transport,1,£117.90,ECONOMY,Single,13/4/2011,LONDON - LGW,MANCHESTER,BRITISH AIRWAYS
Department for Transport,1,£336.60,ECONOMY,Single,14/4/2011,LONDON - LGW,TURIN,BRITISH AIRWAYS
Department for Transport,1,£196.40,ECONOMY,Return,14/4/2011,LONDON - LGW,MANCHESTER,BRITISH AIRWAYS
Department for Transport,1,£196.40,ECONOMY,Return,14/4/2011,LONDON - LGW,MANCHESTER,BRITISH AIRWAYS
Department for Transport,1,£177.51,ECONOMY,Return,14/4/2011,LONDON -CITY,ZURICH,SWISS AIRLINES
Department for Transport,1,£111.40,ECONOMY,Return,14/4/2011,LONDON - LGW,MANCHESTER,BRITISH AIRWAYS
Department for Transport,1,"£1,472.42",BUSINESS,Return,15/4/2011,LONDON - LHR,BEIRUT,BRITISH MIDLAND
Department for Transport,1,£879.02,BUSINESS,Single,15/4/2011,LONDON - LHR,BEIRUT,BRITISH MIDLAND
Department for Transport,1,"£1,472.42",BUSINESS,Return,15/4/2011,LONDON - LHR,BEIRUT,BRITISH MIDLAND
Department for Transport,1,£438.20,BUSINESS,Return,16/4/2011,LONDON - LGW,AMSTERDAM,BRITISH AIRWAYS
