"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00155792","OF4","69366","80320","Policy Adviser","1.00","Military"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","OF1","16468","33507","Military","653.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00009000","Locally Employed Civilian (LEC)","0","0","Locally Employed Civilian","190.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV01001","9","67806","119821","Director","4.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1671070","OF3","49424","59191","Army","6.00","Military"
"Ministry of Defence","Ministry of Defence","Army","1167535","Academic Profr of Music (Eng) - 2018","53112","53112","Specialist Instruction","2.56","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Navy Command","1105340","Academic Profr of Music (Eng) - 2018","53112","53112","Teaching","0.94","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","00000404","3","18648","26498","Team Member","7.81","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00155792","OR6","31058","38215","Executive Assistant","1.00","Military"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","OF2","38848","46199","Military","2508.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00009000","Second Officer RFA","42239","51242","Direct Military Support","32.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV01001","9","67806","119821","Principal","1.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1671070","OF4","69366","80320","Army","4.00","Military"
"Ministry of Defence","Ministry of Defence","Army","1167535","Academic Profr of Music (Eng) - 2018","53112","53112","Training Support","1.62","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Navy Command","1105340","Admiralty Pilot","44994","54475","Port Operations","18.86","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","00000404","4","20837","33829","Team Member","33.42","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00155792","D","24028","29383","Executive Assistant","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","OF3","49424","59191","Military","1304.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00009000","OF1","16468","33507","Military","2.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1671070","OF5","83205","91466","Army","2.00","Military"
"Ministry of Defence","Ministry of Defence","Army","1167535","Area Manager","48450","53806","Fire Service","19.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV02003","1","14394","16119","Team Member","3.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Navy Command","1105340","Admiralty Pilot (Trainee)","41131","48149","Port Operations","4.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","00000404","5","30889","42192","Team Leader","3.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00155792","E1","18845","22345","Policy Support Officer","1.00","Policy"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","OF4","69366","80320","Military","497.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00009000","OF2","38848","46199","Military","199.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1671070","OF2","38848","46199","RAF","1.00","Military"
"Ministry of Defence","Ministry of Defence","Army","1167535","Area Manager","48450","53806","Project Management","1.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV02003","2","14428","20628","Team Member","11.34","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Navy Command","1105340","B1","57877","72907","Business Management","4.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","00000404","5","30889","42192","Team Member","24.95","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00155792","E2","16028","19003","Policy Support Officer","0.01","Policy"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","OF5","83205","91466","Military","145.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00009000","OF3","49424","59191","Military","301.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1671070","OF3","49424","59191","RAF","6.00","Military"
"Ministry of Defence","Ministry of Defence","Army","1167535","Area Officer Social Worker","49193","60130","Community Service","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV02003","3","18648","26498","Team Member","32.41","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Navy Command","1105340","B1","57877","72907","Decision Support","1.00","Finance"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","00000404","6","38357","51595","Project Manager","1.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00155792","B2 MSF","49147","60130","Policy Support Officer","1.00","Policy"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","OR1-3","18125","29947","Military","8799.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00009000","OF4","69366","80320","Military","197.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1671070","OF4","69366","80320","RAF","5.00","Military"
"Ministry of Defence","Ministry of Defence","Army","1167535","Assistant Head Teacher","38215","107210","Teaching","6.61","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV02003","4","20837","33829","Team Member","94.96","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Navy Command","1105340","B1","57877","72907","Estate Planning","1.00","Property And Asset Management"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","00000404","6","38357","51595","Team Leader","11.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00155792","B2","49161","60130","Policy Support Officer","1.00","Policy"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","OR4","27324","34338","Military","4880.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00009000","OF5","83205","91466","Military","74.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1671070","OF5","83205","91466","RAF","2.00","Military"
"Ministry of Defence","Ministry of Defence","Army","1167535","Assistant Head Teacher","38215","107210","Teaching L'ship","4.86","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV02003","5","30889","42192","Team Leader","4.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Navy Command","1105340","B1","57877","72907","Estates Management","1.00","Property And Asset Management"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","00000404","6","38357","51595","Team Member","32.37","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00155792","OF2","38848","46199","Policy Support Officer","2.00","Military"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","OR6","31058","38215","Military","3564.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00009000","OR1","17945","29651","Military","10.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1671070","OF3","49424","59191","RN","6.00","Military"
"Ministry of Defence","Ministry of Defence","Army","1167535","B1","57877","72907","Business Management","5.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV02003","5","30889","42192","Team Member","58.68","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Navy Command","1105340","B1","57877","72907","Historical","1.00","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","00000404","7","47947","61439","Chief","1.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00155792","OF4","69366","80320","Policy Support Officer","2.00","Military"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","OR7","34039","44315","Military","1664.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00009000","OR2","18125","29947","Military","3.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1671070","OF4","69366","80320","RN","5.00","Military"
"Ministry of Defence","Ministry of Defence","Army","1167535","B1","57877","72907","Decision Support","6.86","Finance"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV02003","6","38357","51595","Programme Leader","1.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Navy Command","1105340","B1","57877","72907","Inventory Management","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","00000404","7","47947","61439","Group Leader","7.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00155792","C2","30008","36696","Policy Support Officer","3.00","Policy"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","OR8","34039","44315","Military","91.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00009000","OR3","18125","29947","Military","16.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1671070","OF5","83205","91466","RN","1.00","Military"
"Ministry of Defence","Ministry of Defence","Army","1167535","B1","57877","72907","Legal","1.00","Law"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV02003","6","38357","51595","Team Leader","28.22","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Navy Command","1105340","B1","57877","72907","Naval Architecture","1.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","00000404","7","47947","61439","Principal","1.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00155792","D","24028","29383","Policy Support Officer","2.00","Policy"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","OR9","39944","48381","Military","559.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00009000","OR4","27324","34338","Military","63.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1671070","OR9","39944","48381","RN","1.00","Military"
"Ministry of Defence","Ministry of Defence","Army","1167535","B1","57877","72907","Museum","1.00","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV02003","6","38357","51595","Team Member","65.58","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Navy Command","1105340","B1","57877","72907","Programme Management","1.80","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","00000404","7","47947","61439","Project Manager","2.76","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00155792","OF3","49424","59191","Policy Support Officer","2.00","Military"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","TUPEBDO 42 GRO","21000","34000","Safety Management","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00009000","OR6","31058","38215","Military","78.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1671070","OF1","16468","33507","Army","14.00","Military"
"Ministry of Defence","Ministry of Defence","Army","1167535","B1","57877","72907","Occupational Psychology","1.00","Psychology"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV02003","7","47947","61439","Chief","2.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Navy Command","1105340","B1","57877","72907","Safety,Health,Enviroment&Fire","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","00000404","7","47947","61439","Team Member","8.04","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00155792","OF2","38848","46199","Policy Support Officer","1.00","Military"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","Senior Lecturer","46296","48149","Teaching","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00009000","OR7","34039","44315","Military","289.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1671070","OF2","38848","46199","Army","80.00","Military"
"Ministry of Defence","Ministry of Defence","Army","1167535","B1","57877","72907","Operational Analysis","1.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV02003","7","47947","61439","Department Manager","1.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Navy Command","1105340","B1","57877","72907","Secretariat & Private Office","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","00000404","8","56529","70663","Chief","1.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00155792","OR 7-8","34380","44758","Policy Support Officer","0.01","Military"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","Aviation Offr 1","38774","44711","Direct Military Support","13.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00009000","OR8","34039","44315","Military","53.00","Military"
