"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","B&C","OD099","Grade 6","58935","74581","Senior Operational Manager","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","B&C","OD099","Grade 7","47903","61898","Senior Operational Manager","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","B&C","OD104","Grade 6","58935","74581","Senior Operational Manager","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","B&C","OD104","Grade 7","47903","61898","Senior Communications Manager","1.00","Communications"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","B&C","OD104","Grade 7","47903","61898","Senior Operational Manager","4.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","B&C","OD104","Higher Officer","29068","37291","Communications Manager","3.70","Communications"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","B&C","OD104","Higher Officer","29068","37291","Operational Manager","3.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","B&C","OD104","Officer","23367","30483","Communications Manager","0.76","Communications"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","B&C","OD104","Officer","23367","30483","Operational Manager","0.83","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","B&C","OD104","Senior Officer","35409","43071","Senior Communications Manager","4.00","Communications"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","B&C","OD111","Grade 6","58935","74581","Senior Operational Manager","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","B&C","OD111","Higher Officer","29068","37291","Policy Adviser","1.00","Policy"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","B&C","OD111","Officer","23367","30483","Operational Manager","1.67","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","B&C","OD111","Senior Officer","35409","43071","Private Secretary","1.00","Tax Professionals"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","B&C","OD112","Admin Assistant","15529","20568","Operations Support Officer","1.65","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","B&C","OD112","Assistant Officer","18415","24012","Operations Support Officer","6.39","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","B&C","OD112","Assistant Officer","18415","24012","Policy Support Officer","0.59","Policy"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","B&C","OD112","Grade 6","58935","74581","Senior Operational Manager","2.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","B&C","OD112","Grade 6","58935","74581","Senior Project and Programme Manager","1.00","Programme and Project Management (PPM)"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","B&C","OD112","Grade 7","47903","61898","Senior Legal Adviser","1.00","Law"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","B&C","OD112","Grade 7","47903","61898","Senior Operational Manager","4.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","B&C","OD112","Grade 7","47903","61898","Senior Project and Programme Manager","2.00","Programme and Project Management (PPM)"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","B&C","OD112","Higher Officer","29068","37291","Business Manager","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","B&C","OD112","Higher Officer","29068","37291","IT Manager","1.00","Information Technology"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","B&C","OD112","Higher Officer","29068","37291","Librarians/Information Officer","2.00","Other"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","B&C","OD112","Higher Officer","29068","37291","Operational Manager","13.20","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","B&C","OD112","Higher Officer","29068","37291","Project and Programme Manager","3.00","Programme and Project Management (PPM)"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","B&C","OD112","Officer","23367","30483","Analyst","0.95","Knowledge and Information Management (KIM)"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","B&C","OD112","Officer","23367","30483","Librarians/Information Officer","0.65","Other"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","B&C","OD112","Officer","23367","30483","Operational Manager","13.51","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","B&C","OD112","Officer","23367","30483","Policy Adviser","1.00","Policy"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","B&C","OD112","Officer","23367","30483","Project and Programme Manager","3.00","Programme and Project Management (PPM)"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","B&C","OD112","Officer","23367","30483","Tax Officer","1.00","Tax Professionals"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","B&C","OD112","Senior Officer","35409","43071","Pacesetter Practitioner","1.00","Other"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","B&C","OD112","Senior Officer","35409","43071","Senior Analyst","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","B&C","OD112","Senior Officer","35409","43071","Senior IT Manager","1.00","Information Technology"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","B&C","OD112","Senior Officer","35409","43071","Senior Librarians/Information Specialists","1.00","Other"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","B&C","OD112","Senior Officer","35409","43071","Senior Operational Manager","4.81","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","B&C","OD112","Senior Officer","35409","43071","Senior Policy Adviser","2.00","Policy"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","B&C","OD112","Senior Officer","35409","43071","Senior Project and Programme Manager","1.94","Programme and Project Management (PPM)"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","B&C","OD113","Assistant Officer","18415","24012","Operations Support Officer","2.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","B&C","OD113","Grade 6","58935","74581","Senior Operational Manager","2.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","B&C","OD113","Grade 6","58935","74581","Senior Policy Adviser","1.00","Policy"
