Publisher Label,Publisher URI,Organisationname,OrganisationCode,Effectivedate,ContractReferencenumber,OpenContractingID,TitleoftheAgreement,Contracttype,Serviceresponsible,ServiceCategorylabel,ServicecategoryURI,Descriptionofgoodsandservices,Procurementclassification,CPVlabel,CPVcode,Proclasslabel,Proclasscode,Contractstartdate,Enddate,Reviewdate,Lastextensiondate,Contractvalue,Fixedorestimatedcost,IrrecoverableVAT,SupplierName,Supplierregisteredcompanynumber,Supplierregisteredcharitynumber,OthersupplierID,SMEsupplier,VCSEsupplier,VCSEsuppliertype,Nominatedcontactpointname,Nominatedcontactpointemail,NominatedcontactpointURL
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,http://opendatacommunities.org/id/district-council/wycombe,Wycombe,Aug 2016,22,,Data Room for Waste CD,,Environment,,,Data Room for Waste CD,,,,,,42278,42643,42580,0,2800,,N/A,EU supplies,,,,,,,,steve.middleton@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,http://opendatacommunities.org/id/district-council/wycombe,Wycombe,Aug 2016,25,,Joint Waste Legal Advice,,Democratic Legal & Policy,,,Joint Waste Legal Advice,,,,,,40513,42735,42704,0,74000,,N/A,Bevan Brittan,,,,,,,,julie.openshaw@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,http://opendatacommunities.org/id/district-council/wycombe,Wycombe,Aug 2016,39,,Housing Removals Contract,,Environment,,,Housing Removals Contract,,,,,,41913,43373,42739,0,40000,,N/A,Doree Bonner,,,,,,,,nick.lamport@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,http://opendatacommunities.org/id/district-council/wycombe,Wycombe,Aug 2016,51,,Non Life Insurance Services:,,Human Resources ICT/CSC & Shared Support Services,,,Non Life Insurance Services:,,,,,,41000,42825,42552,0,1050000,,N/A,Zurich,,,,,,,,ryan.savage@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,http://opendatacommunities.org/id/district-council/wycombe,Wycombe,Aug 2016,54,,Provision of temporary agency staff,,Human Resources ICT/CSC & Shared Support Services,,,Provision of temporary agency staff,,,,,,42125,42855,42744,2,1100000,,N/A,Adecco UK ltd,,,,,,,,jo.whiteley@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,http://opendatacommunities.org/id/district-council/wycombe,Wycombe,Aug 2016,55,,Private Medical Insurance,,Human Resources ICT/CSC & Shared Support Services,,,Private Medical Insurance,,,,,,42461,42825,42767,0,54000,,N/A,AXA PPP,,,,,,,,jo.whiteley@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,http://opendatacommunities.org/id/district-council/wycombe,Wycombe,Aug 2016,65,,Treasury Management Services. (Market intelligence and advice).,,Finance & Commercial,,,Treasury Management Services. (Market intelligence and advice).,,,,,,42095,42825,42643,0,15000,,N/A,Capita Treasury  Management  Services,,,,,,,,steve.richardson@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,http://opendatacommunities.org/id/district-council/wycombe,Wycombe,Aug 2016,70,,Death in Service Insurance service,,Finance & Commercial,,,Death in Service Insurance service,,,,,,42461,42825,42794,0,26000,,N/A,Canada Life,,,,,,,,ryan.savage@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,http://opendatacommunities.org/id/district-council/wycombe,Wycombe,Aug 2016,76,,Commercial Vehicles Lease,,Finance & Commercial,,,Commercial Vehicles Lease,,,,,,41911,43006,42644,0,21000,,N/A,Lex Autolease Ltd,,,,,,,,simon.blackett@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,http://opendatacommunities.org/id/district-council/wycombe,Wycombe,Aug 2016,80,,Supply of non-metered electricity,,Finance & Commercial,,,Supply of non-metered electricity,,,,,,42278,42643,42644,0,16000,,N/A,EDF Energy,,,,,,,,simon.blackett@wycombe.gov.uk,
