OrganisationLabel,OrganisationURI,EffectiveDate,ContractReference,ContractTitle,OrganisationalUnit,Description,ProcurementCategory,StartDate,EndDate,ReviewDate,OptionToExtend,ExtensionPeriod,ContractValue,IrrecoverableVAT,SupplierName,CharityCommissionNumber,SMESupplier,VCSESupplier,ContactName,ProcessType
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30-Apr,5334XAA662,Various Goods,STRATEGIC LANDLORD,,,10/04/2015,,,,,"£256,159.35",,"TRAVIS PERKINS TRADING CO LTD, Sales Ledger Po Box 5227, NULL, NORTHAMPTON, NN5 7ZE",,e) Large,,Phil Rigby,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30-Apr,630990,ICT Agency Fees,CENTRAL & CORPORATE,,,09/04/2015,,,,,"£50,976.93",,"Rullion IT Plus Limited, Po Box 47, Trafalgar House, ALTRINCHAM  CHESHIRE, WA14 1FG",,e) Large,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30-Apr,2203,Green Waste,ENVIRONMENT & HOUSING,,,16/04/2015,,,,,"£43,416.93",,"SJB Recycling Limited, Mount View, Standard Way, NORTHALLERTON, DL6 2YD",,c) Small,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30-Apr,3687,Landscaping and Construction Works,CENTRAL & CORPORATE,,,22/04/2015,,,,,"£43,870.70",,"Parkers Landscapes & Construction Ltd, 20 Burley Road, Menston, ILKLEY  WEST YORKSHI, LS29 6PG",,b) Micro,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30-Apr,5981,Metal Works,CHILDRENS SERVICES,,,02/04/2015,,,,,"£54,537.69",,"G & S PINPLATES AND ENGINEERING LTD, City Works, Melbourne Street, MORLEY    LEEDS, LS27 8BG",,b) Micro,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30-Apr,6988,SEN Placement,CHILDRENS SERVICES,,,28/04/2015,,,,,"£72,809.25",,"WILLIAM HENRY SMITH SCHOOL, Boothroyd, Brighouse, WEST YORKSHIRE, HD6 3JW",,Other/Not known,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30-Apr,200062445,Extra Care Provision,ADULT SOCIAL CARE,,,10/04/2015,,,,,"£27,502.44",,"ANCHOR TRUST, Burnbank House  Balliol Business Park, Benton Lane  Longbenton, NEWCASTLE UPON TYNE, NE12 8EW",,d) Medium,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30-Apr,7099201770A,Cycling costs,CITY DEVELOPMENT,,,30/04/2015,,,,,"£18,484.00",,"City Of Bradford Metropolitan District, Dept Finance Rev & Benefits Service, Dept 19 Brittania House  Halll Ings, BRADFORD, BD1 1HX",,Other/Not known,,Gillian MacLeod,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30-Apr,GEN27852,ICT Agency Fees,CENTRAL & CORPORATE,,,02/04/2015,,,,,"£26,136.00",,"Triad Resourcing, 37 Sunningdale House, Caldecotte Business Park, MILTON KEYNES, MK7 8LF",,d) Medium,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30-Apr,H5575478,Supply and Installation of Soft Dig and Grassmats at Lovell Park,ENVIRONMENT & HOUSING,,,27/04/2015,,,,,"£55,881.49",,"Hags-Smp Ltd, Waterfront Complex, Shipyard Ind Estate, SELBY, YO8 8AP",,d) Medium,,Edwige Moutault,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30-Apr,LS15002,Streamline payment charges,CENTRAL & CORPORATE,,,20/04/2015,,,,,"£25,256.67",,"Streamline Charges, Gateshead Card Centre, Victory House, Fifth Avenue, GATESHEAD, NE8 1HJ",,c) Small,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30-Apr,1800162733,Leeds DIP - Statutory Payment,ENVIRONMENT & HOUSING,,,16/04/2015,,,,,"£59,887.54",,"The West Yorkshire CRC Ltd, Finance Dept Cliff Hill House, Sandy Walk, WAKEFIELD, WF1 2DJ",,b) Micro,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30-Apr,6046,TO COMPLETE GROUNDWORKS,CENTRAL & CORPORATE,,,28/04/2015,,,,,"£84,471.65",,"M D CONSTRUCTION (BFD) LTD, Westfield Farm Westgate Hill Street, Tong, BRADFORD, BD4 0SL",,c) Small,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30-Apr,24875600,MONITORING & MAINTENANCE,ENVIRONMENT & HOUSING,,,30/04/2015,,,,,"£13,965.20",,"Initial Projects Ltd, Enterprise Drive, Four Ashes, WOLVERHAMPTON, WV10 7DE",,d) Medium,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30-Apr,24875638,Pharmacy Technician Training,ADULT SOCIAL CARE,,,02/04/2015,,,,,"£24,709.00",,"Leeds Community Healthcare Nhs Trust, Ry6 Receivables C639 Shared Bus Services, Phoenix House Topcliffe Lane, WAKEFIELD, WF3 1WE",,Other/Not known,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30-Apr,SIMI074830,Foster Care Accommodation,CHILDRENS SERVICES,,,02/04/2015,,,,,"£25,575.00",,"Rosedale Childrens Services Ltd, 6th Floor Metropolitan House, 3 Darkes Lane, POTTERS BAR, EN6 1AG",,c) Small,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30-Apr,2015197,Installation of Fire Protection,CENTRAL & CORPORATE,,,02/04/2015,,,,,"£18,613.00",,"Fire Protection Compliance Ltd, Grange Yard, Grange Lane, WINSFORD, CW7 2BP",,c) Small,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30-Apr,2015198,"Recreational Run Activator Role ",CITY DEVELOPMENT,,,24/04/2015,,,,,"£52,117.00",,"West Yorkshire Sport, Nepshaw Lane South, Morley, LEEDS, LS27 7JQ",,c) Small,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30-Apr,IN4543,Brigshaw High School S/F FIRE DOORS,CENTRAL & CORPORATE,,,30/04/2015,,,,,"£20,700.86",,"Neo Property Solutions Limited, Neo Court  Knowsthorpe Gate, Cross Green Industrial Estate, LEEDS, LS9 0PF",,c) Small,,Derek Prest,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30-Apr,2259,9 licences for 12 months for Vuelio,CENTRAL & CORPORATE,,,24/04/2015,,,,,"£5,600.00",,"Access Intelligence Media And, 3rd Floor Welken House, 10-11 Charterhouse Square, LONDON, EC1M 6EH",,,,Dee Reid,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30-Apr,2433,Redecoration to communal areas at Siegan Manor,ADULT SOCIAL CARE,,,02/04/2015,,,,,"£17,860.00",,"Alfred Bagnall & Sons (Leeds) Ltd, 6 Manor Lane, Shipley, BRADFORD, BD18 3RD",,c) Small,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30-Apr,INV25441,IDCR Demonstrator Work as quoted,CENTRAL & CORPORATE,,,23/04/2015,,,,,"£9,950.00",,"Answer Consulting Ltd, Union Mills  9 Dewsbury Rd, NULL, LEEDS, LS11 5DD",,,,Phil Barrett / David Maidment ,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30-Apr,1122,"Training session ""Legal aspects of the Care Act""",ADULT SOCIAL CARE,,,23/04/2015,,,,,"£5,250.00",,"Arianna Kelly, Kings Chambers, 5 Park Square, NULL, LEEDS, LS1 2NE",,a) Individual,,Rebecca Hewitt,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30-Apr,SI:3399,Payment for the BBC Philharmo,CITY DEVELOPMENT,,,09/04/2015,,,,,"£23,000.00",,"BBC PUBLIC SERVICES BRDC, Po Box 482, NULL, MANCHESTER, M14 0EP",,e) Large,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30-Apr,99163,Extras for various plots - 15-27 Acorn Park,ENVIRONMENT & HOUSING,,,10/04/2015,,,,,"£5,639.37",,"Bellway Homes Ltd (Yorkshire Division), 2 Deighton Close, NULL, WETHERBY, LS22 7GZ",,,,Rob Goor,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30-Apr,172,Damage to hired vehicle,CITY DEVELOPMENT,,,02/04/2015,,,,,"£6,348.91",,"ND Brown Ltd, Slade Heath House Old Stafford Road, Slade Heath, WOLVERHAMPTON, WV10 7PD",,d) Medium,,Chris Clarke,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30-Apr,94229630/2000,LLGA gym sessions - Bramley Baths -,CITY DEVELOPMENT,,,17/04/2015,,,,,"£5,200.00",,"Bramley Baths & Community Limited, Broad Lane, Bramley, LEEDS, LS13 3DF",,e) Large,,,Other
