PUBLICATION,EXTRACT_DATE,ORG_TYPE,ORG_CODE,ONS_CODE,SEX,AGE,NUMBER_OF_PATIENTS
GP_PRAC_PAT_LIST,01SEP2017,Comm Region,Y54,E40000001,FEMALE,0,78687
GP_PRAC_PAT_LIST,01SEP2017,Comm Region,Y54,E40000001,FEMALE,1,88792
GP_PRAC_PAT_LIST,01SEP2017,Comm Region,Y54,E40000001,FEMALE,10,92161
GP_PRAC_PAT_LIST,01SEP2017,Comm Region,Y54,E40000001,FEMALE,11,90912
GP_PRAC_PAT_LIST,01SEP2017,Comm Region,Y54,E40000001,FEMALE,12,89436
GP_PRAC_PAT_LIST,01SEP2017,Comm Region,Y54,E40000001,FEMALE,13,87552
GP_PRAC_PAT_LIST,01SEP2017,Comm Region,Y54,E40000001,FEMALE,14,84622
GP_PRAC_PAT_LIST,01SEP2017,Comm Region,Y54,E40000001,FEMALE,15,82315
GP_PRAC_PAT_LIST,01SEP2017,Comm Region,Y54,E40000001,FEMALE,16,83315
GP_PRAC_PAT_LIST,01SEP2017,Comm Region,Y54,E40000001,FEMALE,17,85831
GP_PRAC_PAT_LIST,01SEP2017,Comm Region,Y54,E40000001,FEMALE,18,89588
GP_PRAC_PAT_LIST,01SEP2017,Comm Region,Y54,E40000001,FEMALE,19,97421
GP_PRAC_PAT_LIST,01SEP2017,Comm Region,Y54,E40000001,FEMALE,2,89640
GP_PRAC_PAT_LIST,01SEP2017,Comm Region,Y54,E40000001,FEMALE,20,104898
GP_PRAC_PAT_LIST,01SEP2017,Comm Region,Y54,E40000001,FEMALE,21,105500
GP_PRAC_PAT_LIST,01SEP2017,Comm Region,Y54,E40000001,FEMALE,22,107440
GP_PRAC_PAT_LIST,01SEP2017,Comm Region,Y54,E40000001,FEMALE,23,111219
GP_PRAC_PAT_LIST,01SEP2017,Comm Region,Y54,E40000001,FEMALE,24,111921
GP_PRAC_PAT_LIST,01SEP2017,Comm Region,Y54,E40000001,FEMALE,25,111948
