School,Number of pupils on roll,No. eligible for free school meals,% eligible for free school meals,Number of pupils on roll (Excluding nursery pupils),No. eligible for free school meals (Excluding nursery pupils)
All Saints' CE (VA) J & I School,211,7,3.3,211,7
Ash Green Community Primary School,447,151,33.8,403,151
Bailiffe Bridge J & I School,203,6,3,203,6
Barkisland CE (VA) Primary School,182,11,6,182,11
Bowling Green Primary School,159,16,10.1,159,16
Carr Green Primary School,368,26,7.1,315,26
Castle Hill Primary School,285,37,13,247,34
Castlefields Infant School,162,27,16.7,162,27
Central Street Infant & Nursery School,96,13,13.5,70,12
Christ Church (Pellon) CE (VC) Primary School,180,45,25,180,45
Christ Church CE (VA) Junior School (Sowerby Bridge),106,28,26.4,106,28
Cliffe Hill Community Primary School,213,68,31.9,187,68
Colden J & I School,119,1,0.8,119,1
Copley Primary School,232,8,3.4,232,8
"Cornholme J, I & N School",220,48,21.8,185,43
Cragg Vale J & I School,65,2,3.1,65,2
Cross Lane Primary and Nursery School,329,50,15.2,279,49
Dean Field Community Primary School,223,91,40.8,198,91
"Elland CE (VA) J, I & N School",238,74,31.1,201,74
Ferney Lee Primary School,220,71,32.3,192,60
Hebden Royd CE (VA) Primary School,142,10,7,129,8
"Heptonstall J, I & N School",114,7,6.1,97,5
Highbury School,72,37,51.4,67,37
Holywell Green Primary School,240,21,8.8,206,21
Lee Mount Primary School,393,95,24.2,354,89
Lightcliffe CE (VA) Primary School,422,8,1.9,422,8
"Ling Bob J, I & N School",402,158,39.3,302,117
Longroyde Junior School,254,54,21.3,254,54
Luddenden CE School,217,42,19.4,188,39
Midgley School,106,1,0.9,106,1
Moorside Community Primary School,291,112,38.5,255,112
New Road Primary School,121,39,32.2,121,39
Norland CE (VC) J & I School,93,5,5.4,93,5
Northowram Primary School,468,19,4.1,417,19
Old Town Primary School,103,7,6.8,103,7
Parkinson Lane Community Primary School,521,95,18.2,442,86
"Rawson J, I & N School",375,87,23.2,329,78
Ripponden J & I School,235,13,5.5,235,13
Riverside Junior School,156,12,7.7,156,12
Salterhebble J & I School,209,26,12.4,209,26
Savile Park Primary School,242,43,17.8,242,43
Shade Primary School,215,22,10.2,183,18
Shelf J & I School,309,31,10,309,31
Sowerby Village CE (VC) Primary School,164,54,32.9,149,52
St Andrew's CE (VA) Infant School (Brighouse),178,25,14,178,25
St Andrew's CE (VA) Junior School (Brighouse),223,31,13.9,223,31
St Augustine's CE (VA) J & I School (Halifax),190,39,20.5,190,39
St Chad's CE (VA) Primary School,212,9,4.2,212,9
St Joseph's Catholic Primary School (Brighouse),243,18,7.4,210,18
St Joseph's Catholic Primary School (Halifax),183,24,13.1,183,24
St Joseph's RC Primary School (Todmorden),125,23,18.4,97,19
St Mary's Catholic Primary School (Halifax),274,35,12.8,274,35
St Mary's CE (VC) J & I School (Sowerby Bridge),96,2,2.1,96,2
St Michael & All Angels CE Primary School,208,22,10.6,208,22
St Patrick's Catholic Primary School (Elland),109,20,18.3,109,20
Stubbings Infant School,95,8,8.4,72,6
Todmorden CE (VA) J & I School,263,52,19.8,194,36
Triangle CE (VC) Primary School,185,10,5.4,185,10
Tuel Lane Infant School,151,15,9.9,109,15
Walsden St Peter's CE (VC) Primary School,161,11,6.8,161,11
Warley Road Primary School,643,122,19,564,122
Warley Town School,128,5,3.9,128,5
West Vale Primary School,180,23,12.8,180,23
Withinfields Primary School,351,44,12.5,307,39
Wood Bank School,73,29,39.7,67,27
Woodhouse Primary School,420,9,2.1,420,9
Calderdale (Incl special schools),14813,2354,15.9,13631,2226
Calderdale (Excl special schools),14668,2288,15.6,13497,2162
Note:,,,,,
Academy Data is not available.,,,,,
