Organisation Name,Organisation Code,Effective Date,Directorate,Service (Sercop),Sercop URI,Supplier Name,Supplier ID,Company Registration,Charity Registration,VCSE Grant,Payment Date,Transaction Number,Seq No,Net Amount,Irrecoverable VAT,Purpose of Spend,Type,Procurement Classification,Class Code,Thomson Classification,Thomson Description,P-Card Tran,Contract
,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,31/12/2014,REGENCULT,BVACOP Not Applicable,Z,COLAS LTD,Redacted,Not yet available,Not yet available,Not yet available,06/10/2014,22608398,1,1034.4,Nil,Highways Materials,Revenue,Highways,CAT07,65400,Road Surfacing Contractors,,Not yet available
Wakefield MDC,E08000036,31/12/2014,REGENCULT,BVACOP Not Applicable,Z,COLAS LTD,Redacted,Not yet available,Not yet available,Not yet available,26/11/2014,22650446,1,1548.48,Nil,Highways Materials,Revenue,Highways,CAT07,65400,Road Surfacing Contractors,,Not yet available
Wakefield MDC,E08000036,31/12/2014,REGENCULT,BVACOP Not Applicable,Z,COMPASS MINERALS UK LTD,Redacted,Not yet available,Not yet available,Not yet available,03/10/2014,22607774,1,2969.42,Nil,Highways Materials,Revenue,Highways,CAT07,66340,Salt Suppliers,,Not yet available
Wakefield MDC,E08000036,31/12/2014,REGENCULT,BVACOP Not Applicable,Z,COMPASS MINERALS UK LTD,Redacted,Not yet available,Not yet available,Not yet available,06/10/2014,22609186,1,1961.55,Nil,Highways Materials,Revenue,Highways,CAT07,66340,Salt Suppliers,,Not yet available
Wakefield MDC,E08000036,31/12/2014,REGENCULT,BVACOP Not Applicable,Z,AGGREGATE INDUSTRIES UK LTD,Redacted,Not yet available,Not yet available,Not yet available,19/11/2014,22646058,1,676.2,Nil,Highways Materials,Revenue,Highways,CAT07,66370,"Sand, Gravel & Other Aggregates",,Not yet available
Wakefield MDC,E08000036,31/12/2014,REGENCULT,BVACOP Not Applicable,Z,MARSHALLS PLC,Redacted,Not yet available,Not yet available,Not yet available,09/10/2014,22604084,1,2540,Nil,Highways Materials,Revenue,Highways,CAT07,66370,"Sand, Gravel & Other Aggregates",,Not yet available
Wakefield MDC,E08000036,31/12/2014,REGENCULT,BVACOP Not Applicable,Z,MARSHALLS PLC,Redacted,Not yet available,Not yet available,Not yet available,29/10/2014,22588014,1,2536.96,Nil,Highways Materials,Revenue,Highways,CAT07,66370,"Sand, Gravel & Other Aggregates",,Not yet available
Wakefield MDC,E08000036,31/12/2014,REGENCULT,BVACOP Not Applicable,Z,MARSHALLS PLC,Redacted,Not yet available,Not yet available,Not yet available,19/11/2014,22645796,1,1984.16,Nil,Highways Materials,Revenue,Highways,CAT07,66370,"Sand, Gravel & Other Aggregates",,Not yet available
Wakefield MDC,E08000036,31/12/2014,REGENCULT,BVACOP Not Applicable,Z,MARSHALLS PLC,Redacted,Not yet available,Not yet available,Not yet available,17/12/2014,22668512,1,1458.24,Nil,Highways Materials,Revenue,Highways,CAT07,66370,"Sand, Gravel & Other Aggregates",,Not yet available
Wakefield MDC,E08000036,31/12/2014,REGENCULT,BVACOP Not Applicable,Z,DURO UK LTD,Redacted,Not yet available,Not yet available,Not yet available,14/10/2014,22612889,1,700,Nil,Highways Materials,Revenue,Property & Asset Management,CAT01,78761,"Tool Design, Mnfrs & Makers",,Not yet available
