Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,Buckinghamshire Hospitals NHS Trust,01/06/2010,Tax and National Insurance,Trust Wide,Hm Revenue & Customs,724388,686284.52
Department of Health,Buckinghamshire Hospitals NHS Trust,03/06/2010,NHS Commissioned Services,Trust Wide,Buckinghamshire Pct,711925,76371
Department of Health,Buckinghamshire Hospitals NHS Trust,03/06/2010,NHS Commissioned Services,Trust Wide,Buckinghamshire Pct,711925,62254
Department of Health,Buckinghamshire Hospitals NHS Trust,03/06/2010,Laboratory Services,Clinical Services Division,Buckinghamshire Pct,711925,36751
Department of Health,Buckinghamshire Hospitals NHS Trust,03/06/2010,Med.Negligence Insurance,Nursing Director,Nhs Litigation Authority,724248,656677.53
Department of Health,Buckinghamshire Hospitals NHS Trust,03/06/2010,Electricity,Property Services,Southern Electricity,722586,53227.88
Department of Health,Buckinghamshire Hospitals NHS Trust,10/06/2010,General Rates,Property Services,Chiltern District Council,718293,243138.29
Department of Health,Buckinghamshire Hospitals NHS Trust,10/06/2010,Laboratory Services,Clinical Services Division,Nhs Blood And Transplant,722450,69369.93
Department of Health,Buckinghamshire Hospitals NHS Trust,10/06/2010,Materials Management Issues,Trust Wide,Nhs Supply Chain,725751,28401.06
Department of Health,Buckinghamshire Hospitals NHS Trust,10/06/2010,Laboratory Services,Clinical Services Division,Oxford Radcliffe Hospitals Nhs Trust,705022,68219
Department of Health,Buckinghamshire Hospitals NHS Trust,10/06/2010,Ambulance Contract,Property Services,South Central Ambulance Nhs Trust,722495,60278.42
Department of Health,Buckinghamshire Hospitals NHS Trust,17/06/2010,Busy Bees Childcare Vouchers,Trust Wide,Computershare Voucher Services,728564,32462.16
Department of Health,Buckinghamshire Hospitals NHS Trust,17/06/2010,Eng Contracts,Property Services,Ge Healthcare Clinical Systems (Uk) Ltd,717205,38782.76
Department of Health,Buckinghamshire Hospitals NHS Trust,17/06/2010,Tax and National Insurance,Trust Wide,Hm Revenue & Customs,726636,3698070.28
Department of Health,Buckinghamshire Hospitals NHS Trust,17/06/2010,Tax and National Insurance,Trust Wide,Hm Revenue & Customs,726217,679530.53
