OrganisationLabel,OrganisationURI,EffectiveDate,ContractReference,ContractTitle,OrganisationalUnit,Description,ProcurementCategory,StartDate,EndDate,ReviewDate,OptionToExtend,ExtensionPeriod,ContractValue,IrrecoverableVAT,SupplierName,CharityCommissionNumber,SMESupplier,VCSESupplier,ContactName,ProcessType
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,AL1113424530400009110,Community Based Respite Service,ADULT SOCIAL CARE,,,24/03/2016,,,,,143978.01,,"ALLIED HEALTHCARE, Credit Ctrl Depart Cavendish House, Lakhpur Crt Staffordshire Tech Park, STAFFORD, ST18 0FX",,e) Large,,Barry Bridle,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,AS093342453538885,Waste Disposal,ENVIRONMENT & HOUSING,,,24/03/2016,,,,,24595.45,,"ASSOCIATED WASTE MANAGEMENT LIMITED, St Bernards Mill Gelderd Road, Gildersome Morley, LEEDS, LS27 7NA",,d) Medium,,Chloe Ashworth,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,CE0115424462321320,Agency Staff,CHILDRENS SERVICES,,,17/03/2016,,,,,19171,,"CELSIAN GROUP LIMITED, 800 The Boulevard, Capability Green, LUTON, LU1 3BA",,d) Medium,,Michael Gilberthorpe,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,GR372742460SI/0000000055,Project Support Fund 2015-2016,ENVIRONMENT & HOUSING,,,31/03/2016,,,,,145703.56,,"GROUNDWORK LEEDS, Environmental & Business Services, Merlyn-Rees Avenue, MORLEY  LEEDS, LS27 9SL",,d) Medium,,Claire Hern,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,BR04634245370992128048,"Sheet advertising spaces and production costs",CITY DEVELOPMENT,,,24/03/2016,,,,,13117,,"CITY OF BRADFORD METROPOLITAN DISTRICT, Dept Finance Rev & Benefits Service, Dept 19 Brittania House  Halll Ings, BRADFORD, BD1 1HX",,Other/Not known,,Ewhen Chymera,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,DA201J4245255347,ICT Support Services,CHILDRENS SERVICES,,,23/03/2016,,,,,17220,,"DATACABLE LTD, Keighley Business Centre, South St, KEIGHLEY, BD21 1AG",,c) Small,,Ben Foley,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,IA195042439OP/I617535,Playground Fencing,ENVIRONMENT & HOUSING,,,10/03/2016,,,,,12000.44,,"IAE, Mossfield Road  Adderley Green, Longton, STOKE ON TRENT, ST13 8LB",,e) Large,,Libby Thomas,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,LE6651424601410039187,Better Care Fund,ADULT SOCIAL CARE,,,31/03/2016,,,,,70792.13,,"LEEDS TEACHING HOSPITALS NHS TRUST, St James University Hospital, Cashiers Dept  Gledhow Wing, BECKETT STREET    LEEDS, LS9 7TF",,e) Large,,Mandie Howarth,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,MA151742439LEEDS2015-16/079,Forward Leeds - Out of Scope Drug and Alcohol Service,PUBLIC HEALTH,,,10/03/2016,,,,,24368.86,,"ST MARTINS HEALTHCARE SERVICES LTD, Mill 2 Mabgate Mills, NULL, LEEDS, LS9 7DZ",,e) Large,,Shabnam Kausar,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,SI0366424461402551,First Aid and Medical Staff for events,CITY DEVELOPMENT,,,17/03/2016,,,,,16663.88,,"SITE RESCUE, The Training Centre, New Princess Street, LEEDS, LS11 9BA",,Other/Not known,,Sandy Mitchell,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,SM929242459042736,Playground Equipment,ENVIRONMENT & HOUSING,,,30/03/2016,,,,,43159.34,,"HAGS-SMP LTD, Waterfront Complex, Shipyard Ind Estate, SELBY, YO8 8AP",,d) Medium,,Sarah Spencer,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,WA21894244791309797243,Apprenticeship Hub Secondment,CENTRAL & CORP FUNC ADMINIST (NON LCC),,,18/03/2016,,,,,26343.19,,"WAKEFIELD COUNCIL, Wakefield Council, Payments And Controls, County Hall, Bond Street, WAKEFIELD, WF1 9AJ",,Other/Not known,,Catherine Lunn,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,AK143842439AKD2197,Complaints Training - 10 sessions,ADULT SOCIAL CARE,,,10/03/2016,,,,,13500,,"AKD SOLUTIONS LTD, Unit 4 Daisy Business Park, 19-35 Sylvan Grove, LONDON, SE15 1PD",,Other/Not known,,Debbie Lendhill,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,AL158342445LEE1-001-003,Legal Fees,CENTRAL & CORP FUNC ADMINIST (NON LCC),,,16/03/2016,,,,,38574.22,,ALETHEIA LAW LLP,,Other/Not known,,Philippa Elliott / Sarah Temple,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,AM1031424400000014290,Self-Watering Planters,ENVIRONMENT & HOUSING,,,11/03/2016,,,,,14525.74,,"AMBEROL LTD, The Plantation, King Street Alfreton, DERBYSHIRE, DE55 7TT",,c) Small,,Georgia Flesher,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,AN24934244778457,Legal Fees,INSURANCE,,,18/03/2016,,,,,36677.12,,ANDREW WARNOCK,,a) Individual,,Philippa Elliott / Sarah Temple,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,AS052X4244610568,Specialist Home Adaptations,ENVIRONMENT & HOUSING,,,17/03/2016,,,,,7850,,"ASTOR BANNERMAN MEDICAL LTD, Unit 11f Coln Park, Andoversford, Cheltenham, GLOUCESTERSHIRE, GL54 4HJ",,d) Medium,,Iain Dunn / Tony Bailey,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,BE2474424512132519,Legal Fees,INSURANCE,,,22/03/2016,,,,,27727.25,,"BERRYMANS LACE MAWER,  Kings House, 42 King Street West, MANCHESTER, M3 2NU",,e) Large,,Philippa Elliott / Sarah Temple,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,BR1088424530000025538,Racking System Repairs,LEEDS COMMUNITY EQUIP STORE POOLED BUDGT,,,24/03/2016,,,,,5922.5,,"BRYSDALES LIMITED, Brysdale House, Drumhead Road, CHORLEY, PR6 7DE",,c) Small,,Gillian Eastwood,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,BR3699424474099914,Non-Domestic Heating Services,CENTRAL & CORPORATE,,,18/03/2016,,,,,6867.3,,"BROAG LTD, Remeha House  Molly Millars Lane, Wokingham, BERKSHIRE, RG41 2QP",,d) Medium,,Phil Rigby,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,CE023X42447600022711,"Stand Costs for the ""Meetings Show"" 2016",CITY DEVELOPMENT,,,18/03/2016,,,,,5550,,"CENTAUR COMMUNICATIONS LTD, Wells Point   79 Wells Street, NULL, LONDON, W1T 3QN",,b) Micro,,Claire Heap,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,CE02644246030013376,Installation of new Fire Detector,LINEHAM FARM,,,31/03/2016,,,,,16490.5,,"CEL SECURUS LTD, Station Road, NULL, TADCASTER, LS24 9SG",,Other/Not known,,Vince Foster,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,CE0686424536300,Bespoke Bed and Mattress,LEEDS COMMUNITY EQUIP STORE POOLED BUDGT,,,24/03/2016,,,,,7535,,"CENTROBED LIMITED, C/O Fiva Arrows Business Finance Plc, Burlington Hse Botleigh Gr Off Camp, GRANGE DRIVE HEDGE END SOUTHAMPTON, SO30 2AF",,b) Micro,,Gillian Eastwood,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,CE07314245257516664,Access to The Times Digital Archive,CITY DEVELOPMENT,,,23/03/2016,,,,,5925.94,,"CENGAGE LEARNING (EMEA) LTD, Cheriton House North Way, Andover, HAMPSHIRE, SP10 5BE",,d) Medium,,Linda Sanderson,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,CO0512424530111477,Annual Subscription to Cobra,CITY DEVELOPMENT,,,24/03/2016,,,,,10495,,"COBWEB INFORMATION LTD, Unit 9 Bankside The Watermark, NULL, GATESHEAD, NE11 9SY",,b) Micro,,Linda Sanderson,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,CO10964244724962,ICT Support Services,CHILDRENS SERVICES,,,18/03/2016,,,,,16613.65,,"CONNECT UP SUPPORT SERVICES LTD, The Old Tannery, 2 Barras Street, LEEDS, LS12 4JS",,c) Small,,Ben Foley,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,CR064942453340040-004614,Storage of Artworks,CITY DEVELOPMENT,,,24/03/2016,,,,,8775,,"CROWN FINE ART, Unit 2  Sandgate Street, Sandgate Industrial Estate, LONDON, SE15 1LE",,Other/Not known,,Sheel Douglas,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,CR06644244008022016,Temporary Shop Fitting at Kirkgate Market,CITY DEVELOPMENT,,,11/03/2016,,,,,9007,,"CRAWSHAW BUTCHERS LTD, Unit 17 Bradmarsh Business Park, Bow Bridge Close, LEEDS, S60 1BY",,Other/Not known,,Anthony Wiles,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,DU17464243662274,Print Services,CIVIC ENTERPRISE LEEDS,,,07/03/2016,,,,,6882,,"DUFFIELD PRINTERS LTD, 421 Kirkstall Road, NULL, LEEDS, LS4 2HA",,d) Medium,,Philippa Elliott,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,EM9928424535688,Email Training Seminars,CENTRAL & CORPORATE,,,24/03/2016,,,,,5069.14,,EMAILOGIC LTD,,Other/Not known,,Fiona Triller,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,EN02744243300139,The Catch Project,ENVIRONMENT & HOUSING,,,04/03/2016,,,,,63704.32,,"ENVIRO BUILDING SOLUTIONS LTD, Gate 1  The Ridings Business Park, Hopwood Lane, HALIFAX, HX1 3TT",,b) Micro,,Phil Rigby / Chris Wagner,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,EN062542452EBPRO892,Britannica Online Subscription,CITY DEVELOPMENT,,,23/03/2016,,,,,8153,,"ENCYCLOPEDIA BRITANNICA (UK) LTD, 2nd Floor   Unity Wharf, 13 Mill Street, LONDON, SE1 2BH",,c) Small,,Linda Sanderson,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,EN32444244521873,Air Quality Monitoring,ENVIRONMENT & HOUSING,,,16/03/2016,,,,,12929,,"ENVIRO TECHNOLOGY SERVICES PLC, Bi Kingfisher Business Park, London Road  Thrupp, STROUD, GL5 2BY",,c) Small,,Lisa Pounder,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,FA058X4246016101079,Mercury Abatement – replacement cremators at Cottingley Crematorium,ENVIRONMENT & HOUSING,,,31/03/2016,,,,,43615.94,,"FACULTATIEVE TECHNOLOGIES LTD, Moor Road, NULL, LEEDS, LS10 2DD",,d) Medium,,Martin Gresswell,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,FO032X424306137,Families First,CHILDRENS SERVICES,,,01/03/2016,,,,,6904.75,,"FOUNDATION, Central Services   Tennant Hall, Blenheim Grove, LEEDS, LS2 9ET",,e) Large,,Helen Doyle,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,GA11454245926334,Recruitment Consultancy Services,STRATEGIC LANDLORD,,,30/03/2016,,,,,6950,,"GATENBYSANDERSON LIMITED, 14 King Street, NULL, LEEDS, LS1 2HL",,d) Medium,,Sharon Simpson,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,GC003842447107811,ICT Agency Staff,CENTRAL & CORPORATE,,,18/03/2016,,,,,10000,,"GCS RECRUITMENT SPECIALISTS LTD, 2 Wesley Gate  70-74 Queens Road, NULL, READING, RG1 4AP",,c) Small,,Kathleen Lynch,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,GE983542440GEN30891,ICT Agency Staff,CENTRAL & CORPORATE,,,11/03/2016,,,,,8325,,"TRIAD RESOURCING, 37 Sunningdale House, Caldecotte Business Park, MILTON KEYNES, MK7 8LF",,d) Medium,,Kathleen Lynch,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,HA3770424409577,Software Support and Maintenance,CITIZENS AND COMMUNITIES,,,11/03/2016,,,,,22038.48,,"HALAROSE LIMITED, Goring House Beechwood Court, Long Toll, WOODCOTE, OXFORDSHIRE, RG8 0RR",,c) Small,,Nabbeal Hussain,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,HO1419424455719,Purchase of Refuse Truck,ENVIRONMENT & HOUSING,,,16/03/2016,,,,,14500,,"HOPKINSONS FAIRDEALS LTD, 2 Boothferry Road, Howden, GOOLE, DN14 7EF",,b) Micro,,Jaswinder Shahi,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,IN07544244514-25-15-1-1097/6,Guiseley Infant and Nursery School Basic Need Project,CHILDRENS SERVICES,,,16/03/2016,,,,,317352.69,,"INTERSERVE CONSTRUCTION LTD, 1 Thunderhead Ridge, Glasshoughton, CASTLEFORD, WF10 4UA",,e) Large,,Phil Rigby,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,LE08304245824877103,Gateway Team Manager Post,ADULT SOCIAL CARE,,,29/03/2016,,,,,6274.02,,"LEEDS COMMUNITY HEALTHCARE NHS TRUST, Ry6 Receivables C639 Shared Bus Services, Phoenix House Topcliffe Lane, WAKEFIELD, WF3 1WE",,Other/Not known,,Jacqueline Gillard,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,LE09034243290219476,Increasing Bowel Cancer Uptake Project,PUBLIC HEALTH,,,03/03/2016,,,,,15000,,"UNIVERSITY OF LEEDS, Finance Office Ec Stoner Building, Room 11.23, LEEDS, LS2 9JT",,Other/Not known,,Phil Slavin,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,LE17564243200008,LCC Contribution to Magical Leeds,CITY DEVELOPMENT,,,03/03/2016,,,,,5000,,"THE LEEDS BID LIMITED, 2nd Floor, Elizabeth House, 13-19  Queen Street, LEEDS, LS1 2TW",,Other/Not known,,Andrew Smith,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,LE607K42437CARNIVAL 2000,Announcement Support and City Animation for MOBO Project,CITY DEVELOPMENT,,,08/03/2016,,,,,5000,,"LEEDS WEST INDIAN CARNIVAL, 82 Sheepscar Street North, NULL, LEEDS, LS7 3AF",,b) Micro,,Alexander Marston,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,LE6969424596071906,Contribution for Policy Officer,ADULT SOCIAL CARE,,,30/03/2016,,,,,12000,,"LEEDS BECKETT UNIVERSITY, Cashiers Office  Room 202, Queen Square House  Woodhouse Lane, LEEDS, LS2 8NU",,Other/Not known,,Lisa Gibson,Non-contract
