Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,OF1,16468,33507,Military,305,Military
Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,Adult Apprentice,18440,19548,Engineering Civ Apprentices,1,Science and Engineering
Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,26677,Retired Offr 2,30437,36696,Direct Military Support,1,Operational Delivery
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C1,36004,44711,Business Manager,1,Other
Ministry of Defence,Ministry of Defence,Army,1167535,Locally Employed Civilian (LEC),0,0,Locally Employed Civilian (LEC),4167,Operational Delivery
Ministry of Defence,Ministry of Defence,Navy Command,1105340,Academic Profr of Music (Eng) - 2018,53112,53112,Teaching,0.94,Operational Delivery
Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,OF2,38848,46199,Military,2831,Military
Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,Apprentice,14164,18139,Civilian HR Service Provider,7,Human Resources
Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,26677,Retired Offr 2,30437,36696,Estate Advice,1,Property and asset management
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,D,23661,29383,Executive Assistant,1,Other
Ministry of Defence,Ministry of Defence,Army,1167535,Academic Profr of Music (Eng),53112,53112,Specialist Instruction,2.56,Operational Delivery
Ministry of Defence,Ministry of Defence,Navy Command,1105340,Admiralty Pilot,44280,54475,Port Operations,17.36,Operational Delivery
Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,OF3,48934,58605,Military,1544,Military
Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,Apprentice,14164,18139,Engineering Civ Apprentices,187,Science and Engineering
Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,26677,Retired Offr 2,30437,36696,Range Management,2,Property and asset management
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,D,23661,29383,Legal Support Officer,1,Other
Ministry of Defence,Ministry of Defence,Army,1167535,Academic Profr of Music (Eng),53112,53112,Training Support,1.62,Operational Delivery
Ministry of Defence,Ministry of Defence,Navy Command,1105340,Admiralty Pilot (Trainee),40523,48149,Port Operations,4,Operational Delivery
Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,OF4,68679,79524,Military,601,Military
Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,Apprentice,14164,18139,Technical [Trades],11,Science and Engineering
Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,26677,Retired Offr 2,30437,36696,Reporting and Controls,1,Finance
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,E2,15779,19003,Legal Support Officer,1,Other
Ministry of Defence,Ministry of Defence,Army,1167535,Ambulance Practitioner,18402,21798,Medical Technical,6,Medicine
Ministry of Defence,Ministry of Defence,Navy Command,1105340,Associate Specialist 2008,52122,85797,Hospital Doctor/Consultant,1,Medicine
Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,OF5,83205,91466,Military,156,Military
Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,Apprentice,14164,18139,Through Life Support,1,Operational Delivery
Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,26677,Retired Offr 2,30437,36696,Soft Facilities Management,1,Property and asset management
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,B1,57000,72907,Legal Adviser,1,Law
Ministry of Defence,Ministry of Defence,Army,1167535,Area Manager,49318,51901,Fire Service,21,Operational Delivery
Ministry of Defence,Ministry of Defence,Navy Command,1105340,B1,57000,72907,Business Management,5,Operational Delivery
Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,OR1,17945,29651,Military,3,Military
Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B1,57000,72907,Administrative Support,1,Operational Delivery
Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,26677,Skill Zone 4,22372,25179,Estate Advice,1,Property and asset management
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,B2,48421,60130,Legal Adviser,3,Law
Ministry of Defence,Ministry of Defence,Army,1167535,Assistant Head Teacher,37836,106148,Teaching,4.05,Operational Delivery
Ministry of Defence,Ministry of Defence,Navy Command,1105340,B1,57000,72907,Decision Support,2,Finance
Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,OR2,17945,29651,Military,9404,Military
Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B1,57000,72907,AeroEng(Aero/Struct/Mech),1,Science and Engineering
Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,26677,Skill Zone 4,22372,25179,Project Management,1,Programme and Project Management (PPM)
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,OF4,68679,79524,Legal Adviser,1,Law
Ministry of Defence,Ministry of Defence,Army,1167535,Assistant Head Teacher,37836,106148,Teaching L'ship,4.05,Operational Delivery
Ministry of Defence,Ministry of Defence,Navy Command,1105340,B1,57000,72907,Estate Planning,1,Property and asset management
Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,OR3,17945,29651,Military,596,Military
Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B1,57000,72907,AeroEng(Electronics/Avionics),2,Science and Engineering
Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,26677,Skill Zone 4,22372,25179,Technical [Trades],86.39,Science and Engineering
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,D,23661,29383,Legal Support Officer,1,Other
Ministry of Defence,Ministry of Defence,Army,1167535,Aviation Offr 2,35285,36696,Transport & Movement,1,Operational Delivery
Ministry of Defence,Ministry of Defence,Navy Command,1105340,B1,57000,72907,Estates Management,1,Property and asset management
Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,OR4,27054,33998,Military,5159,Military
Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B1,57000,72907,Business Management,16.94,Operational Delivery
Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,26677,B1,57000,72907,Administrative Support,1,Operational Delivery
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,E1,18554,22345,Legal Support Officer,1,Other
Ministry of Defence,Ministry of Defence,Army,1167535,B1,57000,72907,Business Management,7,Operational Delivery
Ministry of Defence,Ministry of Defence,Navy Command,1105340,B1,57000,72907,Inventory Management,1,Operational Delivery
Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,OR6,30750,37836,Military,3867,Military
Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B1,57000,72907,Civilian HR Service Provider,1,Human Resources
Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,26677,B1,57000,72907,Audit and Assurance,1,Internal Audit
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,OF5,83205,91466,Legal Adviser,1,Law
