Reference Number,Title of Agreement,Department Responsible,Description of Goods and/or Services,Supplier,Total Contract Value,Non-recoverable VAT,Start Date,End Date,End Date (including extension),Review Date,Award Method,SME?
SWIFT29,Supported Housing,Adults & Communities,Supported living framework,Angel Support Living,"£205,176.70",,01/04/2013,31/03/2015,31/03/2017,04/07/2014,ITT,
SWIFT29,Supported Housing,Adults & Communities,Supported living framework,Brunswick Supported Living Service Ltd,"£205,176.70",,01/04/2013,31/03/2015,31/03/2017,04/07/2014,ITT,
SWIFT29,Supported Housing,Adults & Communities,Supported living framework,Voyage Limited,"£205,176.70",,01/04/2013,31/03/2015,31/03/2017,04/07/2014,ITT,
SWIFT29,Supported Housing,Adults & Communities,Supported living framework,Care Worldwide London Ltd,"£205,176.70",,01/04/2013,31/03/2015,31/03/2017,04/07/2014,ITT,
SWIFT29,Supported Housing,Adults & Communities,Supported living framework,Green Oak Living,"£205,176.70",,01/04/2013,31/03/2015,31/03/2017,04/07/2014,ITT,
SWIFT29,Supported Housing,Adults & Communities,Supported living framework,Liral Veget Training and Recruitment,"£205,176.70",,01/04/2013,31/03/2015,31/03/2017,04/07/2014,ITT,
SWIFT29,Supported Housing,Adults & Communities,Supported living framework,Metropolitan Support Trust,"£205,176.70",,01/04/2013,31/03/2015,31/03/2017,04/07/2014,ITT,
SWIFT29,Supported Housing,Adults & Communities,Supported living framework,Next Steps Support Ltd,"£205,176.70",,01/04/2013,31/03/2015,31/03/2017,04/07/2014,ITT,
SWIFT29,Supported Housing,Adults & Communities,Supported living framework,Origin Housing,"£205,176.70",,01/04/2013,31/03/2015,31/03/2017,04/07/2014,ITT,
SWIFT29,Supported Housing,Adults & Communities,Supported living framework,Outlook Care,"£205,176.70",,01/04/2013,31/03/2015,31/03/2017,04/07/2014,ITT,
SWIFT29,Supported Housing,Adults & Communities,Supported living framework,Phoenix Community Care Ltd,"£205,176.70",,01/04/2013,31/03/2015,31/03/2017,04/07/2014,ITT,
SWIFT29,Supported Housing,Adults & Communities,Supported living framework,Walsingham ,"£205,176.70",,01/04/2013,31/03/2015,31/03/2017,04/07/2014,ITT,
SWIFT29,Supported Housing,Adults & Communities,Supported living framework,Your Choice Barnet Ltd,"£205,176.70",,01/04/2013,31/03/2015,31/03/2017,04/07/2014,ITT,
SWIFT28,Neighbourhood services,Adults & Communities,umbrella agreement for neighbourhood services,Age UK Barnet,"£1,650,000.00",,01/04/2013,31/03/2016,31/03/2018,05/07/2015,ITT,
SWIFT27,Supported Housing,Adults & Communities,Supported living framework,Self Unlimited,"£968,620.57",,01/04/2013,31/03/2015,31/03/2017,04/07/2014,ITT,
SWIFT26,Campus Reprovision,Adults & Communities,Supported living framework,Lifeways Community Care Ltd,"£869,000.00",,01/04/2013,31/03/2015,31/03/2017,04/07/2014,ITT,
SWIFT25,Supported Housing,Adults & Communities,Supported living framework,Norwood Ravenswood Ltd,"£630,105.85",,01/04/2013,31/03/2015,31/03/2017,04/07/2014,ITT,
SWIFT24,Supported Housing,Adults & Communities,Supported living framework,One Step At A Time,"£551,149.47",,01/04/2013,31/03/2015,31/03/2017,04/07/2014,ITT,
SWIFT23,Supported Housing,Adults & Communities,Supported living framework,Creative Support Ltd,"£471,915.22",,01/04/2013,31/03/2015,31/03/2017,04/07/2014,ITT,
SWIFT22,Supported Housing,Adults & Communities,Supported living framework,Langdon Community,"£465,557.22",,01/04/2013,31/03/2015,31/03/2017,04/07/2014,ITT,
SWIFT21,Floating Support Scheme/Supported Housing (Barnet Mencap),Adults & Communities,Supported living framework,Barnet Mencap,"£239,310.68",,01/04/2013,31/03/2015,31/03/2017,04/07/2014,ITT,
SWIFT20,Supported housing,Adults & Communities,Supported living framework,Kisharon / Eagle Lodge,"£192,692.90",,01/04/2013,31/03/2015,31/03/2017,04/07/2014,ITT,
SWIFT19,Supported Housing,Adults & Communities,Supported living framework,Royal National Mencap Society,"£169,556.30",,28/04/2013,29/04/2015,31/03/2017,02/08/2014,ITT,
SWIFT18,Supported Housing,Adults & Communities,Supported living framework,The Richmond Fellowship ,"£166,430.66",,01/04/2013,31/03/2015,31/03/2017,04/07/2014,ITT,
SWIFT17,Supported Housing,Adults & Communities,Supported living framework,Care Management Group (CMG),"£154,593.17",,01/04/2013,31/03/2015,31/03/2017,04/07/2014,ITT,
SWIFT15,Outreach housing support service,Adults & Communities,Supported living framework,One Housing Group,"£138,169.00",,01/04/2013,30/04/2015,31/03/2017,03/08/2014,ITT,
SWIFT14,Supported Housing,Adults & Communities,Supported living framework,Maison Moti Ltd,"£117,234.41",,01/04/2013,31/03/2015,,04/07/2014,ITT,
SWIFT13,Services For Older People,Adults & Communities,preventative services and café,Alzheimer's Society,"£95,149.00",,01/04/2013,31/03/2014,,04/07/2013,ITT,
SWIFT12,Supported Housing,Adults & Communities,Supported living framework,Shine Partnership Ltd,"£92,232.00",,01/04/2013,31/03/2015,31/03/2017,04/07/2014,ITT,
SWIFT11,Supported Housing,Adults & Communities,Supported living framework,Hill Green Supported Living,"£85,756.94",,01/04/2013,31/03/2015,31/03/2017,04/07/2014,ITT,
SWIFT10,Barnet Refugee Service,Adults & Communities,Voluntary sector service for refugees,Barnet Refugee Service,"£66,946.00",,01/04/2013,31/03/2015,,04/07/2014,ITT,
SWIFT09,Supported Housing,Adults & Communities,Supported living framework,The Regard Partnership,"£52,084.93",,01/04/2013,31/03/2015,31/03/2017,04/07/2014,ITT,
SWIFT07,CMHA Floating Support,Adults & Communities,voluntary sector,Chinese Mental Health,"£49,361.79",,01/04/2013,31/03/2015,,04/07/2014,ITT,
SWIFT06,Supported Housing,Adults & Communities,supported living framework,Dillon Care,"£44,442.85",,01/04/2013,31/03/2015,,04/07/2014,ITT,
SWIFT05,Anand Day Centre,Adults & Communities,Day Care,ASRA Greater London Housing Assn,"£42,603.34",,01/04/2013,31/03/2014,,04/07/2013,ITT,
SWIFT04,Supported Housing,Adults & Communities,supported living framework,SGSL Ltd,"£31,371.43",,01/04/2013,31/03/2015,,04/07/2014,ITT,
SWIFT03,Terrington Lodge,Adults & Communities,Residential & Nursing Care,Terrington Lodge Ltd,"£23,112.00",,23/05/2013,31/03/2014,,04/07/2013,ITT,
SWIFT02,Cherry Lodge Cancer Care,Adults & Communities,Voluntary sector cancer care for ethinic minorities,Cherry Lodge Cancer Care,"£14,086.00",,01/04/2013,31/03/2014,,04/07/2013,ITT,
SWIFT01,"Station Road, The Broadway",Adults & Communities,Sheltered housing,Central & Cecil Housing,"£12,989.00",,01/04/2013,30/09/2016,,04/01/2016,ITT,
SWIFT,Homecare,Adults & Communities,Homecare,Plan Care Ltd,"£10,250.24",,03/07/2012,06/11/2015,,09/02/2015,ITT,
SWIFT,Homecare,Adults & Communities,Homecare,Marego Ltd,"£11,046.00",,12/12/2011,06/11/2015,,09/02/2015,ITT,
SWIFT,Newton House,Adults & Communities,Residential & Nursing Care,Eastern Care Ltd,"£20,857.00",,08/02/2013,31/03/2014,,04/07/2013,ITT,
SWIFT,Gainsborough House Nursing Home,Adults & Communities,Residential & Nursing Care,London & Manchester Healthcare Ltd,"£24,776.00",,03/12/2011,31/03/2014,,04/07/2013,ITT,
SWIFT,Allonsfield House ,Adults & Communities,Residential & Nursing Care,Kingsley Care Homes Ltd,"£24,840.33",,04/10/2012,31/03/2014,,04/07/2013,ITT,
SWIFT,Whitchurch Lodge,Adults & Communities,Residential & Nursing Care,Finbond Ltd,"£25,332.43",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,The Meadow,Adults & Communities,Residential & Nursing Care,Methodist Homes For The Aged (Mha) Care Group,"£25,649.80",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Day Care,Adults & Communities,Day Care,St Marks Day Service,"£26,218.67",,09/03/2012,31/03/2014,,04/07/2013,ITT,
SWIFT,Lyndhurst Rest Home,Adults & Communities,Residential & Nursing Care,Z & M Care Ltd,"£26,280.00",,03/01/2013,31/03/2014,,04/07/2013,ITT,
SWIFT,Day Care,Adults & Communities,Day Care,National Autistic Society,"£26,608.72",,09/03/2012,31/03/2014,,04/07/2013,ITT,
SWIFT,Homecare,Adults & Communities,Homecare,Gentle Hands Care Agency,"£26,883.63",,01/11/2011,31/03/2014,,04/07/2013,ITT,
SWIFT,Calway house,Adults & Communities,Residential & Nursing Care,Somerset Care Ltd,"£27,030.00",,19/10/2012,18/10/2016,,22/01/2016,ITT,
SWIFT,Eastergate Lane Home (Care),Adults & Communities,Residential & Nursing Care,Self Unlimited,"£27,050.54",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Emmaus House,Adults & Communities,Residential & Nursing Care,Pilgrims Friend Society,"£27,196.00",,17/11/2012,16/11/2013,,19/02/2013,ITT,
SWIFT,Westgate House Care Centre,Adults & Communities,Residential & Nursing Care,Westgate Healthcare Ltd,"£27,457.04",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Southgate Beaumont,Adults & Communities,Residential & Nursing Care,Barchester Healthcare Ltd,"£28,432.97",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Day Care,Adults & Communities,Day Care,Norwood Ravenswood Ltd,"£28,550.61",,01/11/2011,31/03/2014,,04/07/2013,ITT,
SWIFT,Delamer House,Adults & Communities,Residential & Nursing Care,Novocare Ltd,"£28,600.00",,03/12/2012,02/12/2013,,07/03/2013,ITT,
SWIFT,Park View,Adults & Communities,Residential & Nursing Care,Barchester Healthcare Ltd,"£28,751.91",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,St Raphaels,Adults & Communities,Residential & Nursing Care,The Frances Taylor Foundation,"£29,070.86",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,"Autumn Gardens, Anastasia Lodge",Adults & Communities,Residential & Nursing Care,Ourris Residential Homes Ltd,"£29,280.00",,01/04/2009,05/10/2016,,09/01/2016,ITT,
SWIFT,Charter House,Adults & Communities,Residential & Nursing Care,Bedford Citizens Housing Association,"£29,373.00",,21/03/2013,31/03/2014,,04/07/2013,ITT,
SWIFT,Hampton House (Scope),Adults & Communities,Residential & Nursing Care,Scope,"£29,437.90",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Homecare,Adults & Communities,Homecare,Somali Carers Project,"£29,464.57",,07/11/2011,31/03/2014,,04/07/2013,ITT,
SWIFT,The Conifers Nursing Home,Adults & Communities,Residential & Nursing Care,The Conifers Healthcare Ltd,"£29,487.57",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Tudor Lodge,Adults & Communities,Residential & Nursing Care,Tudor Lodge Resiential Home,"£29,865.60",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Anonymised,Adults & Communities,Residential & Nursing Care,Magicare Ltd,"£30,064.29",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Day Care,Adults & Communities,Day Care,Oakmere Day Centre (Caretech),"£30,450.68",,01/11/2011,31/03/2014,,04/07/2013,ITT,
SWIFT,Wensley House,Adults & Communities,Residential & Nursing Care,Beling & Co Ltd,"£31,200.00",,08/06/2012,31/03/2014,,04/07/2013,ITT,
SWIFT,The Rookery,Adults & Communities,Residential & Nursing Care,Janith Homes Ltd,"£31,290.91",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Ashdown Residential Home,Adults & Communities,Residential & Nursing Care,Ashdown Residential Home,"£31,602.53",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Carmen Lodge,Adults & Communities,Residential & Nursing Care,Carmen Lodge Residential Home,"£32,343.42",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Homecare,Adults & Communities,Homecare,Hartwig Care Ltd,"£32,850.59",,01/11/2011,07/11/2015,,10/02/2015,ITT,
SWIFT,Goodwins Hall Home (Hallmark),Adults & Communities,Residential & Nursing Care,Hallmark Healthcare Limited,"£34,124.27",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Elizabeth House,Adults & Communities,Residential & Nursing Care,Elizabeth House,"£34,508.57",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Jemini Response Ltd,Adults & Communities,Residential & Nursing Care,Jemini Response Ltd,"£35,096.79",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Lennox,Adults & Communities,Residential & Nursing Care,Care Uk Community Partnership Ltd,"£36,400.00",,04/02/2013,31/03/2014,,04/07/2013,ITT,
SWIFT,High Gable House,Adults & Communities,Residential & Nursing Care,High Gable House,"£36,600.00",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,MCCH,Adults & Communities,Residential & Nursing Care,Mcch Society Ltd,"£36,739.08",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Meadowbank Trust,Adults & Communities,Residential & Nursing Care,Novalist Trust Ltd,"£37,774.86",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Anonymised,Adults & Communities,Residential & Nursing Care,Simeon Care For Elderly Ltd,"£37,785.32",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,HC-One Ltd,Adults & Communities,Residential & Nursing Care,HC-One Ltd,"£38,000.00",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Stroke Navigator,Adults & Communities,Voluntary sector preventative services,Stroke Association,"£38,251.32",,15/11/2010,31/03/2014,,04/07/2013,ITT,
SWIFT,Oakfield,Adults & Communities,Residential & Nursing Care,Oakfield (Easton Maudit) Ltd,"£38,574.31",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Reach,Adults & Communities,Residential & Nursing Care,Rehabiliation Education And Reach Ltd,"£38,714.43",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Roper House (RNID),Adults & Communities,Residential & Nursing Care,Action Of Hearing Loss Formerly Rnid,"£38,814.82",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Bushey House Beaumont,Adults & Communities,Residential & Nursing Care,Barchester Healthcare Ltd,"£38,941.35",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Edenbridge - Ide Hill (Care),Adults & Communities,Residential & Nursing Care,Self Unlimited,"£38,983.18",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,The Banyan Centre,Adults & Communities,Day Care,Curo Care (Care Innovation),"£39,065.27",,01/11/2011,31/03/2014,,04/07/2013,ITT,
SWIFT,Cedar House Company Ltd,Adults & Communities,Residential & Nursing Care,Cedar House Company Ltd,"£39,214.29",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Brookvale,Adults & Communities,Residential & Nursing Care,Brookvale,"£40,350.45",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Hillside Avenue,Adults & Communities,Supported Living,Consensa Care Ltd,"£40,508.00",,30/08/2012,29/08/2015,,02/12/2014,ITT,
SWIFT,Cheshire Home,Adults & Communities,Residential & Nursing Care,Leonard Cheshire Disability,"£40,608.75",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Street Farm,Adults & Communities,Residential & Nursing Care,Bradbury House Organisation,"£40,858.67",,01/04/2009,31/03/2014,,04/07/2013,ITT,
