"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Justice","Land Registry","Chief Land Registrar�s Office","1","AO","18649","21709","Personal Secretary","1.00","Operational Delivery"
"Ministry of Justice","Land Registry","Chief Land Registrar�s Office","1","EO","22437","26688","Communications Support Officer","4.00","Communications"
"Ministry of Justice","Land Registry","Chief Land Registrar�s Office","1","EO","22437","26688","Personal Assistant","2.00","Operational Delivery"
"Ministry of Justice","Land Registry","Chief Land Registrar�s Office","1","HEO","26228","32772","Communications Officer","6.92","Communications"
"Ministry of Justice","Land Registry","Chief Land Registrar�s Office","1","SEO","32974","47648","Communications Manager","2.97","Communications"
"Ministry of Justice","Land Registry","Chief Land Registrar�s Office","1","SEO","32974","47648","Personal Assistant","1.00","Operational Delivery"
"Ministry of Justice","Land Registry","Chief Land Registrar�s Office","1","G7","48880","59249","Executive to the Board","1.00","Operational Delivery"
"Ministry of Justice","Land Registry","Information Systems","2","AO","18649","21709","Computer Operator","15.44","Information Technology"
"Ministry of Justice","Land Registry","Information Systems","2","EO","22437","26688","IT Support Officer","162.85","Information Technology"
"Ministry of Justice","Land Registry","Information Systems","2","HEO","26228","32772","IT Officer","138.05","Information Technology"
"Ministry of Justice","Land Registry","Information Systems","2","SEO","32974","47648","IT Manager","75.12","Information Technology"
"Ministry of Justice","Land Registry","Information Systems","2","G7","48880","59249","Senior IT Manager","10.00","Information Technology"
"Ministry of Justice","Land Registry","Information Systems","2","G6","51131","72134","Senior IT Manager","4.00","Information Technology"
"Ministry of Justice","Land Registry","HR Directorate","3","AA","15913","18973","Facilities","6.00","Human Resources"
"Ministry of Justice","Land Registry","HR Directorate","3","AO","18649","21709","HR support officer","4.62","Human Resources"
"Ministry of Justice","Land Registry","HR Directorate","3","AO","18649","21709","Facilities","11.97","Human Resources"
"Ministry of Justice","Land Registry","HR Directorate","3","EO","22437","26688","HR Officer","32.57","Human Resources"
"Ministry of Justice","Land Registry","HR Directorate","3","EO","22437","26688","Facilities","31.84","Human Resources"
"Ministry of Justice","Land Registry","HR Directorate","3","HEO","26228","32772","HR Officer","35.05","Human Resources"
"Ministry of Justice","Land Registry","HR Directorate","3","HEO","26228","32772","Facilities","10.68","Human Resources"
"Ministry of Justice","Land Registry","HR Directorate","3","SEO","32974","47648","Senior HR Officer","44.08","Human Resources"
"Ministry of Justice","Land Registry","HR Directorate","3","SEO","32974","47648","Facilities","13.68","Human Resources"
"Ministry of Justice","Land Registry","HR Directorate","3","G7","48880","59249","Senior HR Manager","11.00","Human Resources"
"Ministry of Justice","Land Registry","HR Directorate","3","G7","48880","59249","Facilities Manager","1.00","Human Resources"
"Ministry of Justice","Land Registry","HR Directorate","3","G6","51131","72134","Senior HR Manager","4.00","Human Resources"
"Ministry of Justice","Land Registry","HR Directorate","3","G6","51131","72134","Senior Facilities Manager","2.00","Human Resources"
"Ministry of Justice","Land Registry","Legal Services Group","4","EO","22437","26688","Research Officer","4.59","Law"
"Ministry of Justice","Land Registry","Legal Services Group","4","EO","22437","26688","Investigations Officer","1.00","Law"
"Ministry of Justice","Land Registry","Legal Services Group","4","EO","22437","26688","Survey and Mapping","1.00","Law"
"Ministry of Justice","Land Registry","Legal Services Group","4","HEO","26228","32772","Survey and Mapping","2.00","Law"
"Ministry of Justice","Land Registry","Legal Services Group","4","HEO","26228","32772","Technical Assurance","1.95","Law"
"Ministry of Justice","Land Registry","Legal Services Group","4","HEO","26228","32772","Research Officer","2.47","Law"
"Ministry of Justice","Land Registry","Legal Services Group","4","SEO","32974","47648","Survey and Mapping","4.00","Law"
"Ministry of Justice","Land Registry","Legal Services Group","4","SEO","32974","47648","Research Officer","2.00","Law"
"Ministry of Justice","Land Registry","Legal Services Group","4","SEO","32974","47648","Investigations Officer","1.00","Law"
"Ministry of Justice","Land Registry","Legal Services Group","4","G7","48880","59249","Technical Assurance","1.00","Law"
"Ministry of Justice","Land Registry","Legal Services Group","4","G7","48880","59249","Survey and Mapping","1.00","Law"
"Ministry of Justice","Land Registry","Legal Services Group","4","G6","51131","72134","Technical Assurance","1.00","Law"
"Ministry of Justice","Land Registry","Legal Services Group","4","G6","51131","72134","Survey and Mapping","1.00","Law"
"Ministry of Justice","Land Registry","Legal Services Group","4","G6","51131","72134","Assistant Land Registrar","0.69","Law"
"Ministry of Justice","Land Registry","Operations Directorate","5","AA","15913","18973","Registration Assistant","49.12","Operational Delivery"
"Ministry of Justice","Land Registry","Operations Directorate","5","AO","18649","21709","Registration Officer","217.33","Operational Delivery"
"Ministry of Justice","Land Registry","Operations Directorate","5","EO","22437","26688","Operational Caseworker","2100.70","Operational Delivery"
"Ministry of Justice","Land Registry","Operations Directorate","5","HEO","26228","32772","Operational Caseworker","1218.59","Operational Delivery"
"Ministry of Justice","Land Registry","Operations Directorate","5","SEO","32974","47648","Senior Operational Caseworker","320.26","Operational Delivery"
"Ministry of Justice","Land Registry","Operations Directorate","5","G7","48880","59249","senior operational manager","21.65","Operational Delivery"
"Ministry of Justice","Land Registry","Operations Directorate","5","G6","51131","72134","Assistant Land Registrar","25.12","Operational Delivery"
"Ministry of Justice","Land Registry","Finance Directorate","6","AA","15913","18973","Finance Support Officer","0.83","Finance"
"Ministry of Justice","Land Registry","Finance Directorate","6","AO","18649","21709","Finance Support Officer","9.35","Finance"
"Ministry of Justice","Land Registry","Finance Directorate","6","EO","22437","26688","Finance Officer","26.59","Finance"
"Ministry of Justice","Land Registry","Finance Directorate","6","HEO","26228","32772","Senior Finance Officer","26.68","Finance"
"Ministry of Justice","Land Registry","Finance Directorate","6","SEO","32974","47648","Finance Manager","30.03","Finance"
"Ministry of Justice","Land Registry","Finance Directorate","6","G7","48880","59249","senior finance manager","5.00","Finance"
"Ministry of Justice","Land Registry","Finance Directorate","6","G6","51131","72134","Assistant Head of Finance","3.00","Finance"
"Ministry of Justice","Land Registry","Commercial and Customer Directorate","7","AO","18649","21709","Design Officer","2.50","Operational Research"
"Ministry of Justice","Land Registry","Commercial and Customer Directorate","7","EO","22437","26688","Design Officer","4.86","Operational Research"
"Ministry of Justice","Land Registry","Commercial and Customer Directorate","7","HEO","26228","32772","Business Development Executive","34.33","Operational Research"
"Ministry of Justice","Land Registry","Commercial and Customer Directorate","7","SEO","32974","47648","Business Development Manager","32.56","Operational Research"
"Ministry of Justice","Land Registry","Commercial and Customer Directorate","7","G7","48880","59249","Senior Business Development Manager","2.60","Operational Research"
"Ministry of Justice","Land Registry","Commercial and Customer Directorate","7","G6","51131","72134","Senior Business Development Manager","3.00","Operational Research"
"Ministry of Justice","Land Registry","Legal Services Group","8","AO","18649","21709","Corporate Information Officer","1.00","Law"
"Ministry of Justice","Land Registry","Legal Services Group","8","HEO","26228","32772","Senior Corporate Information Officer","2.00","Law"
"Ministry of Justice","Land Registry","Legal Services Group","8","SEO","32974","47648","Legal Librarian","1.00","Law"
"Ministry of Justice","Land Registry","Legal Services Group","8","G6","51131","72134","Corporate Services Lawyer","4.00","Law"
"Ministry of Justice","Land Registry","Legal Services Group","9","G6","51131","72134","Assistant Land Registrar","9.32","Law"
"Ministry of Justice","Land Registry","Legal Services Group","10","G6","51131","72134","Assistant Land Registrar","6.57","Law"
"Ministry of Justice","Land Registry","Legal Services Group","11","G6","51131","72134","Assistant Land Registrar","10.72","Law"
"Ministry of Justice","Land Registry","Legal Services Group","12","G6","51131","72134","Assistant Land Registrar","2.00","Law"
"Ministry of Justice","Land Registry","Legal Services Group","13","EO","22437","26688","Operational Caseworker","0.81","Law"
"Ministry of Justice","Land Registry","Legal Services Group","13","G6","51131","72134","Assistant Land Registrar","3.88","Law"
"Ministry of Justice","Land Registry","Legal Services Group","14","EO","22437","26688","Operational Caseworker","4.03","Law"
"Ministry of Justice","Land Registry","Legal Services Group","14","G6","51131","72134","Assistant Land Registrar","11.10","Law"
"Ministry of Justice","Land Registry","Legal Services Group","15","G6","51131","72134","Assistant Land Registrar","3.60","Law"
"Ministry of Justice","Land Registry","Legal Services Group","16","AO","18649","21709","Legal Assistant","1.00","Law"
"Ministry of Justice","Land Registry","Legal Services Group","16","EO","22437","26688","Operational Caseworker","1.00","Law"
"Ministry of Justice","Land Registry","Legal Services Group","16","G7","48880","59249","Legal Services Manager","1.00","Law"
"Ministry of Justice","Land Registry","Legal Services Group","16","G6","51131","72134","Assistant Land Registrar","4.00","Law"
"Ministry of Justice","Land Registry","Legal Services Group","17","AO","18649","21709","Legal Assistant","2.00","Law"
"Ministry of Justice","Land Registry","Legal Services Group","17","EO","22437","26688","Operational Caseworker","1.00","Law"
"Ministry of Justice","Land Registry","Legal Services Group","17","HEO","26228","32772","Operational Caseworker","1.00","Law"
"Ministry of Justice","Land Registry","Legal Services Group","17","G6","51131","72134","Assistant Land Registrar","3.00","Law"
"Ministry of Justice","Land Registry","Legal Services Group","18","G6","51131","72134","Assistant Land Registrar","2.61","Law"
"Ministry of Justice","Land Registry","Legal Services Group","19","EO","22437","26688","Operational Caseworker","1.86","Law"
"Ministry of Justice","Land Registry","Legal Services Group","19","G6","51131","72134","Assistant Land Registrar","4.25","Law"
"Ministry of Justice","Land Registry","Legal Services Group","20","G6","51131","72134","Assistant Land Registrar","5.46","Law"
"Ministry of Justice","Land Registry","Legal Services Group","21","EO","22437","26688","Operational Caseworker","3.00","Law"
"Ministry of Justice","Land Registry","Legal Services Group","21","G6","51131","72134","Assistant Land Registrar","7.04","Law"
"Ministry of Justice","Land Registry","Legal Services Group","23","G6","51131","72134","Assistant Land Registrar","7.42","Law"
"Ministry of Justice","Land Registry","Legal Services Group","24","G6","51131","72134","Assistant Land Registrar","4.57","Law"
