Organisation name,Organisation Code,Effective Date,Contract Reference number / ID,Open Contracting ID,Title of the Agreement,Contract type,Directorate / service responsible,Service Category label,Service category URI,Description of goods and services,Procurement classification: Council's procurement category label,Procurement classification: CPV label,Procurement classification: CPV code,Procurement classification: Proclass label,Procurement classification: Proclass code,Contract start date,End date,Review date,Last extension date,Contract value,Fixed cost / estimated cost,Irrecoverable VAT,Supplier name,Supplier registered company number,Supplier registered charity number,Other supplier ID,SME supplier,VCSE supplier,VCSE supplier type,Nominated contact point: name,Nominated contact point: email,Nominated contact point: URL
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,AON45332,,Building Maintenance & Works Framework,,GENERIC,,,Building Maintenance & Works Framework,FM - building maintenance,,,,,01/02/2015,31/01/2017,,31/01/2019,,,,1-2 CALL DRAINAGE & GROUNDWORK LTD,,,1529798,,,,Procurement Sourcing Team,"COMMODITIES, GOODS & SERVICES",
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,ALN45450A,,Recycling credits,,ETD,,,Recycling credits,Waste - recycling credits,,,,,01/03/2015,31/03/2016,,,150000,Estimated,,1ST DERSINGHAM SCOUT & GUIDE GROUPS,,,80240,,YES,,Procurement Sourcing Team,"COMMODITIES, GOODS & SERVICES",
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,AXN41218,,Shop consumables,,COMMUNITY SERVICES,,,Shop consumables,Retail - goods for resale,,,,,01/04/2013,30/09/2016,,,50000,Estimated,,3D DISPLAYS LIMITED,,,65570,,,,Procurement Sourcing Team,PROFESSIONAL SERVICES,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,BON40201N,,Multi provider Framework Agreement for the Provision of Training for the Early years and Childcare Workforce,,RESOURCES,,,Multi provider Framework Agreement for the Provision of Training for the Early years and Childcare Workforce,HR - training,,,,,05/07/2012,04/07/2016,,04/07/2016,500000,Estimated,,4 TRAINING & CONSULTANCY LTD,,,997840,,,,Procurement Sourcing Team,PROFESSIONAL SERVICES,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,BON44787,,CF0443 4Children Lots 31 & 32 Children's Centres,,CHILDREN,,,CF0443 4Children Lots 31 & 32 Children's Centres,Children's services - children's centres,,,,,01/10/2012,31/03/2016,,31/03/2016,1873065,Estimated,,4CHILDREN (TRADING) LIMITED,gb/02433565,,80253,,YES,,Procurement Part B Team,partb@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,AXN42087,,Promotional goods,,COMMUNITY SERVICES,,,Promotional goods,"Communications - design, print & promotional materials",,,,,01/09/2013,01/09/2017,,01/09/2017,50000,Estimated,,4IMPRINT DIRECT LIMITED,,,117425,,,,Procurement Sourcing Team,PROFESSIONAL SERVICES,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,APN48402,,Unexploded ordnance surveys for the Northern Distributor Road,,ETD,,,Unexploded ordnance surveys for the Northern Distributor Road,Highways - professional services,,,,,27/08/2015,31/03/2016,,31/03/2016,60000,Estimated,,6 ALPHA ASSOCIATES LTD,,,1530793,,,,Procurement Sourcing Team,"COMMODITIES, GOODS & SERVICES",
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,AUN44682,,Radio advertising,,RESOURCES,,,Radio advertising,Advertising,,,,,01/04/2014,01/01/2016,,01/04/2018,50000,Estimated,,99.9 RADIO NORWICH LIMITED,5234082,NULL,123780,,,,Procurement Sourcing Team,PROFESSIONAL SERVICES,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,BAN10454,,Care Home and Care Homes with Nursing for Adults April 2012,,COMMUNITY SERVICES,,,Care Home and Care Homes with Nursing for Adults April 2012,Adult care - nursing & residential,,,,,01/04/2012,,,,,,,"A, S & C CROPLEY T/A POINT HOUSE",,,78561,,,,Procurement Part B Team,partb@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,BAN43426,,Spot Purchased Day Care For Adults (Point House),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Point House),Adult care - day care/community support/support into work,,,,,01/01/2000,,,,,,,"A, S & C CROPLEY T/A POINT HOUSE",,,78561,,,,Procurement Part B Team,partb@norfolk.gov.uk,
