ORGANISATION NAME,EFFECTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION NO.
ROCHDALE BOROUGH COUNCIL,05/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,MWUK LTD,05/12/2017,-£750.00,EQUIPMENT - GENERAL,V001115403
ROCHDALE BOROUGH COUNCIL,05/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,MWUK LTD,05/12/2017,-£600.00,EQUIPMENT - GENERAL,V001115734
ROCHDALE BOROUGH COUNCIL,05/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,MWUK LTD,05/12/2017,-£712.50,EQUIPMENT - GENERAL,V001116223
ROCHDALE BOROUGH COUNCIL,06/12/2017,RESOURCES,CRITIQOM LIMITED,06/12/2017,"£1,674.22",PRINTING & STATIONERY,V001153699
ROCHDALE BOROUGH COUNCIL,05/12/2017,PHYSICAL DIS & OLDER PEOPLE,ROSS CARE,05/12/2017,£510.00,MINOR BUILDING WORKS,V001159022
ROCHDALE BOROUGH COUNCIL,13/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,CORPS,13/12/2017,"£7,825.54",SECURITY,V001166237
ROCHDALE BOROUGH COUNCIL,13/12/2017,BETTER CARE FUND POOLED BUDGET,THE STROKE ASSOCIATION,13/12/2017,"£25,750.00",VOLUNTARY ASSOCIATIONS,V001177862
ROCHDALE BOROUGH COUNCIL,04/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,SCHNEIDER ELECTRIC LIMITED,04/12/2017,"£4,044.00",PROPERTY - WORKS ELEMENT,V001178242
ROCHDALE BOROUGH COUNCIL,13/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,IMPERIAL POLYTHENE PRODUCTS LTD,13/12/2017,£872.38,EQUIPMENT - GENERAL,V001178814
ROCHDALE BOROUGH COUNCIL,21/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,DENNIS EAGLE LTD,21/12/2017,£574.75,VEHICLE MAINTENANCE,V001180179
ROCHDALE BOROUGH COUNCIL,22/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,J A CRYER EXCAVATION & GROUNDWORK CONTRACTORS LTD,22/12/2017,£960.00,ENVIRONMENTAL WORKS LANDSCAPE,V001185824
ROCHDALE BOROUGH COUNCIL,15/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,CORPS,15/12/2017,"£1,846.24",SECURITY,V001186989
ROCHDALE BOROUGH COUNCIL,15/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,CORPS,15/12/2017,"£1,762.32",SECURITY,V001186990
ROCHDALE BOROUGH COUNCIL,12/12/2017,PHYSICAL DIS & OLDER PEOPLE,ASTOR BANNERMAN MEDICAL LTD,12/12/2017,£648.95,MINOR BUILDING WORKS,V001188193
ROCHDALE BOROUGH COUNCIL,13/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,IMPERIAL POLYTHENE PRODUCTS LTD,13/12/2017,£608.00,EQUIPMENT - GENERAL,V001188502
ROCHDALE BOROUGH COUNCIL,13/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,IMPERIAL POLYTHENE PRODUCTS LTD,13/12/2017,£608.00,EQUIPMENT - GENERAL,V001188502
ROCHDALE BOROUGH COUNCIL,13/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,IMPERIAL POLYTHENE PRODUCTS LTD,13/12/2017,£608.00,EQUIPMENT - GENERAL,V001188502
ROCHDALE BOROUGH COUNCIL,13/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,IMPERIAL POLYTHENE PRODUCTS LTD,13/12/2017,£608.00,EQUIPMENT - GENERAL,V001188502
ROCHDALE BOROUGH COUNCIL,12/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,JOSEPH NOBLETT,12/12/2017,"£5,066.00","TREES, SHRUBS, PLANTS",V001188748
ROCHDALE BOROUGH COUNCIL,13/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,CORPS,13/12/2017,"£7,825.54",SECURITY,V001188853
ROCHDALE BOROUGH COUNCIL,11/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,WLG LTD,11/12/2017,"£1,347.58",CATERING - GENERAL,V001189180
ROCHDALE BOROUGH COUNCIL,11/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,WLG LTD,11/12/2017,"£1,506.46",CATERING - GENERAL,V001189183
ROCHDALE BOROUGH COUNCIL,11/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,WLG LTD,11/12/2017,£637.87,CATERING - GENERAL,V001189185
ROCHDALE BOROUGH COUNCIL,12/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,NEW STEP FOR AFRICAN COMMUNITY (NESTAC),12/12/2017,"£3,040.00",PUBLICITY,V001189222
ROCHDALE BOROUGH COUNCIL,13/12/2017,BETTER CARE FUND POOLED BUDGET,THE STROKE ASSOCIATION,13/12/2017,"£2,258.08",VOLUNTARY ASSOCIATIONS,V001189288
ROCHDALE BOROUGH COUNCIL,01/12/2017,ECONOMY DIRECTORATE,LINK4LIFE CHARITY,01/12/2017,£748.74,REPAIRS & ALTS OF BUILDINGS,V001189423
ROCHDALE BOROUGH COUNCIL,13/12/2017,EARLY HELP AND SCHOOLS,ABC INDUSTRIAL DOORS LTD,13/12/2017,£595.00,ELECTRICAL,V001189557
