Organisation Name (A),Dept (B),Service Cat Label (C),Purpose of Spend (D),Expenditure CIPFA Sub Group Label (E),Supplier (F),Supplier Reference (G),Pay Date (H),Transaction Number (I),Net Amount (J),Grant to VCSE? (K),Charity Number (L),Card Transaction (M),Irrecoverable VAT (N)
Pendle Borough Council,Human Resources,Supplies and Services,Seminars etc All Costs,46,10 EIGHTY LIMITED,A0090349, 21/04/2016,PER0270527,300,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,EFM : Other Equipment,40,ACE BEDS UK,A0050722, 21/04/2016,HMR0270526,148,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,EFM : Other Equipment,40,ACE BEDS UK,A0050722, 21/04/2016,HMR0270498,297,N,N/A,N,N/A
Pendle Borough Council,Human Resources,,Cash : Payroll Advances,PB,REDACTED - PERSONAL DATA,A0081258, 21/04/2016,PER0270602,35.34,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Subscriptions & Donations,47,AGE CONSULTING,A0084171, 14/04/2016,DAL0270420,200,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,AGRISPARES TRADING COMPANY LIMITED,A0090706, 14/04/2016,PCO0270239,350,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,36,ALD AUTOMOTIVES,A0025555, 25/04/2016,AAS0270715,244.87,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD,ALKINCOATES WOODLAND & NATURE RESERVE GRP,A0057349, 14/04/2016,HED0270438,500,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,44,ALLPAY LIMITED,A0084372, 07/04/2016,AAS0270134,10,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,44,ALLPAY LIMITED,A0084372, 07/04/2016,AAS0270131,16.46,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,44,ALLPAY LIMITED,A0084372, 07/04/2016,AAS0270132,17.75,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,44,ALLPAY LIMITED,A0084372, 07/04/2016,AAS0270133,31.09,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,44,ALLPAY LIMITED,A0084372, 07/04/2016,AAS0270130,722.62,N,N/A,N,N/A
Pendle Borough Council,Financial Services,,Paid in the Year,PD,REDACTED - PERSONAL DATA,A0090747, 20/04/2016,AAS0270691,500,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Subscriptions & Donations,47,AON UK LIMITED,A0071306, 21/04/2016,AAS0270533,428.03,N,N/A,N,N/A
Pendle Borough Council,Planning & Building Control,,Fees Income : Non-VATable,93,ARAN PROPERTY CONSULTANTS LIMITED,A0090714, 07/04/2016,PBC0270029,195,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Bldgs : R & M : Day To Day,20,ARROWLINE,A0077222, 14/04/2016,HED0270304,128.52,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Bldgs : R & M : Day To Day,20,ARROWLINE,A0077222, 14/04/2016,HED0270304,192.77,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,ARTHUR PADGETT LTD,A0056366, 14/04/2016,HMR0270233,2705.47,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,36,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 18/04/2016,AAS0270687,144.48,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,36,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 18/04/2016,AAS0270687,144.48,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,36,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 18/04/2016,AAS0270687,144.48,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,36,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 18/04/2016,AAS0270687,144.48,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,36,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 15/04/2016,AAS0270686,256.09,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,36,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 15/04/2016,AAS0270686,252.79,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,36,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 18/04/2016,AAS0270687,144.48,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,ASGARD,A0090675, 07/04/2016,PCO0270087,125,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,ASGARD,A0090675, 07/04/2016,PCO0270087,250,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Other Expenses,47,ASPEN VALLEY KENNELS & CATTERY,A0022106, 14/04/2016,OPS0270294,870.64,N,N/A,N,N/A
Pendle Borough Council,Human Resources,,Cash : Payroll Advances,PB,REDACTED - PERSONAL DATA,A0041689, 21/04/2016,PER0270597,44.53,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Consultants Fees,44,AURORA ACCOUNTING SERVICES,A0089134, 07/04/2016,AAS0270115,1170,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Annual Hire Charge,36,B & W PLANT HIRE AND SALES LTD,A0090057, 21/04/2016,PCO0270544,35,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Annual Hire Charge,36,B & W PLANT HIRE AND SALES LTD,A0090057, 21/04/2016,PCO0270544,135,N,N/A,N,N/A
