Organisation Name (A),Department (B),Service Cat Label (C ),Purpose of Spend (D),Expenditure CIPFA Sub Group (E ),Supplier (F),Supplier Reference (G),Pay Date (H),Transaction Number (I),Net Amount (J),Grant to VCSE? (K),Charity Number (L),Card Transaction (M),Irrecoverable VAT (N)
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,FST CONSUMABLES LIMITED,A0000004, 16/02/2017,PCO0277879,46.78,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,APSE,A0000021, 02/02/2017,PCO0277062,229,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 09/02/2017,PCO0277386,1.24,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 09/02/2017,PCO0277386,2.67,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 09/02/2017,PCO0277386,3.24,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 09/02/2017,PCO0277386,6.6,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 09/02/2017,PCO0277386,19.8,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 16/02/2017,PCO0277899,20.72,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 16/02/2017,PCO0277899,20.73,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 16/02/2017,PCO0277898,27.4,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 09/02/2017,PCO0277386,35.16,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 02/02/2017,PCO0277074,10.22,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 23/02/2017,PCO0278041,48.7,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 23/02/2017,PCO0278038,18.66,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 02/02/2017,PCO0277074,27.56,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 02/02/2017,PCO0277074,3.94,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 02/02/2017,PCO0277074,23.62,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 02/02/2017,PCO0277074,3.94,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 16/02/2017,PCO0277878,1.7,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 16/02/2017,PCO0277878,25.08,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARNES JB LIMITED,A0000202, 23/02/2017,PCO0278036,0.33,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARNES JB LIMITED,A0000202, 23/02/2017,PCO0278036,0.85,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARNES JB LIMITED,A0000202, 23/02/2017,PCO0278036,1.67,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BARNES JB LIMITED,A0000202, 23/02/2017,PCO0278037,16,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BARNES JB LIMITED,A0000202, 16/02/2017,PCO0277891,45.7,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BARNES JB LIMITED,A0000202, 23/02/2017,PCO0278039,18.44,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,BARNES JB LIMITED,A0000202, 23/02/2017,OPS0278065,3.25,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,EFM : Other Equipment,4003,BARNES JB LIMITED,A0000202, 16/02/2017,REG0277375,59.9,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,4004,BARNES JB LIMITED,A0000202, 23/02/2017,OPS0278063,137.09,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,EFM Materials,4004,BARNES JB LIMITED,A0000202, 02/02/2017,REG0277099,7.99,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,4004,BARNES JB LIMITED,A0000202, 09/02/2017,OPS0277368,3.33,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,BARROWFORD PARISH COUNCIL,A0000239, 16/02/2017,HED0277875,880,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,BLACKBURN/DARWEN BOROUGH COUNCIL,A0000381, 16/02/2017,COR0278004,1557.61,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,BLACKBURN/DARWEN BOROUGH COUNCIL,A0000381, 16/02/2017,COR0278004,623.05,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,BLACKBURN/DARWEN BOROUGH COUNCIL,A0000381, 16/02/2017,COR0278004,750,N,N/A,N,N/A
