"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-018","Crown Advocate CPSD (Nat)","47605","60477","Duty Prosecutor","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-018","Level A2 (Nat)","15949","19684","Administrative Officer","7.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-018","Level B1 (Nat)","20277","25888","HR Officer","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-018","Level B1 (Nat)","20277","25888","IT Support Officer","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-018","Level B1 (Nat)","20277","25888","Senior Personal Assistant","2.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-018","Level B1 (Nat)","20277","25888","Workforce Officer","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-018","Level B2 (Nat)","25972","30616","Area Finance Manager","0.86","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-018","Level B2 (Nat)","25972","30616","Area Performance Manager","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-018","Level B2 (Nat)","25972","30616","HR Advisor","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-018","Level B3 (Nat)","32228","39876","Area Operations Manager","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-018","Level D Admin (Nat)","45191","58490","Business Change and Delivery Manager","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-018","Level D Legal (Lon)","48665","63760","Legal Manager","4.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-018","Level D Legal (Nat)","45191","59490","Duty Prosecutor","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-018","Level D Legal (Nat)","45191","59490","Legal Manager","15.62","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-018","Level E Admin (Nat)","62437","72460","Area Business Manager","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-018","Level E Legal (Lon)","65005","74450","Legal Manager","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-018","Level E Legal (Nat)","62437","72460","Legal Manager","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-018","SCP Above Break Point (Lon)","44898","58679","Duty Prosecutor","3.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-018","SCP Above Break Point (Nat)","42728","52140","Duty Prosecutor","6.73","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-018","Senior Crown Prosecutor (Lon)","36791","44776","Duty Prosecutor","52.86","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-018","Senior Crown Prosecutor (Nat)","35376","43157","Duty Prosecutor","159.10","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Associate Prosecutor (Nat)","26881","31688","Associate Prosecutor","19.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Associate Prosecutor (Nat)","26881","31688","Legal Trainee","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Associate Prosecutor 2 (Nat)","31296","36339","Associate Prosecutor","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Crown Advocate (Nat)","47605","60477","Crown Advocate","8.46","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Crown Advocate ABP (Nat)","58730","60477","Crown Advocate","6.00","Operational Delivery"
