Organisation Name,Organisation Code,Effective Date,Directorate,Service (Sercop),Sercop URI,Supplier Name,Supplier ID,Company Registration,Charity Registration,VCSE Grant,Payment Date,Transaction Number,Net Amount,Irrecoverable VAT,Purpose of Spend,Type,Procurement Classification,Class Code,Thomson Classification,Thomson Description,Contract
,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,ANGELA SHAW EDUCATION CONSULTANTS LTD,N/A,Not yet available,Not yet available,Not yet available,13/06/2014,22522996,800,Nil,Activities School Improvement,Revenue,Professional Services,CAT08,12100,Business & Management Consultants,Not yet available
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,AVENTIS SOLUTIONS LTD,N/A,Not yet available,Not yet available,Not yet available,16/06/2014,22523624,1000,Nil,Activities School Improvement,Revenue,Business Services,CAT02,31230,Employment & Recruitment Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,EDGE HILL UNIVERSITY,N/A,Not yet available,Not yet available,Not yet available,16/06/2014,22523639,600,Nil,Activities School Improvement,Revenue,Business Services,CAT02,81491,Universities & Medical Schools,Not yet available
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,KATHERINE MILNER MATHEMATICS CONSULTANCY,N/A,Not yet available,Not yet available,Not yet available,13/06/2014,22522947,4000,Nil,Activities School Improvement,Revenue,Family Services,CAT04,29360,Educational Services,Not yet available
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,KATHERINE MILNER MATHEMATICS CONSULTANCY,N/A,Not yet available,Not yet available,Not yet available,13/06/2014,22522948,3500,Nil,Activities School Improvement,Revenue,Family Services,CAT04,29360,Educational Services,Not yet available
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,NATIONAL COAL MINING MUSEUM TRADING LTD,N/A,Not yet available,Not yet available,Not yet available,23/05/2014,22506078,1363,Nil,Activities School Improvement,Revenue,"Economic Growth, Culture & Sport",CAT09,52400,Museums & Art Galleries,Not yet available
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,WAKEFIELD CITY ACADEMY,N/A,Not yet available,Not yet available,Not yet available,23/05/2014,22506080,8850,Nil,Activities School Improvement,Revenue,Family Services,CAT04,67981,Schools - Local Authority,Not yet available
Wakefield MDC,E08000036,30/06/2014,ADULTS,Not yet available,Not yet available,ALERT -IT CARE ALARMS,N/A,Not yet available,Not yet available,Not yet available,11/06/2014,22520790,14616.61,Nil,Adaptations,Revenue,Family Services,CAT04,50348,Medical Equipment Manufacturers,Not yet available
Wakefield MDC,E08000036,30/06/2014,ADULTS,Not yet available,Not yet available,ALERT -IT CARE ALARMS,N/A,Not yet available,Not yet available,Not yet available,11/06/2014,22520791,14424.94,Nil,Adaptations,Revenue,Family Services,CAT04,50348,Medical Equipment Manufacturers,Not yet available
Wakefield MDC,E08000036,30/06/2014,ADULTS,Not yet available,Not yet available,BUDDI LIMITED,N/A,Not yet available,Not yet available,Not yet available,26/06/2014,22528697,540,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,11700,Burglar & Intruder Alarm Systems,Not yet available
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,WAKEFIELD DISTRICT HOUSING INVOICE PAYMENTS,N/A,Not yet available,Not yet available,Not yet available,29/04/2014,22484685,94828.94,Nil,Administration Charge,Revenue,Family Services,CAT04,44166,"Housing Associations, Societies, Trusts & Co-Opera",Not yet available
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,BAAF ADOPTION & FOSTERING,N/A,Not yet available,Not yet available,Not yet available,23/05/2014,22506064,895,Nil,Advertising,Revenue,Family Services,CAT04,1880,Adoption & Fostering,Not yet available
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,BAAF ADOPTION & FOSTERING,N/A,Not yet available,Not yet available,Not yet available,23/05/2014,22506065,895,Nil,Advertising,Revenue,Family Services,CAT04,1880,Adoption & Fostering,Not yet available
Wakefield MDC,E08000036,30/06/2014,ADULTS,Not yet available,Not yet available,CLEAR CHANNEL UK LTD,N/A,Not yet available,Not yet available,Not yet available,13/05/2014,22498165,1832,Nil,Advertising,Revenue,Business Services,CAT02,1967,Advertising - Media,Not yet available
Wakefield MDC,E08000036,30/06/2014,REGENCULT,Not yet available,Not yet available,EXTERION MEDIA,N/A,Not yet available,Not yet available,Not yet available,02/05/2014,22494570,8020,Nil,Advertising,Revenue,Business Services,CAT02,1967,Advertising - Media,Not yet available
Wakefield MDC,E08000036,30/06/2014,REGENCULT,Not yet available,Not yet available,EXTERION MEDIA,N/A,Not yet available,Not yet available,Not yet available,02/05/2014,22494572,1550,Nil,Advertising,Revenue,Business Services,CAT02,1967,Advertising - Media,Not yet available
Wakefield MDC,E08000036,30/06/2014,ADULTS,Not yet available,Not yet available,EXTERION MEDIA,N/A,Not yet available,Not yet available,Not yet available,13/05/2014,22494936,880,Nil,Advertising,Revenue,Business Services,CAT02,1967,Advertising - Media,Not yet available
Wakefield MDC,E08000036,30/06/2014,REGENCULT,Not yet available,Not yet available,HAYMARKET MEDIA GROUP LTD,N/A,Not yet available,Not yet available,Not yet available,23/05/2014,22502755,1225,Nil,Advertising,Revenue,Business Services,CAT02,62450,Publishers & Publications,Not yet available
