Property Address,RATEPAYER,RV,LIABILITY_START
"Unit 19 Mearclough Works, Mearclough Road, Sowerby Bridge, HX6 3LF",,1175,01/04/2016
"""Unofficial"" Jjk Interiors, Civic Hall, Rochdale Road, Greetland",J J K Interiors Ltd,5000,01/04/2015
"Civic Hall, Rochdale Road, Greetland, Halifax              HX4 8AH",G & W Developments Ltd,18500,01/04/2015
"Pf Gf Unit 11 Nanholme Mill, Shaw Wood Road, Todmorden, OL14 6DA",Homestart Calderdale,680,01/04/2015
"1ST Flr, Unit 11 Nanholme Mill, Shaw Wood Road, Todmorden           OL14 6DA",The Arc & Throstle Property Ltd,5100,01/04/2015
"114-116 Gibbet Street, Halifax, HX1 5BZ",,5400,22/07/2015
"Units 9D & 9E, Top Land Country Business Pk, Burnley Road, Mytholmroyd",L S Audio Tech Ltd,6100,01/01/2016
"202 King Cross Road, Halifax, HX1 3JP",,6400,02/11/2015
"Unit 24 Birkby House, Birkby Lane, Brighouse, HD6 4JJ",Blackshaw Holdings Ltd,1950,01/07/2016
"Unit 4A, Lrp Business Park, Halifax Road, Hipperholme          HX3 8ER",,9400,04/04/2016
"Unit 4B, Ladyship Industrial Park, Old Lane, Halifax              HX3 6TA",4x4 Overlander Ltd,8100,01/05/2016
"10 Wards End, Halifax, HX1 1BX",,9900,19/06/2016
"3 Sod House Green, Halifax, HX3 6QR",,2500,27/05/2016
"41 Westgate House, Market Street, Halifax, HX1 1PD",Coral Racing Ltd,45750,29/04/2016
"14 Market Street, Hebden Bridge, HX7 6AA",,6900,28/06/2016
"Unit 20, Moderna Business Park, Mytholmroyd, Hebden Bridge        HX7 5QQ",,10000,01/07/2016
"6 King Cross Street, Halifax, HX1 2SH",Joseph & Khan Solicitors,5200,01/07/2016
"Rear 296 Queens Road, Halifax, HX1 4NS",,3450,02/07/2016
"Unit 1C, Canteen Mill Ind. Units, Burnley Road, Todmorden           OL14 7DR",,2600,01/03/2016
"Unit 9 Lower Brearley Mill, Luddendenfoot, Halifax, HX2 6HU",,4400,20/12/2015
"40 Town Hall Street, Sowerby Bridge, HX6 2EA",,3400,01/04/2016
"First Floor, 259/261 Queens Road, Halifax, HX1 4NS",,3150,14/12/2015
"224 King Cross Road, Halifax, HX1 3JP",Just Give It A Go Ltd,6700,01/04/2016
"29 Lombard Street, Halifax, HX1 3PA",Just Give It A Go Ltd,1900,01/04/2016
"1st & Part Ground Floor, Holme End, Hebden Bridge, HX7 8NX",,2125,01/01/2015
"121 Savile Park Road, Halifax, HX1 2XH",,5900,05/03/2016
"163 King Cross Road, Halifax, HX1 3LN",,23750,01/01/2016
"Unit 16, Sdh Industrial Estate, West Street, Sowerby Bridge       HX6 3BS",,3300,01/07/2016
"26 Market Street, Halifax, HX1 1PD",,15500,02/07/2016
"Unit 1A Moorlea Garage, Albert Road, Halifax, HX2 0DF",,6400,01/06/2016
"Mount Pleasant Mill Yard, Midgley Road, Mytholmroyd, Hebden Bridge       HX7 5LR",,530,01/01/2016
"Mount Pleasant House, Midgley Road, Mytholmroyd, Hebden Bridge        HX7 5LR",,370,02/01/2016
"Carillion, Black Brook Way, Stainland Road, Greetland            HX4 8BQ",Ace Gas Ltd,3150,01/05/2015
"2 The Old Vicarage, Coley Road, Northowram, Halifax             HX3 7SA",,8600,16/02/2016
"24 Rochdale Road, Todmorden, OL14 7LD",Damson Brook Ltd,5600,01/01/2016
"19 Mixenden Road, Mixenden, Halifax, HX2 8PE",,2850,08/02/2016
"Unit A/B, Ridings Business Park, Hopwood Lane, Halifax              HX1 3TT",Ammori Polymers Ltd,45250,01/03/2016
"Units E, F Pt J, Ridings Business Park, Hopwood Lane, Halifax              HX1 3TT",Weir Valves & Controls Uk Ltd,45750,23/03/2016
"Units G/H, Ridings Business Park, Hopwood Lane, Halifax              HX1 3TT",Stair World Ltd,39500,18/04/2016
"Woodman Works, South Lane, Elland, HX5 0PA",Caecillian Limited,1300,01/04/2016
"Ground Floor, West Yorkshire Fire Station, Hollins Mill Lane, Sowerby Bridge       HX6 2QG",Sowerby Bridge Fire And Water Ltd,2200,05/05/2015
"117 Boothtown Road, Halifax, HX3 6PD",,6000,03/07/2016
"211 Gibbet Street, Halifax, HX1 5JW",,4250,01/04/2015
"Unit 5, South Street, Halifax, HX1 2EL",Sher Prints Ltd,3650,01/04/2015
"West Parade Ind Est, West Parade, Halifax, HX1 2TE",Frank Marshall Estates Ltd,2075,01/04/2016
"Basement Right Hand, Jubilee Mill, West Parade, Halifax              HX1 2TA",Frank Marshall Estates Ltd,2075,01/04/2016
"Unit 8G, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Mrs Mopps Cleaning Services Ltd,2750,16/05/2016
"Slitheroe Works, Oldham Road, Rishworth, Sowerby Bridge       HX6 4EW",,5600,01/07/2016
"Former Cottage, Rishworth Business Complex, Rishworth, Sowerby Bridge       HX6 4EW",,3500,01/07/2016
"Part 2ND Floor, Northvale Mills, Bradford Road, Brighouse            HD6 4DJ",Sparkle Events Limited,850,01/04/2011
"Unit 74 Bowers Mill, Branch Road, Barkisland, Halifax              HX4 0AD",,3500,04/03/2016
"Part 4TH Floor, Northvale Mills, Bradford Road, Brighouse            HD6 4DJ",,1950,01/03/2015
"Part 2ND Floor (Whse), Northvale Mills, Bradford Road, Brighouse            HD6 4DJ",Clifton Lighting Ltd,2500,01/06/2014
"Storage & Id Cars, Queens Road Works, Queens Road, Halifax              HX1 3NS",,4000,01/11/2015
"Unit 1 Bridge Road Works, Bridge Road, Brighouse, HD6 1EP",,5200,18/04/2016
"Unit 2 Bridge Road Works, Bridge Road, Brighouse, HD6 1EP",,5600,18/04/2016
"1 Central Buildings, Town Hall Street, Sowerby Bridge, HX6 2QF",,4650,26/03/2016
"Unit 6, South Street, Halifax, HX1 2EL",,3350,20/11/2011
"Office 36 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",Healthwatch Kirklees,3900,01/04/2016
"Palladium Buildings, 165 King Cross Road, Halifax, HX1 3LN",,2200,01/07/2016
"75 Southgate, Elland, HX5 0DQ",,3500,27/06/2016
"Travellers Rest, 83 Stainland Road, Greetland, Halifax             HX4 8BD",Admiral Taverns Ltd,10500,05/07/2016
"Unit 16, Mearclough Works, Mearclough Road, Sowerby Bridge       HX6 3LF",,920,01/01/2016
"Unit 21, Mearclough Works, Mearclough Road, Sowerby Bridge       HX6 3LF",,920,01/04/2015
"Unit 18, Mearclough Works, Mearclough Road, Sowerby Bridge       HX6 3LF",,1175,01/04/2015
"Unit 17, Mearclough Works, Mearclough Road, Sowerby Bridge       HX6 3LF",,920,01/04/2015
"Units 5E/5F Craggs C/Ty B Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",Blazing Saddles Ltd,10500,14/03/2016
"Unit 4A, 148/150 Hanson Lane, Halifax, HX1 5PQ",,4200,01/09/2015
"Units 2/3, Vine Industrial Estate, Elland Road, Brighouse            HD6 2QS",,8500,01/02/2016
"Unit 2, Kirklees Steelworks, Grove Street, Brighouse            HD6 1PL",Yfr Autos Ltd,5800,01/02/2016
"2ND Flr, 3 Carlton Place, Halifax, HX1 2SB",,13000,01/04/2016
"1ST Flr, 3 Carlton Place, Halifax, HX1 2SB",,13000,01/04/2016
"1st Floor Over Unit 1, Woodman Works, South Lane, Elland              HX5 0HQ",Rotary Club Of Elland,1300,28/12/2015
"Unit R4, Tenterfields Business Park, Luddendenfoot, Halifax             HX2 6EQ",,6900,17/06/2016
"Unit 8, Wellington Business Centre, Quebec Street, Elland               HX5 9AS",Footwear Accessories And Bags Ltd,7000,06/06/2016
"Unit 5, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",,3450,10/09/2015
"1ST & 2ND Floors, 5 Stainland Road, Greetland, Halifax              HX4 8AD",,4350,06/06/2016
"253 King Cross Road, Halifax, HX1 3JL",,7700,30/06/2016
"Unit 1A, Caldervale Business Park, River Street, Brighouse            HD6 1LU",Lmp Tasty Trades Ltd,2500,01/04/2015
"Unit 1C, Caldervale Business Park, River Street, Brighouse            HD6 1LU",Lmp Tasty Trades Ltd,2950,01/04/2015
"Unit 1D, Caldervale Business Park, River Street, Brighouse            HD6 1LU",Lmp Tasty Trades Ltd,2600,01/04/2015
"Unit 1, Caldervale Business Park, River Street, Brighouse            HD6 1LU",Lmp Tasty Trades Ltd,25000,01/04/2015
"Unit 1B, Caldervale Business Park, River Street, Brighouse            HD6 1LU",Lmp Tasty Trades Ltd,1625,01/04/2015
"George Hotel, 2 Commercial Street, Brighouse, HD6 1AQ",The Craft Union Pub Company Ltd,16500,08/06/2016
