"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"UK Statistics Authority","UK Statistics Authority","Digital Publishing","51","HEO","25460","34680","Higher Executive Officer","1.00","Communications"
"UK Statistics Authority","UK Statistics Authority","Digital Publishing","51","SEO","30995","41613","Senior Executive Officer","3.00","Communications"
"UK Statistics Authority","UK Statistics Authority","Stakeholder Management and Communication","12","AO","15631","21267","Administrative Officer","2.00","Communications"
"UK Statistics Authority","UK Statistics Authority","Stakeholder Management and Communication","12","EO","20239","29147","Executive Officer","5.81","Communications"
"UK Statistics Authority","UK Statistics Authority","Stakeholder Management and Communication","12","Grade 6","48867","67360","Grade 6","2.00","Communications"
"UK Statistics Authority","UK Statistics Authority","Stakeholder Management and Communication","12","Grade 7","43333","60342","Grade 7","4.00","Communications"
"UK Statistics Authority","UK Statistics Authority","Stakeholder Management and Communication","12","HEO","25460","34680","Higher Executive Officer","9.81","Communications"
"UK Statistics Authority","UK Statistics Authority","Stakeholder Management and Communication","12","SEO","30995","41613","Senior Executive Officer","6.79","Communications"
"UK Statistics Authority","UK Statistics Authority","Organisational Capability","54","EO","20239","29147","Executive Officer","2.00","Communications"
"UK Statistics Authority","UK Statistics Authority","Organisational Capability","54","Grade 7","43333","60342","Grade 7","0.81","Communications"
"UK Statistics Authority","UK Statistics Authority","Organisational Capability","54","HEO","25460","34680","Higher Executive Officer","0.81","Communications"
"UK Statistics Authority","UK Statistics Authority","Organisational Capability","54","SEO","30995","41613","Senior Executive Officer","2.00","Communications"
"UK Statistics Authority","UK Statistics Authority","Beyond 2011","29","Fast Stream","28960","35333","Assistant Statistician","1.00","Communications"
"UK Statistics Authority","UK Statistics Authority","Beyond 2011","29","Grade 6","48867","67360","Grade 6","1.00","Communications"
"UK Statistics Authority","UK Statistics Authority","Beyond 2011","29","HEO","25460","34680","Higher Executive Officer","1.00","Communications"
"UK Statistics Authority","UK Statistics Authority","Applications Development and Support","35","SEO","30995","41613","Senior Executive Officer","1.00","Communications"
"UK Statistics Authority","UK Statistics Authority","Crime Regional and Data Access","41","Grade 7","43333","60342","Grade 7","1.00","Economics"
"UK Statistics Authority","UK Statistics Authority","Crime Regional and Data Access","41","HEO Specialist","25460","35333","Research Officer","3.00","Economics"
"UK Statistics Authority","UK Statistics Authority","Measuring National Well-being","18","Fast Stream","28960","35333","Economic Assistant","1.00","Economics"
"UK Statistics Authority","UK Statistics Authority","Measuring National Well-being","18","Grade 7","43333","60342","Grade 7","1.00","Economics"
"UK Statistics Authority","UK Statistics Authority","Public Policy Analysis","52","Fast Stream","28960","35333","Economic Assistant","4.00","Economics"
"UK Statistics Authority","UK Statistics Authority","Public Policy Analysis","52","Grade 7","43333","60342","Grade 7","1.60","Economics"
"UK Statistics Authority","UK Statistics Authority","Public Policy Analysis","52","HEO Specialist","25460","35333","Research Officer","1.00","Economics"
"UK Statistics Authority","UK Statistics Authority","Business Indicators and Balance of Payments","19","Fast Stream","28960","35333","Economic Assistant","1.00","Economics"
"UK Statistics Authority","UK Statistics Authority","Labour Market","20","EO","20239","29147","Executive Officer","1.00","Economics"
"UK Statistics Authority","UK Statistics Authority","Prices","22","Fast Stream","28960","35333","Economic Assistant","1.00","Economics"
"UK Statistics Authority","UK Statistics Authority","Public Sector and Households","49","Fast Stream","28960","35333","Economic Assistant","1.00","Economics"
"UK Statistics Authority","UK Statistics Authority","Public Sector and Households","49","Grade 7","43333","60342","Grade 7","2.00","Economics"
"UK Statistics Authority","UK Statistics Authority","Public Sector and Households","49","HEO","25460","34680","Higher Executive Officer","1.00","Economics"
"UK Statistics Authority","UK Statistics Authority","OCEA Division","15","Fast Stream","28960","35333","Economic Assistant","7.00","Economics"
"UK Statistics Authority","UK Statistics Authority","OCEA Division","15","Grade 7","43333","60342","Grade 7","2.74","Economics"
"UK Statistics Authority","UK Statistics Authority","OCEA Division","15","HEO","25460","34680","Higher Executive Officer","2.00","Economics"
"UK Statistics Authority","UK Statistics Authority","OCEA Division","15","HEO Specialist","25460","35333","Research Officer","1.00","Economics"
"UK Statistics Authority","UK Statistics Authority","Organisational Capability","54","Grade 7","43333","60342","Grade 7","1.00","Economics"
"UK Statistics Authority","UK Statistics Authority","Beyond 2011","29","Fast Stream","28960","35333","Economic Assistant","1.00","Economics"
"UK Statistics Authority","UK Statistics Authority","Public Sector and Households","49","HEO","25460","34680","Higher Executive Officer","0.90","Finance"
"UK Statistics Authority","UK Statistics Authority","Portfolio Delivery Unit","56","Grade 7","43333","60342","Grade 7","1.00","Finance"
"UK Statistics Authority","UK Statistics Authority","Portfolio Delivery Unit","56","HEO","25460","34680","Executive Officer","1.00","Finance"
"UK Statistics Authority","UK Statistics Authority","Portfolio Delivery Unit","56","SEO","30995","41613","Senior Executive Officer","1.00","Finance"
"UK Statistics Authority","UK Statistics Authority","Service Centre","55","SEO","30995","41613","Senior Executive Officer","1.00","Finance"
"UK Statistics Authority","UK Statistics Authority","Organisational Capability and Performance","43","Grade 7","43333","60342","Grade 7","1.00","Finance"
"UK Statistics Authority","UK Statistics Authority","Finance","32","AO","15631","21267","Administrative Officer","4.62","Finance"
"UK Statistics Authority","UK Statistics Authority","Finance","32","EO","20239","29147","Executive Officer","13.57","Finance"
"UK Statistics Authority","UK Statistics Authority","Finance","32","Grade 6","48867","67360","Grade 6","2.00","Finance"
"UK Statistics Authority","UK Statistics Authority","Finance","32","Grade 7","43333","60342","Grade 7","5.00","Finance"
"UK Statistics Authority","UK Statistics Authority","Finance","32","HEO","25460","34680","Higher Executive Officer","8.00","Finance"
"UK Statistics Authority","UK Statistics Authority","Finance","32","SEO","30995","41613","Senior Executive Officer","2.59","Finance"
"UK Statistics Authority","UK Statistics Authority","Organisational Capability","54","EO","20239","29147","Executive Officer","2.00","Human Resources"
"UK Statistics Authority","UK Statistics Authority","Organisational Capability","54","Grade 7","43333","60342","Grade 7","1.60","Human Resources"
"UK Statistics Authority","UK Statistics Authority","Organisational Capability","54","HEO","25460","34680","Higher Executive Officer","3.00","Human Resources"
"UK Statistics Authority","UK Statistics Authority","Organisational Capability","54","SEO","30995","41613","Senior Executive Officer","2.00","Human Resources"
"UK Statistics Authority","UK Statistics Authority","Service Centre","55","AO","15631","21267","Administrative Officer","5.31","Human Resources"
"UK Statistics Authority","UK Statistics Authority","Service Centre","55","EO","20239","29147","Executive Officer","6.32","Human Resources"
"UK Statistics Authority","UK Statistics Authority","Service Centre","55","Grade 6","48867","67360","Grade 6","0.81","Human Resources"
"UK Statistics Authority","UK Statistics Authority","Service Centre","55","Grade 7","43333","60342","Grade 7","4.00","Human Resources"
"UK Statistics Authority","UK Statistics Authority","Service Centre","55","HEO","25460","34680","Higher Executive Officer","10.14","Human Resources"
"UK Statistics Authority","UK Statistics Authority","Service Centre","55","SEO","30995","41613","Senior Executive Officer","5.65","Human Resources"
"UK Statistics Authority","UK Statistics Authority","National Statisticians Office (Operations)","13","Grade 7","43333","60342","Grade 7","1.00","Human Resources"
"UK Statistics Authority","UK Statistics Authority","National Statisticians Office (Operations)","13","HEO","25460","34680","Higher Executive Officer","1.00","Human Resources"
"UK Statistics Authority","UK Statistics Authority","National Statisticians Office (Operations)","13","SEO","30995","41613","Senior Executive Officer","2.00","Human Resources"
"UK Statistics Authority","UK Statistics Authority","Prices","22","Grade 7","43333","60342","Grade 7","1.00","Information Technology"
"UK Statistics Authority","UK Statistics Authority","Assurance","47","Grade 7","43333","60342","Grade 7","1.00","Information Technology"
"UK Statistics Authority","UK Statistics Authority","Assurance","47","HEO","25460","34680","Higher Executive Officer","2.00","Information Technology"
"UK Statistics Authority","UK Statistics Authority","Assurance","47","SEO","30995","41613","Senior Executive Officer","2.00","Information Technology"
"UK Statistics Authority","UK Statistics Authority","Service Centre","55","EO","20239","29147","Executive Officer","3.59","Information Technology"
"UK Statistics Authority","UK Statistics Authority","Service Centre","55","Grade 7","43333","60342","Grade 7","6.81","Information Technology"
"UK Statistics Authority","UK Statistics Authority","Service Centre","55","HEO","25460","34680","Higher Executive Officer","6.00","Information Technology"
"UK Statistics Authority","UK Statistics Authority","Service Centre","55","SEO","30995","41613","Senior Executive Officer","8.60","Information Technology"
"UK Statistics Authority","UK Statistics Authority","Applications Development and Support","35","EO","20239","29147","Executive Officer","45.99","Information Technology"
"UK Statistics Authority","UK Statistics Authority","Applications Development and Support","35","Grade 6","48867","67360","Grade 6","6.00","Information Technology"
"UK Statistics Authority","UK Statistics Authority","Applications Development and Support","35","Grade 7","43333","60342","Grade 7","29.68","Information Technology"
"UK Statistics Authority","UK Statistics Authority","Applications Development and Support","35","HEO","25460","34680","Higher Executive Officer","69.40","Information Technology"
"UK Statistics Authority","UK Statistics Authority","Applications Development and Support","35","SEO","30995","41613","Senior Executive Officer","33.76","Information Technology"
"UK Statistics Authority","UK Statistics Authority","Statistical Business Strategy","46","Grade 6","48867","67360","Grade 6","1.00","Information Technology"
"UK Statistics Authority","UK Statistics Authority","Statistical Business Strategy","46","Grade 7","43333","60342","Grade 7","2.00","Information Technology"
"UK Statistics Authority","UK Statistics Authority","Finance","32","Grade 6","48867","67360","Grade 6","1.00","Internal Audit"
"UK Statistics Authority","UK Statistics Authority","Finance","32","HEO","25460","34680","Higher Executive Officer","2.00","Internal Audit"
"UK Statistics Authority","UK Statistics Authority","Finance","32","SEO","30995","41613","Senior Executive Officer","0.81","Internal Audit"
"UK Statistics Authority","UK Statistics Authority","Service Centre","55","AA","13941","15164","Administrative assistant","3.00","Knowledge and Information Management (KIM)"
"UK Statistics Authority","UK Statistics Authority","Service Centre","55","EO","20239","29147","Executive Officer","3.00","Knowledge and Information Management (KIM)"
"UK Statistics Authority","UK Statistics Authority","Service Centre","55","Grade 7","43333","60342","Grade 7","1.00","Knowledge and Information Management (KIM)"
"UK Statistics Authority","UK Statistics Authority","Service Centre","55","HEO","25460","34680","Higher Executive Officer","1.81","Knowledge and Information Management (KIM)"
"UK Statistics Authority","UK Statistics Authority","Service Centre","55","SEO","30995","41613","Senior Executive Officer","2.81","Knowledge and Information Management (KIM)"
"UK Statistics Authority","UK Statistics Authority","Crime Regional and Data Access","41","Grade 7","43333","60342","Grade 7","1.00","Knowledge and Information Management (KIM)"
"UK Statistics Authority","UK Statistics Authority","A and D Central","6","EO","20239","29147","Executive Officer","1.81","Operational Delivery"
"UK Statistics Authority","UK Statistics Authority","A and D Central","6","Grade 7","43333","60342","Grade 7","1.00","Operational Delivery"
"UK Statistics Authority","UK Statistics Authority","Crime Regional and Data Access","41","AO","15631","21267","Administrative Officer","2.65","Operational Delivery"
"UK Statistics Authority","UK Statistics Authority","Crime Regional and Data Access","41","EO","20239","29147","Executive Officer","8.28","Operational Delivery"
"UK Statistics Authority","UK Statistics Authority","Crime Regional and Data Access","41","Grade 6","48867","67360","Grade 6","1.00","Operational Delivery"
"UK Statistics Authority","UK Statistics Authority","Crime Regional and Data Access","41","Grade 7","43333","60342","Grade 7","2.00","Operational Delivery"
"UK Statistics Authority","UK Statistics Authority","Crime Regional and Data Access","41","HEO","25460","34680","Higher Executive Officer","9.24","Operational Delivery"
"UK Statistics Authority","UK Statistics Authority","Crime Regional and Data Access","41","HEO Specialist","25460","35333","Research Officer","1.00","Operational Delivery"
"UK Statistics Authority","UK Statistics Authority","Crime Regional and Data Access","41","SEO Specialist","32754","42445","Senior Research Officer","0.73","Operational Delivery"
"UK Statistics Authority","UK Statistics Authority","Digital Publishing","51","EO","20239","29147","Executive Officer","1.00","Operational Delivery"
"UK Statistics Authority","UK Statistics Authority","Digital Publishing","51","Grade 6","48867","67360","Grade 6","1.00","Operational Delivery"
"UK Statistics Authority","UK Statistics Authority","Digital Publishing","51","Grade 7","43333","60342","Grade 7","1.00","Operational Delivery"
"UK Statistics Authority","UK Statistics Authority","Digital Publishing","51","HEO","25460","34680","Higher Executive Officer","3.54","Operational Delivery"
"UK Statistics Authority","UK Statistics Authority","Measuring National Well-being","18","AO","15631","21267","Administrative Officer","3.97","Operational Delivery"
"UK Statistics Authority","UK Statistics Authority","Measuring National Well-being","18","Fast Stream","28960","35333","Economic Assistant","1.00","Operational Delivery"
"UK Statistics Authority","UK Statistics Authority","Measuring National Well-being","18","EO","20239","29147","Executive Officer","3.64","Operational Delivery"
"UK Statistics Authority","UK Statistics Authority","Measuring National Well-being","18","HEO","25460","34680","Higher Executive Officer","6.62","Operational Delivery"
"UK Statistics Authority","UK Statistics Authority","Measuring National Well-being","18","SEO","30995","41613","Senior Executive Officer","1.00","Operational Delivery"
"UK Statistics Authority","UK Statistics Authority","Public Policy Analysis","52","AO","15631","21267","Administrative Officer","2.00","Operational Delivery"
"UK Statistics Authority","UK Statistics Authority","Public Policy Analysis","52","EO","20239","29147","Executive Officer","1.81","Operational Delivery"
"UK Statistics Authority","UK Statistics Authority","Public Policy Analysis","52","Grade 6","48867","67360","Grade 6","1.00","Operational Delivery"
"UK Statistics Authority","UK Statistics Authority","Public Policy Analysis","52","Grade 7","43333","60342","Grade 7","1.00","Operational Delivery"
"UK Statistics Authority","UK Statistics Authority","Public Policy Analysis","52","HEO","25460","34680","Higher Executive Officer","2.86","Operational Delivery"
"UK Statistics Authority","UK Statistics Authority","Public Policy Analysis","52","HEO Specialist","25460","35333","Research Officer","1.00","Operational Delivery"
"UK Statistics Authority","UK Statistics Authority","Public Policy Analysis","52","SEO","30995","41613","Senior Executive Officer","0.54","Operational Delivery"
