Department Family,Entity,Date,Expense Type,Expense area,Supplier,Transaction Number,Amount
Department of Health,Salisbury NHS Foundation Trust,15-Dec-17,FOODSTUFFS,Facilities,PELICAN PROCUREMENT SERVICES LTD,NOV-2017-NHS1634,9093.75
Department of Health,Salisbury NHS Foundation Trust,15-Dec-17,FOODSTUFFS,Facilities,PELICAN PROCUREMENT SERVICES LTD,NOV-2017-NHS1634,55982.39
Department of Health,Salisbury NHS Foundation Trust,15-Dec-17,RATES,Corporate - ETS,WILTSHIRE COUNCIL,NDR - DEC 2017,114356
Department of Health,Salisbury NHS Foundation Trust,15-Dec-17,DRUGS,Clinical Support,LLOYDSPHARMACY CLINICAL HOMECARE,SINV2599805,31338.83
Department of Health,Salisbury NHS Foundation Trust,14-Dec-17,MISCELLANEOUS CAPITAL,Capital Projects,CACI LIMITED,JC20033829,91177.61
Department of Health,Salisbury NHS Foundation Trust,14-Dec-17,MISCELLANEOUS CAPITAL,Capital Projects,CACI LIMITED,JC20033829,18235.52
Department of Health,Salisbury NHS Foundation Trust,08-Dec-17,DRUGS,Clinical Support,LLOYDSPHARMACY CLINICAL HOMECARE,SINV2621452,31323.83
Department of Health,Salisbury NHS Foundation Trust,01-Dec-17,OTH ENGINEERING PLANT&EQUIP,Capital Projects,L A MOORE LTD,14639,12461.1
Department of Health,Salisbury NHS Foundation Trust,01-Dec-17,OTH ENGINEERING PLANT&EQUIP,Capital Projects,L A MOORE LTD,14639,5871
Department of Health,Salisbury NHS Foundation Trust,01-Dec-17,OTH ENGINEERING PLANT&EQUIP,Capital Projects,L A MOORE LTD,14639,15111.9
Department of Health,Salisbury NHS Foundation Trust,01-Dec-17,OTH ENGINEERING PLANT&EQUIP,Capital Projects,L A MOORE LTD,14639,12677.96
Department of Health,Salisbury NHS Foundation Trust,01-Dec-17,OTH ENGINEERING PLANT&EQUIP,Capital Projects,L A MOORE LTD,14639,15111.9
Department of Health,Salisbury NHS Foundation Trust,21-Dec-17,DRUGS,Clinical Support,NOVARTIS PHARMACEUTICALS UK LTD,91879256,26712
Department of Health,Salisbury NHS Foundation Trust,21-Dec-17,DRUGS,Clinical Support,NOVARTIS PHARMACEUTICALS UK LTD,91879256,5342.4
Department of Health,Salisbury NHS Foundation Trust,21-Dec-17,DRUGS,Clinical Support,BAYER PLC,187499504,26220
