School,Admission Number,1st Preference Applications,2nd Preference Applications,3rd Preference Applications,4th Preference Applications, 5th Preference Applications,1st Preference Allocations,Total Allocations,Distance of furthest pupil allocated a place (in miles) (if oversubscribed)
Abbey Park Primary Academy,30,25,15,15,3,0,25,27,
All Saints' CE (VA) J and I School,30,30,53,23,9,11,28,30,2.3
Ash Green Community Primary School,60,39,6,4,1,2,39,41,
Bailiffe Bridge J and I School,30,27,28,27,16,10,24,30,2.288
Barkisland CE (VA) Primary School,26,26,35,35,15,5,26,30,2.308
Beech Hill School,90,56,18,24,9,8,56,66,
Bolton Brow Primary Academy,30,32,40,18,14,11,27,30,0.491
Bowling Green Primary School,23,25,17,13,7,4,22,23,0.616
Bradshaw Primary School,45,33,35,28,8,8,33,45,2.986
Burnley Road Academy,30,21,11,8,4,0,21,24, 
Carr Green Primary School,45,71,65,18,11,0,43,45,0.465
Castle Hill Primary School,37,29,11,10,7,1,29,37,2.08
Castlefields Infant School,60,25,8,15,4,3,25,37,
Central Street Infant and Nursery School,30,15,14,8,3,1,15,18,
Christ Church (Pellon) CE (VC) Primary School,30,8,42,4,1,3,8,30,1.257
Cliffe Hill Community Primary School,30,16,0,5,6,2,16,19,
Colden J and I School,17,11,7,1,0,2,11,11, 
Copley Primary School,32,37,37,42,24,14,31,32,1.046
"Cornholme J, I and N School",30,24,3,4,3,2,24,29,
Cragg Vale J and I School,10,4,4,6,5,3,4,4,
Cross Lane Primary and Nursery School,45,31,11,9,7,1,31,34,
Dean Field Community Primary School,30,38,34,12,7,5,27,30,0.395
"Elland CE (VA) J, I and N School",30,28,14,3,4,3,28,30,3.183
Ferney Lee Primary School,30,16,10,7,1,1,16,26,
Field Lane Primary School,27,5,3,4,0,1,5,8,
Hebden Royd CE (VA) Primary School,21,7,4,6,0,1,7,7,
"Heptonstall J, I and N School",15,14,6,3,2,1,14,15,3.562
Highbury School,N/A,6,2,0,0,0,6,10,
Holy Trinity Primary School (COEA),60,61,40,39,22,8,56,60,0.582
Holywell Green Primary School,30,20,21,12,8,8,20,21,
Lee Mount Primary School,50,58,17,20,12,7,48,50,0.459
Lightcliffe CE (VA) Primary School,60,49,33,39,16,14,48,60,3.472
"Ling Bob J, I and N School",45,70,18,7,5,3,45,45,0.212
Luddenden CE School,30,13,8,8,4,2,13,21,
Luddendenfoot Academy,26,15,9,10,5,16,15,18, 
Midgley School,15,20,19,13,4,2,15,15,0.477
Moorside Community Primary School,30,21,14,13,9,1,21,30,1.151
Mount Pellon Primary Academy,75,48,19,46,11,9,48,64, 
New Road Primary School,21,12,10,9,4,6,12,20,
Norland CE (VC) J and I School,15,12,17,22,12,10,11,15,1.785
Northowram Primary School,60,51,42,19,14,9,51,57, 
Old Earth School,56,63,22,24,6,3,54,56,0.714
Old Town Primary School,15,12,1,4,1,2,12,12, 
Parkinson Lane Community Primary School,60,81,90,44,11,8,60,60,0.169
"Rawson J, I and N School",60,45,7,4,7,3,45,56,
Ripponden J and I School,45,22,19,14,20,4,22,25,
Sacred Heart Catholic Primary School,30,12,11,8,9,3,12,19,
Salterhebble J and I School,30,30,27,28,10,9,29,30,0.982
Salterlee Academy Trust,15,23,38,11,11,6,15,15,Distance category not reached
Savile Park Primary School,60,21,28,35,16,12,21,34, 
Scout Road Academy,15,14,16,7,6,3,14,16,1.304
Shade Primary School,28,20,24,20,1,3,20,27, 
Shelf J and I School,45,32,24,23,10,13,31,37, 
Siddal Primary School,30,27,7,4,4,3,27,33,
Sowerby Village CE (VC) Primary School,30,12,2,1,2,0,12,14,
St Andrew's CE (VA) Infant School,60,43,29,19,21,6,43,53, 
St Augustine's CE (VA) J and I School,30,26,13,12,9,8,26,28, 
St Chad's CE (VA) Primary School,30,31,56,28,11,10,28,30,0.709
"St John's (CE) Primary Academy, Clifton",30,38,18,29,8,9,30,30,0.951
St John's CE Primary School (Rishworth),20,16,13,15,4,11,16,19, 
St Joseph's Catholic Primary School (Brighouse),30,20,20,24,11,4,20,25, 
St Joseph's Catholic Primary School (Halifax),30,33,27,13,8,2,28,30,0.189
St Joseph's RC Primary School (Todmorden),22,11,6,3,1,0,11,18,
St Malachy's Catholic Primary School,30,21,14,5,1,1,21,27, 
St Mary's Catholic Primary School (Halifax),40,37,46,24,17,14,35,40,0.78
St Mary's CE (VC) J and I School (Sowerby Bridge),15,16,8,11,8,6,15,15,1.291
St Michael and All Angels CE Primary School,30,35,13,16,12,6,26,30,1.4
St Patrick's Catholic Primary School (Elland),17,18,15,9,1,3,15,17,0.851
Stubbings Infant School,30,18,17,1,5,1,18,20,
The Greetland Academy,60,54,27,26,20,13,53,60,4.084
The Halifax Academy,60,19,23,14,4,3,19,31,
Todmorden CE (VA) J & I School,29,37,13,8,4,3,29,29,0.288
Triangle CE (VC) Primary School,23,41,30,18,9,7,26,26,0.925
Tuel Lane Infant School,40,42,9,10,6,3,39,40,0.318
Wainstalls School,21,28,19,19,7,7,22,26,1.79
Walsden St Peter's CE (VC) Primary School,25,28,19,11,0,0,24,25,0.641
Warley Road Primary School,84,73,53,30,16,16,73,84,0.833
Warley Town School,20,35,33,25,10,5,20,20,0.45
West Vale Primary School,26,19,26,32,16,15,19,23, 
Whitehill Community Academy,90,103,42,15,6,2,89,90,0.866
Withinfields Primary School,45,43,4,6,5,3,43,45,3.768
Wood Bank School,N/A,10,3,0,0,0,10,10,
Woodhouse Primary School,60,70,68,23,11,8,50,60,1.021
