Property Address,RATEPAYER,RV,LIABILITY_START
"Unit 6F, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",The Eyebag Company Ltd,2425,01/09/2015
"Unit 6G, Calderdale Business Park, Club Lane, Halifax              HX2 8DB",Master Flooring Installation Ltd,1950,13/07/2015
"Unit 6A, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",,2325,20/07/2015
"Unit 8H, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Fuse Art C.I.C,2750,04/06/2015
"Unit 7B, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",,1050,18/05/2015
"Unit 16C, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Bizspace Ltd,1525,02/01/2013
"Unit 10E, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Thorpe Care Ltd,2500,01/08/2015
"Unit 10G, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Friendly Private Hire Ltd,550,20/07/2015
"Unit 10A, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",prin2 Ltd,1150,17/08/2015
"The Richard Oastler, Park Street, Brighouse, HD6 1JL",J D Wetherspoon Plc,58500,27/04/2015
"204 King Cross Road, Halifax, HX1 3JP",,5400,23/07/2015
"19 Crown Street, Hebden Bridge, HX7 8EH",,14750,27/09/2015
"14 Woolshops, Halifax, HX1 1RU",John David Group Plc,175000,01/10/2015
"The Cooking School, Dean Clough Mills, Halifax, HX3 5AX",Dc Coffee Ltd,22750,01/08/2015
"62 School Lane, Illingworth, Halifax, HX2 9QW",Jewells Of Halifax Ltd,4700,01/10/2015
"Maggies, 24 Fountain Street, Halifax, HX1 1LW",Enterprise Inns Plc,32000,06/10/2015
"Lush, 24A Fountain Street, Halifax, HX1 1LW",Enterprise Inns Plc,25750,31/07/2015
"Unit H6 Premier Way, Lowfields Business Park, Elland, HX5 9HF",Royds Properties Ltd,34000,18/08/2015
"Unit 6 First Floor, Wellington Mills, Quebec Street, Elland               HX5 9AS",Northlight Studios Ltd,7600,18/08/2015
"Unit 20, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA",North West Media Services Ltd,7900,23/07/2015
"Unit 19, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA",North West Media Services Ltd,7900,23/07/2015
"The Court Yard, 5/6 Wards End, Halifax, HX1 1BX",Calldy Bars Ltd,22750,18/08/2015
"4 Dale Street, Todmorden, OL14 5PX",,1550,01/07/2015
"Moorcock Inn, Moor Bottom Lane, Norland, Sowerby Bridge       HX6 3RP",Moorcock Norland Ltd,7000,06/10/2015
"90 Southgate, Elland, HX5 0EP",,17250,04/10/2015
"Unit 6I, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Bizspace Ltd,2650,30/09/2015
"Empire House, 15 Mulcture Hall Road, Halifax, HX1 1SP",Hutchinson Construction [Northern] Ltd,3650,01/03/2015
"Unit 1A & Unit 1B 1ST Floor, James Street Mills, James Street, Elland               HX5 0HB",Ramsdens Solicitors Llp,4600,01/04/2015
"1 Elland Road, Ripponden, Sowerby Bridge, HX6 4DB",James Melia Photographers Ltd,2800,01/06/2015
"Market Stall 129-130, Market Hall, Borough Market, Halifax             HX1 1DZ",,4700,10/09/2012
"85A Highfield Road, Rastrick, Brighouse, HD6 3JA",Curry Chef (Yorkshire) Ltd,2750,06/06/2015
"Unit G14 Lock View, Lowfields Business Park, Elland, HX5 9HD",Triangle Wholefoods Collective Ltd,60500,02/10/2015
"37 Burnley Road, Todmorden, OL14 7BU",,4850,05/09/2015
"West Parade, Halifax, HX1 2TA",Pure Filters (International) Limited,12000,01/10/2015
"Riverside Works, Hollins Mill Lane, Sowerby Bridge, HX6 2RF",,4600,09/10/2015
"Arden Works, Fenton Road, Halifax, HX1 3SN",,8500,01/04/2015
"The Conservatory Village, Burnley Road, Halifax, HX2 7LW",,3800,01/07/2015
"Unit 1, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",Vizbox Enclosures Ltd,2650,01/03/2015
"Unit 2C, Dean Hey Country Bus Park, Cragg Road, Mytholmroyd          HX7 5RU",Thornber Chicks Ltd,10000,10/08/2015
"Office 15, 11 Owler Ings Road, Brighouse, HD6 1EJ",,1075,01/10/2015
"Store 26A, 11 Owler Ings Road, Brighouse, HD6 1EJ",,1175,01/10/2015
"Shibden Hall Road, Halifax, HX3 8PJ",,4100,10/10/2015
"Store G02, Gf Cromwell House, Elland Road, Brighouse            HD6 2RG",,620,12/05/2015
"5 Victoria Street, West Vale, Halifax, HX4 8DF",The Supply People Ltd,4550,11/05/2015
"Office 16, 11 Owler Ings Road, Brighouse, HD6 1EJ",,1050,01/10/2015
"Lower Underbank, Charlestown, Hebden Bridge, HX7 6PH",,6200,01/09/2015
"Holme End, Hebden Bridge, HX7 8NX",Mytholmroyd Builders Merchants Ltd,8000,01/01/2015
"3A Victoria Road, Elland, HX5 0AB",Passion For Support Ltd,2250,01/09/2015
"3 Victoria Road, Elland, HX5 0AB",,3700,01/09/2015
"Office 8 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",Halifax Opportunities Trust,3650,15/10/2015
"Unit D, Ridings Business Park, Hopwood Lane, Halifax              HX1 3TT",Enviro Building Solutions Ltd,18750,01/08/2014
"1ST Flr, Lower Calder House, The Wharf, Sowerby Bridge, HX6 2AG",Omnis Data Limited,6200,01/09/2015
"Ground Floor, Old Town Mill, Wadsworth, Hebden Bridge        HX7 8SW",,6000,01/10/2015
"Beard Enterprises, Old Town Mill, Wadsworth, Hebden Bridge        HX7 8SW",Beard Enterprises Ltd,8000,01/10/2015
"Unit 10, Thornhill Briggs Mill, Thornhills Beck Lane, Brighouse            HD6 4AW",Denco Lubrication Ltd,3500,01/08/2015
"80-82 Fountain Head Road, Ovenden Wood, Halifax, HX2 0SR",David Wilson Homes (Northern) Ltd,19000,22/06/2015
"The Stone Yard, Stansfield House, Shay Lane, Halifax              HX2 9AD",Jowett Stone Ltd,6000,01/04/2014
"13-15 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LH",,5100,19/05/2015
"Duke Of York Inn, West Street, Shelf, Halifax             HX3 7LN",,25000,17/08/2015
"Fieldhead House, Hebble Brook Business Park, Hays Lane, Halifax              HX2 8UL",Swinton Group Ltd,30500,31/08/2015
"Greyhound Inn, 132 Crowtrees Lane, Brighouse, HD6 3NH",Idsc Limited,9000,19/08/2015
"4 Westgate, Halifax, HX1 1DJ",,4250,01/05/2015
"9 Russell Street, Halifax, HX1 1RL",Bramleys Estate Agents,24500,29/07/2015
"The Last Drop, 22/26 Bull Green, Halifax, HX1 5AB",,27000,28/09/2015
"Telecommunications Mast, Site Ref W Y K 0193, Keighley Road, Halifax              HX2 9LL",Mobile Broadband Network Ltd,8900,22/05/2015
"The Moquette Shed, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",Philip Hanson Bespoke Joinery Ltd,23250,13/07/2015
"First Floor, Unit 5 Wellington Mills, Quebec Street, Elland               HX5 9AS",Aspire Crafts Ltd,10750,01/09/2015
"Units B8 & B10, Tenterfields Business Park, Luddendenfoot, Halifax             HX2 6EQ",Community Transport Calderdale Ltd,5700,21/08/2015
"Bar Eleven, 11 Harrison Road, Halifax, HX1 2AF",Mls Venues Ltd,50000,10/08/2015
"Wellington Business Park, Unit 1, Norland Road, Sowerby Bridge       HX6 3DF",Infusion Concepts Ltd,11500,04/09/2015
"Wellington Business Park, Units 2-3, Norland Road, Sowerby Bridge       HX6 3DF",Infusion Concepts Ltd,7000,04/09/2015
"Unit 2, 10A Nanholme Mill, Shaw Wood Road, Todmorden           OL14 6DA",Damson Brook Ltd,1900,01/06/2015
"Office Suite G 426, Dean Clough Mills, Halifax, HX3 5AX",Duffy Fowler Gabbi Solicitors,7600,07/09/2015
"Office Suite D238, Dean Clough Office Park, Halifax, HX3 5AX",Strategic Pre-Clinical Product Development Ltd,2275,14/09/2015
"Office Suite G7, Dean Clough Mills, Halifax, HX3 5AX",Calderdale College,105000,10/08/2015
"204 Queens Road, Halifax, HX1 4NE",,2950,27/09/2015
"Unit 6J, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Bizspace Ltd,2650,30/09/2015
"Basement Rear, 33 Rochdale Road, Todmorden, OL14 7LA",,2425,25/09/2015
"Office Suite LG39, Dean Clough Industrial Park, Halifax, HX1 1XG",Dean Clough Ltd,1350,18/09/2015
"Unit 11 Windsor Works, Victoria Road, Hebden Bridge, HX7 8JX",Personal Taste Ltd,3450,02/09/2015
"Unit 8, Lineholme Industrial Estate, Burnley Road, Todmorden           OL14 7DH",,6100,31/07/2015
"School House, 56 Hopwood Lane, Halifax, HX1 5ER",Harris Peel (Developments) Ltd,42500,09/08/2015
"Yew Tree Inn, 20 Northowram Green, Northowram, Halifax             HX3 7JE",Innkeeper Consulting Ltd,13750,25/08/2015
"The Moorings, Canal Wharf, Sowerby Bridge, HX6 2AG",mav3 Ltd,60000,23/09/2015
"Unit 4 Windsor Works, Victoria Road, Hebden Bridge, HX7 8JX",,1375,01/10/2015
"Unit 1 Windsor Works, Victoria Road, Hebden Bridge, HX7 8JX",,1375,12/10/2015
"Unit 9 Victoria Park, Lightowler Road, Halifax, HX1 5ND",C2 (General Partner Two) Lp,8300,17/10/2015
"Unit 14D, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Bizspace Ltd,1550,01/04/2015
"51 Towngate, Northowram, Halifax, HX3 7EG",Kura House Ltd,1925,12/10/2015
"Third Floor, 18 Silver Street, Halifax, HX1 1HS",Aph Elixir Hscc Ltd,9000,09/10/2015
"Whitehall Chambers, Halifax Road, Hipperholme, Halifax             HX3 8EN",Ploughcroft Ltd,7400,02/09/2015
"Office 23, 11 Owler Ings Road, Brighouse, HD6 1EJ",,1650,01/11/2014
"Unit 5 Victoria Works, The Boathouse, Wharf Street, Brighouse            HD6 1PP",W B White Foundry Ltd,1600,01/01/2015
"Unit 6 Victoria Works, The Boathouse, Wharf Street, Brighouse            HD6 1PP",,1625,01/10/2015
"Cinderhill Works, Siddal, Halifax, HX3 9JR",B W Recycling Ltd,19500,15/10/2015
"Unit 1, 561 Gibbet Street, Halifax, HX2 0AL",,6800,30/04/2015
"Unit 1, Old Elegant Stone Works, Holdsworth Road, Holmfield            HX2 9TN",Holmfield Cast Stone Ltd,11750,01/09/2015
"Unit 2A Beehive Mills, Hebble End, Hebden Bridge, HX7 6HJ",,2650,01/08/2015
"Sovereign House, 8 Bonegate Road, Brighouse, HD6 1SP",,7200,01/06/2013
