Property Address,RATEPAYER,RV,LIABILITY_START
"38 Back Clough, Northowram, Halifax, HX3 7HH",,1075,01/01/2016
"Central Unit 2, Rosemount Estate, Huddersfield Road, Elland               HX5 0EE",Early Excellence Ltd,13750,01/12/2015
"19 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LH",,1825,01/07/2015
"Units 2,3 & 9, 32 Huddersfield Road, Brighouse, HD6 1HA",Aceede Services Ltd,13250,24/12/2015
"15 Windmill Court, Keighley Road, Illingworth, Halifax              HX2 8YB",Rockmount Utilities Ltd,1600,04/01/2016
"32 Halifax Road, Todmorden, OL14 5QG",,5600,01/01/2016
"19 King Cross Street, Halifax, HX1 2SH",,5200,01/01/2016
"Unit 2 Turkey Lodge, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",Calder Weaving Company Ltd,12250,01/01/2016
"Unit 14 Windsor Works, Victoria Road, Hebden Bridge, HX7 8JX",,3450,04/01/2016
"Unit 2, Upper Bonegate, Brighouse, HD6 1RT",,8000,28/10/2015
"Unit 19, Lee Bridge Industrial Estate, Lee Bridge, Halifax             HX3 5AT",,5400,01/01/2016
"Gauxholme Mill, Bacup Road, Todmorden, OL14 7PN",,2700,04/01/2016
"Unit 82 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",Edgar Dickinson Properties Ltd,900,05/01/2016
"22 Rochdale Road, Todmorden, OL14 7LD",,3900,01/11/2015
"Unit C 2ND Floor, Salt Warehouse, Canal Wharf, Sowerby Bridge       HX6 2AG",Fairway International Travel Ltd,16250,18/07/2015
"4 Coleridge Street, Halifax, HX1 2JF",,7000,11/12/2015
"1 White Hart Fold, Todmorden, OL14 7BD",White Rabbit3 Ltd,4200,24/09/2015
"24 Waterhouse Street, Halifax, HX1 1UQ",,3050,04/08/2015
"Market Stall 129-130, Market Hall, Borough Market, Halifax             HX1 1DZ",,4700,24/06/2013
"Unit 36A, Phoebe Lane Industrial Est., Phoebe Lane, Halifax              HX3 9EX",Melling Construction Ltd,7000,01/12/2015
"Ground Floor, 10A Wade House Road, Shelf, Halifax              HX3 7PE",,3850,16/11/2015
"Unit 6 Victoria Park, Lightowler Road, Pellon, Halifax              HX1 5ND",C2 (General Partner Two) Lp,7600,01/11/2015
"Unit 8 Victoria Park, Lightowler Road, Halifax, HX1 5ND",Ys Parcels Ltd,8200,02/11/2015
"Hollins Top Workshop, Lee Wood Road, Hebden Bridge, HX7 7EQ",,650,25/01/2013
"10 Woolshops, Halifax, HX1 1RU",Costa Ltd,54000,11/01/2016
"Unit 10F, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",Thornber Chicks Ltd,3300,01/01/2016
"Unit 10B, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",Noonstone Ltd,6600,01/01/2016
"107 Haley Hill, Halifax, HX3 6EE",,1925,07/09/2015
"47/49 Crown Street, Halifax, HX1 1JB",,10000,03/10/2015
"Lever Street, Todmorden, OL14 5QF",,3000,01/01/2016
"Office, 34 Walnut Street, Halifax, HX1 5JB",,3400,03/07/2015
"Unit 11, Hillas Ind Estate, Walker Lane, Sowerby Bridge, HX6 2AR",,3650,16/06/2015
"21B Back Halifax Road, Todmorden, OL14 5AG",Finestreet Ltd,2275,23/12/2015
"George Street, Mytholmroyd, Hebden Bridge, HX7 5DT",,3250,14/12/2015
"Quebec Street, Elland, HX5 9BX",Nicsol Limited,9500,17/11/2015
"Savile Close Day Centre, Savile Park Road, Halifax, HX1 2ES",Calderdale Mbc Adults Health And Social Care,18750,16/01/2016
"168 King Cross Road, Halifax, HX1 3LN",,3000,30/09/2015
"1ST & 2ND Flrs, 32 Clare Road, Halifax, HX1 2HX",,8400,01/12/2014
"Unit 4C, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",,3650,01/01/2016
"Unit 4B, Orchard Business Park, Scout Road, Mytholmroyd          HX7 5HZ",Thornber Chicks Ltd,3100,01/01/2016
"Unit 4E, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",Metropolis Interiors Ltd,3600,01/01/2016
"Unit 1B, Dean Hey Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",Scout Road Academy,8000,11/01/2016
"Unit 2C, Dean Hey Country Bus Park, Cragg Road, Mytholmroyd          HX7 5RU",Scout Road Academy,10000,11/01/2016
"The Court Yard, 5/6 Wards End, Halifax, HX1 1BX",Enterprise Inns Plc,22750,15/12/2015
"Yard 1 & 2 Rosemount Estate, Huddersfield Road, Elland, HX5 9DW",W J North Ltd,9900,01/12/2015
"Office Suite D107, Dean Clough Mills, Halifax, HX3 5AX",Make That Change Ltd,1325,14/10/2015
"Office Suite D 261, Dean Clough Mills, Halifax, HX3 5AX",Datora Limited,6600,26/10/2015
"Office Suite D256, Dean Clough Mills, Halifax, HX3 5AX",Datora Limited,2100,26/10/2015
"First Floor Front, 8 Hopwood Lane, Halifax, HX1 5HW",Urban Food Ltd,2800,22/05/2015
"Wheatsheaf Hotel, 42 Mount Pellon, Pellon, Halifax             HX2 0EE",Heineken Uk Ltd,9100,19/01/2016
"Unit 2 The Wheatsheaf, Briggate, Elland, HX5 9HG",Topdrill Ltd,4400,28/10/2015
"Crescent Mill, Foundry Street, Todmorden, OL14 7LR",,5100,01/08/2015
"4 Dale Street, Todmorden, OL14 5PX",,1550,01/01/2016
"Unit 5B Clifby Works, Sandbeds Road, Pellon, Halifax              HX2 0QQ",,2500,01/02/2015
"Golden Lion Hotel, Fielden Square, Todmorden, OL14 6LZ",Golden Monkeys Ltd,10250,01/03/2015
"353/355 Skircoat Green Road, Halifax, HX3 0RP",,7900,26/01/2016
"98 Rochdale Road, Todmorden, OL14 7LP",Studio C Photography Ltd,1825,24/06/2014
"54 Market Street, Hebden Bridge, HX7 6AA",,3250,01/08/2015
"Off Der Street, Todmorden, OL14 5QT",,2250,01/04/2015
"22 Market Street, Hebden Bridge, HX7 6AA",,6700,01/04/2015
"13 New Road, Mytholmroyd, Hebden Bridge, HX7 5DZ",,2450,22/01/2016
"Unit 12, Brunswick Industrial Estate, Brassey Street, Halifax              HX1 2EA",Monarch Mobility Ltd,12500,11/05/2015
"12 Woolshops, Halifax, HX1 1RU",Coal Pension Properties Ltd,50000,12/01/2016
"36 Rochdale Road, Todmorden, OL14 7LD",,3700,26/12/2015
"Part 2ND Floor, Northvale Mills, Bradford Road, Brighouse            HD6 4DJ",North Vale Doubling Co Ltd,850,01/04/2011
"Part 2ND Floor (Whse), Northvale Mills, Bradford Road, Brighouse            HD6 4DJ",North Vale Doubling Co Ltd,2500,01/06/2014
"Part 2ND Floor Store, Northvale Mills, Bradford Road, Brighouse            HD6 4DJ",North Vale Doubling Co Ltd,690,01/06/2014
"Part 4TH Floor, Northvale Mills, Bradford Road, Brighouse            HD6 4DJ",North Vale Doubling Co Ltd,1950,01/03/2015
"Pt 2ND/3RD/PT4TH/5TH Flrs, Northvale Mills, Bradford Road, Brighouse            HD6 4DJ",North Vale Doubling Co Ltd,11250,01/03/2015
"Unit E, Nanholme Mill, Shaw Wood Road, Todmorden           OL14 6DA",,1625,01/04/2015
"Office 3 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",Happydays Ministries Uk,5400,01/11/2015
"Millys, Grange Dene Yard, Burnley Road, Mytholmroyd          HX7 5LL",,1725,01/08/2015
"38 Clough Lane, Mixenden, Halifax, HX2 8SN",,2750,01/12/2015
"72 Burnley Road, Todmorden, OL14 5HX",,6500,21/12/2015
"Southdale House, Westholme Road, Halifax, HX1 4JF",,44000,09/12/2015
"Bramsche Bar, 31 Rochdale Road, Todmorden, OL14 7LA",Pivo Ltd,6600,01/02/2015
"284 Queens Road, Halifax, HX1 4NJ",,5000,28/11/2015
"Unit 4, Mill House Works, Mill House Lane, Triangle            HX6 3LN",,3350,01/09/2015
"Unit 1 Lrp Business Park, Halifax Road, Hipperholme, Halifax              HX3 8ER",,3350,01/09/2015
"Nichols Yard, R/O 36 Town Hall Street, Sowerby Bridge, HX6 2EE",,1525,01/04/2015
"5 New Road, Mytholmroyd, Hebden Bridge, HX7 5DZ",,1250,23/08/2014
"Unit 7, Hillas Industrial Estate, Walker Lane, Sowerby Bridge      HX6 2AR",,6800,15/12/2015
"Unit 34 Mill House Works, Mill House Lane, Triangle, HX6 3LN",,1575,01/07/2013
"29 Rochdale Road, Todmorden, OL14 7LA",The Old Coop Cafe Bar Ltd,7500,09/11/2015
"Unit 8, Kirklees Steelworks, Grove Street, Brighouse            HD6 1PL",Warmco Space Heating Ltd,2700,01/01/2016
"Unit 23, Asquith Bottom Mills, Sowerby Bridge, HX6 3BS",,2550,01/05/2015
"4/8 Bridge End, Brighouse, HD6 3DH",,990,29/11/2015
"Unit 13A Mearclough Works, Mearclough Road, Sowerby Bridge, HX6 3LF",,1375,01/11/2015
"121 Halifax Road, Ripponden, Sowerby Bridge, HX6 4DA",,2950,21/01/2016
"Unit 3, Kirklees Steelworks, Grove Street, Brighouse            HD6 1PL",,4750,01/04/2015
"Albert Hotel, 3 Albert Street, Hebden Bridge, HX7 8AH",,12250,24/11/2015
"137 Halifax Road, Todmorden, OL14 5BE",,1775,01/04/2015
"259 King Cross Road, Halifax, HX1 3JL",,7800,18/12/2015
"8 Commercial Street, Halifax, HX1 1TA",,14500,07/01/2016
"Prince Of Orange Inn, 77 Carr House Road, Shelf, Halifax             HX3 7RJ",Initialeffect Ltd,14250,05/10/2015
"Unit 2 Copperwood Court, Queens Road, Halifax, HX1 3NS",Amax Properties Ltd,8700,15/01/2016
"Units C & D, Royd Mills Business Park, Dyehouse Lane, Brighouse           HD6 1LL",,6400,01/04/2015
"6 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LH",,1875,03/12/2015
"Unit 3, Fairlea Mill, Ellen Holme Lane, Luddendenfoot       HX2 6EP",Crown Concrete Solutions Ltd,1975,10/04/2015
"Unit 30 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",Habitat Unique Ltd,2025,01/02/2014
"Elland Fire Station, South Lane, Elland, HX5 0HQ",Gouranga Properties Limited,30750,04/12/2015
"Unit 3D, Heywoods Industrial Park, Birds Royd Lane, Brighouse            HD6 1NA",,4700,05/01/2016
"Hollins Mill, Hollins Mill Lane, Sowerby Bridge, HX6 2RF",Bridgeplan Ltd,6200,01/04/2015
"Unit G3, Tenterfields Business Park, Burnley Road, Luddendenfoot        HX2 6EQ",,3100,01/08/2015
"5 Crown Street, Hebden Bridge, HX7 8EH",,5400,22/01/2016
"40/42 Borough Market, Halifax, HX1 1DY",Thai Corner @ Halifax Market Ltd,9500,01/08/2015
"The Crown Hotel, 6 Lightcliffe Road, Brighouse, HD6 2DR",,28500,17/12/2015
"Units 2D & 2E, Ladyship Business Park, Mill Lane, Halifax              HX3 6TA",Calderbrook Estates Ltd,10500,01/02/2016
"18/20 Square, Halifax, HX1 1RJ",Graham Construction Limited,28750,11/01/2016
"3/5/7 Wellington Arcade, Briggate, Brighouse, HD6 1DN",Tosca North East Ltd,26000,30/01/2016
"The Old Silk Mill, Mill Lane, Boothtown, Halifax              HX3 6TR",Reflecting Roadstuds Ltd,17250,01/01/2016
"House That Jack Built Inn, 122 Burnley Road, Todmorden, OL14 5JT",Foras Bar Ltd,7200,29/10/2015
"Unit A, Nanholme Mills, Halifax Road, Todmorden           OL14 6DA",Anglo American (Manchester) Ltd,3900,09/09/2015
"5 Luddenden Lane, Luddendenfoot, Halifax, HX2 6NH",,1150,01/12/2015
"The Beaver Lodge, West Street, Sowerby Bridge, HX6 3BT",,3150,16/01/2016
"Units 54/55/56, Asquith Bottom Works, Asquith Bottom, Sowerby Bridge       HX6 4RG",,8900,17/01/2016
"Second Floor, 18 Clare Road, Halifax, HX1 2JP",Southdale Executive Pension Scheme,3850,29/11/2015
"9 Lord Street, Halifax, HX1 5AE",Calderdale National Union Of Teachers,4300,29/11/2015
"Unit 76 Bowers Mill, Branch Road, Barkisland, Halifax              HX4 0AD",Planet Personnel Ltd,3300,30/11/2015
"First And Second Floor, 10A Wade House Road, Shelf, Halifax              HX3 7PE",,2900,16/11/2015
"The Last Drop, 22/26 Bull Green, Halifax, HX1 5AB",Enterprise Inns Plc,27000,12/01/2016
"21a West End, Hebden Bridge, HX7 8UQ",Ifonez Ltd,6500,01/04/2015
"66 Southgate, Elland, HX5 0PS",,5800,23/11/2015
"239/241 King Cross Road, Halifax, HX1 3JL",,7300,29/01/2016
"23 Water Street, Todmorden, OL14 5AB",Blackbird Bar & Kitchen Ltd,5000,23/10/2014
"Unit 13C Asquith Yard, Asquith Bottom Works, Sowerby Bridge, HX6 3BT",Fennor Exterior Works Ltd,3500,04/09/2015
"Units 1&3 (3rd Floor), Queens Road Mills, Gibbet Street, Halifax             HX1 4JX",,7300,01/04/2014
"232 Ovenden Way, Ovenden, Halifax, HX3 5NU",,3250,10/02/2016
"Mount Pleasant House, Midgley Road, Mytholmroyd, Hebden Bridge        HX7 5LR",,370,01/05/2015
"Ground Floor, 53 Halifax Road, Todmorden, OL14 5BB",,3000,01/01/2016
"Park House, Aked's Road, Halifax, HX1 2TR",,21750,29/01/2016
"Duke Of York Inn, Towngate, Stainland, Halifax             HX4 9HF",Daniel Thwaites Plc,12500,17/02/2016
"Unit 35, Mill House Works, Mill House Lane, Triangle            HX6 3LN",,2375,23/10/2015
"Unit 2, Burnley Road Garage, Mytholmroyd, Hebden Bridge       HX7 5AD",Valley Kitchens Ltd,5600,01/04/2015
"7A Stansfield Road, Todmorden, OL14 5DN",,870,22/01/2016
"Parking Spaces, Opp 35 Stansfield Road, Todmorden, OL14 5DL",,270,22/01/2016
"Store Ref 2 & 3, West Street, Todmorden, OL14 5HY",,1700,01/10/2015
"Unit 1B Hebble End Mill, Hebble End, Hebden Bridge, HX7 6HJ",Bridge Rectifier Ltd,3150,01/05/2015
"Units B2/B3 Ground Floor, Clifton House, Bradford Road, Brighouse            HD6 4JJ",Toprank Sport Ltd,10750,10/01/2015
"Unit 5C, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",Kino & Co,870,01/01/2016
"Unit 5B, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",Kino & Co,4950,01/01/2016
"Fitness Fast, Burley Street Works, Burley Street, Elland               HX5 0AQ",J C Health & Fitness Ltd,11750,01/01/2016
"Unit 1A, Burley Street Works, Burley Street, Elland               HX5 0AQ",,6600,01/01/2016
"Stalls 41/42 Market Hall, Brook Street, Todmorden, OL14 5AJ",Calderdale Mbc Markets Manager,1750,02/08/2015
"Stalls 2/3 Market Hall, Brook Street, Todmorden, OL14 5AJ",,2800,01/08/2015
"Unit G 417, Dean Clough, Halifax, HX3 5AX",Dean Clough Ltd,3800,09/02/2016
"Office Suite D151, Dean Clough Mills, Halifax, HX3 5AX",Knapton And Knapton Ltd,7800,09/02/2016
"Unit 4 Royal Industrial Park, New Bond Street, Halifax, HX1 5HA",West End Garage Ltd,7800,01/02/2016
"119 Hopwood Lane, Halifax, HX1 4HB",,3200,01/02/2016
"216 King Cross Road, Halifax, HX1 3JP",,6200,17/02/2016
"The Railway Arch, Walton Street, Sowerby Bridge, HX6 1AN",,2325,01/09/2015
"Church Stile Inn, Sowerby New Road, Sowerby Bridge, HX6 1JZ",,4400,08/01/2016
"Central Street, Hebden Bridge, HX7 6HB",,7200,19/12/2015
"Office 5 Britannia Works, Garden Street North, Halifax, HX3 6AE",,3550,12/01/2016
"Unit R1, Tenterfields Business Park, Burnley Road, Luddendenfoot        HX2 6EJ",Brogan Business Parks Ltd,6000,15/01/2016
