Organisation Name,EffectiveDate,Service,Supplier Name,paidDate,Net Amount (£),Purpose,Transaction Number
ROCHDALE BOROUGH COUNCIL,24/03/2015,PUBLIC HEALTH,4COURT PHARMACY,24/03/2015,1079.92,PH LES PAYMENTS,V000885144
ROCHDALE BOROUGH COUNCIL,06/03/2015,ECONOMY AND ENVIRONMENT,7 PDS,06/03/2015,9770,IMPROVEMENTS-MODERNISATION,V000880934
ROCHDALE BOROUGH COUNCIL,06/03/2015,CUSTOMERS & CORPORATE SERVICES,7 PDS,06/03/2015,8397,TRANSACTIONS-EXPENDITURE,V000880933
ROCHDALE BOROUGH COUNCIL,27/03/2015,PROPERTY AND HIGHWAYS,7 PDS,27/03/2015,4850,TRANSACTIONS-EXPENDITURE,V000887534
ROCHDALE BOROUGH COUNCIL,12/03/2015,PHYSICAL DIS & OLDER PEOPLE,A & S BUILDING & ROOFING,12/03/2015,1810,TRANSACTIONS-EXPENDITURE,V000882899
ROCHDALE BOROUGH COUNCIL,20/03/2015,PHYSICAL DIS & OLDER PEOPLE,A & S BUILDING & ROOFING,20/03/2015,3305,TRANSACTIONS-EXPENDITURE,V000886072
ROCHDALE BOROUGH COUNCIL,31/03/2015,PHYSICAL DIS & OLDER PEOPLE,A & S BUILDING & ROOFING,31/03/2015,3555,TRANSACTIONS-EXPENDITURE,V000889134
ROCHDALE BOROUGH COUNCIL,10/03/2015,ECONOMY AND ENVIRONMENT,A A ARNOLD LIMITED,10/03/2015,1368.89,ELECTRICAL,V000881696
ROCHDALE BOROUGH COUNCIL,17/03/2015,ECONOMY AND ENVIRONMENT,A A ARNOLD LIMITED,17/03/2015,8831.37,IMPROVEMENTS-MODERNISATION,V000885493
ROCHDALE BOROUGH COUNCIL,13/03/2015,PROPERTY AND HIGHWAYS,A A ARNOLD LIMITED,13/03/2015,625.73,TRANSACTIONS-EXPENDITURE,V000882097
ROCHDALE BOROUGH COUNCIL,02/03/2015,CUSTOMERS & CORPORATE SERVICES,A E LEGAL TRAINING,02/03/2015,541.4,TRAINING-NON QUALIFICATION,V000871151
ROCHDALE BOROUGH COUNCIL,24/03/2015,ECONOMY AND ENVIRONMENT,A E YATES LTD,24/03/2015,2721.22,BUILDING SECURITY WORKS,V000887438
ROCHDALE BOROUGH COUNCIL,24/03/2015,ECONOMY AND ENVIRONMENT,A E YATES LTD,24/03/2015,2895.99,HIGHWAYS CONTRACT,V000887437
ROCHDALE BOROUGH COUNCIL,24/03/2015,PROPERTY AND HIGHWAYS,A E YATES LTD,24/03/2015,8050.45,REPAIRS & ALTS OF BUILDINGS,V000887439
ROCHDALE BOROUGH COUNCIL,06/03/2015,PROPERTY AND HIGHWAYS,A E YATES LTD,06/03/2015,51123.44,ROADWORKS,V000879802
ROCHDALE BOROUGH COUNCIL,06/03/2015,PROPERTY AND HIGHWAYS,A E YATES LTD,06/03/2015,10224.69,TRANSACTIONS-EXPENDITURE,V000879802
ROCHDALE BOROUGH COUNCIL,24/03/2015,PROPERTY AND HIGHWAYS,A E YATES LTD,24/03/2015,579.2,TRANSACTIONS-EXPENDITURE,V000887437
ROCHDALE BOROUGH COUNCIL,24/03/2015,PROPERTY AND HIGHWAYS,A E YATES LTD,24/03/2015,544.24,TRANSACTIONS-EXPENDITURE,V000887438
ROCHDALE BOROUGH COUNCIL,24/03/2015,PROPERTY AND HIGHWAYS,A E YATES LTD,24/03/2015,1610.1,TRANSACTIONS-EXPENDITURE,V000887439
ROCHDALE BOROUGH COUNCIL,13/03/2015,PROPERTY AND HIGHWAYS,ABBEY ARCHITECTURAL IRONMONGERY,13/03/2015,531,TRANSACTIONS-EXPENDITURE,V000882048
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,ABBOTSFORD CARE LTD,13/03/2015,692.79,RESIDENTIAL LONG TERM,V000884103
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,ABBOTSFORD CARE LTD,13/03/2015,1077.68,RESIDENTIAL LONG TERM,V000884104
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,ABBOTSFORD CARE LTD,13/03/2015,1077.68,RESIDENTIAL LONG TERM,V000884105
