"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","162138","C2","29258","36333","Secretariat & Private Office","1.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","B1","56436","72185","Housing Service Delivery","1.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Army","1598314","Chf YC Off","48831","57851","Community Development Work","1.00","Social Research"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","178447","B1","56436","72185","Programme manager","3.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","00094113","B1","56436","72185","Police","1.00","Law"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","B1","56436","72185","Business Management and Improvement","1.00","Other"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","B1","56436","72185","Estate Management","2.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","162157","E1","18370","22124","Secretarial","1.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","178447","B1","56436","72185","Senior policy adviser","1.00","Policy"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","00094113","B1","56436","72185","Senior policy adviser","1.00","Policy"
"Ministry of Defence","Ministry of Defence","Army","1596792","Skill Zone 1","15083","16482","Museum","0.18","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","B1","56436","72185","Corporate Support","1.00","Other"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","B2","47942","59535","Estate Management","5.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Army","1598314","Div YC Off","39120","47731","Community Service","1.00","Social Research"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","162157","B1","56436","72185","Secretariat & Private Office","1.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","178447","B2","47942","59535","Project Manager","5.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","00094113","B2","47942","59535","Police","1.00","Law"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","B1","56436","72185","Finance","1.00","Finance"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","B2","47942","59535","Housing Service Delivery","4.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","162157","B2","47942","59535","Business Management and Improvement","1.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","178447","C1 MSF","35648","44268","Project Support Officer","1.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Army","1591926","D","23427","29092","Safety Management","0.32","Operational delivery"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","00094113","B2","47942","59535","Senior Finance manager","1.00","Finance"
