Organisation Name (A),Department (B),Service Cat Label (C ),Purpose of Spend (D),Expenditure CIPFA Sub Group (E ),Supplier (F),Supplier Reference (G),Pay Date (H),Transaction Number (I),Net Amount (J),Grant to VCSE? (K),Charity Number (L),Card Transaction (M),Irrecoverable VAT (N),
Pendle Borough Council,Parks & Recreation Services,,Tax Deducted,PD05,A BINNS & CO,A0057121, 17/08/2017,PCO0282240,500.00,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,CD14,A H INTERIOR (NELSON)  LIMITED,A0046261, 10/08/2017,EST0282101,4000.00,N,N/A,N,N/A,
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Ren Grant : 1996 Act,CH22,A J HEY BUILDING SERVICES,A0072755, 03/08/2017,HMR0281879,16290.00,N,N/A,N,2715,
Pendle Borough Council,Financial Services,Supplies and Services,Consultants Fees,4401,ACS LTD,A0090312, 10/08/2017,AAS0282172,800.00,N,N/A,N,N/A,
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Grants/Contributions,4739,AGENDA BOXES & PACKAGING LIMITED,A0091275, 31/08/2017,REG0282529,5881.00,N,N/A,N,N/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Other Expenses,4705,AGILE APPLICATIONS LIMITED,A0053234, 24/08/2017,DAL0282443,800.00,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tyres,3204,AGRISPARES TRADING COMPANY LIMITED,A0090706, 24/08/2017,PCO0282382,720.00,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,ALAN POXON,A0054782, 17/08/2017,PCO0282205,39.00,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,ALAN POXON,A0054782, 17/08/2017,PCO0282205,95.00,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,ALD AUTOMOTIVES,A0025555, 24/08/2017,AAS0282604,193.24,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,4422,ALLPAY LIMITED,A0084372, 10/08/2017,AAS0282165,21.88,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,4422,ALLPAY LIMITED,A0084372, 10/08/2017,AAS0282159,25.37,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,4422,ALLPAY LIMITED,A0084372, 10/08/2017,AAS0282162,33.19,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,4422,ALLPAY LIMITED,A0084372, 10/08/2017,AAS0282169,33.19,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,4422,ALLPAY LIMITED,A0084372, 17/08/2017,AAS0282259,1638.35,N,N/A,N,N/A,
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Grants/Contributions,4739,AMD,A0091270, 24/08/2017,REG0282460,1863.98,N,N/A,N,N/A,
Pendle Borough Council,Operational Services,Supplies and Services,Printing & Stationery,4301,APPLE-P LIMITED,A0090443, 03/08/2017,OPS0281954,453.00,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 31/08/2017,AAS0282741,15.00,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 15/08/2017,AAS0282601,144.48,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 31/08/2017,AAS0282741,15.00,N,N/A,N,N/A,
