PUBLICATION,EXTRACT_DATE,TYPE,CCG_CODE,ONS_CCG_CODE,CODE,POSTCODE,SEX,AGE,NUMBER_OF_PATIENTS
GP_PRAC_PAT_LIST,01OCT2017,GP,00C,E38000042,A83005,DL1 3RT,ALL,ALL,11732
GP_PRAC_PAT_LIST,01OCT2017,GP,00C,E38000042,A83006,DL3 6HZ,ALL,ALL,7997
GP_PRAC_PAT_LIST,01OCT2017,GP,00C,E38000042,A83010,DL3 9JP,ALL,ALL,14209
GP_PRAC_PAT_LIST,01OCT2017,GP,00C,E38000042,A83013,DL1 4YL,ALL,ALL,11251
GP_PRAC_PAT_LIST,01OCT2017,GP,00C,E38000042,A83031,DL3 8SQ,ALL,ALL,10004
GP_PRAC_PAT_LIST,01OCT2017,GP,00C,E38000042,A83034,DL3 7JR,ALL,ALL,10178
GP_PRAC_PAT_LIST,01OCT2017,GP,00C,E38000042,A83040,DL1 5JN,ALL,ALL,12149
GP_PRAC_PAT_LIST,01OCT2017,GP,00C,E38000042,A83047,DL3 0PD,ALL,ALL,14592
GP_PRAC_PAT_LIST,01OCT2017,GP,00C,E38000042,A83048,DL2 2DS,ALL,ALL,5624
GP_PRAC_PAT_LIST,01OCT2017,GP,00C,E38000042,A83070,DL2 1AA,ALL,ALL,5472
GP_PRAC_PAT_LIST,01OCT2017,GP,00C,E38000042,A83641,DL1 5LW,ALL,ALL,4928
GP_PRAC_PAT_LIST,01OCT2017,GP,00D,E38000047,A83001,DL16 6QA,ALL,ALL,10986
GP_PRAC_PAT_LIST,01OCT2017,GP,00D,E38000047,A83003,DL15 0EQ,ALL,ALL,9209
GP_PRAC_PAT_LIST,01OCT2017,GP,00D,E38000047,A83004,SR7 8LF,ALL,ALL,3803
GP_PRAC_PAT_LIST,01OCT2017,GP,00D,E38000047,A83007,TS27 4LQ,ALL,ALL,9868
GP_PRAC_PAT_LIST,01OCT2017,GP,00D,E38000047,A83008,DL4 2HP,ALL,ALL,5522
GP_PRAC_PAT_LIST,01OCT2017,GP,00D,E38000047,A83012,SR8 5TW,ALL,ALL,16570
GP_PRAC_PAT_LIST,01OCT2017,GP,00D,E38000047,A83015,DL14 6AB,ALL,ALL,10228
GP_PRAC_PAT_LIST,01OCT2017,GP,00D,E38000047,A83017,DH6 3HW,ALL,ALL,7526
GP_PRAC_PAT_LIST,01OCT2017,GP,00D,E38000047,A83019,DH6 2JL,ALL,ALL,5166
GP_PRAC_PAT_LIST,01OCT2017,GP,00D,E38000047,A83020,DL15 9HU,ALL,ALL,13404
GP_PRAC_PAT_LIST,01OCT2017,GP,00D,E38000047,A83021,DL14 6RP,ALL,ALL,14254
