"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Adjudicator's Office","IC5","Admin Assistant","14255","19965","administrative Assistant","1.81","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Adjudicator's Office","IC5","Assistant Officer","17330","23892","Assistant Officer","9.81","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Adjudicator's Office","IC5","Assistant Officer","17330","23892","Officer","5.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Adjudicator's Office","IC5","Grade 6","57573","74209","Grade 6","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Adjudicator's Office","IC5","Grade 7","46983","61590","Adjudication Manager","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Adjudicator's Office","IC5","Grade 7","46983","61590","Team Leader","0.95","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Adjudicator's Office","IC5","Higher Officer","28636","37105","BAU Review Team Leader","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Adjudicator's Office","IC5","Higher Officer","28636","37105","Higher Officer","22.81","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Adjudicator's Office","IC5","Higher Officer","28636","37105","Team Leader","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Adjudicator's Office","IC5","Officer","22669","30331","Officer","10.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Adjudicator's Office","IC5","Senior Officer","35232","42856","Senior Officer","2.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC1","Admin Assistant","14255","19965","administrative Assistant","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC1","Assistant Officer","17330","23892","Assistant Officer","4.27","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC1","Grade 6","57573","74209","Executive Assistant","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC1","Grade 6","57573","74209","Grade 6","4.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC1","Grade 7","46983","61590","Grade 6 (TP)","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC1","Grade 7","46983","61590","GRADE 7","2.80","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC1","Grade 7","46983","61590","IC Business Partner","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC1","Grade 7","46983","61590","Manager","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC1","Grade 7","46983","61590","Team Leader","0.67","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC1","Higher Officer","28636","37105","GRADE 7","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC1","Higher Officer","28636","37105","Higher Officer","4.38","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC1","Higher Officer","28636","37105","Manager","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC1","Higher Officer","28636","37105","Officer","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC1","Higher Officer","28636","37105","Strategy Analyst","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC1","Higher Officer","28636","37105","Team Leader","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC1","Officer","22669","30331","Officer","0.77","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC1","Officer","22669","30331","Officer","9.88","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC1","Officer","22669","30331","Team Leader","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC1","Senior Officer","35232","42856","Business Solutions Consultant","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC1","Senior Officer","35232","42856","Higher Officer","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC1","Senior Officer","35232","42856","Senior Officer","7.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC10","Assistant Officer","17330","23892","Assistant Officer","8.61","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC10","Assistant Officer","17330","23892","Officer","0.68","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC10","Grade 6","57573","74209","Grade 6","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC10","Grade 7","46983","61590","GRADE 7","3.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC10","Higher Officer","28636","37105","Higher Officer","11.51","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC10","Higher Officer","28636","37105","Team Leader","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC10","Officer","22669","30331","Officer","7.64","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC10","Senior Officer","35232","42856","Senior Manager","0.95","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC10","Senior Officer","35232","42856","Senior Officer","6.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC10","Senior Officer","35232","42856","Team Leader","0.81","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC12","Grade 6","57573","74209","Grade 6","1.83","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC12","Grade 7","46983","61590","GRADE 7","2.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC13","Admin Assistant","14255","19965","administrative Assistant","1.51","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC13","Admin Assistant","14255","19965","Assistant Officer","0.86","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC13","Admin Assistant","14255","19965","Risk AA","0.49","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC13","Assistant Officer","17330","23892","Admin Officer","0.31","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC13","Assistant Officer","17330","23892","Assistant Officer","82.09","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC13","Assistant Officer","17330","23892","CC AO","4.38","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC13","Assistant Officer","17330","23892","Risk AO","25.15","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC13","Assistant Officer","17330","23892","Risk Manager","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC13","Assistant Officer","17330","23892","Team Member","3.35","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC13","Grade 6","57573","74209","Grade 6","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC13","Grade 7","46983","61590","GRADE 7","5.51","Operational Delivery"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC13","Grade 7","46983","61590","SCS","1.00","Operational Delivery"
