"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","4","2B","20543","25985","Account Executive","11.00","Operational Delivery"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","4","3C","30644","38760","Account Manager","29.00","Operational Delivery"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","2B","20543","25985","Account Officer","4.30","Finance"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","2B","20543","25985","Assistant Branch Secretary","0.41","Human Resources"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","3A","25749","31620","Auditor","2.00","Internal Audit"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","4","3A","25749","31620","Bus Process Analyst","2.00","Operational Delivery"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","1C","14919","18870","Business Centre Executive","1.41","Property and asset management"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","4","3B","27418","34680","Business Consultant - Commercial Markets","0.60","Operational Delivery"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","3A","25749","31620","Business Info Specialist","1.00","Communications"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","4","3A","25749","31620","Business Info Specialist","2.57","Operational Delivery"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","6","2B","20543","25985","Business Systems Support","2.62","Information Technology"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","3A","25749","31620","Carto Data Consultant","1.00","Knowledge and Information Management (KIM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","4B","41531","51000","Carto General Manager","2.00","Knowledge and Information Management (KIM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","3A","25749","31620","Carto Production Manager","5.00","Knowledge and Information Management (KIM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","3C","30644","38760","Carto SDM - Quality & Design","1.00","Knowledge and Information Management (KIM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","2B","20543","25985","Cartographer","63.60","Knowledge and Information Management (KIM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","3A","25749","31620","Communications Executive","1.00","Communications"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","4","3A","25749","31620","Communications Executive","2.00","Operational Delivery"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","4B","41531","51000","Compensation & Benefits Manager","1.00","Human Resources"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","3B","27418","34680","Contract Manager - ExtFulfil","1.00","Knowledge and Information Management (KIM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","1","3C","30644","38760","Corp Office Consultant","3.00","Communications"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","4C","45684","56100","Corporate Data Manager","1.00","Knowledge and Information Management (KIM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","1","2B","20543","25985","Corporate Identity Support","1.00","Communications"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","1","2B","20543","25985","Corporate Image Provider","0.68","Communications"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","1","3C","30644","38760","Corporate Marketing Manager","0.61","Communications"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","1","2B","20543","25985","Corporate Office FOI & Support Officer","0.81","Communications"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","2A","17741","22440","Corporate Resilience Coordinator","1.00","Communications"
