Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Purchase Invoice Number
Department of Health,Portsmouth Hospitals Trust,19/04/2016,Stationery,MEDICINE CENTRAL,HEALTHCARE AT HOME LTD,17601356,"99,642.00",OP5296034
Department of Health,Portsmouth Hospitals Trust,22/04/2016,Stationery,MEDICINE CENTRAL,HEALTHCARE AT HOME LTD,17881152,"99,642.00",OP5357057
Department of Health,Portsmouth Hospitals Trust,01/04/2016,Equip Maint Contracts,RADIOTHERAPY,NHS SUPPLY CHAIN,18137328,"38,076.00",2016004979
Department of Health,Portsmouth Hospitals Trust,01/04/2016,Med & Surg Equip Disp,Cardiac Cath Lab,MEDTRONIC LTD,18290118,346.80,1051381023
Department of Health,Portsmouth Hospitals Trust,01/04/2016,Med & Surg Equip General,Cardiac Cath Lab,MEDTRONIC LTD,18290118,262.20,1051381023
Department of Health,Portsmouth Hospitals Trust,01/04/2016,Pacemakers,Cardiac Cath Lab,MEDTRONIC LTD,18290118,"29,636.88",1051381023
Department of Health,Portsmouth Hospitals Trust,02/04/2016,Laboratory External Tests,transplant tissue typing,NHS BLOOD & TRANSPLANT,18311545,"45,685.18",590751
Department of Health,Portsmouth Hospitals Trust,06/04/2016,Med & Surg Equip General,QAH MAIN THEATRES,AMBU LTD,18331497,"56,849.86",375945
Department of Health,Portsmouth Hospitals Trust,05/04/2016,Rates,RODNEY RD CENTRE,PORTSMOUTH CITY COUNCIL,18335578,"62,622.00",20019041X120320166252
Department of Health,Portsmouth Hospitals Trust,05/04/2016,Med & Surg Equip General,TISSUE VIABILITY /VTE,PARK HOUSE HEALTHCARE LTD,18336006,"28,724.40",INV202678B
Department of Health,Portsmouth Hospitals Trust,06/04/2016,Services Received - PCTs,BOGNOR DIALYSIS,NHS PROPERTY SERVICES LTD,18356999,"41,249.00",182691915P6I
Department of Health,Portsmouth Hospitals Trust,06/04/2016,Services Received - PCTs,BOGNOR DIALYSIS,NHS PROPERTY SERVICES LTD,18357001,"42,353.00",182705245P6I
Department of Health,Portsmouth Hospitals Trust,06/04/2016,Commercial Sector,CHANDLERS FORD DIALYSIS,FRESENIUS MEDICAL CARE RENAL SERVICES LTD,18357026,"39,656.26",1050430405
Department of Health,Portsmouth Hospitals Trust,06/04/2016,Commercial Sector,B`STOKE DIALYSIS,FRESENIUS MEDICAL CARE RENAL SERVICES LTD,18357029,"28,797.00",1050430403
Department of Health,Portsmouth Hospitals Trust,06/04/2016,Rent,BOGNOR DIALYSIS,NHS PROPERTY SERVICES LTD,18357049,"-83,602.00",48413150
