Department Family,Entity,Date,Expenses Type,Expense Area,Supplier,Transaction Number, Total 
Department of Health,The Christie NHS Foundation Trust,21/12/2017,GMHPTC,04c Programme Management Office,AKESO AND COMPANY LIMITED,570512," �29,096.47 "
Department of Health,The Christie NHS Foundation Trust,21/12/2017,Drugs,011 Drugs,ALCURA UK LIMITED,570139," �2,774,082.78 "
Department of Health,The Christie NHS Foundation Trust,21/12/2017,Drugs,011 Drugs,ALCURA UK LIMITED,570140,"-�88,413.74 "
Department of Health,The Christie NHS Foundation Trust,21/12/2017,Drugs,011 Drugs,ALCURA UK LIMITED,570208," �60,994.39 "
Department of Health,The Christie NHS Foundation Trust,21/12/2017,Drugs,011 Drugs,ALCURA UK LIMITED,570138," �167,512.53 "
Department of Health,The Christie NHS Foundation Trust,21/12/2017,Drugs,011 Drugs,BAXTER HEALTHCARE LTD,568841," �364,503.18 "
Department of Health,The Christie NHS Foundation Trust,21/12/2017,Drugs,011 Drugs,BAXTER HEALTHCARE LTD,568840," �421,347.44 "
Department of Health,The Christie NHS Foundation Trust,21/12/2017,Drugs,011 Drugs,BAXTER HEALTHCARE LTD,569046," �418,610.03 "
Department of Health,The Christie NHS Foundation Trust,07/12/2017,Drugs,011 Drugs,BAXTER HEALTHCARE LTD,568842," �27,341.86 "
Department of Health,The Christie NHS Foundation Trust,01/12/2017,Drugs,011 Drugs,BAXTER HEALTHCARE LTD,571011," �336,207.60 "
Department of Health,The Christie NHS Foundation Trust,07/12/2017,Proton Beam Development (PBT),18 Capital,BERTHOLD TECHNOLOGIES,566875," �35,149.62 "
Department of Health,The Christie NHS Foundation Trust,14/12/2017,PET Scans- Oct-17,14 Christie Medical Physics,CENTRAL MCR  UNIV HOSP NHS FOUNDATION TR,568466," �109,538.00 "
Department of Health,The Christie NHS Foundation Trust,21/12/2017,Education & Training,12 Other Income Levies and Grants,CENTRAL MCR  UNIV HOSP NHS FOUNDATION TR,541171," �63,756.00 "
Department of Health,The Christie NHS Foundation Trust,07/12/2017,Medical Equipment Maintenance Contract,01 Cancer Centre Services,CPP FACILITIES LLP,568127," �207,428.12 "
Department of Health,The Christie NHS Foundation Trust,21/12/2017,Medical Equipment,01 Cancer Centre Services,DRAEGER MEDICAL UK LIMITED,569518," �45,720.00 "
Department of Health,The Christie NHS Foundation Trust,15/12/2017,Library system,07 School of Oncology,ELSEVIER LTD,567995," �28,071.83 "
Department of Health,The Christie NHS Foundation Trust,21/12/2017,Childcare Voucher - Dec 17,09 Human Resources,FIDELITI LIMITED,570332," �33,309.83 "
Department of Health,The Christie NHS Foundation Trust,21/12/2017,IT Equipment,06 Finance & Business Development,HP INC.UK LIMITED,569750," �32,677.92 "
Department of Health,The Christie NHS Foundation Trust,21/12/2017,Proton Beam Development (PBT),18 Capital,INTERSERVE CONSTRUCTION LTD,570424," �1,837,522.92 "
Department of Health,The Christie NHS Foundation Trust,14/12/2017,Proton Beam Development (PBT),18 Capital,INTERSERVE ENGINEERING SERVICES LTD,568246," �30,335.34 "
Department of Health,The Christie NHS Foundation Trust,14/12/2017,Proton Beam Development (PBT),18 Capital,MACE LTD,563841," �28,926.00 "
Department of Health,The Christie NHS Foundation Trust,21/12/2017,Proton Beam Development (PBT),18 Capital,MACE LTD,569429," �33,482.40 "
Department of Health,The Christie NHS Foundation Trust,14/12/2017,Proton Beam Development (PBT),18 Capital,MACE LTD,566641," �34,309.20 "
