School,Admission Number,1st Preference Applications,2nd Preference Applications,3rd Preference Applications,4th Preference Applications, 5th Preference Applications,1st Preference Allocations,Total Allocations,Distance of furthest pupil allocated a place (in miles) (if oversubscribed)
Abbey Park Primary Academy,30,34,18,6,9,2,30,30,0.735
All Saints' CE (VA) J and I School,30,48,55,27,7,17,27,30,0.279
Ash Green Community Primary School,60,61,5,6,1,2,59,60,1.537
Bailiffe Bridge J and I School,30,37,26,24,18,17,29,30,0.567
Barkisland CE (VA) Primary School,30,40,37,20,7,0,29,30,Distance category not reached
Beech Hill School,90,52,16,10,12,4,52,76,
Bolton Brow Primary Academy,30,46,36,31,20,10,26,30,0.318
Bowling Green Primary School,23,22,18,5,5,2,20,23,1.407
Bradshaw Primary School,45,46,42,26,15,12,44,45,2.392
Burnley Road Academy,30,26,16,9,3,2,26,26,
Carr Green Primary School,45,60,58,22,4,2,45,45,0.507
Castle Hill Primary School,37,36,8,13,3,3,36,37,1.764
Castlefields Infant School,60,37,8,13,5,1,37,42,
Central Street Infant and Nursery School,30,17,10,4,2,3,17,17,
Christ Church (Pellon) CE (VC) Primary School,30,19,24,5,3,1,19,26, 
Cliffe Hill Community Primary School,30,19,4,2,3,3,19,20,
Colden J and I School,17,15,7,7,1,2,15,16,
Copley Primary School,32,46,56,52,20,16,30,32,0.169
"Cornholme J, I and N School",30,26,4,2,4,3,26,27,
Cragg Vale J and I School,10,7,1,12,1,2,7,7,
Cross Lane Primary and Nursery School,45,37,12,11,2,1,37,46,13.996
Dean Field Community Primary School,30,39,19,9,8,2,30,30,0.528
"Elland CE (VA) J, I and N School",30,38,6,7,2,1,30,30,Distance category not reached
Ferney Lee Primary School,30,20,14,5,6,1,20,22,
Field Lane Primary School,27,9,5,3,0,3,9,18,
Hebden Royd CE (VA) Primary School,21,14,13,7,4,0,14,15,
"Heptonstall J, I and N School",15,17,13,4,4,3,14,15,1.629
Highbury School,N/A,9,0,0,0,0,9,9,
Holy Trinity Primary School (COEA),60,61,45,42,18,9,43,60,0.574
Holywell Green Primary School,30,31,17,13,7,8,29,30,1.143
Lee Mount Primary School,50,48,16,12,6,5,48,50,0.852
Lightcliffe CE (VA) Primary School,60,58,43,30,17,6,56,60,4.896
"Ling Bob J, I and N School",45,46,10,3,3,1,43,45,0.576
Luddenden CE School,30,19,4,8,1,1,19,19,
Luddendenfoot Academy,26,7,12,15,10,3,7,14,
Midgley School,15,15,17,9,7,6,15,15,1.235
Moorside Community Primary School,30,26,6,3,6,1,26,30,1.095
Mount Pellon Primary Academy,75,40,15,6,7,7,40,56,
New Road Primary School,30,11,14,16,10,6,11,19,
Norland CE (VC) J and I School,15,11,14,17,14,11,10,15,1.06
Northowram Primary School,60,63,33,22,13,16,56,60,1.681
Old Earth School,56,66,26,24,8,3,58,60,0.594
Old Town Primary School,15,15,2,2,2,0,14,15,2.277
Parkinson Lane Community Primary School,60,91,59,28,10,7,60,60,0.072
"Rawson J, I and N School",60,53,8,4,3,0,53,59,
Ripponden J and I School,45,26,9,11,9,8,26,34,
Sacred Heart Catholic Primary School,30,32,11,10,4,4,29,30,0.471
Salterhebble J and I School,30,29,26,30,24,7,21,30,0.39
Salterlee Academy Trust,15,22,35,8,9,4,15,15,0.453
Savile Park Primary School,60,57,45,38,23,15,40,60,0.672
Scout Road Academy,15,15,17,7,5,5,15,16,2.008
Shade Primary School,28,28,22,11,3,1,25,28,1.801
Shelf J and I School,45,42,26,22,8,10,40,45,2.13
Siddal Primary School,30,41,5,3,6,0,30,30,0.162
Sowerby Village CE (VC) Primary School,30,14,7,7,1,2,14,15,
St Andrew's CE (VA) Infant School,60,37,22,21,16,14,37,43,
St Augustine's CE (VA) J and I School,30,19,14,7,5,4,19,30,1.234
St Chad's CE (VA) Primary School,30,27,49,20,16,10,27,29, 
"St John's (CE) Primary Academy, Clifton",30,28,18,16,11,8,28,30,3.81
St John's CE Primary School (Rishworth),20,19,11,6,6,3,18,20,2.002
St Joseph's Catholic Primary School (Brighouse),30,26,17,25,11,9,26,27,
St Joseph's Catholic Primary School (Halifax),30,23,25,16,4,4,23,30,4.498
St Joseph's RC Primary School (Todmorden),22,16,9,3,1,2,16,21,
St Malachy's Catholic Primary School,30,24,2,8,1,3,24,30,
St Mary's Catholic Primary School (Halifax),40,54,35,28,14,6,37,40,0.277
St Mary's CE (VC) J and I School (Sowerby Bridge),15,9,9,9,7,5,9,13, 
St Michael and All Angels CE Primary School,30,27,17,19,4,5,27,30,2.491
St Patrick's Catholic Primary School (Elland),17,24,7,10,5,2,17,17, 
Stubbings Infant School,30,19,14,5,5,3,19,19,
The Greetland Academy,60,54,34,26,21,7,50,60,1.266
The Halifax Academy,60,36,15,7,3,2,36,60,
Todmorden CE (VA) J & I School,29,39,19,10,3,0,29,29,0.051
Triangle CE (VC) Primary School,23,37,26,21,13,3,22,23,0.611
Tuel Lane Infant School,40,28,18,8,6,5,28,40, 
Wainstalls School,21,30,25,16,9,7,28,30,1.926
Walsden St Peter's CE (VC) Primary School,25,23,17,6,4,1,23,25,2.355
Warley Road Primary School,75,70,39,23,17,5,69,75,0.377
Warley Town School,20,36,25,30,10,2,18,20,0.536
West Vale Primary School,26,18,17,18,10,7,18,26,1.558
Whitehill Community Academy,90,91,43,25,7,8,89,90,1.616
Withinfields Primary School,45,48,4,3,5,7,44,45,1.128
Wood Bank School,N/A,5,0,0,0,0,5,5,
Woodhouse Primary School,60,74,44,22,10,2,57,60,1.387
