Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Professional/Occupational Group,Notes,Valid?
2CS12,Fiona Spencer,SCS2,Chief Portfolio Officer,"The post holder is responsible for oversight of the Home Office change investment portfolio, including leading development of the department's investment strategy, ensuring effective project delivery and optimising return on investment. This also currently includes the role of Senior Responsible Officer for the Smarter Working programme, a GMPP level major project. The Chief Portfolio Officer is also head of profession for project delivery within the Home Office, leading development of professional project delivery capability in the department and, as a member of the cross-government profession steering group, in supporting wider development of the project delivery profession across government.",Home Office,Home Office,Project Portfolio Unit,0207 035 4848 or Mincom 0207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,3CS01,0,1,90000,94999,Programme and Project Management (PPM),Salary costs included in 3CS01,1
1HR20,N/D,SCS1,"Deputy Director, Portfolio and Project Delivery","The post-holder is responsible for leading work on portfolio management, project delivery assurance and capability across the Home Office, as the Home Office Centre of Excellence for project delivery.",Home Office,Home Office,Project Portfolio Unit,0207 035 4848 or Mincom 0207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2CS12,2440000,1,0,0,Programme and Project Management (PPM),,1
1CS49,N/D,SCS1,Smarter Working Programme Director,The Smarter Working Programme is part of a range of departmental initiatives relating to wider Civil Service Reform. It aims to deliver greater efficiency and effectiveness and achieve a department where people: focus on outcomes not process; are empowered by technology; work flexibly and cost-effectively; collaborate more effectively with other teams and departments; and maximise productivity and innovation. A better use of the department's estate will also assist the necessary expenditure and carbon reductions the Home Office will need to achieve in the coming years.,Home Office,Home Office,Project Portfolio Unit,0207 035 4848 or Mincom 0207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2CS12,680000,1,0,0,Programme and Project Management (PPM),,1
2CS02,David Taylor,SCS2,Chief Commercial Officer,"The Commercial Directorate provides strategic commercial and procurement capability across the Home Office Group. It provides strategic commercial advice and capability. It develops, maintains and manages Group-wide relationships with suppliers, and the wider public sector, and contributes to cross Home Office and Government Commercial and IT goals to introduce significant efficiencies and savings. The Chief Commercial Officer leads the procurement profession across the Group.",Home Office,Home Office,Commercial,0207 035 4848 or Mincom 0207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,3CS01,160000,1,130000,134999,Procurement,,1
1CS06,N/D,SCS1,"Head of Commercial, Security, Science and Technology","Deliver the  Commercial Directorate Objectives  by providing Leadership of a team that undertakes all Commercial activity (Procurement and Contract Management) through a business partnering approach for The Office of Security and Counter Terrorism (OSCT) including Communications Capability Programme(CCD), and the Science and Technology community including  the Centre for Applied Science and Technology (CAST) by supporting the successful delivery of their Business Plan through commercial and contractual arrangements that maximise VFM and effective utilisation of with the  Private, Public, Voluntary and Not for Profit Sectors whilst ensuring appropriate risk management and controls are in place.",Home Office,Home Office,Commercial SST,0207 035 4848 or Mincom 0207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2CS02,640000,1,0,0,Procurement,,1
1CS04,N/D,SCS1,"Head of Commercial Delivery UKVI, Grants and OGDs","Providing full life contract management and supplier management for the business. Includes managing Contract Change Notices and variations to existing contracts including all commercial negotiations. The role ensures that risks are managed, products and services are delivered and value for money is achieved.",Home Office,Home Office,Commercial Delivery,0207 035 4848 or Mincom 0207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2CS02,90000,1,0,0,Procurement,,1
1CS03,N/D,SCS1,Head of Procurement Delivery,"Supporting end-to-end New Procurement for Business & Programme requirements in alignment with the Cabinet Office Lean Agenda. It develops commercial strategies and supports their implementation,  to ensure risk is managed, products and services are delivered and initial and ongoing value for money is achieved.",Home Office,Home Office,Procurement Delivery,0207 035 4848 or Mincom 0207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2CS02,770000,1,0,0,Procurement,,1
2CS15,Ian Currie,SCS1,Head of Police & Fire Commercial,"Facilitates value for money initiatives and programmes across the Police service, including support for business partnering projects that deliver transformational change. The role supports the Police in delivering a collaborative and joined up procurement approach for goods and services including forensic services.",Home Office,Home Office,Commercial - Policing,0207 035 4848 or Mincom 0207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2CS02,1170000,1,70000,74999,Procurement,,1
1CS05,N/D,SCS1,"Head of Commercial, Emergency Services Mobile Communications Programme","Responsible for the procurement of the Emergency Services Network (ESN) and contract management of the current TETRA service provided by Airwave Solutions Limited.  ESMCP is cross-government, multiagency Programme sponsored by the Home Office and will deliver integrated critical voice and broadband data services to all three emergency services and other users throughout Great Britain. Contract award is planned for mid 2015 and users will transition from the current Airwave service from 2016 through to 2020.",Home Office,Home Office,Commercial Emergency Services Mobile Communications Programme,0207 035 4848 or Mincom 0207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2CS02,120000,1,0,0,Procurement,,1
1CS07,N/D,SCS1,"Head of Commercial Border Force, HMPO & UKIE","Providing full life contract management and supplier management for the business. Includes managing Contract Change Notices and variations to existing contracts including all commercial negotiations. The role ensures that risks are managed, products and services are delivered and value for money is achieved.",Home Office,Home Office,"Commercial Delivery Border Force, HMPO & UKIE",0207 035 4848 or Mincom 0207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2CS02,0,1,0,0,Procurement,Salary costs of reports included in 1CS04,1
1CS46,N/D,SCS1,Head of Commercial Technology & Digital,"Supporting end-to-end New Procurement for Business & Programme requirements in alignment with the Cabinet Office Lean Agenda. The major projects commercial team supports major projects across the Home Office Group, with a particular focus on IT programmes. It develops commercial strategies and supports their implementation, as well as managing  major IT contracts, to ensure risk is managed, products and services are delivered and initial and ongoing value for money is achieved.",Home Office,Home Office,Procurement Delivery,0207 035 4848 or Mincom 0207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2CS02,0,1,0,0,Procurement,Salary costs of reports included in 1CS03,1
2COM01,Simon Wren,SCS2,Director of Communications,"Director of Communications / 'Leads the delivery of external and internal communications for the Home Office, working with the Secretary of State, Ministers and senior officials to provide leadership and advice on communications to support policy and departmental objectives. The Directorate is responsible for providing specialist services in media handling, strategic communications/marketing, digital, internal communications, insight/research and a correspondence service for the public and MPs.'",Home Office,Home Office,Communication Directorate,0207 035 4848 or Mincom 0207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,3CS01,1420000,1,105000,109999,Communications,,1
1COM05,N/D,SCS1,Head of Digital Communications,"Head of Digital Communications / The Digital Communications Unit is responsible the delivery, maintenance and improvement of the Home Office’s internal and external digital communications channels. The unit creates and updates/maintains content for all channels including GOV.UK, the Home Office intranet and social media channels. The unit also produces graphics and video content.",Home Office,Home Office,Digital Communications,0207 035 4848 or Mincom 0207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2COM01,1240000,1,0,0,Communications,,1
1COM03,N/D,SCS2,"Head of Strategic Communications, Marketing and Insight","Head of Strategic Communications, Marketing and Insight develops the Home Office communication strategy and then delivers the necessary attitude and behaviour change campaigns that help the Department deliver its priorities, or defend its reputation.  The Unit undertakes quantitative and qualitative research, surveys and social media monitoring . This ensures campaigns are grounded in evidence and insight and are robustly evaluated. We operate domestically and globally, with staff based in China, India and the Gulf.  We use third parties to undertake face to face communications to migrants across the Horn of Africa, Afghanistan and northern France.",Home Office,Home Office,"Strategic Communications, Marketing and Insight",0207 035 4848 or Mincom 0207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2COM01,1550000,1,0,0,Communications,,1
1COM04,N/D,SCS3,Head of News,"Head of News (Press Office / Visits and Events) / The Press Office is responsible for all press and media handling activities within the Home Office and acts as the spokesperson for the Home Secretary. Leading the Press Office, the Head of News helps to develop and deliver effective media handling strategies and support to Ministers and policy teams as well as proactive media handling strategies. The Ministerial Visits and Events team develops and delivers visits and events designed to support communication and ministerial objectives, focused on gaining original media coverage or strengthening relationships with key influencers and audience groups. Visits managers for each Minister and the Home Secretary arrange and accompany on visits and events and organise high-profile conferences and speeches where there is ministerial involvement.",Home Office,Home Office,Press Office and Planning Unit,0207 035 4848 or Mincom 0207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2COM01,2520000,1,0,0,Communications,,1
1COM06,N/D,SCS4,"Head of Internal Communications, Staff Engagement and Professional Development","Head of internal communication is responsible for co-ordinating communications to all of our 30,000 staff in both operational and HQ roles in the UK and internationally and developing and delivering the internal element of the Home Office’s communication strategy. The unit supports our senior leaders in setting out the vision for the department, providing channels for two-way conversations with our staff that raise awareness, promote engagement and drive behaviours to deliver departmental objectives.",Home Office,Home Office,Internal Communications,0207 035 4848 or Mincom 0207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2COM01,1420000,1,0,0,Communications,,1
1CS40,N/D,SCS1,Head of Knowledge and Information Management,"Provides information management services, direction and policy on KIM, to help business areas manage their knowledge and information in a way which supports delivery of departmental objectives and complies with our legal obligations.",Home Office,Home Office,Knowledge and Information Management Unit,0207 035 4848 or Mincom 0207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2CS03,2700000,1,0,0,Knowledge and Information Management (KIM),,1
1CS10,N/D,SCS1,Chief Internal Auditor,"The Internal Audit Unit provides an independent evaluation of, and contributes to, improvements in governance, risk management and control processes to help the Home Office group achieve its aims and objectives.",Home Office,Home Office,Internal Audit Unit,0207 035 4848 or Mincom 0207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2CS03,2950000,1,0,0,Internal Audit,,1
1CS11,N/D,SCS1,Head of Continuous Improvement Unit,"The Continuous Improvement Unit's role is to support the development and delivery of ambitious plans for Continuous Improvement, strengthening performance and reducing costs across the breadth of the Department's responsibilities, with a focus on achieving substantial gains through reforming and streamlining business processes.",Home Office,Home Office,Continuous Improvement Unit,0207 035 4848 or Mincom 0207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2CS03,2500000,1,0,0,Policy,,1
1CS09,N/D,SCS1,Head of Performance Reporting and Analysis Unit,"The Performance Reporting and Analysis Unit is responsible for providing an independent view on performance and risk to the Home Office Board.  The Unit is also responsible for providing performance reporting and analysis on the border, immigration and passport operations to inform their management of the business and to answer requests for information (including in relation to Parliamentary Questions, Freedom of Information requests, briefings and policy advice).  The Unit produces visual and insightful reports to support decision-making, and plays a key role in developing analysis-driven solutions to improve operational performance.",Home Office,Home Office,Performance Unit,0207 035 4848 or Mincom 0207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2CS03,4730000,1,0,0,Knowledge and Information Management (KIM),,1
1CS08,N/D,SCS1,Head of Protection and Integrity,Corporate Security is an enabling function supporting all Home Office teams to help them to deliver their objectives.  Our three overarching aims are to (a) mitigate malicious risk (b) investigate wrong-doing (and identify weaknesses) (c) prepare for disruptive challenges,Home Office,Home Office,Head of Protection and Integrity,0207 035 4848 or Mincom 0207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2CS03,13350000,1,0,0,Property and asset management,,1
2CS03,Gareth Hills,SCS2,Director of Performance and Risk,"The Performance and Risk Directorate provides Ministers and the Home Office Board with objective advice on how effectively the Department is managing its key operations and its corporate level risks.  Its performance reporting function on borders and immigration is embedded with, but independent, of the operational areas.  The directorate has a number of other functions to help identify Home Office vulnerabilities and how they might be addressed.  These include Internal Audit, Corporate Security, Knowledge and Information Management and Continuous Improvement.",Home Office,Home Office,Performance and Risk,0207 035 4848 or Mincom 0207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,3CS01,0,1,90000,94999,Other,Salary costs of reports included in 2CS05,1
3CS01,Mike Parsons,SCS3,Chief Operating Officer,"Capabilities and Resources is critical to ensuring that operational and policy teams in the Home Office have the support they need to deliver the department’s priorities of preventing terrorism, cutting crime and reducing immigration while at the same time contributing to the government’s growth agenda. The group also works closely with other enabler functions, including HR, to provide a joined-up enabling function to support operational delivery.",Home Office,Home Office,Office of the Chief Operating Officer,0207 035 4848 or Mincom 0207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,4PO01,930000,1,150000,154999,Other,,1
