identifier,name,parent_key
PF03098,An_peroxidase,BE0001075
PF00067,p450,BE0002433
PF00045,Hemopexin,BE0001198
PF00413,Peptidase_M10,BE0001198
PF01471,PG_binding_1,BE0001198
PF00089,Trypsin,BE0000394
PF00067,p450,BE0002363
PF00067,p450,BE0002793
PF00594,Gla,BE0000048
PF00051,Kringle,BE0000048
PF00089,Trypsin,BE0000048
PF09396,Thrombin_light,BE0000048
PF00008,EGF,BE0000380
PF00594,Gla,BE0000380
PF00089,Trypsin,BE0000380
PF00675,Peptidase_M16,BE0001183
PF05193,Peptidase_M16_C,BE0001183
PF16187,Peptidase_M16_M,BE0001183
PF00082,Peptidase_S8,BE0002124
PF01483,P_proprotein,BE0002124
PF16470,S8_pro-domain,BE0002124
PF00082,Peptidase_S8,BE0002125
PF01483,P_proprotein,BE0002125
PF16470,S8_pro-domain,BE0002125
PF12177,Proho_convert,BE0002125
PF03098,An_peroxidase,BE0000017
PF00008,EGF,BE0000017
PF03098,An_peroxidase,BE0000262
PF00008,EGF,BE0000262
PF00168,C2,BE0000657
PF01735,PLA2_B,BE0000657
PF00067,p450,BE0002638
PF00111,Fer2,BE0002204
PF01315,Ald_Xan_dh_C,BE0002204
PF02738,Ald_Xan_dh_C2,BE0002204
PF01799,Fer2_2,BE0002204
PF03450,CO_deh_flav_C,BE0002204
PF00941,FAD_binding_5,BE0002204
PF00067,p450,BE0003533
PF00067,p450,BE0000549
PF00120,Gln-synt_C,BE0002240
PF03951,Gln-synt_N,BE0002240
PF00067,p450,BE0003611
PF00135,COesterase,BE0002180
PF08674,AChE_tetra,BE0002180
PF00067,p450,BE0000421
PF00067,p450,BE0002362
PF00067,p450,BE0003536
PF00326,Peptidase_S9,BE0002148
PF02897,Peptidase_S9_N,BE0002148
PF01923,Cob_adeno_trans,BE0000456
PF02283,CobU,BE0002668
PF01564,Spermine_synth,BE0000300
PF00067,p450,BE0001111
PF01066,CDP-OH_P_transf,BE0002190
PF01633,Choline_kinase,BE0000237
PF00755,Carn_acyltransf,BE0000519
PF01633,Choline_kinase,BE0000784
PF05199,GMC_oxred_C,BE0000636
PF00732,GMC_oxred_N,BE0000636
PF07992,Pyr_redox_2,BE0001979
PF02852,Pyr_redox_dim,BE0001979
PF00462,Glutaredoxin,BE0001979
PF00583,Acetyltransf_1,BE0000111
PF00583,Acetyltransf_1,BE0000275
PF00185,OTCace,BE0002227
PF02729,OTCace_N,BE0002227
PF00117,GATase,BE0002227
PF01979,Amidohydro_1,BE0002227
PF02786,CPSase_L_D2,BE0002227
PF02142,MGS,BE0002227
PF02787,CPSase_L_D3,BE0002227
PF00988,CPSase_sm_chain,BE0002227
PF01841,Transglut_core,BE0000004
PF00868,Transglut_N,BE0000004
PF00927,Transglut_C,BE0000004
PF04960,Glutaminase,BE0000825
PF12796,Ank_2,BE0000825
PF04960,Glutaminase,BE0000003
PF12796,Ank_2,BE0000003
PF01841,Transglut_core,BE0001035
PF00868,Transglut_N,BE0001035
PF00927,Transglut_C,BE0001035
PF01841,Transglut_core,BE0002236
PF00868,Transglut_N,BE0002236
PF00927,Transglut_C,BE0002236
PF01841,Transglut_core,BE0002239
PF00868,Transglut_N,BE0002239
PF00927,Transglut_C,BE0002239
PF01841,Transglut_core,BE0002241
PF00868,Transglut_N,BE0002241
PF00927,Transglut_C,BE0002241
PF01841,Transglut_core,BE0002243
PF00868,Transglut_N,BE0002243
PF00927,Transglut_C,BE0002243
PF01841,Transglut_core,BE0001273
PF00868,Transglut_N,BE0001273
PF00927,Transglut_C,BE0001273
PF01841,Transglut_core,BE0002245
PF00868,Transglut_N,BE0002245
PF00927,Transglut_C,BE0002245
PF00117,GATase,BE0000321
PF00958,GMP_synt_C,BE0000321
PF02540,NAD_synthase,BE0000321
PF00733,Asn_synthase,BE0000219
PF13537,GATase_7,BE0000219
PF00155,Aminotran_1_2,BE0000273
PF02769,AIRS_C,BE0002235
PF02934,GatB_N,BE0002237
PF02637,GatB_Yqey,BE0002237
PF01380,SIS,BE0002238
PF00749,tRNA-synt_1c,BE0002242
PF03950,tRNA-synt_1c_C,BE0002242
PF04558,tRNA_synt_1c_R1,BE0002242
PF04557,tRNA_synt_1c_R2,BE0002242
PF00795,CN_hydrolase,BE0002244
PF02540,NAD_synthase,BE0002244
