identifier,name,parent_key
PF00005,ABC_tran,BE0001032
PF00664,ABC_membrane,BE0001032
PF00005,ABC_tran,BE0001069
PF00664,ABC_membrane,BE0001069
PF00005,ABC_tran,BE0000703
PF00664,ABC_membrane,BE0000703
PF01758,SBF,BE0003643
PF01758,SBF,BE0003644
PF00083,Sugar_tr,BE0001066
PF00005,ABC_tran,BE0003651
PF00664,ABC_membrane,BE0003651
PF00005,ABC_tran,BE0001067
PF01061,ABC2_membrane,BE0001067
PF07648,Kazal_2,BE0001004
PF03137,OATP,BE0001004
PF07648,Kazal_2,BE0003659
PF03137,OATP,BE0003659
PF01122,Cobalamin_bind,BE0000238
PF14478,DUF4430,BE0000238
PF01122,Cobalamin_bind,BE0000362
PF14478,DUF4430,BE0000362
PF01122,Cobalamin_bind,BE0004690
PF14478,DUF4430,BE0004690
PF00008,EGF,BE0000936
PF07645,EGF_CA,BE0000936
PF00431,CUB,BE0000936
PF12947,EGF_3,BE0000936
PF07645,EGF_CA,BE0000942
PF00057,Ldl_recept_a,BE0000942
PF00058,Ldl_recept_b,BE0000942
PF12662,cEGF,BE0000942
PF00005,ABC_tran,BE0000785
PF00664,ABC_membrane,BE0000785
PF07690,MFS_1,BE0003654
PF07690,MFS_1,BE0000440
PF07690,MFS_1,BE0000669
PF07648,Kazal_2,BE0003655
PF03137,OATP,BE0003655
PF07690,MFS_1,BE0000449
PF00474,SSF,BE0000094
PF00474,SSF,BE0004708
PF00083,Sugar_tr,BE0003647
PF00083,Sugar_tr,BE0003648
PF07690,MFS_1,BE0003650
PF00083,Sugar_tr,BE0000106
PF00083,Sugar_tr,BE0000757
PF04515,Choline_transpo,BE0001059
PF04515,Choline_transpo,BE0002182
PF04515,Choline_transpo,BE0002183
PF04515,Choline_transpo,BE0002184
PF00474,SSF,BE0000696
PF00860,Xan_ur_permease,BE0000168
PF00860,Xan_ur_permease,BE0009869
PF00083,Sugar_tr,BE0001057
PF00083,Sugar_tr,BE0004707
PF00083,Sugar_tr,BE0000893
PF01490,Aa_trans,BE0009870
PF01490,Aa_trans,BE0009871
PF01490,Aa_trans,BE0000285
PF00375,SDF,BE0000236
PF00209,SNF,BE0000423
PF13520,AA_permease_2,BE0004769
PF13520,AA_permease_2,BE0009872
PF13520,AA_permease_2,BE0000222
PF13520,AA_permease_2,BE0000789
PF13520,AA_permease_2,BE0002251
PF07690,MFS_1,BE0000178
PF00128,Alpha-amylase,BE0001130
PF00083,Sugar_tr,BE0003645
PF00153,Mito_carr,BE0002261
PF00939,Na_sulph_symp,BE0000022
PF00939,Na_sulph_symp,BE0000447
PF00939,Na_sulph_symp,BE0000611
PF00153,Mito_carr,BE0002275
PF00153,Mito_carr,BE0002276
PF00005,ABC_tran,BE0001061
PF00664,ABC_membrane,BE0001061
PF00005,ABC_tran,BE0001188
PF00664,ABC_membrane,BE0001188
PF00005,ABC_tran,BE0003639
PF00664,ABC_membrane,BE0003639
PF01490,Aa_trans,BE0000536
PF01490,Aa_trans,BE0002308
PF00209,SNF,BE0002310
PF00209,SNF,BE0000940
PF01770,Folate_carrier,BE0003530
PF01770,Folate_carrier,BE0000963
PF00005,ABC_tran,BE0003658
PF00664,ABC_membrane,BE0003658
PF07690,MFS_1,BE0001048
PF00153,Mito_carr,BE0000730
PF01130,CD36,BE0000189
PF00005,ABC_tran,BE0000119
PF02460,Patched,BE0000802
PF12349,Sterol-sensing,BE0000802
PF16414,NPC1_N,BE0000802
PF00005,ABC_tran,BE0001168
PF01061,ABC2_membrane,BE0001168
PF00245,Alk_phosphatase,BE0003546
PF00083,Sugar_tr,BE0000879
PF03137,OATP,BE0001042
PF07648,Kazal_2,BE0003642
PF03137,OATP,BE0003642
PF07690,MFS_1,BE0003646
PF00854,PTR2,BE0001018
PF00854,PTR2,BE0001134
PF01554,MatE,BE0003657
PF01554,MatE,BE0004752
PF00375,SDF,BE0001054
PF07670,Gate,BE0003672
PF07662,Nucleos_tra2_C,BE0003672
PF01773,Nucleos_tra2_N,BE0003672
PF07648,Kazal_2,BE0003660
PF03137,OATP,BE0003660
PF00005,ABC_tran,BE0002369
PF00664,ABC_membrane,BE0002369
PF01490,Aa_trans,BE0004704
PF00069,Pkinase,BE0004907
PF16579,AdenylateSensor,BE0004907
PF07648,Kazal_2,BE0003653
PF03137,OATP,BE0003653
PF07648,Kazal_2,BE0003656
PF03137,OATP,BE0003656
PF00083,Sugar_tr,BE0003652
PF03619,Solute_trans_a,BE0003667
PF15048,OSTbeta,BE0003668
PF07648,Kazal_2,BE0003661
PF03137,OATP,BE0003661
PF00005,ABC_tran,BE0003640
PF00664,ABC_membrane,BE0003640
PF01733,Nucleoside_tran,BE0004775
PF00209,SNF,BE0000249
PF00209,SNF,BE0004733
PF00209,SNF,BE0000486
PF00046,Homeodomain,BE0003665
PF00157,Pou,BE0003665
PF00209,SNF,BE0000749
PF03491,5HT_transport_N,BE0000749
PF00620,RhoGAP,BE0004770
PF07670,Gate,BE0004705
PF07662,Nucleos_tra2_C,BE0004705
PF01773,Nucleos_tra2_N,BE0004705
PF01733,Nucleoside_tran,BE0001204
PF01733,Nucleoside_tran,BE0004706
PF04145,Ctr,BE0003649
PF04145,Ctr,BE0003662
PF00122,E1-E2_ATPase,BE0003664
PF00403,HMA,BE0003664
PF00122,E1-E2_ATPase,BE0003666
PF00403,HMA,BE0003666
PF01770,Folate_carrier,BE0004711
PF03024,Folate_rec,BE0003405
PF03024,Folate_rec,BE0000271
PF00083,Sugar_tr,BE0003669
PF00520,Ion_trans,BE0002083
PF06512,Na_trans_assoc,BE0002083
PF00858,ASC,BE0000353
PF00520,Ion_trans,BE0000897
PF03520,KCNQ_channel,BE0000897
PF11956,KCNQC3-Ank-G_bd,BE0000897
PF00520,Ion_trans,BE0002398
PF03520,KCNQ_channel,BE0002398
PF11956,KCNQC3-Ank-G_bd,BE0002398
PF00005,ABC_tran,BE0003671
PF00005,ABC_tran,BE0009705
PF01569,PAP2,BE0009707
PF07690,MFS_1,BE0004782
PF00083,Sugar_tr,BE0004783
PF07690,MFS_1,BE0000118
PF00209,SNF,BE0000647
PF00061,Lipocalin,BE0000508
PF00061,Lipocalin,BE0000782
PF00324,AA_permease,BE0000281
PF03522,SLC12,BE0000281
PF08403,AA_permease_N,BE0000281
PF00324,AA_permease,BE0000502
PF03522,SLC12,BE0000502
PF08403,AA_permease_N,BE0000502
PF00324,AA_permease,BE0000047
PF03522,SLC12,BE0000047
PF00324,AA_permease,BE0000140
PF03522,SLC12,BE0000140
PF00324,AA_permease,BE0000276
PF03522,SLC12,BE0000276
PF00324,AA_permease,BE0000601
PF03522,SLC12,BE0000601
PF00474,SSF,BE0004754
PF00520,Ion_trans,BE0009808
PF16519,TRPM_tetra,BE0009808
PF18139,LSDAT_euk,BE0009808
PF00005,ABC_tran,BE0009791
PF00664,ABC_membrane,BE0009791
PF00005,ABC_tran,BE0003670
PF07690,MFS_1,BE0009810
PF00005,ABC_tran,BE0003673
PF00664,ABC_membrane,BE0003673
PF00267,Porin_1,BE0001570
PF00267,Porin_1,BE0009852
PF07670,Gate,BE0004781
PF07662,Nucleos_tra2_C,BE0004781
PF01773,Nucleos_tra2_N,BE0004781
PF00999,Na_H_Exchanger,BE0000752
PF16644,NEXCaM_BD,BE0000752
PF13520,AA_permease_2,BE0000030
PF00209,SNF,BE0009676
PF07690,MFS_1,BE0009675
PF00046,Homeodomain,BE0009712
PF00157,Pou,BE0009712
PF00046,Homeodomain,BE0004865
PF00157,Pou,BE0004865
PF00324,AA_permease,BE0009674
PF03522,SLC12,BE0009674
PF00005,ABC_tran,BE0003109
PF00664,ABC_membrane,BE0003109
PF07565,Band_3_cyto,BE0004675
PF00955,HCO3_cotransp,BE0004675
PF07565,Band_3_cyto,BE0004676
PF00955,HCO3_cotransp,BE0004676
PF07565,Band_3_cyto,BE0004680
PF00955,HCO3_cotransp,BE0004680
PF07565,Band_3_cyto,BE0004677
PF00955,HCO3_cotransp,BE0004677
PF07565,Band_3_cyto,BE0004683
PF00955,HCO3_cotransp,BE0004683
PF00083,Sugar_tr,BE0001045
PF00083,Sugar_tr,BE0005216
PF00083,Sugar_tr,BE0005217
PF00083,Sugar_tr,BE0005218
PF00083,Sugar_tr,BE0005219
PF00083,Sugar_tr,BE0005220
PF00083,Sugar_tr,BE0005221
PF00083,Sugar_tr,BE0005222
PF00474,SSF,BE0004753
PF00209,SNF,BE0009148
PF01758,SBF,BE0004710
PF03253,UT,BE0004691
PF00201,UDPGT,BE0003541
PF02225,PA,BE0004850
PF04389,Peptidase_M28,BE0004850
PF04253,TFR_dimer,BE0004850
PF00474,SSF,BE0009346
PF01740,STAS,BE0009874
PF00916,Sulfate_transp,BE0009874
PF00005,ABC_tran,BE0003641
PF00664,ABC_membrane,BE0003641
PF00405,Transferrin,BE0000510
PF00210,Ferritin,BE0000085
PF00210,Ferritin,BE0000399
PF00273,Serum_albumin,BE0000530
PF00394,Cu-oxidase,BE0001140
PF07731,Cu-oxidase_2,BE0001140
PF07732,Cu-oxidase_3,BE0001140
PF00405,Transferrin,BE0007205
PF01566,Nramp,BE0008685
PF01153,Glypican,BE0008217
PF00083,Sugar_tr,BE0004785
PF00375,SDF,BE0000884
PF00375,SDF,BE0001115
PF00153,Mito_carr,BE0008678
PF00939,Na_sulph_symp,BE0008677
PF00153,Mito_carr,BE0008676
PF00201,UDPGT,BE0008629
PF00909,Ammonium_transp,BE0003949
PF07690,MFS_1,BE0008661
PF01384,PHO4,BE0005055
PF01384,PHO4,BE0008680
