Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Professional/Occupational Group,Notes,Valid?
1,Jonathan Jones,SCS4,"HM Procurator General, Treasury Solicitor and Head of the Government Legal Service","HM Procurator General, Treasury Solicitor and Head of the Government Legal Service",Attorney General's Office,Government Legal Department,Permanent Secretary of Government Legal Department,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,XX,484045,1,160000,164999,Law,Includes the combined salaries of reporting posts 124 & 130 (reporting teams less than 5),1
2,Stephen Braviner-Roman,SCS3,Director General - Legal,"Board Member responsible for Legal Teams - BV, HMT,DIT, Litigation, DExEU & COL",Attorney General's Office,Government Legal Department,Directorate A,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,1,500276,1,120000,124999,Law,Includes the combined salaries of reporting posts 18 & 35 (reporting teams less than 5),1
3,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for Bona Vacantia,Attorney General's Office,Government Legal Department,Bona Vacantia,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,2,1535869,1,N/A,N/A,Law,,1
4,Stephen Parker,SCS2,Director - Legal,To manage the provision of legal services for Her Majesty's Treasury,Attorney General's Office,Government Legal Department,Her Majesty's Treasury,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,2,375693,1,115000,119999,Law,,1
5,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for Her Majesty's Treasury,Attorney General's Office,Government Legal Department,Her Majesty's Treasury - Insurance Markets & Mutuals Team,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,4,310217,1,N/A,N/A,Law,,1
6,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for Her Majesty's Treasury,Attorney General's Office,Government Legal Department,Her Majesty's Treasury - Banking & Financial Crime Team,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,4,631996,1,N/A,N/A,Law,,1
7,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for Her Majesty's Treasury,Attorney General's Office,Government Legal Department,Her Majesty's Treasury - Financial Stability Team,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,4,363838,1,N/A,N/A,Law,,1
8,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for Her Majesty's Treasury,Attorney General's Office,Government Legal Department,Her Majesty's Treasury - Public Finances & General Team,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,4,702044,1,N/A,N/A,Law,,1
142,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for Her Majesty's Treasury,Attorney General's Office,Government Legal Department,Her Majesty's Treasury Legal Advisers - EU Exit Legislation Team,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,4,262330,1,N/A,N/A,Law,,1
132,Bridget Palmer,SCS2,Director - Legal (Job Share),To manage the provision of legal services for DIT,Attorney General's Office,Government Legal Department,Department for International Trade,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,2,302637,0.89,85000,89999,Law,Job Share,1
132,Sally Langrish,SCS2,Director - Legal (Job Share),To manage the provision of legal services for DIT,Attorney General's Office,Government Legal Department,Department for International Trade,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,2,302637,0.89,85000,89999,Law,Job Share,1
133,N/D,SCS1,Deputy Director - Legal (Job Share),To provide legal services and support for DIT,Attorney General's Office,Government Legal Department,"Department for International Trade - FTAs, Goods, Services, Investment, Regulatory questions, EU, Export Control",020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,132,407926,0.82,N/A,N/A,Law,Job Share,1
133,N/D,SCS1,Deputy Director - Legal (Job Share),To provide legal services and support for DIT,Attorney General's Office,Government Legal Department,"Department for International Trade - FTAs, Goods, Services, Investment, Regulatory questions, EU, Export Control",020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,132,407926,0.82,N/A,N/A,Law,Job Share,1
134,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for DIT,Attorney General's Office,Government Legal Department,"Department for International Trade - WT0, Trade Defence, Trade Disputes, Trade Bill",020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,132,408702,1,N/A,N/A,Law,,1
18,Susanna McGibbon,SCS2,Director - Legal,To manage the provision of Legal Services for Litigation,Attorney General's Office,Government Legal Department,Litigation,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,2,N/D,1,105000,109999,Law,Team is too small to detail.  Salary Cost of Reports reported under Post ID 2,1
19,N/D,SCS1,Deputy Director - Operations,To provide administrative support for Litigation,Attorney General's Office,Government Legal Department,Litigation - Practice Management Unit,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,18,526574,1,N/A,N/A,Operational Delivery,,1
